POA_CODE_2021	BornAust	Sex	persons
POA0800	0	F	1640
POA0800	0	M	1638
POA0800	1	F	1343
POA0800	1	M	1720
POA0810	0	F	6465
POA0810	0	M	6082
POA0810	1	F	9754
POA0810	1	M	9688
POA0812	0	F	2794
POA0812	0	M	2404
POA0812	1	F	5898
POA0812	1	M	6016
POA0820	0	F	3303
POA0820	0	M	3059
POA0820	1	F	5951
POA0820	1	M	6084
POA0822	0	F	687
POA0822	0	M	656
POA0822	1	F	10999
POA0822	1	M	11237
POA0828	0	F	265
POA0828	0	M	275
POA0828	1	F	458
POA0828	1	M	488
POA0829	0	F	37
POA0829	0	M	118
POA0829	1	F	238
POA0829	1	M	1479
POA0830	0	F	2036
POA0830	0	M	1646
POA0830	1	F	6316
POA0830	1	M	6616
POA0832	0	F	2464
POA0832	0	M	2096
POA0832	1	F	6458
POA0832	1	M	6346
POA0834	0	F	139
POA0834	0	M	99
POA0834	1	F	694
POA0834	1	M	723
POA0835	0	F	223
POA0835	0	M	220
POA0835	1	F	1184
POA0835	1	M	1264
POA0836	0	F	532
POA0836	0	M	399
POA0836	1	F	2826
POA0836	1	M	3204
POA0837	0	F	31
POA0837	0	M	19
POA0837	1	F	145
POA0837	1	M	175
POA0838	0	F	73
POA0838	0	M	49
POA0838	1	F	269
POA0838	1	M	351
POA0839	0	F	76
POA0839	0	M	49
POA0839	1	F	145
POA0839	1	M	144
POA0840	0	F	26
POA0840	0	M	28
POA0840	1	F	146
POA0840	1	M	181
POA0841	0	F	30
POA0841	0	M	51
POA0841	1	F	193
POA0841	1	M	244
POA0845	0	F	27
POA0845	0	M	23
POA0845	1	F	124
POA0845	1	M	120
POA0846	0	F	19
POA0846	0	M	15
POA0846	1	F	102
POA0846	1	M	110
POA0847	0	F	19
POA0847	0	M	21
POA0847	1	F	110
POA0847	1	M	124
POA0850	0	F	671
POA0850	0	M	621
POA0850	1	F	2713
POA0850	1	M	2766
POA0852	0	F	181
POA0852	0	M	217
POA0852	1	F	3657
POA0852	1	M	3638
POA0853	0	F	26
POA0853	0	M	30
POA0853	1	F	336
POA0853	1	M	388
POA0854	0	F	20
POA0854	0	M	18
POA0854	1	F	326
POA0854	1	M	333
POA0860	0	F	229
POA0860	0	M	232
POA0860	1	F	1152
POA0860	1	M	1183
POA0862	0	F	18
POA0862	0	M	25
POA0862	1	F	278
POA0862	1	M	332
POA0870	0	F	2834
POA0870	0	M	2731
POA0870	1	F	6970
POA0870	1	M	6553
POA0872	0	F	287
POA0872	0	M	319
POA0872	1	F	6543
POA0872	1	M	6602
POA0873	0	F	219
POA0873	0	M	207
POA0873	1	F	1045
POA0873	1	M	998
POA0874	0	F	141
POA0874	0	M	151
POA0874	1	F	123
POA0874	1	M	106
POA0875	0	F	263
POA0875	0	M	249
POA0875	1	F	942
POA0875	1	M	871
POA0880	0	F	304
POA0880	0	M	250
POA0880	1	F	1821
POA0880	1	M	1821
POA0885	0	F	58
POA0885	0	M	51
