POA_CODE_2021	EduInstitutionType	Sex	students
POA0800		F	446
POA0800		M	535
POA0800	Infants/Primary	F	97
POA0800	Infants/Primary	M	117
POA0800	Pre-school	F	28
POA0800	Pre-school	M	29
POA0800	Secondary	F	82
POA0800	Secondary	M	73
POA0800	Technical or Further Educational Institution	F	130
POA0800	Technical or Further Educational Institution	M	115
POA0800	University or other tertiary	F	328
POA0800	University or other tertiary	M	260
POA0810		F	1430
POA0810		M	1490
POA0810	Infants/Primary	F	1504
POA0810	Infants/Primary	M	1512
POA0810	Pre-school	F	278
POA0810	Pre-school	M	351
POA0810	Secondary	F	1006
POA0810	Secondary	M	1085
POA0810	Technical or Further Educational Institution	F	419
POA0810	Technical or Further Educational Institution	M	366
POA0810	University or other tertiary	F	1514
POA0810	University or other tertiary	M	1015
POA0812		F	907
POA0812		M	904
POA0812	Infants/Primary	F	871
POA0812	Infants/Primary	M	907
POA0812	Pre-school	F	168
POA0812	Pre-school	M	171
POA0812	Secondary	F	636
POA0812	Secondary	M	686
POA0812	Technical or Further Educational Institution	F	196
POA0812	Technical or Further Educational Institution	M	158
POA0812	University or other tertiary	F	462
POA0812	University or other tertiary	M	258
POA0820		F	860
POA0820		M	987
POA0820	Infants/Primary	F	678
POA0820	Infants/Primary	M	681
POA0820	Pre-school	F	149
POA0820	Pre-school	M	158
POA0820	Secondary	F	524
POA0820	Secondary	M	499
POA0820	Technical or Further Educational Institution	F	268
POA0820	Technical or Further Educational Institution	M	225
POA0820	University or other tertiary	F	757
POA0820	University or other tertiary	M	471
POA0822		F	1289
POA0822		M	1385
POA0822	Infants/Primary	F	1264
POA0822	Infants/Primary	M	1370
POA0822	Pre-school	F	221
POA0822	Pre-school	M	218
POA0822	Secondary	F	797
POA0822	Secondary	M	805
POA0822	Technical or Further Educational Institution	F	113
POA0822	Technical or Further Educational Institution	M	72
POA0822	University or other tertiary	F	182
POA0822	University or other tertiary	M	85
POA0828		F	135
POA0828		M	127
POA0828	Infants/Primary	F	60
POA0828	Infants/Primary	M	64
POA0828	Pre-school	F	22
POA0828	Pre-school	M	15
POA0828	Secondary	F	73
POA0828	Secondary	M	56
POA0828	Technical or Further Educational Institution	F	16
POA0828	Technical or Further Educational Institution	M	14
POA0828	University or other tertiary	F	43
POA0828	University or other tertiary	M	34
POA0829		F	112
POA0829		M	1087
POA0829	Infants/Primary	M	13
POA0829	Secondary	F	3
POA0829	Secondary	M	3
POA0829	Technical or Further Educational Institution	F	4
POA0829	University or other tertiary	F	14
POA0829	University or other tertiary	M	9
POA0830		F	1027
POA0830		M	1133
POA0830	Infants/Primary	F	857
POA0830	Infants/Primary	M	954
POA0830	Pre-school	F	199
POA0830	Pre-school	M	209
POA0830	Secondary	F	644
POA0830	Secondary	M	585
POA0830	Technical or Further Educational Institution	F	246
POA0830	Technical or Further Educational Institution	M	192
POA0830	University or other tertiary	F	461
POA0830	University or other tertiary	M	207
POA0832		F	813
POA0832		M	770
POA0832	Infants/Primary	F	1041
POA0832	Infants/Primary	M	1034
POA0832	Pre-school	F	293
POA0832	Pre-school	M	252
POA0832	Secondary	F	688
POA0832	Secondary	M	703
POA0832	Technical or Further Educational Institution	F	262
POA0832	Technical or Further Educational Institution	M	187
POA0832	University or other tertiary	F	640
POA0832	University or other tertiary	M	271
POA0834		F	77
POA0834		M	83
POA0834	Infants/Primary	F	91
POA0834	Infants/Primary	M	64
POA0834	Pre-school	F	16
POA0834	Pre-school	M	7
POA0834	Secondary	F	74
POA0834	Secondary	M	55
POA0834	Technical or Further Educational Institution	F	17
