POA_CODE_2021	medianTotalFamilyIncome
POA0800	124956
POA0810	127660
POA0812	119548
POA0820	142064
POA0822	43316
POA0828	128336
POA0829	101816
POA0830	121056
POA0832	134108
POA0834	156260
POA0835	144248
POA0836	147680
POA0837	92248
POA0838	127244
POA0839	89076
POA0840	52780
POA0841	114400
POA0845	69524
POA0846	66612
POA0847	71500
POA0850	118768
POA0852	39312
POA0853	152308
POA0854	52884
POA0860	74516
POA0862	45032
POA0870	130364
POA0872	40612
POA0873	113776
POA0874	175448
POA0875	118352
POA0880	126100
POA0885	193336
POA0886	121108
POA2000	123084
POA2007	114244
POA2008	127556
POA2009	157820
POA2010	192868
POA2011	185380
POA2015	182728
POA2016	169676
POA2017	139568
POA2018	125164
POA2019	147368
POA2020	124488
POA2021	238628
POA2022	179920
POA2023	234468
POA2024	221468
POA2025	236964
POA2026	191620
POA2027	237016
POA2028	221000
POA2029	182520
POA2030	236964
POA2031	174772
POA2032	126932
POA2033	142688
POA2034	190320
POA2035	143000
POA2036	130312
POA2037	165516
POA2038	203060
POA2039	227344
POA2040	188084
POA2041	239304
POA2042	173628
POA2043	195832
POA2044	160784
POA2045	181688
POA2046	158652
POA2047	182312
POA2048	175396
POA2049	167700
POA2050	175968
POA2060	192400
POA2061	208416
POA2062	212056
POA2063	241800
POA2064	158704
POA2065	192036
POA2066	185120
POA2067	129428
POA2068	210444
POA2069	197340
POA2070	179660
POA2071	168844
POA2072	152048
POA2073	198120
POA2074	182052
POA2075	172328
POA2076	174720
POA2077	126152
POA2079	145860
POA2080	137436
POA2081	155272
POA2082	145808
POA2083	134420
POA2084	165568
POA2085	164684
POA2086	171652
POA2087	173056
POA2088	234104
POA2089	190684
POA2090	198380
POA2092	240240
POA2093	190216
POA2094	217724
POA2095	221832
POA2096	180388
POA2097	159484
POA2099	135408
POA2100	160784
POA2101	147004
POA2102	152100
POA2103	146848
POA2104	158600
POA2105	162344
POA2106	158808
POA2107	154544
POA2108	169572
POA2110	238368
POA2111	165256
POA2112	130468
POA2113	138372
POA2114	128284
POA2115	120484
POA2116	114348
POA2117	113152
POA2118	113412
POA2119	175136
POA2120	157300
POA2121	131976
POA2122	116896
POA2125	169728
POA2126	161096
POA2127	124020
POA2128	106860
POA2130	159952
POA2131	117312
POA2132	131352
POA2133	120536
POA2134	96824
POA2135	125996
POA2136	118820
POA2137	144768
POA2138	131820
POA2140	112788
POA2141	94900
POA2142	86372
POA2143	89128
POA2144	74880
POA2145	119392
POA2146	118456
POA2147	114972
POA2148	103012
POA2150	117624
POA2151	121888
POA2152	125528
POA2153	145288
POA2154	148616
POA2155	162656
POA2156	156988
POA2157	135824
POA2158	150696
POA2159	141804
POA2160	86372
POA2161	77636
POA2162	82160
POA2163	66092
POA2164	81640
POA2165	69524
POA2166	72332
POA2167	114556
POA2168	78520
POA2170	93548
POA2171	123188
POA2172	168116
POA2173	137384
POA2174	136188
POA2175	121524
POA2176	89128
POA2177	83772
POA2178	120640
POA2179	119756
POA2190	85852
POA2191	106912
POA2192	90324
POA2193	120432
POA2194	83200
POA2195	67496
POA2196	85020
POA2197	81900
POA2198	99996
POA2199	82784
POA2200	77480
POA2203	144248
POA2204	140972
POA2205	117468
POA2206	128128
POA2207	115128
POA2208	112684
POA2209	104104
POA2210	109772
POA2211	117572
POA2212	114972
POA2213	126880
POA2214	120952
POA2216	106600
POA2217	114972
POA2218	105872
POA2219	125944
POA2220	95992
POA2221	130624
POA2222	108888
POA2223	140348
POA2224	126984
POA2225	179244
POA2226	157456
POA2227	146744
POA2228	128544
POA2229	149240
POA2230	148720
POA2231	119548
POA2232	138060
POA2233	139516
POA2234	150852
POA2250	109304
POA2251	113984
POA2256	91416
POA2257	97292
POA2258	116168
POA2259	97500
POA2260	131456
POA2261	99216
POA2262	82992
POA2263	77584
POA2264	86112
POA2265	105560
POA2267	86840
POA2278	107640
POA2280	108992
POA2281	94900
POA2282	118924
POA2283	94120
POA2284	107276
POA2285	112892
POA2286	103220
POA2287	110084
POA2289	132340
POA2290	116584
POA2291	156520
POA2292	116428
POA2293	132912
POA2294	120848
POA2295	109044
POA2296	120380
POA2297	126516
POA2298	110708
POA2299	105820
POA2300	144092
POA2302	120588
POA2303	127920
POA2304	109408
POA2305	133380
POA2306	52364
POA2307	84708
