POA_CODE_2021	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
POA0800					91
POA0800	0	0	0	1	90
POA0800	0	0	1	0	29
POA0800	0	0	1	1	5
POA0800	0	1	0	0	133
POA0800	0	1	0	1	8
POA0800	0	1	1	0	35
POA0800	1	0	0	1	114
POA0800	1	0	1	0	68
POA0800	1	0	1	1	22
POA0800	1	1	0	0	1035
POA0800	1	1	1	0	107
POA0800	1	1	1	1	13
POA0810					371
POA0810	0	0	0	1	959
POA0810	0	0	1	0	251
POA0810	0	0	1	1	141
POA0810	0	1	0	0	1498
POA0810	0	1	0	1	196
POA0810	0	1	1	0	318
POA0810	0	1	1	1	86
POA0810	1	0	0	1	1742
POA0810	1	0	1	0	813
POA0810	1	0	1	1	501
POA0810	1	1	0	0	9679
POA0810	1	1	0	1	500
POA0810	1	1	1	0	1786
POA0810	1	1	1	1	387
POA0812					189
POA0812	0	0	0	1	705
POA0812	0	0	1	0	192
POA0812	0	0	1	1	118
POA0812	0	1	0	0	1147
POA0812	0	1	0	1	201
POA0812	0	1	1	0	206
POA0812	0	1	1	1	71
POA0812	1	0	0	1	1210
POA0812	1	0	1	0	494
POA0812	1	0	1	1	355
POA0812	1	1	0	0	4751
POA0812	1	1	0	1	387
POA0812	1	1	1	0	923
POA0812	1	1	1	1	322
POA0820					162
POA0820	0	0	0	1	400
POA0820	0	0	1	0	129
POA0820	0	0	1	1	91
POA0820	0	1	0	0	708
POA0820	0	1	0	1	69
POA0820	0	1	1	0	121
POA0820	0	1	1	1	12
POA0820	1	0	0	1	695
POA0820	1	0	1	0	524
POA0820	1	0	1	1	218
POA0820	1	1	0	0	4632
POA0820	1	1	0	1	189
POA0820	1	1	1	0	761
POA0820	1	1	1	1	81
POA0822					535
POA0822	0	0	0	1	1328
POA0822	0	0	1	0	87
POA0822	0	0	1	1	123
POA0822	0	1	0	0	1890
POA0822	0	1	0	1	1108
POA0822	0	1	1	0	214
POA0822	0	1	1	1	172
POA0822	1	0	0	1	1583
POA0822	1	0	1	0	221
POA0822	1	0	1	1	271
POA0822	1	1	0	0	6029
POA0822	1	1	0	1	2405
POA0822	1	1	1	0	940
POA0822	1	1	1	1	735
POA0828					29
POA0828	0	0	0	1	41
POA0828	0	0	1	0	7
POA0828	0	1	0	0	51
POA0828	0	1	0	1	18
POA0828	0	1	1	0	11
POA0828	0	1	1	1	3
POA0828	1	0	0	1	95
POA0828	1	0	1	0	31
POA0828	1	0	1	1	19
POA0828	1	1	0	0	385
POA0828	1	1	0	1	25
POA0828	1	1	1	0	96
POA0828	1	1	1	1	17
POA0829					3
POA0829	0	0	0	1	7
POA0829	0	0	1	0	3
POA0829	0	1	0	0	3
POA0829	1	0	0	1	8
POA0829	1	0	1	0	3
POA0829	1	0	1	1	10
POA0829	1	1	0	0	36
POA0829	1	1	1	0	7
POA0830					141
