POA_CODE_2021	AgeStudent	Sex	students
POA0800	0-4	F	28
POA0800	0-4	M	29
POA0800	5-14	F	147
POA0800	5-14	M	156
POA0800	15-19	F	54
POA0800	15-19	M	47
POA0800	20-24	F	104
POA0800	20-24	M	79
POA0800	25+	F	417
POA0800	25+	M	344
POA0810	0-4	F	272
POA0810	0-4	M	343
POA0810	5-14	F	2046
POA0810	5-14	M	2150
POA0810	15-19	F	624
POA0810	15-19	M	637
POA0810	20-24	F	425
POA0810	20-24	M	369
POA0810	25+	F	1647
POA0810	25+	M	1070
POA0812	0-4	F	164
POA0812	0-4	M	160
POA0812	5-14	F	1200
POA0812	5-14	M	1286
POA0812	15-19	F	408
POA0812	15-19	M	404
POA0812	20-24	F	148
POA0812	20-24	M	126
POA0812	25+	F	550
POA0812	25+	M	299
POA0820	0-4	F	145
POA0820	0-4	M	159
POA0820	5-14	F	948
POA0820	5-14	M	935
POA0820	15-19	F	323
POA0820	15-19	M	287
POA0820	20-24	F	221
POA0820	20-24	M	197
POA0820	25+	F	908
POA0820	25+	M	568
POA0822	0-4	F	218
POA0822	0-4	M	201
POA0822	5-14	F	1661
POA0822	5-14	M	1807
POA0822	15-19	F	415
POA0822	15-19	M	416
POA0822	20-24	F	45
POA0822	20-24	M	38
POA0822	25+	F	271
POA0822	25+	M	130
POA0828	0-4	F	18
POA0828	0-4	M	11
POA0828	5-14	F	97
POA0828	5-14	M	94
POA0828	15-19	F	43
POA0828	15-19	M	38
POA0828	20-24	F	9
POA0828	20-24	M	12
POA0828	25+	F	59
POA0828	25+	M	28
POA0829	0-4	M	5
POA0829	5-14	F	5
POA0829	5-14	M	14
POA0829	15-19	F	3
POA0829	15-19	M	3
POA0829	20-24	F	3
POA0829	20-24	M	5
POA0829	25+	F	9
POA0829	25+	M	12
POA0830	0-4	F	200
POA0830	0-4	M	202
POA0830	5-14	F	1235
POA0830	5-14	M	1319
POA0830	15-19	F	362
POA0830	15-19	M	319
POA0830	20-24	F	139
POA0830	20-24	M	99
POA0830	25+	F	615
POA0830	25+	M	290
POA0832	0-4	F	278
POA0832	0-4	M	239
POA0832	5-14	F	1431
POA0832	5-14	M	1455
POA0832	15-19	F	415
POA0832	15-19	M	392
POA0832	20-24	F	201
POA0832	20-24	M	108
POA0832	25+	F	736
POA0832	25+	M	342
POA0834	0-4	F	19
POA0834	0-4	M	10
POA0834	5-14	F	120
POA0834	5-14	M	91
POA0834	15-19	F	46
POA0834	15-19	M	37
POA0834	20-24	F	17
POA0834	20-24	M	5
POA0834	25+	F	52
POA0834	25+	M	18
POA0835	0-4	F	14
POA0835	0-4	M	31
POA0835	5-14	F	167
POA0835	5-14	M	164
POA0835	15-19	F	77
POA0835	15-19	M	67
POA0835	20-24	F	21
POA0835	20-24	M	19
POA0835	25+	F	78
POA0835	25+	M	40
POA0836	0-4	F	58
POA0836	0-4	M	74
POA0836	5-14	F	532
POA0836	5-14	M	554
POA0836	15-19	F	158
POA0836	15-19	M	159
POA0836	20-24	F	37
POA0836	20-24	M	34
POA0836	25+	F	177
POA0836	25+	M	65
POA0837	5-14	F	22
POA0837	5-14	M	18
POA0837	20-24	F	4
POA0837	25+	F	9
POA0838	0-4	F	4
POA0838	0-4	M	7
POA0838	5-14	F	48
POA0838	5-14	M	72
POA0838	15-19	F	15
POA0838	15-19	M	13
POA0838	25+	F	22
POA0838	25+	M	3
POA0839	0-4	F	5
POA0839	0-4	M	3
POA0839	5-14	F	17
POA0839	5-14	M	22
POA0839	15-19	M	9
POA0839	20-24	F	11
POA0839	20-24	M	9
POA0839	25+	F	18
POA0840	5-14	F	12
POA0840	5-14	M	10
POA0840	15-19	M	4
POA0840	25+	F	11
POA0841	0-4	F	8
POA0841	0-4	M	4
POA0841	5-14	F	27
POA0841	5-14	M	28
