POA_CODE_2021	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
POA0800	0	1	1146
POA0800	0	2	184
POA0800	0	3	90
POA0800	0	4	17
POA0800	0	5	11
POA0800	1	2	914
POA0800	1	3	325
POA0800	1	4	221
POA0800	1	5	50
POA0800	1	6	23
POA0810	0	1	2677
POA0810	0	2	449
POA0810	0	3	154
POA0810	0	4	78
POA0810	0	5	24
POA0810	0	6	8
POA0810	1	2	3069
POA0810	1	3	2027
POA0810	1	4	1877
POA0810	1	5	790
POA0810	1	6	487
POA0812	0	1	1315
POA0812	0	2	186
POA0812	0	3	52
POA0812	0	4	11
POA0812	0	5	8
POA0812	0	6	3
POA0812	1	2	1735
POA0812	1	3	1143
POA0812	1	4	1003
POA0812	1	5	460
POA0812	1	6	304
POA0820	0	1	2114
POA0820	0	2	457
POA0820	0	3	134
POA0820	0	4	57
POA0820	0	5	19
POA0820	0	6	4
POA0820	1	2	2280
POA0820	1	3	1152
POA0820	1	4	891
POA0820	1	5	311
POA0820	1	6	157
POA0822	0	1	885
POA0822	0	2	97
POA0822	0	3	18
POA0822	0	4	11
POA0822	1	2	1139
POA0822	1	3	679
POA0822	1	4	672
POA0822	1	5	520
POA0822	1	6	1378
POA0828	0	1	78
POA0828	0	2	7
POA0828	0	3	3
POA0828	1	2	109
POA0828	1	3	78
POA0828	1	4	76
POA0828	1	5	41
POA0828	1	6	33
POA0829	0	1	43
POA0829	1	2	43
POA0829	1	3	9
POA0829	1	4	11
POA0829	1	5	3
POA0830	0	1	1441
POA0830	0	2	191
POA0830	0	3	47
POA0830	0	4	9
POA0830	0	5	4
POA0830	1	2	1703
POA0830	1	3	1085
POA0830	1	4	995
POA0830	1	5	469
POA0830	1	6	256
POA0832	0	1	1105
POA0832	0	2	191
POA0832	0	3	52
POA0832	0	4	13
POA0832	1	2	1579
POA0832	1	3	1209
POA0832	1	4	1192
POA0832	1	5	522
POA0832	1	6	254
POA0834	0	1	103
POA0834	0	2	14
POA0834	0	3	4
POA0834	0	4	4
POA0834	1	2	184
POA0834	1	3	81
POA0834	1	4	111
POA0834	1	5	56
POA0834	1	6	25
POA0835	0	1	161
POA0835	0	2	25
POA0835	0	3	10
POA0835	1	2	327
POA0835	1	3	158
POA0835	1	4	197
POA0835	1	5	81
POA0835	1	6	48
POA0836	0	1	386
POA0836	0	2	61
POA0836	0	3	12
POA0836	0	4	3
POA0836	1	2	681
POA0836	1	3	405
POA0836	1	4	447
POA0836	1	5	222
POA0836	1	6	152
POA0837	0	1	46
POA0837	1	2	44
POA0837	1	3	17
POA0837	1	4	21
POA0837	1	5	8
POA0837	1	6	7
POA0838	0	1	55
POA0838	1	2	79
POA0838	1	3	40
POA0838	1	4	42
POA0838	1	5	21
POA0838	1	6	14
POA0839	0	1	88
POA0839	0	2	3
POA0839	1	2	72
POA0839	1	3	35
POA0839	1	4	13
POA0839	1	5	4
POA0840	0	1	71
POA0840	0	2	9
POA0840	1	2	93
POA0840	1	3	9
POA0840	1	4	7
POA0840	1	5	3
POA0840	1	6	4
POA0841	0	1	69
POA0841	0	2	9
POA0841	1	2	67
POA0841	1	3	18
POA0841	1	4	22
POA0841	1	5	13
POA0841	1	6	10
POA0845	0	1	66
POA0845	0	2	7
POA0845	0	3	3
POA0845	1	2	34
POA0845	1	3	11
POA0845	1	4	11
POA0845	1	5	5
POA0845	1	6	6
POA0846	0	1	37
POA0846	0	2	3
POA0846	1	2	43
POA0846	1	3	13
POA0846	1	4	5
POA0846	1	5	3
POA0846	1	6	3
POA0847	0	1	35
POA0847	0	2	5
POA0847	1	2	25
POA0847	1	3	10
POA0847	1	4	9
POA0847	1	5	6
POA0847	1	6	11
POA0850	0	1	612
POA0850	0	2	100
POA0850	0	3	35
POA0850	0	4	10
POA0850	0	5	4
POA0850	0	6	6
POA0850	1	2	680
POA0850	1	3	347
POA0850	1	4	323
POA0850	1	5	184
POA0850	1	6	137
POA0852	0	1	323
POA0852	0	2	26
POA0852	0	3	6
POA0852	0	4	4
POA0852	0	6	3
POA0852	1	2	300
POA0852	1	3	137
POA0852	1	4	152
POA0852	1	5	150
POA0852	1	6	479
POA0853	0	1	18
POA0853	1	2	78
POA0853	1	3	33
POA0853	1	4	56
POA0853	1	5	16
POA0853	1	6	6
POA0854	0	1	42
POA0854	0	2	5
POA0854	1	2	45
POA0854	1	3	14
POA0854	1	4	26
POA0854	1	5	21
POA0854	1	6	38
POA0860	0	1	331
POA0860	0	2	35
POA0860	0	3	5
POA0860	1	2	214
POA0860	1	3	105
POA0860	1	4	87
POA0860	1	5	58
POA0860	1	6	102
POA0862	0	1	39
POA0862	1	2	41
POA0862	1	3	14
POA0862	1	4	21
POA0862	1	5	10
POA0862	1	6	17
POA0870	0	1	1869
POA0870	0	2	271
POA0870	0	3	114
POA0870	0	4	36
POA0870	0	5	6
POA0870	0	6	5
POA0870	1	2	1828
POA0870	1	3	1133
POA0870	1	4	1000
POA0870	1	5	453
POA0870	1	6	305
POA0872	0	1	854
POA0872	0	2	51
POA0872	0	3	4
POA0872	0	4	3
POA0872	1	2	567
POA0872	1	3	326
POA0872	1	4	315
POA0872	1	5	301
POA0872	1	6	809
POA0873	0	1	228
POA0873	0	2	15
POA0873	0	3	9
POA0873	0	4	6
POA0873	1	2	245
POA0873	1	3	134
POA0873	1	4	107
POA0873	1	5	51
POA0873	1	6	49
POA0874	0	1	96
POA0874	0	2	8
POA0874	1	2	54
POA0874	1	3	31
POA0874	1	4	23
POA0874	1	5	15
POA0874	1	6	4
POA0875	0	1	221
POA0875	0	2	29
POA0875	0	3	13
POA0875	1	2	210
POA0875	1	3	129
POA0875	1	4	129
POA0875	1	5	69
POA0875	1	6	55
POA0880	0	1	226
POA0880	0	2	22
POA0880	0	3	6
POA0880	1	2	251
POA0880	1	3	172
POA0880	1	4	226
POA0880	1	5	110
POA0880	1	6	143
POA0885	0	1	55
POA0885	0	2	3
POA0885	1	2	53
POA0885	1	3	24
POA0885	1	4	44
POA0885	1	5	28
POA0885	1	6	11
POA0886	0	1	94
POA0886	0	2	7
POA0886	0	3	3
POA0886	1	2	79
POA0886	1	3	27
POA0886	1	4	29
POA0886	1	5	14
POA0886	1	6	10
POA2000	0	1	4040
POA2000	0	2	879
POA2000	0	3	380
POA2000	0	4	278
POA2000	0	5	121
POA2000	0	6	79
POA2000	1	2	3582
POA2000	1	3	1004
POA2000	1	4	671
POA2000	1	5	280
POA2000	1	6	179
POA2007	0	1	1071
POA2007	0	2	268
POA2007	0	3	162
POA2007	0	4	57
POA2007	0	5	31
POA2007	0	6	9
POA2007	1	2	790
POA2007	1	3	296
POA2007	1	4	179
POA2007	1	5	39
POA2007	1	6	21
POA2008	0	1	1967
POA2008	0	2	438
POA2008	0	3	187
POA2008	0	4	120
POA2008	0	5	29
POA2008	0	6	14
POA2008	1	2	1299
POA2008	1	3	292
POA2008	1	4	152
POA2008	1	5	43
POA2008	1	6	11
POA2009	0	1	1838
POA2009	0	2	342
POA2009	0	3	137
POA2009	0	4	45
POA2009	0	5	10
POA2009	0	6	4
POA2009	1	2	1995
POA2009	1	3	684
POA2009	1	4	424
POA2009	1	5	70
POA2009	1	6	25
POA2010	0	1	6427
POA2010	0	2	862
POA2010	0	3	353
POA2010	0	4	171
POA2010	0	5	43
POA2010	0	6	8
POA2010	1	2	3965
POA2010	1	3	770
POA2010	1	4	415
POA2010	1	5	100
POA2010	1	6	37
POA2011	0	1	6107
POA2011	0	2	478
POA2011	0	3	80
POA2011	0	4	18
POA2011	0	5	3
POA2011	1	2	2695
POA2011	1	3	455
POA2011	1	4	178
POA2011	1	5	35
POA2011	1	6	10
POA2015	0	1	1787
POA2015	0	2	350
POA2015	0	3	121
POA2015	0	4	50
POA2015	0	5	5
POA2015	0	6	10
POA2015	1	2	1820
POA2015	1	3	592
POA2015	1	4	415
POA2015	1	5	70
POA2015	1	6	35
POA2016	0	1	2498
POA2016	0	2	396
POA2016	0	3	234
POA2016	0	4	93
POA2016	0	5	24
POA2016	0	6	14
POA2016	1	2	1707
POA2016	1	3	499
POA2016	1	4	317
POA2016	1	5	94
POA2016	1	6	19
POA2017	0	1	5178
POA2017	0	2	1514
POA2017	0	3	349
POA2017	0	4	72
POA2017	0	5	16
POA2017	0	6	4
POA2017	1	2	4779
POA2017	1	3	1395
POA2017	1	4	610
POA2017	1	5	141
POA2017	1	6	42
POA2018	0	1	2304
POA2018	0	2	459
POA2018	0	3	134
POA2018	0	4	36
POA2018	0	5	4
POA2018	0	6	3
POA2018	1	2	2595
POA2018	1	3	1261
POA2018	1	4	919
POA2018	1	5	316
POA2018	1	6	116
POA2019	0	1	1207
POA2019	0	2	141
POA2019	0	3	17
POA2019	0	4	8
POA2019	0	5	3
POA2019	1	2	1409
POA2019	1	3	893
POA2019	1	4	898
POA2019	1	5	269
POA2019	1	6	101
POA2020	0	1	1762
POA2020	0	2	630
POA2020	0	3	264
POA2020	0	4	89
POA2020	0	5	39
POA2020	0	6	21
POA2020	1	2	2478
POA2020	1	3	1285
POA2020	1	4	951
POA2020	1	5	359
POA2020	1	6	227
POA2021	0	1	2542
POA2021	0	2	267
POA2021	0	3	164
POA2021	0	4	83
POA2021	0	5	18
POA2021	1	2	1922
POA2021	1	3	770
POA2021	1	4	617
POA2021	1	5	171
POA2021	1	6	28
POA2022	0	1	1778
POA2022	0	2	291
POA2022	0	3	118
POA2022	0	4	44
POA2022	0	5	10
POA2022	0	6	4
POA2022	1	2	1720
POA2022	1	3	693
POA2022	1	4	662
POA2022	1	5	182
POA2022	1	6	52
POA2023	0	1	1048
POA2023	0	2	193
POA2023	0	3	51
POA2023	0	4	11
POA2023	1	2	1313
POA2023	1	3	508
POA2023	1	4	560
POA2023	1	5	272
POA2023	1	6	94
POA2024	0	1	1166
POA2024	0	2	213
POA2024	0	3	57
POA2024	0	4	15
POA2024	1	2	1186
POA2024	1	3	580
POA2024	1	4	677
POA2024	1	5	253
POA2024	1	6	56
POA2025	0	1	1003
POA2025	0	2	139
POA2025	0	3	39
POA2025	0	4	4
POA2025	0	5	6
POA2025	1	2	957
POA2025	1	3	362
POA2025	1	4	347
POA2025	1	5	104
POA2025	1	6	26
POA2026	0	1	4238
POA2026	0	2	1208
POA2026	0	3	418
POA2026	0	4	95
POA2026	0	5	26
POA2026	0	6	9
POA2026	1	2	3938
POA2026	1	3	1636
POA2026	1	4	1469
POA2026	1	5	441
POA2026	1	6	125
POA2027	0	1	1358
POA2027	0	2	142
POA2027	0	3	59
POA2027	0	4	3
POA2027	1	2	1306
POA2027	1	3	368
POA2027	1	4	243
POA2027	1	5	71
POA2027	1	6	22
POA2028	0	1	726
POA2028	0	2	135
POA2028	0	3	47
POA2028	0	4	10
POA2028	1	2	708
POA2028	1	3	269
POA2028	1	4	175
POA2028	1	5	54
POA2028	1	6	7
POA2029	0	1	1201
POA2029	0	2	151
POA2029	0	3	27
POA2029	0	4	6
POA2029	1	2	1312
POA2029	1	3	557
POA2029	1	4	496
POA2029	1	5	207
POA2029	1	6	47
POA2030	0	1	1034
POA2030	0	2	89
POA2030	0	3	12
POA2030	0	4	5
POA2030	1	2	1402
POA2030	1	3	732
POA2030	1	4	963
POA2030	1	5	502
POA2030	1	6	140
POA2031	0	1	4013
POA2031	0	2	793
POA2031	0	3	241
POA2031	0	4	52
POA2031	0	5	11
POA2031	0	6	5
POA2031	1	2	4205
POA2031	1	3	1915
POA2031	1	4	1736
POA2031	1	5	517
POA2031	1	6	120
POA2032	0	1	1689
POA2032	0	2	393
POA2032	0	3	153
POA2032	0	4	73
POA2032	0	5	19
POA2032	0	6	22
POA2032	1	2	1340
POA2032	1	3	760
POA2032	1	4	793
