POA_CODE_2021	medianTotalPersonalIncome
POA0800	64272
POA0810	55016
POA0812	50908
POA0820	66092
POA0822	15496
POA0828	52364
POA0829	67704
POA0830	54912
POA0832	62712
POA0834	60684
POA0835	58136
POA0836	60216
POA0837	38272
POA0838	54496
POA0839	49036
POA0840	24388
POA0841	43628
POA0845	28184
POA0846	30316
POA0847	23868
POA0850	54080
POA0852	16328
POA0853	78676
POA0854	20436
POA0860	34892
POA0862	40300
POA0870	60008
POA0872	17680
POA0873	44408
POA0874	78988
POA0875	54184
POA0880	43316
POA0885	95888
POA0886	65936
POA2000	48932
POA2007	40144
POA2008	44720
POA2009	67444
POA2010	76908
POA2011	79768
POA2015	82264
POA2016	61932
POA2017	63232
POA2018	50596
POA2019	60372
POA2020	51636
POA2021	85904
POA2022	69784
POA2023	81900
POA2024	78624
POA2025	85176
POA2026	78156
POA2027	88868
POA2028	86424
POA2029	72696
POA2030	72072
POA2031	71396
POA2032	41236
POA2033	49036
POA2034	75088
POA2035	52416
POA2036	48204
POA2037	60476
POA2038	74984
POA2039	85904
POA2040	71136
POA2041	82784
POA2042	67444
POA2043	88608
POA2044	64168
POA2045	51792
POA2046	59436
POA2047	72176
POA2048	66716
POA2049	65624
POA2050	67132
POA2060	81952
POA2061	87932
POA2062	83824
POA2063	71500
POA2064	62504
POA2065	82732
POA2066	71656
POA2067	49088
POA2068	64116
POA2069	62660
POA2070	60528
POA2071	55692
POA2072	55900
POA2073	61776
POA2074	56368
POA2075	55640
POA2076	52780
POA2077	49244
POA2079	53664
POA2080	49972
POA2081	50700
POA2082	50804
POA2083	47216
POA2084	52780
POA2085	48464
POA2086	54080
POA2087	50700
POA2088	77324
POA2089	81900
POA2090	79404
POA2092	65676
POA2093	64272
POA2094	77532
POA2095	82940
POA2096	72228
POA2097	55276
POA2099	52468
POA2100	54080
POA2101	53820
POA2102	55120
POA2103	53040
POA2104	45552
POA2105	58500
POA2106	58552
POA2107	54340
POA2108	66300
POA2110	64636
POA2111	62296
POA2112	51220
POA2113	52676
POA2114	51480
POA2115	42224
POA2116	41184
POA2117	39364
POA2118	41132
POA2119	56680
POA2120	51844
POA2121	49712
POA2122	40768
POA2125	53664
POA2126	48880
POA2127	60320
POA2128	44564
POA2130	68484
POA2131	46280
POA2132	43420
POA2133	41964
POA2134	36764
POA2135	42380
POA2136	43004
POA2137	54860
POA2138	55796
POA2140	47476
POA2141	36660
POA2142	34632
POA2143	30888
POA2144	30160
POA2145	44148
POA2146	44356
POA2147	41288
POA2148	39676
POA2150	50440
POA2151	46800
POA2152	48932
POA2153	50908
POA2154	48412
POA2155	57356
POA2156	48880
POA2157	45708
POA2158	47736
POA2159	46436
POA2160	31356
POA2161	26572
POA2162	26676
POA2163	23972
POA2164	25792
POA2165	23712
POA2166	24648
POA2167	43888
POA2168	26052
POA2170	33488
POA2171	40872
POA2172	61568
POA2173	54548
POA2174	52416
POA2175	39728
POA2176	26988
POA2177	26676
POA2178	39052
POA2179	47736
POA2190	25896
POA2191	34944
POA2192	33280
POA2193	46020
POA2194	33904
POA2195	27664
POA2196	29120
POA2197	27716
POA2198	33644
POA2199	27248
POA2200	28496
POA2203	60216
POA2204	55900
POA2205	49920
POA2206	42536
POA2207	39208
POA2208	37232
POA2209	35412
POA2210	37128
POA2211	39572
POA2212	39000
POA2213	43836
POA2214	41912
POA2216	41392
POA2217	44772
POA2218	39676
POA2219	45968
POA2220	36764
POA2221	44252
POA2222	42016
POA2223	50700
POA2224	45136
POA2225	58032
POA2226	55328
POA2227	53664
POA2228	48776
POA2229	53716
POA2230	60112
POA2231	42172
POA2232	54080
POA2233	49920
POA2234	51168
POA2250	40092
POA2251	39676
POA2256	34008
POA2257	36244
POA2258	42744
POA2259	36348
POA2260	47840
POA2261	37544
POA2262	34164
POA2263	31980
POA2264	34424
POA2265	38116
POA2267	35360
POA2278	41496
POA2280	39572
POA2281	35360
POA2282	42952
POA2283	36088
POA2284	39624
POA2285	43628
POA2286	39468
POA2287	40248
POA2289	49036
POA2290	43420
POA2291	57044
POA2292	47476
POA2293	56160
POA2294	48360
POA2295	38740
POA2296	51740
POA2297	47528
POA2298	40456
POA2299	38428
POA2300	59436
POA2302	54652
POA2303	44772
POA2304	41964
POA2305	49088
POA2306	24024
POA2307	35412
POA2308	15704
POA2311	32604
POA2312	29328
POA2315	34372
POA2316	32708
POA2317	32396
POA2318	40248
POA2319	29224
POA2320	41288
POA2321	45448
POA2322	42432
POA2323	39104
POA2324	32812
POA2325	33020
POA2326	33384
POA2327	32968
POA2328	39156
POA2329	31200
POA2330	41704
POA2331	48672
POA2333	39572
POA2334	41756
POA2335	47632
POA2336	39364
POA2337	42796
POA2338	29588
POA2339	35724
POA2340	40768
POA2341	25896
POA2342	38948
POA2343	34320
POA2344	40144
POA2345	39780
POA2346	29692
POA2347	25064
POA2350	38480
POA2352	38480
POA2353	34320
POA2354	35568
POA2355	27300
POA2356	23608
POA2357	30576
POA2358	33800
POA2359	24128
POA2360	33904
POA2361	24804
POA2365	33956
POA2369	23816
POA2370	28184
POA2371	23816
POA2372	26780
POA2379	35204
POA2380	41288
POA2381	34164
POA2382	36400
POA2386	34892
POA2387	47580
POA2388	36348
POA2390	42224
POA2395	23764
POA2396	26988
POA2397	38948
POA2398	44720
POA2399	39624
POA2400	44668
POA2401	39468
POA2402	26416
POA2403	30264
POA2404	25428
POA2405	38948
POA2406	40768
POA2408	57616
POA2409	26104
POA2410	25844
POA2411	58500
POA2415	32084
POA2420	33696
POA2421	41340
POA2422	28964
POA2423	27352
POA2424	23556
POA2425	33020
POA2426	26052
POA2427	25064
POA2428	29172
POA2429	29484
POA2430	30264
POA2431	27924
POA2439	30056
POA2440	28964
POA2441	28392
POA2443	26988
POA2444	35724
POA2445	34632
POA2446	33436
POA2447	27768
POA2448	27456
POA2449	25688
POA2450	36088
POA2452	34476
POA2453	28496
POA2454	33124
POA2455	30680
POA2456	35984
POA2460	30680
POA2462	27820
POA2463	29276
POA2464	32084
POA2465	30836
POA2466	25376
POA2469	24284
POA2470	31980
POA2471	31148
POA2472	33800
POA2473	32396
POA2474	28132
POA2475	24180
POA2476	26520
POA2477	37440
POA2478	38480
POA2479	46072
POA2480	35620
POA2481	43264
POA2482	33020
POA2483	36816
POA2484	31824
POA2485	33176
POA2486	33020
POA2487	39884
POA2488	39676
POA2489	36192
POA2490	40872
POA2500	40456
POA2502	27352
POA2505	33696
POA2506	29536
POA2508	52364
POA2515	52676
POA2516	49504
POA2517	40872
POA2518	37856
POA2519	39260
POA2525	42380
POA2526	40768
POA2527	41288
POA2528	30784
POA2529	40352
POA2530	37544
POA2533	43004
POA2534	43368
POA2535	37440
POA2536	32240
POA2537	33384
POA2538	30992
POA2539	31564
POA2540	32916
POA2541	33020
POA2545	32136
POA2546	30160
POA2548	35984
POA2549	33904
POA2550	33852
POA2551	29692
POA2555	25480
POA2556	35672
POA2557	53456
POA2558	40976
POA2559	26468
POA2560	37544
POA2563	40976
POA2564	30784
POA2565	43576
POA2566	38168
POA2567	49296
POA2568	35724
POA2569	44772
POA2570	50596
POA2571	49192
POA2572	40820
POA2573	41184
POA2574	39676
POA2575	41600
POA2576	43108
POA2577	41288
POA2578	34476
POA2579	38688
POA2580	39364
POA2581	54028
POA2582	52780
POA2583	34164
POA2584	42692
POA2585	35308
POA2586	35360
POA2587	32032
POA2588	39156
POA2590	30472
POA2594	34632
POA2600	85332
POA2601	27300
POA2602	65364
POA2603	82992
POA2604	82420
POA2605	69316
POA2606	65416
POA2607	63700
POA2609	42796
POA2611	67652
POA2612	74100
POA2614	60164
POA2615	57512
POA2617	55848
POA2618	58500
POA2619	77220
POA2620	59020
POA2621	67028
POA2622	40404
POA2623	52572
POA2624	47632
POA2625	53612
POA2626	50128
POA2627	49192
POA2628	40664
POA2629	32344
POA2630	40924
POA2631	32240
POA2632	38168
POA2633	25636
POA2640	43576
POA2641	34476
POA2642	41340
POA2643	34996
POA2644	36816
POA2645	27404
POA2646	33644
POA2647	33176
POA2648	30992
POA2649	38428
POA2650	43732
POA2651	48464
POA2652	39104
POA2653	35880
POA2655	33384
POA2656	33280
POA2658	30628
POA2659	32032
POA2660	33176
POA2661	48776
POA2663	38480
POA2665	31876
POA2666	34528
POA2668	24908
POA2669	33956
POA2671	40300
POA2672	31304
POA2675	44876
POA2678	16484
POA2680	43576
POA2681	42952
POA2700	33384
POA2701	39520
POA2702	32396
POA2703	24596
POA2705	39676
POA2706	38272
POA2707	43836
POA2710	35256
POA2711	37076
POA2712	31096
POA2713	33852
POA2714	29120
POA2715	36660
POA2716	37180
POA2717	28808
POA2720	36088
POA2721	26520
POA2722	36920
POA2725	26988
POA2726	39208
POA2727	40456
POA2729	35100
POA2730	31408
POA2731	35568
POA2732	30524
POA2733	34476
POA2734	43472
POA2735	31200
POA2736	37700
POA2737	38532
POA2738	47840
POA2739	41600
POA2745	52988
POA2747	45760
POA2748	43888
POA2749	46644
POA2750	44356
POA2752	50856
POA2753	42484
POA2754	42796
POA2756	45812
POA2757	42900
POA2758	47944
POA2759	44876
POA2760	39884
POA2761	43992
POA2762	60008
POA2763	49192
POA2765	55848
POA2766	38376
POA2767	38844
POA2768	52312
POA2769	62764
POA2770	29744
POA2773	52988
POA2774	49348
POA2775	33280
POA2776	48516
POA2777	46436
POA2778	44564
POA2779	41704
POA2780	35724
POA2782	38480
POA2783	38064
POA2784	37908
POA2785	38480
POA2786	35776
POA2787	38168
POA2790	33124
POA2791	38584
POA2792	37804
POA2793	24284
POA2794	32136
POA2795	41600
POA2797	41808
POA2798	47320
POA2799	37284
POA2800	44408
POA2803	33592
POA2804	32552
POA2805	29484
POA2806	36348
POA2807	25220
POA2808	24908
POA2809	27924
POA2810	30160
POA2817	38012
POA2818	42432
POA2820	31356
POA2821	37180
POA2822	36348
POA2823	39208
POA2824	37492
POA2825	40560
POA2826	43836
POA2827	32292
POA2828	33644
POA2829	34892
POA2830	45448
POA2831	37232
POA2832	38948
POA2833	27716
POA2834	24700
POA2835	48776
POA2836	26416
POA2838	22100
POA2839	30732
POA2840	44668
POA2842	26208
POA2843	30940
POA2844	30212
POA2845	34632
POA2846	28340
POA2847	29952
POA2848	23452
POA2849	30264
POA2850	39208
POA2852	33696
POA2864	37908
POA2865	38376
POA2866	38064
POA2867	32136
POA2868	32136
POA2869	28080
POA2870	38064
POA2871	37180
POA2873	26884
POA2874	27040
POA2875	30836
POA2876	32500
POA2877	34268
POA2878	45292
POA2879	25792
POA2880	33904
POA2898	49972
POA2899	38272
POA2900	62192
POA2902	55640
POA2903	58656
POA2904	62868
POA2905	58500
POA2906	60632
POA2911	72488
POA2912	54496
POA2913	61360
POA2914	64688
POA3000	39936
POA3002	79664
POA3003	55016
POA3004	69836
POA3006	60892
POA3008	61464
POA3011	51012
POA3012	50752
POA3013	64792
POA3015	64532
POA3016	56628
POA3018	49140
POA3019	32344
POA3020	31616
POA3021	25688
POA3022	36296
POA3023	37388
POA3024	43784
POA3025	39156
POA3026	44096
POA3027	52312
POA3028	38792
POA3029	42224
POA3030	44876
POA3031	57512
POA3032	53404
POA3033	39468
POA3034	34632
POA3036	42640
POA3037	38948
POA3038	36244
POA3039	57876
POA3040	55276
POA3041	52260
POA3042	44824
POA3043	36400
POA3044	50440
POA3045	13624
POA3046	41132
POA3047	24440
POA3048	22984
POA3049	38376
POA3051	49036
POA3052	30576
POA3053	34216
POA3054	62244
POA3055	52208
POA3056	56472
POA3057	65052
POA3058	46332
POA3059	41392
POA3060	30784
POA3061	23088
POA3062	54184
POA3063	42900
POA3064	35776
POA3065	65780
POA3066	69576
POA3067	70408
POA3068	67132
POA3070	60632
POA3071	54184
POA3072	45344
POA3073	38532
POA3074	26104
POA3075	28184
POA3076	36868
POA3078	59176
POA3079	57460
POA3081	39624
POA3082	37232
POA3083	35360
POA3084	51532
POA3085	49036
POA3087	45344
POA3088	47320
POA3089	51116
POA3090	53456
POA3091	45084
POA3093	49660
POA3094	50128
POA3095	51584
POA3096	44200
POA3097	47684
POA3099	45864
POA3101	58240
POA3102	54236
POA3103	45188
POA3104	44408
POA3105	38428
POA3106	40612
POA3107	39520
POA3108	37388
POA3109	36452
POA3111	39988
POA3113	50128
POA3114	49816
POA3115	50336
POA3116	44304
POA3121	71552
POA3122	62764
POA3123	64688
POA3124	54236
POA3125	35412
POA3126	57252
POA3127	55952
POA3128	35464
POA3129	40872
POA3130	44148
POA3131	40508
POA3132	47372
POA3133	39156
POA3134	44460
POA3135	45968
POA3136	43732
POA3137	42068
POA3138	43576
POA3139	41548
POA3140	41496
POA3141	72540
POA3142	74204
POA3143	70512
POA3144	69368
POA3145	54444
POA3146	61308
POA3147	47476
POA3148	45760
POA3149	42120
POA3150	36972
POA3151	35152
POA3152	39260
POA3153	41964
POA3154	42380
POA3155	41652
POA3156	42744
POA3158	46540
POA3159	47840
POA3160	46540
POA3161	59488
POA3162	54288
POA3163	53040
POA3165	48204
POA3166	45240
POA3167	40040
POA3168	31512
POA3169	34840
POA3170	38792
POA3171	29016
POA3172	34840
POA3173	37856
POA3174	32344
POA3175	31044
POA3177	30368
POA3178	43628
POA3179	39780
POA3180	39728
POA3181	69576
POA3182	63700
POA3183	61360
POA3184	70928
POA3185	62036
POA3186	65468
POA3187	53872
POA3188	53508
POA3189	48828
POA3190	53300
POA3191	56680
POA3192	48100
POA3193	54652
POA3194	50908
POA3195	49608
POA3196	48984
POA3197	46280
POA3198	42068
POA3199	40352
POA3200	29900
POA3201	42484
POA3202	46332
POA3204	51168
POA3205	67964
POA3206	71344
POA3207	71032
POA3211	39000
POA3212	43212
POA3213	43264
POA3214	27196
POA3215	38064
POA3216	40664
POA3217	52572
POA3218	49816
POA3219	35308
POA3220	49296
POA3221	50804
POA3222	37128
POA3223	31460
POA3224	38480
POA3225	42432
POA3226	44512
POA3227	52884
POA3228	52260
POA3230	44304
POA3231	50232
POA3232	46436
POA3233	36400
POA3234	47736
POA3235	42640
POA3236	30940
POA3237	29692
POA3238	40248
POA3239	31564
POA3240	49660
POA3241	38688
POA3242	40664
POA3243	42328
POA3249	36504
POA3250	36452
POA3251	37232
POA3254	37388
POA3260	35360
POA3264	33852
POA3265	43680
POA3266	35308
POA3267	41288
POA3268	39988
POA3269	41444
POA3270	41392
POA3271	41808
POA3272	31200
POA3273	48048
POA3274	32188
POA3275	45500
POA3276	39676
POA3277	44876
POA3278	40196
POA3279	48308
POA3280	39208
POA3281	44408
POA3282	39624
POA3283	40404
POA3284	38948
POA3285	40352
POA3286	33280
POA3287	41756
POA3289	31824
POA3292	35828
POA3293	37440
POA3294	40144
POA3300	36140
POA3301	41236
POA3302	40716
POA3303	42068
POA3304	33540
POA3305	33280
POA3309	25584
POA3310	25064
POA3311	27352
POA3312	39312
POA3314	42276
POA3315	32448
POA3317	47060
POA3318	31876
POA3319	39728
POA3321	44616
POA3322	27664
POA3323	45500
POA3324	31564
POA3325	29484
POA3328	42952
POA3329	36608
POA3330	37232
POA3331	43784
POA3332	41444
POA3333	38688
POA3334	36660
POA3335	47320
POA3336	50752
POA3337	35100
POA3338	38740
POA3340	42640
POA3341	44772
POA3342	38584
POA3345	43888
POA3350	40612
POA3351	37492
POA3352	42068
POA3355	31044
POA3356	32188
POA3357	42536
POA3358	47892
POA3360	34684
POA3361	26832
POA3363	32084
POA3364	37336
POA3370	26468
POA3371	25220
POA3373	30732
POA3374	37128
POA3375	34112
POA3377	35620
POA3378	59124
POA3379	33020
POA3380	34216
POA3381	40196
POA3384	31304
POA3385	32084
POA3387	35308
POA3388	34008
POA3390	32240
POA3391	36556
POA3392	26572
POA3393	34424
POA3395	34008
POA3396	29744
POA3400	38896
POA3401	44980
POA3407	38636
POA3409	40352
POA3412	29640
POA3413	46800
POA3414	30420
POA3415	53612
POA3418	38064
POA3419	33020
POA3420	49660
POA3423	24128
POA3424	32760
POA3427	50440
POA3428	37752
POA3429	44356
POA3430	44304
POA3431	45812
POA3432	41132
POA3433	39364
POA3434	44564
POA3435	40612
POA3437	49816
POA3438	45448
POA3440	48828
POA3441	55900
POA3442	45396
POA3444	39624
POA3446	39104
POA3447	36608
POA3448	35360
POA3450	34788
POA3451	36660
POA3453	41288
POA3458	39260
POA3460	37128
POA3461	35204
POA3462	31928
POA3463	31304
