POA_CODE_2021	medianMortgageRepayment
POA0800	21372
POA0810	24696
POA0812	23976
POA0820	24444
POA0822	24000
POA0828	31200
POA0829	14556
POA0830	23400
POA0832	26004
POA0834	30000
POA0835	28656
POA0836	27600
POA0837	26748
POA0838	26004
POA0839	21264
POA0840	15600
POA0841	22800
POA0845	18240
POA0846	15996
POA0847	12996
POA0850	19500
POA0852	18204
POA0853	
POA0854	13404
POA0860	13368
POA0862	
POA0870	20892
POA0872	5976
POA0873	27636
POA0874	26004
POA0875	20796
POA0880	20796
POA0885	12996
POA0886	16800
POA2000	33600
POA2007	30000
POA2008	31200
POA2009	33600
POA2010	34800
POA2011	30000
POA2015	33240
POA2016	33732
POA2017	31200
POA2018	30000
POA2019	33276
POA2020	31200
POA2021	46200
POA2022	41604
POA2023	46800
POA2024	46800
POA2025	48000
POA2026	40800
POA2027	42000
POA2028	36000
POA2029	39000
POA2030	51948
POA2031	37956
POA2032	36000
POA2033	33120
POA2034	40800
POA2035	36000
POA2036	33120
POA2037	36000
POA2038	41604
POA2039	42000
POA2040	41604
POA2041	48000
POA2042	36000
POA2043	33600
POA2044	34800
POA2045	44088
POA2046	36168
POA2047	38400
POA2048	36000
POA2049	34200
POA2050	33804
POA2060	36000
POA2061	36000
POA2062	36396
POA2063	55788
POA2064	33264
POA2065	36000
POA2066	36000
POA2067	36000
POA2068	46800
POA2069	45600
POA2070	42000
POA2071	41604
POA2072	36396
POA2073	42000
POA2074	42000
POA2075	42000
POA2076	39000
POA2077	28200
POA2079	30528
POA2080	31776
POA2081	31200
POA2082	30000
POA2083	27480
POA2084	38400
POA2085	40020
POA2086	41604
POA2087	40800
POA2088	46440
POA2089	34836
POA2090	37836
POA2092	51996
POA2093	41604
POA2094	41604
POA2095	41604
POA2096	38484
POA2097	36396
POA2099	32400
POA2100	37704
POA2101	36000
POA2102	36924
POA2103	36396
POA2104	44292
POA2105	36000
POA2106	36000
POA2107	39564
POA2108	44904
POA2110	51996
POA2111	36000
POA2112	31200
POA2113	31200
POA2114	29760
POA2115	31200
POA2116	30000
POA2117	31200
POA2118	30000
POA2119	41604
POA2120	33804
POA2121	31344
POA2122	30000
POA2125	36396
POA2126	36000
POA2127	27600
POA2128	26004
POA2130	32496
POA2131	26520
POA2132	32400
POA2133	30264
POA2134	29388
POA2135	33180
POA2136	28500
POA2137	36000
POA2138	30876
POA2140	25428
POA2141	27036
POA2142	24000
POA2143	26004
POA2144	24000
POA2145	26868
POA2146	26004
POA2147	26508
POA2148	25704
POA2150	24024
POA2151	28512
POA2152	27600
POA2153	33108
POA2154	36000
POA2155	36000
POA2156	38400
POA2157	36000
POA2158	36888
POA2159	33804
POA2160	24612
POA2161	25824
POA2162	26004
POA2163	23040
POA2164	26004
POA2165	23400
POA2166	20796
POA2167	26004
