POA_CODE_2021	BornAust	persons
POA0800	0	3275
POA0800	1	3063
POA0810	0	12548
POA0810	1	19445
POA0812	0	5201
POA0812	1	11914
POA0820	0	6361
POA0820	1	12040
POA0822	0	1346
POA0822	1	22236
POA0828	0	538
POA0828	1	945
POA0829	0	152
POA0829	1	1721
POA0830	0	3683
POA0830	1	12924
POA0832	0	4562
POA0832	1	12803
POA0834	0	237
POA0834	1	1420
POA0835	0	446
POA0835	1	2455
POA0836	0	928
POA0836	1	6028
POA0837	0	46
POA0837	1	324
POA0838	0	116
POA0838	1	620
POA0839	0	124
POA0839	1	292
POA0840	0	54
POA0840	1	327
POA0841	0	83
POA0841	1	438
POA0845	0	47
POA0845	1	244
POA0846	0	38
POA0846	1	208
POA0847	0	40
POA0847	1	233
POA0850	0	1300
POA0850	1	5480
POA0852	0	400
POA0852	1	7295
POA0853	0	60
POA0853	1	724
POA0854	0	43
POA0854	1	662
POA0860	0	461
POA0860	1	2333
POA0862	0	41
POA0862	1	606
POA0870	0	5565
POA0870	1	13519
POA0872	0	607
POA0872	1	13145
POA0873	0	429
POA0873	1	2049
POA0874	0	299
POA0874	1	228
POA0875	0	508
POA0875	1	1812
POA0880	0	553
POA0880	1	3644
POA0885	0	111
POA0885	1	508
POA0886	0	122
POA0886	1	533
POA2000	0	19667
POA2000	1	6229
POA2007	0	4903
POA2007	1	1981
POA2008	0	5896
POA2008	1	3717
POA2009	0	6591
POA2009	1	5147
POA2010	0	11283
POA2010	1	13315
POA2011	0	6775
POA2011	1	9793
POA2015	0	4057
POA2015	1	6820
POA2016	0	5269
POA2016	1	6792
POA2017	0	16832
POA2017	1	10169
POA2018	0	10161
POA2018	1	8635
POA2019	0	4461
POA2019	1	8326
POA2020	0	12916
POA2020	1	7576
POA2021	0	4648
POA2021	1	9691
POA2022	0	6216
POA2022	1	6445
POA2023	0	3855
POA2023	1	6340
POA2024	0	3727
POA2024	1	7121
POA2025	0	2384
POA2025	1	4539
POA2026	0	13916
POA2026	1	16897
POA2027	0	2746
POA2027	1	4601
POA2028	0	1664
POA2028	1	2853
POA2029	0	3988
POA2029	1	5431
POA2030	0	5438
POA2030	1	8389
POA2031	0	13007
POA2031	1	19415
POA2032	0	7009
POA2032	1	6918
POA2033	0	5356
POA2033	1	5896
POA2034	0	7517
POA2034	1	11709
POA2035	0	14205
POA2035	1	18916
POA2036	0	12855
POA2036	1	19054
POA2037	0	6230
POA2037	1	9419
POA2038	0	2464
POA2038	1	6549
POA2039	0	2576
POA2039	1	5717
POA2040	0	6443
POA2040	1	15457
POA2041	0	4704
POA2041	1	10280
POA2042	0	5679
POA2042	1	12115
POA2043	0	3617
POA2043	1	5719
POA2044	0	2814
POA2044	1	5174
POA2045	0	1818
POA2045	1	4524
POA2046	0	8492
POA2046	1	17869
POA2047	0	3458
POA2047	1	8032
POA2048	0	2133
POA2048	1	5204
POA2049	0	3566
POA2049	1	8031
POA2050	0	3255
POA2050	1	5576
POA2060	0	6434
POA2060	1	7908
POA2061	0	2648
POA2061	1	3032
POA2062	0	2283
POA2062	1	4616
POA2063	0	1938
POA2063	1	4376
POA2064	0	4672
POA2064	1	4409
POA2065	0	13541
POA2065	1	17176
POA2066	0	12844
POA2066	1	19999
POA2067	0	16495
POA2067	1	9637
POA2068	0	5892
POA2068	1	11140
POA2069	0	5503
POA2069	1	8729
POA2070	0	6255
POA2070	1	8066
POA2071	0	6539
POA2071	1	6628
POA2072	0	4666
POA2072	1	3890
POA2073	0	6995
POA2073	1	9883
POA2074	0	8739
POA2074	1	14264
POA2075	0	10303
POA2075	1	10978
POA2076	0	9619
POA2076	1	15191
POA2077	0	21604
POA2077	1	19908
POA2079	0	2565
POA2079	1	5137
POA2080	0	481
POA2080	1	1252
POA2081	0	1371
POA2081	1	3960
POA2082	0	1151
POA2082	1	4236
POA2083	0	381
POA2083	1	1187
POA2084	0	862
POA2084	1	2810
POA2085	0	3304
POA2085	1	7981
POA2086	0	4190
POA2086	1	9768
POA2087	0	4361
POA2087	1	8439
POA2088	0	10011
POA2088	1	17429
POA2089	0	4308
POA2089	1	6707
POA2090	0	5091
POA2090	1	8004
POA2092	0	2393
POA2092	1	4789
POA2093	0	7710
POA2093	1	15301
POA2094	0	2010
POA2094	1	3924
POA2095	0	6640
POA2095	1	8988
POA2096	0	4574
POA2096	1	9926
POA2097	0	3921
POA2097	1	11574
POA2099	0	15723
POA2099	1	25762
POA2100	0	6766
POA2100	1	14613
POA2101	0	4480
POA2101	1	14705
POA2102	0	2096
POA2102	1	5930
POA2103	0	2655
POA2103	1	7759
POA2104	0	1076
POA2104	1	2565
POA2105	0	629
POA2105	1	1272
