POA_CODE_2021	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
POA0800	15-19				F	13
POA0800	15-19				M	6
POA0800	15-19	0			F	64
POA0800	15-19	0			M	62
POA0800	20-24				F	48
POA0800	20-24				M	53
POA0800	20-24	0			F	255
POA0800	20-24	0			M	285
POA0800	20-24	1	0	1	F	10
POA0800	20-24	1	0	1	M	4
POA0800	20-24	1	1	0	F	9
POA0800	20-24	1	1	0	M	7
POA0800	25-34				F	151
POA0800	25-34				M	161
POA0800	25-34	0			F	888
POA0800	25-34	0			M	962
POA0800	25-34	1	0	1	F	33
POA0800	25-34	1	0	1	M	20
POA0800	25-34	1	1	0	F	117
POA0800	25-34	1	1	0	M	76
POA0800	35-44				F	71
POA0800	35-44				M	87
POA0800	35-44	0			F	355
POA0800	35-44	0			M	437
POA0800	35-44	1	0	1	F	17
POA0800	35-44	1	0	1	M	19
POA0800	35-44	1	1	0	F	166
POA0800	35-44	1	1	0	M	142
POA0800	35-44	1	1	1	F	3
POA0800	45-54				F	35
POA0800	45-54				M	81
POA0800	45-54	0			F	229
POA0800	45-54	0			M	331
POA0800	45-54	1	0	1	F	20
POA0800	45-54	1	0	1	M	10
POA0800	45-54	1	1	0	F	56
POA0800	45-54	1	1	0	M	67
POA0800	55-64				F	38
POA0800	55-64				M	48
POA0800	55-64	0			F	240
POA0800	55-64	0			M	312
POA0800	55-64	1	0	1	F	35
POA0800	55-64	1	0	1	M	12
POA0800	55-64	1	1	0	F	3
POA0800	55-64	1	1	0	M	16
POA0800	65-74				F	19
POA0800	65-74				M	33
POA0800	65-74	0			F	103
POA0800	65-74	0			M	186
POA0800	65-74	1	0	1	F	26
POA0800	65-74	1	0	1	M	21
POA0800	75-84				F	5
POA0800	75-84				M	11
POA0800	75-84	0			F	28
POA0800	75-84	0			M	37
POA0800	75-84	1	0	1	F	6
POA0800	75-84	1	0	1	M	4
POA0800	85+	0			F	6
POA0800	85+	0			M	9
POA0810	15-19				F	60
POA0810	15-19				M	64
POA0810	15-19	0			F	686
POA0810	15-19	0			M	781
POA0810	15-19	1	0	1	F	96
POA0810	15-19	1	0	1	M	43
POA0810	15-19	1	1	0	F	8
POA0810	15-19	1	1	0	M	3
POA0810	15-19	1	1	1	F	6
POA0810	20-24				F	77
POA0810	20-24				M	115
POA0810	20-24	0			F	773
POA0810	20-24	0			M	886
POA0810	20-24	1	0	1	F	68
POA0810	20-24	1	0	1	M	34
POA0810	20-24	1	1	0	F	68
POA0810	20-24	1	1	0	M	19
POA0810	20-24	1	1	1	F	4
POA0810	25-34				F	272
POA0810	25-34				M	270
POA0810	25-34	0			F	2079
POA0810	25-34	0			M	2207
POA0810	25-34	1	0	1	F	143
POA0810	25-34	1	0	1	M	70
POA0810	25-34	1	1	0	F	918
POA0810	25-34	1	1	0	M	528
POA0810	25-34	1	1	1	F	25
POA0810	25-34	1	1	1	M	10
POA0810	35-44				F	200
POA0810	35-44				M	232
POA0810	35-44	0			F	982
POA0810	35-44	0			M	1179
POA0810	35-44	1	0	1	F	112
POA0810	35-44	1	0	1	M	54
POA0810	35-44	1	1	0	F	1479
POA0810	35-44	1	1	0	M	1219
POA0810	35-44	1	1	1	F	93
POA0810	35-44	1	1	1	M	40
POA0810	45-54				F	155
POA0810	45-54				M	192
POA0810	45-54	0			F	1232
POA0810	45-54	0			M	1182
POA0810	45-54	1	0	1	F	127
POA0810	45-54	1	0	1	M	48
POA0810	45-54	1	1	0	F	648
POA0810	45-54	1	1	0	M	678
POA0810	45-54	1	1	1	F	38
POA0810	45-54	1	1	1	M	13
POA0810	55-64				F	114
POA0810	55-64				M	124
POA0810	55-64	0			F	1203
POA0810	55-64	0			M	1269
POA0810	55-64	1	0	1	F	241
POA0810	55-64	1	0	1	M	111
POA0810	55-64	1	1	0	F	66
POA0810	55-64	1	1	0	M	145
POA0810	55-64	1	1	1	F	5
POA0810	55-64	1	1	1	M	3
POA0810	65-74				F	101
POA0810	65-74				M	83
POA0810	65-74	0			F	882
POA0810	65-74	0			M	932
POA0810	65-74	1	0	1	F	258
POA0810	65-74	1	0	1	M	146
POA0810	65-74	1	1	0	F	13
POA0810	65-74	1	1	0	M	35
POA0810	65-74	1	1	1	F	5
POA0810	75-84				F	51
POA0810	75-84				M	44
POA0810	75-84	0			F	437
POA0810	75-84	0			M	463
POA0810	75-84	1	0	1	F	71
POA0810	75-84	1	0	1	M	35
POA0810	75-84	1	1	0	F	3
POA0810	75-84	1	1	0	M	4
POA0810	85+				F	19
POA0810	85+				M	10
POA0810	85+	0			F	139
POA0810	85+	0			M	106
POA0810	85+	1	0	1	M	4
POA0812	15-19				F	66
POA0812	15-19				M	61
POA0812	15-19	0			F	448
POA0812	15-19	0			M	530
POA0812	15-19	1	0	1	F	60
POA0812	15-19	1	0	1	M	37
POA0812	15-19	1	1	0	F	5
POA0812	15-19	1	1	0	M	3
POA0812	20-24				F	41
POA0812	20-24				M	52
POA0812	20-24	0			F	333
POA0812	20-24	0			M	424
POA0812	20-24	1	0	1	F	46
POA0812	20-24	1	0	1	M	27
POA0812	20-24	1	1	0	F	54
POA0812	20-24	1	1	0	M	21
POA0812	20-24	1	1	1	F	7
POA0812	25-34				F	115
POA0812	25-34				M	116
POA0812	25-34	0			F	615
POA0812	25-34	0			M	784
POA0812	25-34	1	0	1	F	52
POA0812	25-34	1	0	1	M	35
POA0812	25-34	1	1	0	F	459
POA0812	25-34	1	1	0	M	280
POA0812	25-34	1	1	1	F	41
POA0812	25-34	1	1	1	M	8
POA0812	35-44				F	145
POA0812	35-44				M	121
POA0812	35-44	0			F	478
POA0812	35-44	0			M	528
POA0812	35-44	1	0	1	F	49
POA0812	35-44	1	0	1	M	31
POA0812	35-44	1	1	0	F	746
POA0812	35-44	1	1	0	M	539
POA0812	35-44	1	1	1	F	60
