POA_CODE_2021	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
POA0820	1	1	0	48000	23
POA0820	1	1	0	60000	20
POA0820	1	1	1	0	7
POA0820	1	1	1	5400	4
POA0820	1	1	1	7200	5
POA0820	1	1	1	9600	11
POA0820	1	1	1	12000	19
POA0820	1	1	1	14400	22
POA0820	1	1	1	16800	21
POA0820	1	1	1	19200	28
POA0820	1	1	1	21600	31
POA0820	1	1	1	24000	30
POA0820	1	1	1	26400	29
POA0820	1	1	1	28800	17
POA0820	1	1	1	31200	53
POA0820	1	1	1	36000	99
POA0820	1	1	1	48000	41
POA0820	1	1	1	60000	43
POA0822	0	1	0	3600	3
POA0822	0	1	0	16800	5
POA0822	0	1	0	24000	4
POA0822	0	1	0	26400	4
POA0822	0	1	0	31200	5
POA0822	0	1	0	36000	4
POA0822	0	1	1	0	7
POA0822	0	1	1	5400	5
POA0822	0	1	1	7200	3
POA0822	0	1	1	12000	3
POA0822	0	1	1	19200	8
POA0822	0	1	1	24000	3
POA0822	0	1	1	28800	3
POA0822	0	1	1	31200	10
POA0822	1	0	0	0	11
POA0822	1	0	0	1800	7
POA0822	1	0	0	3600	3
POA0822	1	0	0	5400	4
POA0822	1	0	0	7200	10
POA0822	1	0	0	9600	14
POA0822	1	0	0	12000	15
POA0822	1	0	0	14400	19
POA0822	1	0	0	16800	18
POA0822	1	0	0	19200	17
POA0822	1	0	0	21600	14
POA0822	1	0	0	24000	20
POA0822	1	0	0	26400	14
POA0822	1	0	0	28800	15
POA0822	1	0	0	31200	26
POA0822	1	0	0	36000	31
POA0822	1	0	0	48000	3
POA0822	1	0	0	60000	7
POA0822	1	1	0	0	4
POA0822	1	1	0	7200	6
POA0822	1	1	0	12000	4
POA0822	1	1	0	14400	4
POA0822	1	1	0	19200	4
POA0822	1	1	0	21600	3
POA0822	1	1	0	24000	7
POA0822	1	1	0	26400	7
POA0822	1	1	0	28800	5
POA0822	1	1	0	31200	9
POA0822	1	1	0	36000	16
POA0822	1	1	0	48000	6
POA0822	1	1	1	0	5
POA0822	1	1	1	5400	3
POA0822	1	1	1	7200	4
POA0822	1	1	1	9600	10
POA0822	1	1	1	12000	14
POA0822	1	1	1	14400	20
POA0822	1	1	1	16800	13
POA0822	1	1	1	19200	16
POA0822	1	1	1	21600	15
POA0822	1	1	1	24000	25
POA0822	1	1	1	26400	22
POA0822	1	1	1	28800	17
POA0822	1	1	1	31200	31
POA0822	1	1	1	36000	44
POA0822	1	1	1	48000	18
POA0822	1	1	1	60000	13
POA0828	0	1	0	21600	3
POA0828	0	1	0	31200	3
POA0828	1	0	0	9600	3
POA0828	1	0	0	19200	3
POA0828	1	0	0	21600	3
POA0828	1	0	0	24000	3
POA0828	1	0	0	26400	5
POA0828	1	0	0	28800	6
POA0828	1	0	0	31200	12
POA0828	1	0	0	36000	9
POA0828	1	1	0	26400	4
POA0828	1	1	0	28800	3
POA0828	1	1	0	31200	3
POA0828	1	1	0	36000	5
POA0828	1	1	0	48000	6
POA0828	1	1	0	60000	4
POA0828	1	1	1	19200	6
POA0828	1	1	1	24000	7
POA0828	1	1	1	26400	8
POA0828	1	1	1	28800	5
POA0828	1	1	1	31200	25
POA0828	1	1	1	36000	10
POA0828	1	1	1	48000	3
POA0828	1	1	1	60000	4
POA0830		1	1	9600	4
POA0830		1	1	19200	9
POA0830	0	1	0	9600	10
POA0830	0	1	0	12000	11
POA0830	0	1	0	14400	11
POA0830	0	1	0	16800	9
POA0830	0	1	0	19200	17
POA0830	0	1	0	21600	3
POA0830	0	1	0	24000	21
POA0830	0	1	0	26400	7
POA0830	0	1	0	28800	3
POA0830	0	1	0	31200	9
POA0830	0	1	0	36000	5
POA0830	0	1	0	48000	4
POA0830	0	1	1	0	5
POA0830	0	1	1	3600	4
POA0830	0	1	1	9600	3
POA0830	0	1	1	12000	12
POA0830	0	1	1	14400	14
POA0830	0	1	1	16800	17
POA0830	0	1	1	19200	21
POA0830	0	1	1	21600	24
POA0830	0	1	1	24000	27
POA0830	0	1	1	26400	4
POA0830	0	1	1	28800	7
POA0830	0	1	1	31200	6
POA0830	0	1	1	36000	15
POA0830	0	1	1	60000	3
POA0830	1	0	0	0	20
POA0830	1	0	0	3600	11
POA0830	1	0	0	5400	3
POA0830	1	0	0	7200	21
POA0830	1	0	0	9600	18
POA0830	1	0	0	12000	38
POA0830	1	0	0	14400	41
POA0830	1	0	0	16800	52
POA0830	1	0	0	19200	59
POA0830	1	0	0	21600	49
POA0830	1	0	0	24000	65
POA0830	1	0	0	26400	35
POA0830	1	0	0	28800	20
POA0830	1	0	0	31200	75
POA0830	1	0	0	36000	51
POA0830	1	0	0	48000	21
POA0830	1	0	0	60000	11
POA0830	1	1	0	0	7
POA0830	1	1	0	3600	3
POA0830	1	1	0	5400	8
POA0830	1	1	0	7200	6
POA0830	1	1	0	9600	7
POA0830	1	1	0	12000	11
POA0830	1	1	0	14400	16
POA0830	1	1	0	16800	13
POA0830	1	1	0	19200	36
POA0830	1	1	0	21600	16
POA0830	1	1	0	24000	59
POA0830	1	1	0	26400	14
POA0830	1	1	0	28800	12
POA0830	1	1	0	31200	20
POA0830	1	1	0	36000	24
