POA_CODE_2021	CountryOfBirth	Sex	persons
POA0800		F	496
POA0800		M	570
POA0800	AFG	M	5
POA0800	AUS	F	1343
POA0800	AUS	M	1720
POA0800	BGD	F	7
POA0800	BGD	M	23
POA0800	BIH	F	5
POA0800	BIH	M	4
POA0800	BRA	F	24
POA0800	BRA	M	15
POA0800	CAN	F	10
POA0800	CAN	M	11
POA0800	CHL	F	4
POA0800	CHN	F	161
POA0800	CHN	M	109
POA0800	DEU	F	12
POA0800	DEU	M	9
POA0800	EGY	M	4
POA0800	FJI	F	4
POA0800	FJI	M	9
POA0800	FRA	F	14
POA0800	FRA	M	14
POA0800	GBR	F	141
POA0800	GBR	M	163
POA0800	GRC	F	10
POA0800	GRC	M	16
POA0800	HKG	F	26
POA0800	HKG	M	27
POA0800	IDN	F	70
POA0800	IDN	M	47
POA0800	IND	F	116
POA0800	IND	M	144
POA0800	IRL	F	46
POA0800	IRL	M	35
POA0800	IRN	F	9
POA0800	IRN	M	10
POA0800	ITA	F	16
POA0800	ITA	M	29
POA0800	JPN	F	30
POA0800	JPN	M	22
POA0800	KHM	M	4
POA0800	KOR	F	44
POA0800	KOR	M	33
POA0800	LKA	F	65
POA0800	LKA	M	67
POA0800	MMR	M	4
POA0800	MUS	F	6
POA0800	MUS	M	5
POA0800	MYS	F	32
POA0800	MYS	M	24
POA0800	NLD	F	9
POA0800	NLD	M	9
POA0800	NPL	F	226
POA0800	NPL	M	280
POA0800	NZL	F	56
POA0800	NZL	M	100
POA0800	PAK	F	6
POA0800	PAK	M	20
POA0800	PHL	F	117
POA0800	PHL	M	73
POA0800	PNG	F	9
POA0800	PNG	M	10
POA0800	POL	F	3
POA0800	POL	M	5
POA0800	SGP	F	14
POA0800	SGP	M	11
POA0800	THA	F	42
POA0800	THA	M	11
POA0800	TUR	F	8
POA0800	TUR	M	12
POA0800	TWN	F	61
POA0800	TWN	M	31
POA0800	USA	F	14
POA0800	USA	M	21
POA0800	VNM	F	65
POA0800	VNM	M	56
POA0800	ZAF	F	21
POA0800	ZAF	M	25
POA0800	ZWE	F	8
POA0800	ZWE	M	6
POA0810		F	1813
POA0810		M	1909
POA0810	AFG	M	10
POA0810	AUS	F	9754
POA0810	AUS	M	9688
POA0810	BGD	F	126
POA0810	BGD	M	205
POA0810	BIH	F	9
POA0810	BIH	M	9
POA0810	BRA	F	18
POA0810	BRA	M	13
POA0810	CAN	F	41
POA0810	CAN	M	40
POA0810	CHL	F	8
POA0810	CHL	M	11
POA0810	CHN	F	338
POA0810	CHN	M	262
POA0810	DEU	F	91
POA0810	DEU	M	73
POA0810	EGY	F	11
POA0810	EGY	M	10
POA0810	FJI	F	61
POA0810	FJI	M	43
POA0810	FRA	F	45
POA0810	FRA	M	28
POA0810	GBR	F	517
POA0810	GBR	M	539
POA0810	GRC	F	289
POA0810	GRC	M	346
