POA_CODE_2021	CountryOfBirth	persons
POA0800		1064
POA0800	AFG	4
POA0800	AUS	3063
POA0800	BGD	32
POA0800	BIH	8
POA0800	BRA	38
POA0800	CAN	24
POA0800	CHL	8
POA0800	CHN	269
POA0800	DEU	24
POA0800	EGY	7
POA0800	FJI	18
POA0800	FRA	28
POA0800	GBR	305
POA0800	GRC	27
POA0800	HKG	49
POA0800	IDN	122
POA0800	IND	264
POA0800	IRL	79
POA0800	IRN	18
POA0800	ITA	46
POA0800	JPN	58
POA0800	KHM	7
POA0800	KOR	85
POA0800	LBN	5
POA0800	LKA	130
POA0800	MMR	3
POA0800	MUS	10
POA0800	MYS	58
POA0800	NLD	12
POA0800	NPL	504
POA0800	NZL	157
POA0800	PAK	28
POA0800	PHL	185
POA0800	PNG	16
POA0800	POL	12
POA0800	SGP	28
POA0800	THA	52
POA0800	TUR	10
POA0800	TWN	89
POA0800	USA	40
POA0800	VNM	124
POA0800	ZAF	39
POA0800	ZWE	14
POA0810		3721
POA0810	AFG	8
POA0810	AUS	19445
POA0810	BGD	332
POA0810	BIH	17
POA0810	BRA	34
POA0810	CAN	78
POA0810	CHL	17
POA0810	CHN	607
POA0810	DEU	163
POA0810	EGY	21
POA0810	FJI	108
POA0810	FRA	69
POA0810	GBR	1065
POA0810	GRC	640
POA0810	HKG	87
POA0810	HRV	8
POA0810	IDN	392
POA0810	IND	1831
POA0810	IRL	121
POA0810	IRN	33
POA0810	IRQ	4
POA0810	ITA	119
POA0810	JPN	36
POA0810	KHM	37
POA0810	KOR	56
POA0810	LBN	13
POA0810	LKA	357
POA0810	MKD	3
POA0810	MLT	6
POA0810	MMR	72
POA0810	MUS	19
POA0810	MYS	222
POA0810	NLD	64
POA0810	NPL	1019
POA0810	NZL	501
POA0810	PAK	279
POA0810	PHL	1479
POA0810	PNG	98
POA0810	POL	35
POA0810	SGP	77
POA0810	THA	215
POA0810	TUR	13
POA0810	TWN	108
POA0810	USA	130
POA0810	VNM	310
POA0810	WSM	7
POA0810	ZAF	134
POA0810	ZWE	108
POA0812		2425
POA0812	AUS	11914
POA0812	BGD	59
POA0812	BIH	3
POA0812	BRA	11
POA0812	CAN	28
POA0812	CHL	9
POA0812	CHN	155
POA0812	DEU	81
POA0812	EGY	17
POA0812	FJI	34
POA0812	FRA	19
POA0812	GBR	468
POA0812	GRC	228
POA0812	HKG	63
POA0812	HRV	4
POA0812	IDN	289
POA0812	IND	355
POA0812	IRL	64
POA0812	IRN	5
POA0812	ITA	45
POA0812	JPN	20
POA0812	KHM	25
POA0812	KOR	13
POA0812	LBN	9
POA0812	LKA	115
POA0812	MLT	4
POA0812	MMR	53
POA0812	MYS	113
POA0812	NLD	24
POA0812	NPL	87
POA0812	NZL	261
POA0812	PAK	70
POA0812	PHL	910
POA0812	PNG	68
POA0812	POL	11
POA0812	SGP	47
POA0812	THA	190
POA0812	TWN	42
POA0812	USA	47
POA0812	VNM	164
POA0812	ZAF	53
POA0812	ZWE	16
POA0820		2169
POA0820	AFG	3
POA0820	AUS	12040
POA0820	BGD	96
POA0820	BRA	63
POA0820	CAN	51
POA0820	CHL	10
POA0820	CHN	201
POA0820	DEU	106
POA0820	EGY	12
POA0820	FJI	51
POA0820	FRA	52
POA0820	GBR	761
POA0820	GRC	107
POA0820	HKG	42
POA0820	HRV	3
POA0820	IDN	158
POA0820	IND	496
POA0820	IRL	160
POA0820	IRN	15
POA0820	IRQ	6
POA0820	ITA	106
POA0820	JPN	28
POA0820	KHM	21
POA0820	KOR	51
POA0820	LBN	3
POA0820	LKA	287
POA0820	MMR	15
POA0820	MUS	15
POA0820	MYS	108
POA0820	NLD	36
POA0820	NPL	689
POA0820	NZL	427
POA0820	PAK	86
POA0820	PHL	647
POA0820	PNG	50
POA0820	POL	19
POA0820	SGP	45
POA0820	THA	105
POA0820	TUR	7
POA0820	TWN	85
POA0820	USA	86
POA0820	VNM	184
POA0820	WSM	3
POA0820	ZAF	149
POA0820	ZWE	49
POA0822		1846
POA0822	AUS	22236
POA0822	CAN	15
POA0822	CHL	5
POA0822	CHN	36
POA0822	DEU	45
POA0822	FJI	32
POA0822	FRA	17
POA0822	GBR	248
POA0822	GRC	6
POA0822	HKG	4
POA0822	HRV	3
POA0822	IDN	31
POA0822	IND	22
POA0822	IRL	25
POA0822	IRN	4
POA0822	ITA	10
POA0822	JPN	3
POA0822	KHM	28
POA0822	KOR	5
POA0822	LKA	7
POA0822	MKD	6
POA0822	MLT	3
POA0822	MMR	3
POA0822	MYS	19
POA0822	NLD	26
POA0822	NPL	8
POA0822	NZL	211
POA0822	PAK	4
POA0822	PHL	77
POA0822	PNG	29
