POA_CODE_2021	Age5yr	Indigenous	Sex	persons
POA0800	0-4		F	14
POA0800	0-4		M	6
POA0800	0-4	0	F	110
POA0800	0-4	0	M	112
POA0800	0-4	1	F	5
POA0800	0-4	1	M	10
POA0800	5-9		F	13
POA0800	5-9		M	12
POA0800	5-9	0	F	79
POA0800	5-9	0	M	84
POA0800	5-9	1	F	6
POA0800	10-14		F	10
POA0800	10-14		M	6
POA0800	10-14	0	F	63
POA0800	10-14	0	M	69
POA0800	10-14	1	F	4
POA0800	10-14	1	M	4
POA0800	15-19		F	13
POA0800	15-19		M	3
POA0800	15-19	0	F	66
POA0800	15-19	0	M	61
POA0800	15-19	1	F	4
POA0800	15-19	1	M	6
POA0800	20-24		F	38
POA0800	20-24		M	41
POA0800	20-24	0	F	267
POA0800	20-24	0	M	288
POA0800	20-24	1	F	13
POA0800	20-24	1	M	15
POA0800	25-29		F	63
POA0800	25-29		M	75
POA0800	25-29	0	F	541
POA0800	25-29	0	M	539
POA0800	25-29	1	F	23
POA0800	25-29	1	M	25
POA0800	30-34		F	64
POA0800	30-34		M	63
POA0800	30-34	0	F	490
POA0800	30-34	0	M	509
POA0800	30-34	1	F	6
POA0800	30-34	1	M	16
POA0800	35-39		F	33
POA0800	35-39		M	41
POA0800	35-39	0	F	326
POA0800	35-39	0	M	344
POA0800	35-39	1	F	10
POA0800	35-39	1	M	9
POA0800	40-44		F	28
POA0800	40-44		M	33
POA0800	40-44	0	F	194
POA0800	40-44	0	M	243
POA0800	40-44	1	F	18
POA0800	40-44	1	M	10
POA0800	45-49		F	11
POA0800	45-49		M	33
POA0800	45-49	0	F	146
POA0800	45-49	0	M	182
POA0800	45-49	1	F	5
POA0800	45-49	1	M	9
POA0800	50-54		F	17
POA0800	50-54		M	37
POA0800	50-54	0	F	153
POA0800	50-54	0	M	211
POA0800	50-54	1	F	9
POA0800	50-54	1	M	12
POA0800	55-59		F	20
POA0800	55-59		M	28
POA0800	55-59	0	F	137
POA0800	55-59	0	M	164
POA0800	55-59	1	F	8
POA0800	55-59	1	M	5
POA0800	60-64		F	13
POA0800	60-64		M	22
POA0800	60-64	0	F	141
POA0800	60-64	0	M	165
POA0800	60-64	1	F	3
POA0800	60-64	1	M	3
POA0800	65+		F	17
POA0800	65+		M	40
POA0800	65+	0	F	173
POA0800	65+	0	M	249
POA0800	65+	1	F	10
POA0800	65+	1	M	8
POA0810	0-4		F	64
POA0810	0-4		M	63
POA0810	0-4	0	F	942
POA0810	0-4	0	M	1045
POA0810	0-4	1	F	142
POA0810	0-4	1	M	149
POA0810	5-9		F	81
POA0810	5-9		M	77
POA0810	5-9	0	F	991
POA0810	5-9	0	M	986
POA0810	5-9	1	F	121
POA0810	5-9	1	M	124
POA0810	10-14		F	63
POA0810	10-14		M	80
POA0810	10-14	0	F	827
POA0810	10-14	0	M	943
POA0810	10-14	1	F	138
POA0810	10-14	1	M	148
POA0810	15-19		F	43
POA0810	15-19		M	49
POA0810	15-19	0	F	681
POA0810	15-19	0	M	721
POA0810	15-19	1	F	134
