POA_CODE_2021	Age	MaritalStatus	Registered	adults
POA0800	15-19	Married	0	5
POA0800	15-19	Never married		113
POA0800	20-24	Married	0	122
POA0800	20-24	Married	1	25
POA0800	20-24	Never married		348
POA0800	25-34	Married	0	445
POA0800	25-34	Married	1	551
POA0800	25-34	Never married		965
POA0800	35-44	Married	0	160
POA0800	35-44	Married	1	455
POA0800	35-44	Never married		436
POA0800	45-54	Married	0	101
POA0800	45-54	Married	1	234
POA0800	45-54	Never married		309
POA0800	55-64	Married	0	63
POA0800	55-64	Married	1	254
POA0800	55-64	Never married		245
POA0800	65-74	Married	0	23
POA0800	65-74	Married	1	157
POA0800	65-74	Never married		137
POA0800	75-84	Married	0	5
POA0800	75-84	Married	1	43
POA0800	75-84	Never married		33
POA0800	85+	Married	1	4
POA0800	85+	Never married		9
POA0810	15-19	Married	0	19
POA0810	15-19	Married	1	8
POA0810	15-19	Never married		1550
POA0810	20-24	Married	0	250
POA0810	20-24	Married	1	116
POA0810	20-24	Never married		1323
POA0810	25-34	Married	0	1044
POA0810	25-34	Married	1	2147
POA0810	25-34	Never married		2323
POA0810	35-44	Married	0	731
POA0810	35-44	Married	1	2964
POA0810	35-44	Never married		1252
POA0810	45-54	Married	0	544
POA0810	45-54	Married	1	2094
POA0810	45-54	Never married		1187
POA0810	55-64	Married	0	320
POA0810	55-64	Married	1	1490
POA0810	55-64	Never married		1074
POA0810	65-74	Married	0	139
POA0810	65-74	Married	1	1141
POA0810	65-74	Never married		899
POA0810	75-84	Married	0	34
POA0810	75-84	Married	1	457
POA0810	75-84	Never married		492
POA0810	85+	Married	0	7
POA0810	85+	Married	1	65
POA0810	85+	Never married		129
POA0812	15-19	Married	0	18
POA0812	15-19	Never married		1056
POA0812	20-24	Married	0	139
POA0812	20-24	Married	1	35
POA0812	20-24	Never married		709
POA0812	25-34	Married	0	575
POA0812	25-34	Married	1	683
POA0812	25-34	Never married		930
POA0812	35-44	Married	0	455
POA0812	35-44	Married	1	1280
POA0812	35-44	Never married		673
POA0812	45-54	Married	0	307
POA0812	45-54	Married	1	1243
POA0812	45-54	Never married		671
POA0812	55-64	Married	0	213
POA0812	55-64	Married	1	1137
POA0812	55-64	Never married		700
POA0812	65-74	Married	0	90
POA0812	65-74	Married	1	763
POA0812	65-74	Never married		564
POA0812	75-84	Married	0	22
POA0812	75-84	Married	1	259
POA0812	75-84	Never married		273
POA0812	85+	Married	1	25
POA0812	85+	Never married		68
POA0820	15-19	Married	0	7
POA0820	15-19	Never married		728
POA0820	20-24	Married	0	193
POA0820	20-24	Married	1	48
POA0820	20-24	Never married		804
POA0820	25-34	Married	0	913
POA0820	25-34	Married	1	1184
POA0820	25-34	Never married		1762
POA0820	35-44	Married	0	484
POA0820	35-44	Married	1	1544
POA0820	35-44	Never married		734
POA0820	45-54	Married	0	329
POA0820	45-54	Married	1	1153
POA0820	45-54	Never married		734
POA0820	55-64	Married	0	238
POA0820	55-64	Married	1	931
POA0820	55-64	Never married		707
POA0820	65-74	Married	0	101
POA0820	65-74	Married	1	566
POA0820	65-74	Never married		552
POA0820	75-84	Married	0	23
POA0820	75-84	Married	1	266
POA0820	75-84	Never married		246
POA0820	85+	Married	1	42
POA0820	85+	Never married		72
POA0822	15-19	Married	0	31
POA0822	15-19	Married	1	109
POA0822	15-19	Never married		1981
POA0822	20-24	Married	0	173
POA0822	20-24	Married	1	456
POA0822	20-24	Never married		1299
POA0822	25-34	Married	0	615
POA0822	25-34	Married	1	1358
POA0822	25-34	Never married		1731
POA0822	35-44	Married	0	510
POA0822	35-44	Married	1	1494
POA0822	35-44	Never married		1168
POA0822	45-54	Married	0	414
POA0822	45-54	Married	1	1327
POA0822	45-54	Never married		1008
POA0822	55-64	Married	0	200
POA0822	55-64	Married	1	892
POA0822	55-64	Never married		911
POA0822	65-74	Married	0	66
POA0822	65-74	Married	1	473
POA0822	65-74	Never married		498
POA0822	75-84	Married	0	18
POA0822	75-84	Married	1	128
POA0822	75-84	Never married		170
POA0822	85+	Married	0	4
POA0822	85+	Married	1	14
POA0822	85+	Never married		30
POA0828	15-19	Married	0	4
POA0828	15-19	Never married		74
POA0828	20-24	Married	0	12
POA0828	20-24	Married	1	4
POA0828	20-24	Never married		49
POA0828	25-34	Married	0	33
POA0828	25-34	Married	1	78
POA0828	25-34	Never married		90
POA0828	35-44	Married	0	25
POA0828	35-44	Married	1	126
POA0828	35-44	Never married		51
POA0828	45-54	Married	0	24
POA0828	45-54	Married	1	94
POA0828	45-54	Never married		43
POA0828	55-64	Married	0	17
POA0828	55-64	Married	1	61
POA0828	55-64	Never married		46
POA0828	65-74	Married	0	5
