POA_CODE_2021	Sex	persons
POA0800	F	3345
POA0800	M	3806
POA0810	F	17330
POA0810	M	16993
POA0812	F	9449
POA0812	M	9185
POA0820	F	9917
POA0820	M	10001
POA0822	F	12493
POA0822	M	12813
POA0828	F	836
POA0828	M	863
POA0829	F	297
POA0829	M	1661
POA0830	F	9211
POA0830	M	9288
POA0832	F	9588
POA0832	M	9140
POA0834	F	903
POA0834	M	905
POA0835	F	1533
POA0835	M	1620
POA0836	F	3651
POA0836	M	3944
POA0837	F	238
POA0837	M	249
POA0838	F	397
POA0838	M	477
POA0839	F	266
POA0839	M	243
POA0840	F	195
POA0840	M	262
POA0841	F	257
POA0841	M	365
POA0845	F	194
POA0845	M	198
POA0846	F	150
POA0846	M	165
POA0847	F	155
POA0847	M	170
POA0850	F	3893
POA0850	M	3983
POA0852	F	4246
POA0852	M	4485
POA0853	F	381
POA0853	M	466
POA0854	F	375
POA0854	M	383
POA0860	F	1512
POA0860	M	1567
POA0862	F	323
POA0862	M	393
POA0870	F	10431
POA0870	M	9908
POA0872	F	7259
POA0872	M	7419
POA0873	F	1415
POA0873	M	1335
POA0874	F	281
POA0874	M	274
POA0875	F	1299
POA0875	M	1185
POA0880	F	2478
POA0880	M	2477
POA0885	F	353
POA0885	M	399
POA0886	F	368
POA0886	M	390
POA2000	F	13713
POA2000	M	14223
POA2007	F	3644
POA2007	M	3763
POA2008	F	5083
POA2008	M	5315
POA2009	F	6267
POA2009	M	6391
POA2010	F	11082
POA2010	M	15356
POA2011	F	8424
POA2011	M	9758
POA2015	F	5515
POA2015	M	5906
POA2016	F	5943
POA2016	M	7123
POA2017	F	13669
POA2017	M	15333
POA2018	F	9919
POA2018	M	9958
POA2019	F	6816
POA2019	M	6647
POA2020	F	10539
POA2020	M	11057
POA2021	F	7776
POA2021	M	7167
POA2022	F	6959
POA2022	M	6547
POA2023	F	5529
POA2023	M	5066
POA2024	F	5961
POA2024	M	5421
POA2025	F	3966
POA2025	M	3220
POA2026	F	16699
POA2026	M	15997
POA2027	F	4230
POA2027	M	3580
POA2028	F	2598
POA2028	M	2114
POA2029	F	5297
POA2029	M	4610
POA2030	F	7450
POA2030	M	6990
POA2031	F	17814
POA2031	M	16017
POA2032	F	7263
POA2032	M	7381
POA2033	F	5954
POA2033	M	5974
POA2034	F	10779
POA2034	M	9469
POA2035	F	17862
POA2035	M	16740
POA2036	F	16699
POA2036	M	17072
POA2037	F	8623
POA2037	M	8024
POA2038	F	4956
POA2038	M	4535
POA2039	F	4472
POA2039	M	4082
POA2040	F	11923
POA2040	M	10881
POA2041	F	8058
POA2041	M	7519
POA2042	F	9146
POA2042	M	9524
POA2043	F	4694
POA2043	M	4963
POA2044	F	4025
POA2044	M	4258
POA2045	F	3269
POA2045	M	3208
POA2046	F	14360
POA2046	M	12924
POA2047	F	6336
POA2047	M	5673
POA2048	F	3849
POA2048	M	3764
POA2049	F	6286
POA2049	M	5971
POA2050	F	4626
POA2050	M	4758
POA2060	F	7831
POA2060	M	7302
POA2061	F	3272
POA2061	M	2879
POA2062	F	3726
POA2062	M	3362
POA2063	F	3356
POA2063	M	3143
POA2064	F	4750
POA2064	M	4666
POA2065	F	16520
POA2065	M	15174
POA2066	F	17331
POA2066	M	16511
POA2067	F	14159
POA2067	M	12918
POA2068	F	9085
POA2068	M	8367
POA2069	F	7451
POA2069	M	7151
POA2070	F	7601
POA2070	M	7053
POA2071	F	6968
POA2071	M	6545
POA2072	F	4595
POA2072	M	4200
POA2073	F	9045
POA2073	M	8174
POA2074	F	12114
POA2074	M	11306
