POA_CODE_2021	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
POA0800				6
POA0800			0	3
POA0800			1	6
POA0800			2	4
POA0800		1 storey	1	3
POA0800	Flat/apartment	1 or 2 storey block	0	4
POA0800	Flat/apartment	1 or 2 storey block	1	12
POA0800	Flat/apartment	1 or 2 storey block	2	18
POA0800	Flat/apartment	1 or 2 storey block	3	4
POA0800	Flat/apartment	3 storey block		6
POA0800	Flat/apartment	3 storey block	0	9
POA0800	Flat/apartment	3 storey block	1	102
POA0800	Flat/apartment	3 storey block	2	152
POA0800	Flat/apartment	3 storey block	3	4
POA0800	Flat/apartment	4-8 storey block		6
POA0800	Flat/apartment	4-8 storey block	0	6
POA0800	Flat/apartment	4-8 storey block	1	102
POA0800	Flat/apartment	4-8 storey block	2	273
POA0800	Flat/apartment	4-8 storey block	3	212
POA0800	Flat/apartment	4-8 storey block	4	10
POA0800	Flat/apartment	9 or more storey block		25
POA0800	Flat/apartment	9 or more storey block	0	36
POA0800	Flat/apartment	9 or more storey block	1	398
POA0800	Flat/apartment	9 or more storey block	2	804
POA0800	Flat/apartment	9 or more storey block	3	708
POA0800	Flat/apartment	9 or more storey block	4	46
POA0800	Flat/apartment	9 or more storey block	5	5
POA0800	Separate house		1	3
POA0800	Separate house		2	3
POA0800	Separate house		3	11
POA0810				9
POA0810			0	3
POA0810			1	8
POA0810			2	9
POA0810		1 storey		11
POA0810		1 storey	0	4
POA0810		1 storey	1	131
POA0810		1 storey	2	372
POA0810		1 storey	3	68
POA0810		1 storey	4	13
POA0810		2 storeys or more		8
POA0810		2 storeys or more	1	35
POA0810		2 storeys or more	2	503
POA0810		2 storeys or more	3	149
POA0810		2 storeys or more	4	13
POA0810	(Other)			4
POA0810	(Other)		0	12
POA0810	(Other)		1	18
POA0810	(Other)		2	4
POA0810	(Other)		3	3
POA0810	Flat/apartment	1 or 2 storey block		36
POA0810	Flat/apartment	1 or 2 storey block	0	8
POA0810	Flat/apartment	1 or 2 storey block	1	188
POA0810	Flat/apartment	1 or 2 storey block	2	754
POA0810	Flat/apartment	1 or 2 storey block	3	241
POA0810	Flat/apartment	1 or 2 storey block	4	26
POA0810	Flat/apartment	1 or 2 storey block	5	4
POA0810	Flat/apartment	1 or 2 storey block	6	3
POA0810	Flat/apartment	3 storey block		15
POA0810	Flat/apartment	3 storey block	0	40
POA0810	Flat/apartment	3 storey block	1	135
POA0810	Flat/apartment	3 storey block	2	536
POA0810	Flat/apartment	3 storey block	3	61
POA0810	Flat/apartment	4-8 storey block		7
POA0810	Flat/apartment	4-8 storey block	1	28
POA0810	Flat/apartment	4-8 storey block	2	504
POA0810	Flat/apartment	4-8 storey block	3	216
POA0810	Flat/apartment	4-8 storey block	4	6
POA0810	Flat/apartment	9 or more storey block	2	13
POA0810	Flat/apartment	Attached to a house	1	7
POA0810	Separate house			103
POA0810	Separate house		0	15
POA0810	Separate house		1	65
POA0810	Separate house		2	237
POA0810	Separate house		3	3575
POA0810	Separate house		4	2646
POA0810	Separate house		5	624
POA0810	Separate house		6	149
POA0812			2	3
POA0812		1 storey		18
POA0812		1 storey	1	44
POA0812		1 storey	2	321
POA0812		1 storey	3	27
POA0812		1 storey	5	6
POA0812		2 storeys or more		10
POA0812		2 storeys or more	1	10
POA0812		2 storeys or more	2	125
POA0812		2 storeys or more	3	3
POA0812	(Other)		0	22
POA0812	(Other)		1	35
POA0812	(Other)		2	10
POA0812	Flat/apartment	1 or 2 storey block		4
