POA_CODE_2021	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
POA0800					47
POA0800	0	0	0	1	42
POA0800	0	0	1	0	12
POA0800	0	1	0	0	59
POA0800	0	1	0	1	5
POA0800	0	1	1	0	10
POA0800	1	0	0	1	35
POA0800	1	0	1	0	18
POA0800	1	0	1	1	6
POA0800	1	1	0	0	306
POA0800	1	1	1	0	26
POA0800	1	1	1	1	3
POA0810					176
POA0810	0	0	0	1	437
POA0810	0	0	1	0	114
POA0810	0	0	1	1	43
POA0810	0	1	0	0	578
POA0810	0	1	0	1	48
POA0810	0	1	1	0	96
POA0810	0	1	1	1	21
POA0810	1	0	0	1	542
POA0810	1	0	1	0	255
POA0810	1	0	1	1	123
POA0810	1	1	0	0	2568
POA0810	1	1	0	1	106
POA0810	1	1	1	0	398
POA0810	1	1	1	1	70
POA0812					89
POA0812	0	0	0	1	319
POA0812	0	0	1	0	86
POA0812	0	0	1	1	37
POA0812	0	1	0	0	414
POA0812	0	1	0	1	50
POA0812	0	1	1	0	54
POA0812	0	1	1	1	12
POA0812	1	0	0	1	381
POA0812	1	0	1	0	151
POA0812	1	0	1	1	81
POA0812	1	1	0	0	1228
POA0812	1	1	0	1	86
POA0812	1	1	1	0	193
POA0812	1	1	1	1	54
POA0820					79
POA0820	0	0	0	1	193
POA0820	0	0	1	0	61
POA0820	0	0	1	1	27
POA0820	0	1	0	0	290
POA0820	0	1	0	1	17
POA0820	0	1	1	0	37
POA0820	0	1	1	1	5
POA0820	1	0	0	1	220
POA0820	1	0	1	0	170
POA0820	1	0	1	1	54
POA0820	1	1	0	0	1279
POA0820	1	1	0	1	37
POA0820	1	1	1	0	176
POA0820	1	1	1	1	15
POA0822					193
POA0822	0	0	0	1	462
POA0822	0	0	1	0	40
POA0822	0	0	1	1	32
POA0822	0	1	0	0	619
POA0822	0	1	0	1	192
POA0822	0	1	1	0	54
POA0822	0	1	1	1	30
POA0822	1	0	0	1	412
POA0822	1	0	1	0	66
POA0822	1	0	1	1	57
