POA_CODE_2021	PrivateDwelling	Sex	persons
POA0800	0	F	2529
POA0800	0	M	2706
POA0800	1	F	2894
POA0800	1	M	3114
POA0810	0	F	2008
POA0810	0	M	2043
POA0810	1	F	16045
POA0810	1	M	15363
POA0812	0	F	1020
POA0812	0	M	917
POA0812	1	F	8779
POA0812	1	M	8429
POA0820	0	F	1475
POA0820	0	M	2038
POA0820	1	F	9210
POA0820	1	M	8847
POA0822	0	F	2461
POA0822	0	M	3183
POA0822	1	F	11581
POA0822	1	M	11646
POA0828	0	F	617
POA0828	0	M	626
POA0828	1	F	646
POA0828	1	M	645
POA0829	0	F	625
POA0829	0	M	2140
POA0829	1	F	109
POA0829	1	M	123
POA0830	0	F	908
POA0830	0	M	1134
POA0830	1	F	8317
POA0830	1	M	8135
POA0832	0	F	587
POA0832	0	M	535
POA0832	1	F	8929
POA0832	1	M	8326
POA0834	0	F	160
POA0834	0	M	178
POA0834	1	F	869
POA0834	1	M	851
POA0835	0	F	1571
POA0835	0	M	1663
POA0835	1	F	1475
POA0835	1	M	1510
POA0836	0	F	272
POA0836	0	M	305
POA0836	1	F	3461
POA0836	1	M	3630
POA0837	0	F	118
POA0837	0	M	136
POA0837	1	F	178
POA0837	1	M	192
POA0838	0	F	151
POA0838	0	M	163
POA0838	1	F	352
POA0838	1	M	406
POA0839	0	F	176
POA0839	0	M	188
POA0839	1	F	238
POA0839	1	M	208
POA0840	0	F	161
POA0840	0	M	184
POA0840	1	F	162
POA0840	1	M	208
POA0841	0	F	63
POA0841	0	M	88
POA0841	1	F	235
POA0841	1	M	297
POA0845	0	F	136
POA0845	0	M	149
POA0845	1	F	141
POA0845	1	M	145
POA0846	0	F	185
POA0846	0	M	215
POA0846	1	F	122
POA0846	1	M	130
POA0847	0	F	100
POA0847	0	M	91
POA0847	1	F	125
POA0847	1	M	141
POA0850	0	F	1570
POA0850	0	M	1629
POA0850	1	F	3379
POA0850	1	M	3350
POA0852	0	F	2278
POA0852	0	M	3264
POA0852	1	F	3703
POA0852	1	M	3589
POA0853	0	F	58
POA0853	0	M	161
POA0853	1	F	311
POA0853	1	M	295
POA0854	0	F	77
POA0854	0	M	94
POA0854	1	F	336
POA0854	1	M	331
POA0860	0	F	323
POA0860	0	M	428
POA0860	1	F	1357
POA0860	1	M	1318
POA0862	0	F	338
POA0862	0	M	468
POA0862	1	F	239
POA0862	1	M	251
POA0870	0	F	1880
POA0870	0	M	1782
POA0870	1	F	9413
POA0870	1	M	8908
POA0872	0	F	2029
POA0872	0	M	3128
POA0872	1	F	6640
POA0872	1	M	6152
POA0873	0	F	995
POA0873	0	M	903
POA0873	1	F	1108
POA0873	1	M	1098
POA0874	0	F	51
POA0874	0	M	68
POA0874	1	F	251
POA0874	1	M	240
POA0875	0	F	80
POA0875	0	M	59
POA0875	1	F	1208
POA0875	1	M	1112
POA0880	0	F	547
POA0880	0	M	788
POA0880	1	F	1976
POA0880	1	M	1929
POA0885	0	F	68
POA0885	0	M	116
POA0885	1	F	288
POA0885	1	M	305
POA0886	0	F	408
POA0886	0	M	518
POA0886	1	F	314
POA0886	1	M	318
POA2000	0	F	2636
POA2000	0	M	3539
POA2000	1	F	12192
POA2000	1	M	12342
POA2007	0	F	643
POA2007	0	M	621
POA2007	1	F	2967
POA2007	1	M	3097
POA2008	0	F	844
POA2008	0	M	835
POA2008	1	F	4118
POA2008	1	M	4391
POA2009	0	F	452
POA2009	0	M	521
