POA_CODE_2021	Age	UsualResidence	persons
POA0800	0-14	Home	583
POA0800	0-14	Visitor from ACT	20
POA0800	0-14	Visitor from NSW	8
POA0800	0-14	Visitor from NT	26
POA0800	0-14	Visitor from QLD	3
POA0800	0-14	Visitor from SA	42
POA0800	0-14	Visitor from VIC	76
POA0800	0-14	Visitor from WA	34
POA0800	15-24	Home	728
POA0800	15-24	Visitor from ACT	18
POA0800	15-24	Visitor from NSW	37
POA0800	15-24	Visitor from NT	40
POA0800	15-24	Visitor from QLD	20
POA0800	15-24	Visitor from SA	48
POA0800	15-24	Visitor from VIC	34
POA0800	15-24	Visitor from WA	33
POA0800	25-34	Home	2252
POA0800	25-34	Visitor from ACT	20
POA0800	25-34	Visitor from NSW	85
POA0800	25-34	Visitor from NT	143
POA0800	25-34	Visitor from QLD	68
POA0800	25-34	Visitor from SA	103
POA0800	25-34	Visitor from TAS	10
POA0800	25-34	Visitor from VIC	191
POA0800	25-34	Visitor from WA	99
POA0800	35-44	Home	1182
POA0800	35-44	Visitor from ACT	30
POA0800	35-44	Visitor from NSW	25
POA0800	35-44	Visitor from NT	77
POA0800	35-44	Visitor from QLD	66
POA0800	35-44	Visitor from SA	126
POA0800	35-44	Visitor from TAS	9
POA0800	35-44	Visitor from VIC	161
POA0800	35-44	Visitor from WA	58
POA0800	45-54	Home	731
POA0800	45-54	Visitor from ACT	36
POA0800	45-54	Visitor from NSW	41
POA0800	45-54	Visitor from NT	73
POA0800	45-54	Visitor from QLD	129
POA0800	45-54	Visitor from SA	144
POA0800	45-54	Visitor from TAS	21
POA0800	45-54	Visitor from VIC	215
POA0800	45-54	Visitor from WA	150
POA0800	55-64	Home	634
POA0800	55-64	Visitor from ACT	38
POA0800	55-64	Visitor from NSW	60
POA0800	55-64	Visitor from NT	57
POA0800	55-64	Visitor from QLD	124
POA0800	55-64	Visitor from SA	227
POA0800	55-64	Visitor from TAS	30
POA0800	55-64	Visitor from VIC	335
POA0800	55-64	Visitor from WA	222
POA0800	65-74	Home	363
POA0800	65-74	Visitor from ACT	22
POA0800	65-74	Visitor from NSW	45
POA0800	65-74	Visitor from NT	29
POA0800	65-74	Visitor from QLD	83
POA0800	65-74	Visitor from SA	167
POA0800	65-74	Visitor from TAS	15
POA0800	65-74	Visitor from VIC	290
POA0800	65-74	Visitor from WA	188
