POA_CODE_2021	AgeStudent	students
POA0800	0-4	59
POA0800	5-14	300
POA0800	15-19	102
POA0800	20-24	185
POA0800	25+	764
POA0810	0-4	610
POA0810	5-14	4191
POA0810	15-19	1257
POA0810	20-24	795
POA0810	25+	2722
POA0812	0-4	325
POA0812	5-14	2483
POA0812	15-19	804
POA0812	20-24	275
POA0812	25+	853
POA0820	0-4	302
POA0820	5-14	1883
POA0820	15-19	614
POA0820	20-24	412
POA0820	25+	1479
POA0822	0-4	416
POA0822	5-14	3478
POA0822	15-19	830
POA0822	20-24	82
POA0822	25+	402
POA0828	0-4	31
POA0828	5-14	186
POA0828	15-19	85
POA0828	20-24	26
POA0828	25+	89
POA0829	0-4	3
POA0829	5-14	21
POA0829	15-19	7
POA0829	20-24	10
POA0829	25+	19
POA0830	0-4	399
POA0830	5-14	2556
POA0830	15-19	686
POA0830	20-24	239
POA0830	25+	909
POA0832	0-4	517
POA0832	5-14	2884
POA0832	15-19	802
POA0832	20-24	307
POA0832	25+	1078
POA0834	0-4	28
POA0834	5-14	214
POA0834	15-19	87
POA0834	20-24	22
POA0834	25+	69
POA0835	0-4	45
POA0835	5-14	334
POA0835	15-19	143
POA0835	20-24	40
POA0835	25+	115
POA0836	0-4	127
POA0836	5-14	1084
POA0836	15-19	316
POA0836	20-24	73
POA0836	25+	243
POA0837	0-4	6
POA0837	5-14	37
POA0837	20-24	4
POA0837	25+	8
POA0838	0-4	16
POA0838	5-14	121
POA0838	15-19	29
POA0838	20-24	5
POA0838	25+	25
POA0839	0-4	11
POA0839	5-14	43
POA0839	15-19	12
POA0839	20-24	14
POA0839	25+	23
POA0840	0-4	4
POA0840	5-14	24
POA0840	15-19	4
POA0840	25+	12
POA0841	0-4	9
POA0841	5-14	55
POA0841	15-19	11
POA0841	25+	8
POA0845	0-4	6
POA0845	5-14	39
POA0845	15-19	10
POA0845	25+	8
POA0846	0-4	6
POA0846	5-14	32
POA0846	25+	8
POA0847	5-14	37
POA0847	15-19	15
POA0850	0-4	114
POA0850	5-14	956
POA0850	15-19	191
POA0850	20-24	68
POA0850	25+	303
POA0852	0-4	160
POA0852	5-14	1275
POA0852	15-19	218
POA0852	20-24	41
POA0852	25+	106
POA0853	0-4	29
POA0853	5-14	138
POA0853	15-19	9
POA0853	20-24	12
POA0853	25+	51
POA0854	0-4	18
POA0854	5-14	118
POA0854	15-19	19
POA0854	20-24	3
POA0854	25+	17
POA0860	0-4	48
POA0860	5-14	345
POA0860	15-19	76
POA0860	20-24	17
POA0860	25+	112
POA0862	0-4	17
POA0862	5-14	92
POA0862	15-19	16
POA0862	20-24	16
POA0862	25+	12
POA0870	0-4	376
POA0870	5-14	2563
POA0870	15-19	733
POA0870	20-24	165
POA0870	25+	1199
POA0872	0-4	261
POA0872	5-14	2014
POA0872	15-19	348
POA0872	20-24	53
POA0872	25+	193
POA0873	0-4	34
POA0873	5-14	296
POA0873	15-19	75
POA0873	20-24	18
POA0873	25+	108
POA0874	0-4	9
POA0874	5-14	60
POA0874	15-19	4
POA0874	20-24	4
POA0874	25+	35
POA0875	0-4	52
POA0875	5-14	364
POA0875	15-19	86
POA0875	20-24	19
POA0875	25+	110
POA0880	0-4	86
POA0880	5-14	706
POA0880	15-19	152
POA0880	20-24	23
POA0880	25+	175
POA0885	0-4	30
POA0885	5-14	130
POA0885	15-19	6
POA0885	20-24	4
POA0885	25+	32
POA0886	0-4	18
POA0886	5-14	94
POA0886	15-19	18
POA0886	20-24	8
POA0886	25+	37
POA2000	0-4	165
POA2000	5-14	638
POA2000	15-19	526
POA2000	20-24	2093
POA2000	25+	5104
POA2007	0-4	59
POA2007	5-14	239
POA2007	15-19	228
POA2007	20-24	891
POA2007	25+	1425
POA2008	0-4	52
POA2008	5-14	195
POA2008	15-19	425
POA2008	20-24	1880
POA2008	25+	1506
POA2009	0-4	170
POA2009	5-14	615
POA2009	15-19	260
POA2009	20-24	323
POA2009	25+	1152
POA2010	0-4	167
POA2010	5-14	756
POA2010	15-19	287
POA2010	20-24	870
POA2010	25+	2362
POA2011	0-4	68
POA2011	5-14	369
POA2011	15-19	156
POA2011	20-24	279
POA2011	25+	1392
POA2015	0-4	158
POA2015	5-14	685
POA2015	15-19	194
POA2015	20-24	301
POA2015	25+	883
POA2016	0-4	122
POA2016	5-14	564
POA2016	15-19	201
POA2016	20-24	588
POA2016	25+	1203
POA2017	0-4	288
POA2017	5-14	924
POA2017	15-19	459
POA2017	20-24	2008
POA2017	25+	2915
POA2018	0-4	307
POA2018	5-14	1385
POA2018	15-19	647
POA2018	20-24	892
POA2018	25+	1376
POA2019	0-4	287
POA2019	5-14	1515
POA2019	15-19	569
POA2019	20-24	289
POA2019	25+	553
POA2020	0-4	273
POA2020	5-14	1313
POA2020	15-19	584
POA2020	20-24	1575
POA2020	25+	2269
POA2021	0-4	231
POA2021	5-14	1190
POA2021	15-19	466
POA2021	20-24	425
POA2021	25+	811
POA2022	0-4	211
POA2022	5-14	1226
POA2022	15-19	410
POA2022	20-24	376
POA2022	25+	937
POA2023	0-4	165
POA2023	5-14	1263
POA2023	15-19	620
POA2023	20-24	320
POA2023	25+	487
POA2024	0-4	208
POA2024	5-14	1361
POA2024	15-19	538
POA2024	20-24	238
POA2024	25+	478
POA2025	0-4	131
POA2025	5-14	705
POA2025	15-19	267
POA2025	20-24	171
POA2025	25+	314
POA2026	0-4	582
POA2026	5-14	2637
POA2026	15-19	1005
POA2026	20-24	704
POA2026	25+	2172
POA2027	0-4	76
POA2027	5-14	522
POA2027	15-19	238
POA2027	20-24	192
POA2027	25+	317
POA2028	0-4	67
POA2028	5-14	315
POA2028	15-19	130
POA2028	20-24	142
POA2028	25+	193
POA2029	0-4	189
POA2029	5-14	1046
POA2029	15-19	432
POA2029	20-24	266
POA2029	25+	408
POA2030	0-4	277
POA2030	5-14	1986
POA2030	15-19	996
POA2030	20-24	503
POA2030	25+	459
POA2031	0-4	580
POA2031	5-14	3250
POA2031	15-19	1331
POA2031	20-24	1137
POA2031	25+	2103
POA2032	0-4	202
POA2032	5-14	1307
POA2032	15-19	646
POA2032	20-24	1103
POA2032	25+	1344
POA2033	0-4	157
POA2033	5-14	891
POA2033	15-19	677
POA2033	20-24	1291
POA2033	25+	943
POA2034	0-4	318
POA2034	5-14	1902
POA2034	15-19	771
POA2034	20-24	514
POA2034	25+	1174
POA2035	0-4	555
POA2035	5-14	3653
POA2035	15-19	1563
POA2035	20-24	1136
POA2035	25+	1911
POA2036	0-4	579
POA2036	5-14	3569
POA2036	15-19	1454
POA2036	20-24	1025
POA2036	25+	1469
POA2037	0-4	202
POA2037	5-14	1013
POA2037	15-19	467
POA2037	20-24	963
POA2037	25+	1327
POA2038	0-4	162
POA2038	5-14	982
POA2038	15-19	347
POA2038	20-24	322
POA2038	25+	541
POA2039	0-4	170
POA2039	5-14	882
POA2039	15-19	296
POA2039	20-24	170
POA2039	25+	412
POA2040	0-4	518
POA2040	5-14	2805
POA2040	15-19	917
POA2040	20-24	552
POA2040	25+	1097
POA2041	0-4	270
POA2041	5-14	1693
POA2041	15-19	620
POA2041	20-24	303
POA2041	25+	646
POA2042	0-4	186
POA2042	5-14	1129
POA2042	15-19	495
POA2042	20-24	985
POA2042	25+	1663
POA2043	0-4	142
POA2043	5-14	551
POA2043	15-19	175
POA2043	20-24	233
POA2043	25+	704
POA2044	0-4	149
POA2044	5-14	729
POA2044	15-19	225
POA2044	20-24	190
POA2044	25+	546
POA2045	0-4	97
POA2045	5-14	805
POA2045	15-19	428
POA2045	20-24	221
POA2045	25+	212
POA2046	0-4	489
POA2046	5-14	3106
POA2046	15-19	1229
POA2046	20-24	551
POA2046	25+	996
POA2047	0-4	233
POA2047	5-14	1152
POA2047	15-19	469
POA2047	20-24	287
POA2047	25+	495
POA2048	0-4	101
POA2048	5-14	670
POA2048	15-19	304
POA2048	20-24	289
POA2048	25+	507
POA2049	0-4	170
POA2049	5-14	992
POA2049	15-19	424
POA2049	20-24	436
POA2049	25+	872
POA2050	0-4	82
POA2050	5-14	382
POA2050	15-19	547
POA2050	20-24	917
POA2050	25+	884
POA2060	0-4	199
POA2060	5-14	869
POA2060	15-19	422
POA2060	20-24	400
POA2060	25+	1009
POA2061	0-4	39
POA2061	5-14	203
POA2061	15-19	111
POA2061	20-24	132
POA2061	25+	374
POA2062	0-4	144
POA2062	5-14	861
POA2062	15-19	261
POA2062	20-24	118
POA2062	25+	335
POA2063	0-4	107
POA2063	5-14	1024
POA2063	15-19	485
POA2063	20-24	195
POA2063	25+	193
POA2064	0-4	179
POA2064	5-14	1283
POA2064	15-19	371
POA2064	20-24	282
POA2064	25+	560
POA2065	0-4	561
POA2065	5-14	2683
POA2065	15-19	901
POA2065	20-24	824
POA2065	25+	1871
POA2066	0-4	728
POA2066	5-14	4195
POA2066	15-19	1691
POA2066	20-24	917
POA2066	25+	1633
POA2067	0-4	500
POA2067	5-14	3055
POA2067	15-19	1217
POA2067	20-24	1036
POA2067	25+	1723
POA2068	0-4	351
POA2068	5-14	2685
POA2068	15-19	1147
POA2068	20-24	534
POA2068	25+	563
POA2069	0-4	253
POA2069	5-14	2228
POA2069	15-19	1028
POA2069	20-24	522
POA2069	25+	516
