POA_CODE_2021	OnlyEnglishSpokenHome	Sex	persons
POA0800	0	F	1277
POA0800	0	M	1252
POA0800	1	F	1656
POA0800	1	M	2064
POA0810	0	F	6114
POA0810	0	M	5716
POA0810	1	F	9984
POA0810	1	M	9950
POA0812	0	F	2664
POA0812	0	M	2335
POA0812	1	F	5980
POA0812	1	M	6031
POA0820	0	F	2672
POA0820	0	M	2434
POA0820	1	F	6518
POA0820	1	M	6646
POA0822	0	F	8624
POA0822	0	M	8487
POA0822	1	F	2996
POA0822	1	M	3314
POA0828	0	F	324
POA0828	0	M	308
POA0828	1	F	390
POA0828	1	M	445
POA0829	0	F	15
POA0829	0	M	59
POA0829	1	F	166
POA0829	1	M	508
POA0830	0	F	1576
POA0830	0	M	1277
POA0830	1	F	6688
POA0830	1	M	6895
POA0832	0	F	2061
POA0832	0	M	1776
POA0832	1	F	6811
POA0832	1	M	6604
POA0834	0	F	68
POA0834	0	M	45
POA0834	1	F	779
POA0834	1	M	776
POA0835	0	F	84
POA0835	0	M	79
POA0835	1	F	1335
POA0835	1	M	1420
POA0836	0	F	222
POA0836	0	M	143
POA0836	1	F	3170
POA0836	1	M	3476
POA0837	0	F	15
POA0837	0	M	11
POA0837	1	F	164
POA0837	1	M	187
POA0838	0	F	30
POA0838	0	M	28
POA0838	1	F	300
POA0838	1	M	379
POA0839	0	F	48
POA0839	0	M	39
POA0839	1	F	171
POA0839	1	M	151
POA0840	0	F	8
POA0840	0	M	7
POA0840	1	F	162
POA0840	1	M	216
POA0841	0	F	8
POA0841	0	M	9
POA0841	1	F	219
POA0841	1	M	284
POA0845	0	F	19
POA0845	0	M	11
POA0845	1	F	134
POA0845	1	M	139
POA0846	0	F	5
POA0846	0	M	3
POA0846	1	F	113
POA0846	1	M	127
POA0847	0	F	55
POA0847	0	M	50
POA0847	1	F	74
POA0847	1	M	93
POA0850	0	F	802
POA0850	0	M	710
POA0850	1	F	2479
POA0850	1	M	2594
POA0852	0	F	2806
POA0852	0	M	2689
POA0852	1	F	1010
POA0852	1	M	1150
POA0853	0	F	16
POA0853	0	M	20
POA0853	1	F	347
POA0853	1	M	401
POA0854	0	F	62
POA0854	0	M	60
POA0854	1	F	290
POA0854	1	M	292
POA0860	0	F	553
POA0860	0	M	524
POA0860	1	F	809
POA0860	1	M	817
POA0862	0	F	85
POA0862	0	M	78
POA0862	1	F	210
POA0862	1	M	277
POA0870	0	F	2621
POA0870	0	M	2389
POA0870	1	F	7107
POA0870	1	M	6822
POA0872	0	F	5494
POA0872	0	M	5038
POA0872	1	F	1264
POA0872	1	M	1294
POA0873	0	F	399
POA0873	0	M	308
POA0873	1	F	847
POA0873	1	M	889
POA0874	0	F	50
POA0874	0	M	49
POA0874	1	F	218
POA0874	1	M	208
POA0875	0	F	360
POA0875	0	M	305
POA0875	1	F	837
POA0875	1	M	801
POA0880	0	F	971
POA0880	0	M	837
POA0880	1	F	1144
POA0880	1	M	1181
POA0885	0	F	33
POA0885	0	M	31
POA0885	1	F	269
POA0885	1	M	284
POA0886	0	F	68
POA0886	0	M	60
POA0886	1	F	249
POA0886	1	M	277
POA2000	0	F	8971
POA2000	0	M	7891
POA2000	1	F	3638
POA2000	1	M	5110
POA2007	0	F	2280
POA2007	0	M	2019
POA2007	1	F	1093
POA2007	1	M	1460
POA2008	0	F	2619
POA2008	0	M	2266
POA2008	1	F	2072
POA2008	1	M	2625
POA2009	0	F	2727
POA2009	0	M	2323
POA2009	1	F	3093
POA2009	1	M	3565
POA2010	0	F	2975
POA2010	0	M	3276
POA2010	1	F	7354
POA2010	1	M	10836
POA2011	0	F	1644
POA2011	0	M	1662
POA2011	1	F	5999
POA2011	1	M	7128
POA2015	0	F	1297
POA2015	0	M	1227
POA2015	1	F	3958
POA2015	1	M	4381
POA2016	0	F	1740
POA2016	0	M	1751
POA2016	1	F	3747
POA2016	1	M	4754
POA2017	0	F	6607
POA2017	0	M	6144
POA2017	1	F	6131
POA2017	1	M	8067
POA2018	0	F	5031
POA2018	0	M	4500
POA2018	1	F	4335
POA2018	1	M	4849
POA2019	0	F	1810
POA2019	0	M	1600
POA2019	1	F	4611
POA2019	1	M	4639
POA2020	0	F	6186
POA2020	0	M	5928
POA2020	1	F	3743
POA2020	1	M	4436
POA2021	0	F	1095
POA2021	0	M	853
POA2021	1	F	6314
POA2021	1	M	5973
POA2022	0	F	1925
POA2022	0	M	1538
POA2022	1	F	4602
POA2022	1	M	4577
POA2023	0	F	979
POA2023	0	M	830
POA2023	1	F	4332
POA2023	1	M	4016
POA2024	0	F	939
POA2024	0	M	735
POA2024	1	F	4616
POA2024	1	M	4371
POA2025	0	F	606
POA2025	0	M	466
POA2025	1	F	3145
POA2025	1	M	2579
POA2026	0	F	3653
POA2026	0	M	3094
POA2026	1	F	12026
POA2026	1	M	11882
POA2027	0	F	692
POA2027	0	M	518
POA2027	1	F	3281
POA2027	1	M	2841
POA2028	0	F	437
POA2028	0	M	338
POA2028	1	F	2040
POA2028	1	M	1683
POA2029	0	F	1058
POA2029	0	M	895
POA2029	1	F	3927
POA2029	1	M	3463
POA2030	0	F	1505
POA2030	0	M	1274
POA2030	1	F	5627
POA2030	1	M	5396
POA2031	0	F	3666
POA2031	0	M	2939
POA2031	1	F	13228
POA2031	1	M	12211
POA2032	0	F	3153
POA2032	0	M	3087
POA2032	1	F	3715
POA2032	1	M	3903
POA2033	0	F	2390
POA2033	0	M	2226
POA2033	1	F	3233
POA2033	1	M	3372
POA2034	0	F	1978
POA2034	0	M	1634
POA2034	1	F	8225
POA2034	1	M	7334
POA2035	0	F	6539
POA2035	0	M	5422
POA2035	1	F	10422
POA2035	1	M	10436
POA2036	0	F	5498
POA2036	0	M	4931
POA2036	1	F	10189
POA2036	1	M	10134
POA2037	0	F	2314
POA2037	0	M	1872
POA2037	1	F	5805
POA2037	1	M	5621
POA2038	0	F	738
POA2038	0	M	563
POA2038	1	F	3966
POA2038	1	M	3708
POA2039	0	F	626
POA2039	0	M	534
POA2039	1	F	3716
POA2039	1	M	3405
POA2040	0	F	2383
POA2040	0	M	1858
POA2040	1	F	9023
POA2040	1	M	8553
POA2041	0	F	999
POA2041	0	M	792
POA2041	1	F	6764
POA2041	1	M	6401
POA2042	0	F	1662
POA2042	0	M	1579
POA2042	1	F	7070
POA2042	1	M	7438
POA2043	0	F	979
POA2043	0	M	918
POA2043	1	F	3548
POA2043	1	M	3849
POA2044	0	F	1133
POA2044	0	M	1057
POA2044	1	F	2745
POA2044	1	M	3032
POA2045	0	F	944
POA2045	0	M	801
POA2045	1	F	2253
POA2045	1	M	2326
POA2046	0	F	4464
POA2046	0	M	3651
POA2046	1	F	9283
POA2046	1	M	8779
POA2047	0	F	1460
POA2047	0	M	1144
POA2047	1	F	4565
POA2047	1	M	4297
POA2048	0	F	811
POA2048	0	M	658
POA2048	1	F	2903
POA2048	1	M	2945
POA2049	0	F	1382
POA2049	0	M	1171
POA2049	1	F	4584
POA2049	1	M	4429
POA2050	0	F	1052
POA2050	0	M	898
POA2050	1	F	3328
POA2050	1	M	3537
POA2060	0	F	2271
POA2060	0	M	1801
POA2060	1	F	5142
POA2060	1	M	5083
POA2061	0	F	894
POA2061	0	M	663
POA2061	1	F	2116
POA2061	1	M	1995
POA2062	0	F	691
POA2062	0	M	552
POA2062	1	F	2926
POA2062	1	M	2701
POA2063	0	F	738
POA2063	0	M	583
POA2063	1	F	2506
POA2063	1	M	2464
POA2064	0	F	2274
POA2064	0	M	2011
POA2064	1	F	2279
POA2064	1	M	2486
POA2065	0	F	5155
POA2065	0	M	4049
POA2065	1	F	10732
POA2065	1	M	10625
POA2066	0	F	5265
POA2066	0	M	4425
POA2066	1	F	11450
POA2066	1	M	11545
POA2067	0	F	8913
POA2067	0	M	7243
POA2067	1	F	4688
POA2067	1	M	5141
POA2068	0	F	2574
POA2068	0	M	1976
POA2068	1	F	6251
POA2068	1	M	6176
POA2069	0	F	2375
POA2069	0	M	1998
POA2069	1	F	4853
POA2069	1	M	4976
POA2070	0	F	2970
POA2070	0	M	2478
POA2070	1	F	4451
POA2070	1	M	4401
POA2071	0	F	3173
POA2071	0	M	2728
POA2071	1	F	3586
POA2071	1	M	3629
POA2072	0	F	2304
POA2072	0	M	1985
POA2072	1	F	2139
POA2072	1	M	2086
POA2073	0	F	3148
POA2073	0	M	2491
POA2073	1	F	5675
POA2073	1	M	5485
POA2074	0	F	3217
POA2074	0	M	2820
POA2074	1	F	8615
POA2074	1	M	8237
POA2075	0	F	3915
POA2075	0	M	3313
POA2075	1	F	7063
POA2075	1	M	6906
POA2076	0	F	3918
POA2076	0	M	3405
POA2076	1	F	8703
POA2076	1	M	8562
POA2077	0	F	10926
POA2077	0	M	9532
POA2077	1	F	10123
POA2077	1	M	10642
POA2079	0	F	1038
POA2079	0	M	975
POA2079	1	F	2798
POA2079	1	M	2869
POA2080	0	F	167
POA2080	0	M	143
POA2080	1	F	703
POA2080	1	M	715
POA2081	0	F	379
POA2081	0	M	352
POA2081	1	F	2282
POA2081	1	M	2295
POA2082	0	F	277
POA2082	0	M	246
POA2082	1	F	2418
POA2082	1	M	2423
POA2083	0	F	62
POA2083	0	M	48
POA2083	1	F	706
POA2083	1	M	753
POA2084	0	F	177
POA2084	0	M	173
POA2084	1	F	1625
POA2084	1	M	1686
POA2085	0	F	930
POA2085	0	M	827
POA2085	1	F	4869
POA2085	1	M	4634
POA2086	0	F	1336
POA2086	0	M	1137
POA2086	1	F	5651
POA2086	1	M	5778
POA2087	0	F	1794
POA2087	0	M	1514
POA2087	1	F	4733
POA2087	1	M	4729
POA2088	0	F	2634
POA2088	0	M	2042
POA2088	1	F	12150
POA2088	1	M	10527
POA2089	0	F	1312
POA2089	0	M	1027
POA2089	1	F	4576
POA2089	1	M	4084
POA2090	0	F	1576
POA2090	0	M	1215
POA2090	1	F	5460
POA2090	1	M	4809
POA2092	0	F	595
POA2092	0	M	508
POA2092	1	F	3017
POA2092	1	M	3037
POA2093	0	F	1970
POA2093	0	M	1577
POA2093	1	F	9863
POA2093	1	M	9519
POA2094	0	F	373
POA2094	0	M	266
POA2094	1	F	2781
POA2094	1	M	2509
POA2095	0	F	1427
POA2095	0	M	1155
POA2095	1	F	6491
POA2095	1	M	6473
POA2096	0	F	1033
POA2096	0	M	841
POA2096	1	F	6298
