POA_CODE_2021	Age	Sex	persons
POA0834	55-64	F	154
POA0834	55-64	M	146
POA0834	65-74	F	91
POA0834	65-74	M	110
POA0834	75-84	F	23
POA0834	75-84	M	23
POA0834	85+	F	7
POA0834	85+	M	7
POA0835	0-4	F	95
POA0835	0-4	M	97
POA0835	5-14	F	190
POA0835	5-14	M	177
POA0835	15-19	F	100
POA0835	15-19	M	97
POA0835	20-24	F	72
POA0835	20-24	M	79
POA0835	25-34	F	167
POA0835	25-34	M	183
POA0835	35-44	F	201
POA0835	35-44	M	212
POA0835	45-54	F	258
POA0835	45-54	M	256
POA0835	55-64	F	239
POA0835	55-64	M	263
POA0835	65-74	F	156
POA0835	65-74	M	165
POA0835	75-84	F	53
POA0835	75-84	M	86
POA0835	85+	F	7
POA0835	85+	M	9
POA0836	0-4	F	209
POA0836	0-4	M	238
POA0836	5-14	F	571
POA0836	5-14	M	586
POA0836	15-19	F	217
POA0836	15-19	M	268
POA0836	20-24	F	174
POA0836	20-24	M	190
POA0836	25-34	F	434
POA0836	25-34	M	441
POA0836	35-44	F	603
POA0836	35-44	M	499
POA0836	45-54	F	636
POA0836	45-54	M	688
POA0836	55-64	F	477
POA0836	55-64	M	575
POA0836	65-74	F	254
POA0836	65-74	M	342
POA0836	75-84	F	67
POA0836	75-84	M	90
POA0836	85+	F	19
POA0836	85+	M	18
POA0837	0-4	F	15
POA0837	0-4	M	10
POA0837	5-14	F	29
POA0837	5-14	M	24
POA0837	15-19	F	8
POA0837	15-19	M	10
POA0837	20-24	F	11
POA0837	20-24	M	4
POA0837	25-34	F	24
POA0837	25-34	M	36
POA0837	35-44	F	34
POA0837	35-44	M	47
POA0837	45-54	F	37
POA0837	45-54	M	26
POA0837	55-64	F	43
POA0837	55-64	M	45
POA0837	65-74	F	31
POA0837	65-74	M	35
POA0837	75-84	F	12
POA0837	75-84	M	7
POA0837	85+	F	3
POA0838	0-4	F	26
POA0838	0-4	M	35
POA0838	5-14	F	61
POA0838	5-14	M	84
POA0838	15-19	F	16
POA0838	15-19	M	25
POA0838	20-24	F	17
POA0838	20-24	M	15
POA0838	25-34	F	54
POA0838	25-34	M	52
POA0838	35-44	F	66
POA0838	35-44	M	68
POA0838	45-54	F	56
POA0838	45-54	M	52
POA0838	55-64	F	52
POA0838	55-64	M	80
POA0838	65-74	F	39
POA0838	65-74	M	45
POA0838	75-84	F	8
POA0838	75-84	M	7
POA0839	0-4	F	14
POA0839	0-4	M	23
POA0839	5-14	F	22
POA0839	5-14	M	26
POA0839	15-19	F	6
POA0839	15-19	M	9
POA0839	20-24	F	33
POA0839	20-24	M	30
POA0839	25-34	F	88
POA0839	25-34	M	59
POA0839	35-44	F	25
POA0839	35-44	M	21
POA0839	45-54	F	25
POA0839	45-54	M	23
POA0839	55-64	F	20
POA0839	55-64	M	20
POA0839	65-74	F	24
POA0839	65-74	M	27
POA0839	75-84	F	11
POA0839	75-84	M	6
POA0840	0-4	F	3
POA0840	0-4	M	5
POA0840	5-14	F	18
POA0840	5-14	M	20
POA0840	15-19	M	4
POA0840	25-34	F	10
POA0840	35-44	F	23
POA0840	35-44	M	16
POA0840	45-54	F	27
POA0840	45-54	M	49
POA0840	55-64	F	54
POA0840	55-64	M	59
POA0840	65-74	F	58
POA0840	65-74	M	90
POA0840	75-84	F	8
POA0840	75-84	M	20
POA0841	0-4	F	15
POA0841	0-4	M	20
POA0841	5-14	F	28
POA0841	5-14	M	40
POA0841	15-19	F	11
POA0841	15-19	M	25
POA0841	20-24	F	10
POA0841	20-24	M	10
POA0841	25-34	F	26
POA0841	25-34	M	26
POA0841	35-44	F	39
POA0841	35-44	M	43
POA0841	45-54	F	53
POA0841	45-54	M	79
POA0841	55-64	F	40
POA0841	55-64	M	63
POA0841	65-74	F	32
POA0841	65-74	M	44
POA0841	75-84	F	11
POA0841	75-84	M	17
POA0845	0-4	F	12
POA0845	0-4	M	17
POA0845	5-14	F	27
POA0845	5-14	M	30
POA0845	15-19	F	17
POA0845	15-19	M	7
POA0845	20-24	F	8
POA0845	20-24	M	5
POA0845	25-34	F	21
POA0845	25-34	M	13
POA0845	35-44	F	25
POA0845	35-44	M	16
POA0845	45-54	F	30
POA0845	45-54	M	35
POA0845	55-64	F	27
POA0845	55-64	M	41
POA0845	65-74	F	24
POA0845	65-74	M	32
POA0845	75-84	F	6
POA0845	75-84	M	6
POA0846	0-4	F	9
POA0846	0-4	M	3
POA0846	5-14	F	18
POA0846	5-14	M	27
POA0846	15-19	F	3
POA0846	15-19	M	3
POA0846	20-24	F	7
POA0846	25-34	F	23
POA0846	25-34	M	18
POA0846	35-44	F	6
POA0846	35-44	M	12
POA0846	45-54	F	18
POA0846	45-54	M	18
POA0846	55-64	F	32
POA0846	55-64	M	31
POA0846	65-74	F	27
POA0846	65-74	M	29
POA0846	75-84	F	8
POA0846	75-84	M	18
POA0846	85+	M	3
POA0847	0-4	F	3
POA0847	0-4	M	13
POA0847	5-14	F	26
POA0847	5-14	M	25
POA0847	15-19	F	16
POA0847	15-19	M	13
POA0847	20-24	F	12
POA0847	20-24	M	13
POA0847	25-34	F	22
POA0847	25-34	M	21
POA0847	35-44	F	13
POA0847	35-44	M	7
POA0847	45-54	F	22
POA0847	45-54	M	27
POA0847	55-64	F	20
POA0847	55-64	M	27
POA0847	65-74	F	19
POA0847	65-74	M	16
POA0847	75-84	F	7
POA0847	75-84	M	7
POA0850	0-4	F	247
POA0850	0-4	M	310
POA0850	5-14	F	562
POA0850	5-14	M	619
POA0850	15-19	F	211
POA0850	15-19	M	225
POA0850	20-24	F	254
POA0850	20-24	M	276
POA0850	25-34	F	765
POA0850	25-34	M	677
POA0850	35-44	F	569
POA0850	35-44	M	522
POA0850	45-54	F	521
POA0850	45-54	M	463
POA0850	55-64	F	447
POA0850	55-64	M	450
POA0850	65-74	F	223
POA0850	65-74	M	300
POA0850	75-84	F	83
POA0850	75-84	M	118
POA0850	85+	F	23
POA0850	85+	M	16
POA0852	0-4	F	322
POA0852	0-4	M	372
POA0852	5-14	F	706
POA0852	5-14	M	757
POA0852	15-19	F	397
POA0852	15-19	M	408
POA0852	20-24	F	435
POA0852	20-24	M	462
POA0852	25-34	F	732
POA0852	25-34	M	796
POA0852	35-44	F	562
POA0852	35-44	M	564
POA0852	45-54	F	494
POA0852	45-54	M	476
POA0852	55-64	F	360
POA0852	55-64	M	361
POA0852	65-74	F	171
POA0852	65-74	M	227
POA0852	75-84	F	48
POA0852	75-84	M	53
POA0852	85+	F	11
POA0852	85+	M	17
POA0853	0-4	F	39
POA0853	0-4	M	44
POA0853	5-14	F	73
POA0853	5-14	M	70
POA0853	15-19	F	3
POA0853	15-19	M	17
POA0853	20-24	F	38
POA0853	20-24	M	52
POA0853	25-34	F	117
POA0853	25-34	M	144
POA0853	35-44	F	74
POA0853	35-44	M	86
POA0853	45-54	F	24
POA0853	45-54	M	47
POA0853	55-64	F	10
POA0853	55-64	M	7
POA0853	65-74	F	3
POA0854	0-4	F	23
POA0854	0-4	M	34
POA0854	5-14	F	54
POA0854	5-14	M	70
POA0854	15-19	F	32
POA0854	15-19	M	23
POA0854	20-24	F	36
POA0854	20-24	M	28
POA0854	25-34	F	53
POA0854	25-34	M	53
POA0854	35-44	F	49
POA0854	35-44	M	46
POA0854	45-54	F	54
POA0854	45-54	M	54
POA0854	55-64	F	43
POA0854	55-64	M	42
POA0854	65-74	F	24
POA0854	65-74	M	21
POA0854	75-84	M	10
POA0860	0-4	F	136
POA0860	0-4	M	138
POA0860	5-14	F	188
POA0860	5-14	M	208
POA0860	15-19	F	75
POA0860	15-19	M	90
POA0860	20-24	F	84
POA0860	20-24	M	97
POA0860	25-34	F	287
POA0860	25-34	M	285
POA0860	35-44	F	215
POA0860	35-44	M	189
POA0860	45-54	F	214
POA0860	45-54	M	202
POA0860	55-64	F	187
POA0860	55-64	M	202
POA0860	65-74	F	89
POA0860	65-74	M	117
POA0860	75-84	F	26
POA0860	75-84	M	40
POA0860	85+	F	9
POA0862	0-4	F	23
POA0862	0-4	M	32
POA0862	5-14	F	40
POA0862	5-14	M	55
POA0862	15-19	F	25
POA0862	15-19	M	32
POA0862	20-24	F	46
POA0862	20-24	M	55
POA0862	25-34	F	72
POA0862	25-34	M	73
POA0862	35-44	F	45
POA0862	35-44	M	41
POA0862	45-54	F	32
POA0862	45-54	M	36
POA0862	55-64	F	27
POA0862	55-64	M	42
POA0862	65-74	F	19
POA0862	65-74	M	28
POA0862	75-84	F	5
POA0870	0-4	F	701
POA0870	0-4	M	764
POA0870	5-14	F	1353
POA0870	5-14	M	1432
POA0870	15-19	F	559
POA0870	15-19	M	621
POA0870	20-24	F	515
POA0870	20-24	M	490
POA0870	25-34	F	2164
POA0870	25-34	M	1830
POA0870	35-44	F	1641
POA0870	35-44	M	1594
POA0870	45-54	F	1359
POA0870	45-54	M	1175
POA0870	55-64	F	1196
POA0870	55-64	M	1115
POA0870	65-74	F	660
POA0870	65-74	M	651
POA0870	75-84	F	235
POA0870	75-84	M	193
POA0870	85+	F	62
POA0870	85+	M	38
POA0872	0-4	F	567
POA0872	0-4	M	537
POA0872	5-14	F	1119
POA0872	5-14	M	1191
POA0872	15-19	F	551
POA0872	15-19	M	625
POA0872	20-24	F	639
POA0872	20-24	M	675
