POA_CODE_2021	medianRent
POA0800	23400
POA0810	17940
POA0812	18720
POA0820	20800
POA0822	4160
POA0828	19240
POA0829	11960
POA0830	19240
POA0832	21840
POA0834	23920
POA0835	20800
POA0836	20800
POA0837	14300
POA0838	15600
POA0839	17680
POA0840	10400
POA0841	13936
POA0845	7800
POA0846	10400
POA0847	6240
POA0850	17160
POA0852	4160
POA0853	13520
POA0854	1716
POA0860	9360
POA0862	7800
POA0870	20280
POA0872	3900
POA0873	13000
POA0874	17680
POA0875	17056
POA0880	4940
POA0885	4160
POA0886	3380
POA2000	32500
POA2007	26000
POA2008	27300
POA2009	30160
POA2010	28600
POA2011	25480
POA2015	29016
POA2016	26000
POA2017	29900
POA2018	27040
POA2019	28600
POA2020	31200
POA2021	30940
POA2022	34320
POA2023	33800
POA2024	34060
POA2025	34840
POA2026	35360
POA2027	39000
POA2028	37440
POA2029	32760
POA2030	37180
POA2031	30160
POA2032	23400
POA2033	26000
POA2034	31980
POA2035	28080
POA2036	27040
POA2037	25740
POA2038	29640
POA2039	33800
POA2040	30160
POA2041	33280
POA2042	28080
POA2043	32240
POA2044	32760
POA2045	27560
POA2046	29640
POA2047	31200
POA2048	25480
POA2049	24960
POA2050	29640
POA2060	30160
POA2061	31200
POA2062	30160
POA2063	38480
POA2064	27300
POA2065	30160
POA2066	27040
POA2067	30160
POA2068	33280
POA2069	32916
POA2070	32760
POA2071	33800
POA2072	30004
POA2073	33800
POA2074	32084
POA2075	36400
POA2076	31200
POA2077	23920
POA2079	27300
POA2080	29536
POA2081	29900
POA2082	30160
POA2083	22308
POA2084	31200
POA2085	46800
POA2086	41600
POA2087	37440
POA2088	30680
POA2089	29224
POA2090	31200
POA2092	45500
POA2093	31200
POA2094	37440
POA2095	37700
POA2096	32240
POA2097	32396
POA2099	28600
POA2100	31200
POA2101	31200
POA2102	39000
POA2103	33800
POA2104	44200
POA2105	30940
POA2106	31200
POA2107	39000
POA2108	44200
POA2110	28080
POA2111	23920
POA2112	24544
POA2113	24960
POA2114	22360
POA2115	21840
POA2116	22360
POA2117	21684
POA2118	26000
POA2119	31200
POA2120	27040
POA2121	26000
POA2122	23920
POA2125	33332
POA2126	36140
POA2127	26520
POA2128	23400
POA2130	23920
POA2131	22880
POA2132	24960
POA2133	21320
POA2134	26000
POA2135	24960
POA2136	23920
POA2137	29120
POA2138	28600
POA2140	23400
POA2141	24336
POA2142	20800
POA2143	20800
POA2144	21320
POA2145	22100
POA2146	22100
POA2147	20280
POA2148	20800
POA2150	22100
POA2151	21840
POA2152	21840
POA2153	28080
POA2154	29120
POA2155	31200
POA2156	31200
POA2157	27300
POA2158	31200
POA2159	24960
POA2160	20800
POA2161	19760
POA2162	20800
POA2163	13000
POA2164	21840
POA2165	20800
POA2166	18200
POA2167	21840
POA2168	18200
POA2170	20540
POA2171	27560
POA2172	19188
POA2173	26000
POA2174	28600
POA2175	22256
POA2176	23920
POA2177	20800
POA2178	24440
POA2179	28080
POA2190	21840
POA2191	23920
POA2192	19760
POA2193	24440
POA2194	20800
POA2195	18200
POA2196	20800
POA2197	23400
POA2198	27040
POA2199	20800
POA2200	21320
POA2203	24440
POA2204	24960
POA2205	27040
POA2206	28600
POA2207	24960
POA2208	26000
POA2209	21840
POA2210	19240
POA2211	24440
POA2212	23920
POA2213	24440
POA2214	27976
POA2216	23920
POA2217	23920
POA2218	22880
POA2219	26000
POA2220	24440
POA2221	27040
POA2222	20800
POA2223	22880
POA2224	28600
POA2225	34060
POA2226	23920
POA2227	27300
POA2228	25480
POA2229	26000
POA2230	26000
POA2231	28600
POA2232	23920
POA2233	26000
POA2234	31200
POA2250	20800
POA2251	23400
POA2256	19760
POA2257	20800
POA2258	20800
POA2259	21320
POA2260	26520
POA2261	20020
POA2262	20020
POA2263	18200
POA2264	20540
POA2265	19760
POA2267	17680
POA2278	18720
POA2280	18720
POA2281	19240
POA2282	22360
POA2283	17940
POA2284	18980
POA2285	20800
POA2286	20800
POA2287	20800
POA2289	21840
POA2290	20280
POA2291	22360
POA2292	20800
POA2293	24960
POA2294	22360
POA2295	22360
POA2296	22360
POA2297	20800
POA2298	19760
POA2299	19240
POA2300	22620
POA2302	24180
POA2303	18720
POA2304	19760
POA2305	20800
POA2306	9672
POA2307	19604
POA2308	
POA2311	14040
POA2312	17160
POA2315	20280
POA2316	20540
POA2317	19760
POA2318	21840
POA2319	18980
POA2320	19396
POA2321	22204
POA2322	19240
POA2323	18200
POA2324	17160
POA2325	16640
POA2326	16380
POA2327	16640
POA2328	14560
POA2329	12480
POA2330	17420
POA2331	
POA2333	15600
POA2334	18720
POA2335	21580
POA2336	14040
POA2337	15080
POA2338	13000
POA2339	9880
POA2340	15600
POA2341	11440
POA2342	13260
POA2343	12480
POA2344	16640
POA2345	15080
POA2346	13520
POA2347	9724
POA2350	15080
POA2352	16640
POA2353	11440
POA2354	10400
POA2355	15600
POA2356	1196
POA2357	10712
POA2358	13000
POA2359	9880
POA2360	14040
POA2361	9620
POA2365	13000
POA2369	9360
POA2370	11700
POA2371	8476
POA2372	13000
POA2379	10400
POA2380	15600
POA2381	13000
POA2382	15080
POA2386	5720
POA2387	2600
POA2388	10400
POA2390	13520
POA2395	7800
POA2396	8164
POA2397	8580
POA2398	10400
POA2399	9880
POA2400	11960
POA2401	8320
POA2402	11856
POA2403	10400
POA2404	10400
POA2405	8996
POA2406	8840
POA2408	7280
POA2409	8320
POA2410	7800
POA2411	10400
POA2415	11440
POA2420	15600
POA2421	15600
POA2422	14300
POA2423	15600
POA2424	12220
POA2425	16120
POA2426	15600
POA2427	17680
POA2428	17160
POA2429	15600
POA2430	15860
POA2431	17160
POA2439	18200
POA2440	15340
POA2441	15080
POA2443	17160
POA2444	20020
POA2445	21320
POA2446	18200
POA2447	16640
POA2448	15444
POA2449	13000
POA2450	19240
POA2452	19240
POA2453	14560
POA2454	19240
POA2455	17680
POA2456	20540
POA2460	15600
POA2462	14560
POA2463	17680
POA2464	20800
POA2465	17160
POA2466	15600
POA2469	12480
POA2470	14560
POA2471	15600
POA2472	15600
