POA_CODE_2021	MaxSchoolingCompleted	Sex	persons
POA0800	Did not go to school	F	12
POA0800	Did not go to school	M	13
POA0800	Year 8	F	28
POA0800	Year 8	M	32
POA0800	Year 9	F	54
POA0800	Year 9	M	71
POA0800	Year 10	F	228
POA0800	Year 10	M	304
POA0800	Year 11	F	162
POA0800	Year 11	M	254
POA0800	Year 12	F	2213
POA0800	Year 12	M	2364
POA0810	Did not go to school	F	154
POA0810	Did not go to school	M	120
POA0810	Year 8	F	497
POA0810	Year 8	M	468
POA0810	Year 9	F	430
POA0810	Year 9	M	493
POA0810	Year 10	F	1502
POA0810	Year 10	M	1691
POA0810	Year 11	F	1116
POA0810	Year 11	M	1305
POA0810	Year 12	F	9212
POA0810	Year 12	M	8170
POA0812	Did not go to school	F	96
POA0812	Did not go to school	M	67
POA0812	Year 8	F	305
POA0812	Year 8	M	283
POA0812	Year 9	F	325
POA0812	Year 9	M	329
POA0812	Year 10	F	1180
POA0812	Year 10	M	1244
POA0812	Year 11	F	918
POA0812	Year 11	M	956
POA0812	Year 12	F	3972
POA0812	Year 12	M	3555
POA0820	Did not go to school	F	60
POA0820	Did not go to school	M	38
POA0820	Year 8	F	168
POA0820	Year 8	M	176
POA0820	Year 9	F	227
POA0820	Year 9	M	258
POA0820	Year 10	F	792
POA0820	Year 10	M	1010
POA0820	Year 11	F	655
POA0820	Year 11	M	829
POA0820	Year 12	F	5822
POA0820	Year 12	M	5264
POA0822	Did not go to school	F	199
POA0822	Did not go to school	M	198
POA0822	Year 8	F	890
POA0822	Year 8	M	916
POA0822	Year 9	F	883
POA0822	Year 9	M	1043
POA0822	Year 10	F	2158
POA0822	Year 10	M	2456
POA0822	Year 11	F	1519
POA0822	Year 11	M	1492
POA0822	Year 12	F	3059
POA0822	Year 12	M	2590
POA0828	Did not go to school	F	19
POA0828	Did not go to school	M	12
POA0828	Year 8	F	27
POA0828	Year 8	M	19
POA0828	Year 9	F	33
POA0828	Year 9	M	35
POA0828	Year 10	F	68
POA0828	Year 10	M	106
POA0828	Year 11	F	75
POA0828	Year 11	M	76
POA0828	Year 12	F	347
POA0828	Year 12	M	352
POA0829	Did not go to school	F	6
POA0829	Did not go to school	M	28
POA0829	Year 8	F	11
POA0829	Year 8	M	98
POA0829	Year 9	F	7
POA0829	Year 9	M	5
POA0829	Year 10	F	69
POA0829	Year 10	M	743
POA0829	Year 11	F	17
POA0829	Year 11	M	48
POA0829	Year 12	F	139
POA0829	Year 12	M	611
POA0830	Did not go to school	F	48
POA0830	Did not go to school	M	50
POA0830	Year 8	F	210
POA0830	Year 8	M	199
POA0830	Year 9	F	336
POA0830	Year 9	M	394
POA0830	Year 10	F	1269
POA0830	Year 10	M	1485
POA0830	Year 11	F	915
POA0830	Year 11	M	1009
POA0830	Year 12	F	3559
POA0830	Year 12	M	2933
POA0832	Did not go to school	F	32
POA0832	Did not go to school	M	31
POA0832	Year 8	F	145
POA0832	Year 8	M	147
POA0832	Year 9	F	253
POA0832	Year 9	M	258
POA0832	Year 10	F	1073
POA0832	Year 10	M	1192
POA0832	Year 11	F	850
POA0832	Year 11	M	884
POA0832	Year 12	F	4219
POA0832	Year 12	M	3575
POA0834	Did not go to school	F	3
POA0834	Did not go to school	M	4
POA0834	Year 8	F	19
POA0834	Year 8	M	26
POA0834	Year 9	F	34
POA0834	Year 9	M	39
POA0834	Year 10	F	139
POA0834	Year 10	M	198
POA0834	Year 11	F	108
POA0834	Year 11	M	133
POA0834	Year 12	F	377
POA0834	Year 12	M	291
POA0835	Did not go to school	F	6
POA0835	Did not go to school	M	10
POA0835	Year 8	F	34
POA0835	Year 8	M	41
POA0835	Year 9	F	67
POA0835	Year 9	M	92
POA0835	Year 10	F	219
POA0835	Year 10	M	337
POA0835	Year 11	F	173
POA0835	Year 11	M	223
POA0835	Year 12	F	643
POA0835	Year 12	M	518
POA0836	Did not go to school	F	15
POA0836	Did not go to school	M	15
POA0836	Year 8	F	73
POA0836	Year 8	M	85
POA0836	Year 9	F	106
POA0836	Year 9	M	212
POA0836	Year 10	F	559
POA0836	Year 10	M	913
POA0836	Year 11	F	393
POA0836	Year 11	M	549
POA0836	Year 12	F	1472
POA0836	Year 12	M	1017
POA0837	Year 8	F	9
POA0837	Year 8	M	6
POA0837	Year 9	F	10
POA0837	Year 9	M	10
POA0837	Year 10	F	28
POA0837	Year 10	M	60
POA0837	Year 11	F	19
POA0837	Year 11	M	38
POA0837	Year 12	F	72
POA0837	Year 12	M	56
POA0838	Did not go to school	M	4
POA0838	Year 8	F	5
POA0838	Year 8	M	8
POA0838	Year 9	F	12
POA0838	Year 9	M	23
POA0838	Year 10	F	75
POA0838	Year 10	M	93
POA0838	Year 11	F	37
POA0838	Year 11	M	48
POA0838	Year 12	F	129
POA0838	Year 12	M	111
POA0839	Year 8	F	4
POA0839	Year 8	M	8
POA0839	Year 9	F	11
POA0839	Year 10	F	44
POA0839	Year 10	M	45
POA0839	Year 11	F	22
POA0839	Year 11	M	27
POA0839	Year 12	F	110
POA0839	Year 12	M	68
POA0840	Year 8	F	6
POA0840	Year 8	M	20
POA0840	Year 9	F	16
POA0840	Year 9	M	23
POA0840	Year 10	F	64
POA0840	Year 10	M	78
POA0840	Year 11	F	18
POA0840	Year 11	M	28
POA0840	Year 12	F	50
POA0840	Year 12	M	38
POA0841	Did not go to school	F	3
POA0841	Did not go to school	M	4
POA0841	Year 8	F	5
POA0841	Year 8	M	7
POA0841	Year 9	F	9
POA0841	Year 9	M	32
POA0841	Year 10	F	46
POA0841	Year 10	M	89
POA0841	Year 11	F	28
POA0841	Year 11	M	39
POA0841	Year 12	F	83
POA0841	Year 12	M	73
POA0845	Year 8	F	3
POA0845	Year 8	M	11
POA0845	Year 9	F	7
POA0845	Year 9	M	9
POA0845	Year 10	F	34
POA0845	Year 10	M	27
POA0845	Year 11	F	24
POA0845	Year 11	M	28
POA0845	Year 12	F	41
POA0845	Year 12	M	40
POA0846	Year 8	F	6
POA0846	Year 8	M	10
POA0846	Year 9	F	9
POA0846	Year 9	M	13
POA0846	Year 10	F	32
POA0846	Year 10	M	27
POA0846	Year 11	F	15
POA0846	Year 11	M	10
POA0846	Year 12	F	33
POA0846	Year 12	M	31
POA0847	Did not go to school	F	3
POA0847	Did not go to school	M	3
POA0847	Year 8	F	6
POA0847	Year 8	M	20
POA0847	Year 9	F	18
POA0847	Year 9	M	7
POA0847	Year 10	F	30
POA0847	Year 10	M	35
POA0847	Year 11	F	12
POA0847	Year 11	M	14
POA0847	Year 12	F	33
POA0847	Year 12	M	31
POA0850	Did not go to school	F	31
POA0850	Did not go to school	M	35
POA0850	Year 8	F	115
POA0850	Year 8	M	134
POA0850	Year 9	F	132
POA0850	Year 9	M	184
POA0850	Year 10	F	523
POA0850	Year 10	M	619
POA0850	Year 11	F	339
POA0850	Year 11	M	353
POA0850	Year 12	F	1418
POA0850	Year 12	M	1175
POA0852	Did not go to school	F	95
POA0852	Did not go to school	M	108
POA0852	Year 8	F	294
POA0852	Year 8	M	353
POA0852	Year 9	F	338
POA0852	Year 9	M	416
POA0852	Year 10	F	696
POA0852	Year 10	M	724
POA0852	Year 11	F	515
POA0852	Year 11	M	481
POA0852	Year 12	F	846
POA0852	Year 12	M	645
POA0853	Year 8	F	4
POA0853	Year 9	F	7
POA0853	Year 9	M	4
POA0853	Year 10	F	37
POA0853	Year 10	M	36
POA0853	Year 11	F	10
POA0853	Year 11	M	30
POA0853	Year 12	F	193
POA0853	Year 12	M	233
POA0854	Did not go to school	F	8
POA0854	Did not go to school	M	7
POA0854	Year 8	F	25
POA0854	Year 8	M	33
POA0854	Year 9	F	33
POA0854	Year 9	M	42
POA0854	Year 10	F	86
POA0854	Year 10	M	67
POA0854	Year 11	F	50
POA0854	Year 11	M	45
POA0854	Year 12	F	60
POA0854	Year 12	M	53
POA0860	Did not go to school	F	24
POA0860	Did not go to school	M	29
POA0860	Year 8	F	129
POA0860	Year 8	M	108
POA0860	Year 9	F	108
POA0860	Year 9	M	106
POA0860	Year 10	F	230
POA0860	Year 10	M	271
POA0860	Year 11	F	141
POA0860	Year 11	M	120
POA0860	Year 12	F	417
POA0860	Year 12	M	406
POA0862	Did not go to school	M	3
POA0862	Year 8	F	14
POA0862	Year 8	M	27
POA0862	Year 9	F	14
POA0862	Year 9	M	23
POA0862	Year 10	F	57
POA0862	Year 10	M	72
POA0862	Year 11	F	39
POA0862	Year 11	M	40
POA0862	Year 12	F	107
POA0862	Year 12	M	96
POA0870	Did not go to school	F	104
POA0870	Did not go to school	M	79
POA0870	Year 8	F	302
POA0870	Year 8	M	329
POA0870	Year 9	F	409
POA0870	Year 9	M	394
POA0870	Year 10	F	1099
POA0870	Year 10	M	1322
POA0870	Year 11	F	903
POA0870	Year 11	M	930
POA0870	Year 12	F	4942
POA0870	Year 12	M	4021
POA0872	Did not go to school	F	257
POA0872	Did not go to school	M	245
POA0872	Year 8	F	949
POA0872	Year 8	M	1022
POA0872	Year 9	F	609
POA0872	Year 9	M	626
POA0872	Year 10	F	1113
POA0872	Year 10	M	1393
POA0872	Year 11	F	637
POA0872	Year 11	M	510
POA0872	Year 12	F	1251
POA0872	Year 12	M	1113
POA0873	Did not go to school	F	46
POA0873	Did not go to school	M	32
POA0873	Year 8	F	96
POA0873	Year 8	M	81
POA0873	Year 9	F	75
POA0873	Year 9	M	86
POA0873	Year 10	F	184
POA0873	Year 10	M	231
POA0873	Year 11	F	130
POA0873	Year 11	M	144
POA0873	Year 12	F	484
POA0873	Year 12	M	365
POA0874	Year 8	F	3
POA0874	Year 8	M	11
POA0874	Year 9	F	3
POA0874	Year 9	M	5
POA0874	Year 10	F	16
POA0874	Year 10	M	18
POA0874	Year 11	F	15
POA0874	Year 11	M	18
POA0874	Year 12	F	170
POA0874	Year 12	M	163
POA0875	Did not go to school	F	6
POA0875	Did not go to school	M	10
POA0875	Year 8	F	88
POA0875	Year 8	M	55
POA0875	Year 9	F	67
POA0875	Year 9	M	54
POA0875	Year 10	F	162
POA0875	Year 10	M	175
POA0875	Year 11	F	130
POA0875	Year 11	M	132
POA0875	Year 12	F	477
POA0875	Year 12	M	377
POA0880	Did not go to school	F	13
POA0880	Did not go to school	M	11
POA0880	Year 8	F	85
POA0880	Year 8	M	83
POA0880	Year 9	F	85
POA0880	Year 9	M	104
POA0880	Year 10	F	289
POA0880	Year 10	M	373
POA0880	Year 11	F	191
POA0880	Year 11	M	225
POA0880	Year 12	F	913
POA0880	Year 12	M	698
POA0885	Year 8	F	8
POA0885	Year 9	F	3
POA0885	Year 9	M	11
POA0885	Year 10	F	24
POA0885	Year 10	M	53
POA0885	Year 11	F	16
POA0885	Year 11	M	27
POA0885	Year 12	F	153
POA0885	Year 12	M	116
POA0886	Year 8	F	9
POA0886	Year 8	M	4
POA0886	Year 9	F	15
POA0886	Year 9	M	18
POA0886	Year 10	F	48
POA0886	Year 10	M	58
POA0886	Year 11	F	22
POA0886	Year 11	M	40
POA0886	Year 12	F	146
POA0886	Year 12	M	134
POA2000	Did not go to school	F	215
POA2000	Did not go to school	M	186
POA2000	Year 8	F	165
POA2000	Year 8	M	152
POA2000	Year 9	F	163
POA2000	Year 9	M	158
POA2000	Year 10	F	475
POA2000	Year 10	M	481
POA2000	Year 11	F	293
POA2000	Year 11	M	379
POA2000	Year 12	F	10613
POA2000	Year 12	M	10948
POA2007	Did not go to school	F	54
POA2007	Did not go to school	M	46
POA2007	Year 8	F	52
POA2007	Year 8	M	44
POA2007	Year 9	F	56
POA2007	Year 9	M	49
POA2007	Year 10	F	113
POA2007	Year 10	M	153
