POA_CODE_2021	medianTotalHouseholdIncome
POA0800	111852
POA0810	114348
POA0812	106392
POA0820	120016
POA0822	70044
POA0828	117000
POA0829	73424
POA0830	105404
POA0832	122304
POA0834	139256
POA0835	133120
POA0836	134836
POA0837	73788
POA0838	113516
POA0839	74152
POA0840	41912
POA0841	80600
POA0845	46800
POA0846	51584
POA0847	58500
POA0850	105404
POA0852	69212
POA0853	148980
POA0854	67652
POA0860	87204
POA0862	71500
POA0870	113048
POA0872	63076
POA0873	92716
POA0874	115492
POA0875	105664
POA0880	125112
POA0885	173316
POA0886	108680
POA2000	115700
POA2007	93860
POA2008	90792
POA2009	125944
POA2010	119444
POA2011	106132
POA2015	135564
POA2016	111540
POA2017	109408
POA2018	104884
POA2019	122876
POA2020	117208
POA2021	146796
POA2022	129168
POA2023	172380
POA2024	166244
POA2025	156676
POA2026	150592
POA2027	157404
POA2028	160004
POA2029	132028
POA2030	181012
POA2031	130728
POA2032	90792
POA2033	110136
POA2034	145392
POA2035	111852
POA2036	106600
POA2037	104572
POA2038	139516
POA2039	166192
POA2040	141804
POA2041	163644
POA2042	121056
POA2043	157040
POA2044	136188
POA2045	143572
POA2046	124436
POA2047	144352
POA2048	124540
POA2049	118768
POA2050	121212
POA2060	128076
POA2061	128700
POA2062	149240
POA2063	201448
POA2064	125840
POA2065	142636
POA2066	143208
POA2067	113620
POA2068	168064
POA2069	172120
POA2070	154440
POA2071	147628
POA2072	127920
POA2073	177528
POA2074	156208
POA2075	154180
POA2076	151996
POA2077	109616
POA2079	130260
POA2080	126256
POA2081	140296
POA2082	127348
POA2083	101400
POA2084	149864
POA2085	144040
POA2086	161564
POA2087	145288
POA2088	150384
POA2089	128388
POA2090	131924
POA2092	217568
POA2093	153608
POA2094	169052
POA2095	164528
POA2096	150852
POA2097	140504
POA2099	113724
POA2100	141388
POA2101	116012
POA2102	135096
POA2103	119392
POA2104	98020
POA2105	135252
POA2106	128908
POA2107	136604
POA2108	140504
POA2110	175136
POA2111	120380
POA2112	108888
POA2113	112112
POA2114	108628
POA2115	103636
POA2116	97292
POA2117	96772
POA2118	108368
POA2119	159640
POA2120	137436
POA2121	119808
POA2122	101088
POA2125	160056
POA2126	152048
POA2127	108368
POA2128	97500
POA2130	117520
POA2131	98176
POA2132	112164
POA2133	95836
POA2134	86892
POA2135	117624
POA2136	101036
POA2137	123604
POA2138	116896
POA2140	106184
POA2141	93652
POA2142	80444
POA2143	81172
POA2144	79716
POA2145	108680
POA2146	110032
POA2147	100100
POA2148	93600
POA2150	106860
POA2151	101764
POA2152	100048
POA2153	129792
POA2154	132652
POA2155	158184
POA2156	143312
POA2157	129636
POA2158	132496
POA2159	124800
POA2160	75660
POA2161	70044
POA2162	73008
POA2163	51636
POA2164	72852
POA2165	63700
POA2166	68900
POA2167	107640
POA2168	72124
POA2170	81432
POA2171	123708
POA2172	165620
POA2173	129740
POA2174	133224
POA2175	111020
POA2176	86528
POA2177	81692
POA2178	115128
POA2179	115648
POA2190	75556
POA2191	89804
POA2192	75712
POA2193	105144
POA2194	77844
POA2195	64168
POA2196	76908
POA2197	73268
POA2198	92508
POA2199	74776
POA2200	72384
POA2203	108992
POA2204	112632
POA2205	110084
POA2206	111228
POA2207	100776
POA2208	98696
POA2209	88244
POA2210	87932
POA2211	98696
POA2212	100932
POA2213	110032
POA2214	110084
POA2216	93184
POA2217	98800
POA2218	95316
POA2219	96512
POA2220	95732
POA2221	117572
POA2222	95680
POA2223	115908
POA2224	108420
POA2225	166608
POA2226	133588
POA2227	121576
POA2228	104468
POA2229	116220
POA2230	114348
POA2231	112372
POA2232	112164
