POA_CODE_2021	AustCitizen	persons
POA0800	0	3226
POA0800	1	3923
POA0810	0	8514
POA0810	1	25816
POA0812	0	3319
POA0812	1	15315
POA0820	0	5109
POA0820	1	14811
POA0822	0	2328
POA0822	1	22976
POA0828	0	400
POA0828	1	1297
POA0829	0	1215
POA0829	1	748
POA0830	0	3385
POA0830	1	15116
POA0832	0	3280
POA0832	1	15447
POA0834	0	200
POA0834	1	1611
POA0835	0	356
POA0835	1	2797
POA0836	0	837
POA0836	1	6760
POA0837	0	136
POA0837	1	353
POA0838	0	163
POA0838	1	707
POA0839	0	167
POA0839	1	343
POA0840	0	80
POA0840	1	377
POA0841	0	135
POA0841	1	492
POA0845	0	111
POA0845	1	285
POA0846	0	87
POA0846	1	230
POA0847	0	69
POA0847	1	249
POA0850	0	1796
POA0850	1	6077
POA0852	0	1294
POA0852	1	7441
POA0853	0	90
POA0853	1	760
POA0854	0	69
POA0854	1	686
POA0860	0	578
POA0860	1	2502
POA0862	0	90
POA0862	1	625
POA0870	0	4466
POA0870	1	15875
POA0872	0	1878
POA0872	1	12798
POA0873	0	465
POA0873	1	2291
POA0874	0	272
POA0874	1	282
POA0875	0	409
POA0875	1	2073
POA0880	0	1075
POA0880	1	3878
POA0885	0	195
POA0885	1	556
POA0886	0	170
POA0886	1	585
POA2000	0	16548
POA2000	1	11388
POA2007	0	4015
POA2007	1	3395
POA2008	0	5098
POA2008	1	5302
POA2009	0	4299
POA2009	1	8359
POA2010	0	7715
POA2010	1	18728
POA2011	0	4814
POA2011	1	13373
POA2015	0	2393
POA2015	1	9029
POA2016	0	3462
POA2016	1	9610
POA2017	0	12982
POA2017	1	16021
POA2018	0	5627
POA2018	1	14251
POA2019	0	2317
POA2019	1	11150
POA2020	0	9769
POA2020	1	11822
POA2021	0	2373
POA2021	1	12573
POA2022	0	3979
POA2022	1	9530
POA2023	0	1620
POA2023	1	8970
POA2024	0	2072
POA2024	1	9308
POA2025	0	1047
POA2025	1	6142
POA2026	0	9007
POA2026	1	23686
POA2027	0	1354
POA2027	1	6456
POA2028	0	768
POA2028	1	3941
POA2029	0	1707
POA2029	1	8204
POA2030	0	1770
POA2030	1	12664
POA2031	0	7162
POA2031	1	26668
POA2032	0	4264
POA2032	1	10379
POA2033	0	3436
POA2033	1	8491
POA2034	0	4416
POA2034	1	15833
POA2035	0	6837
POA2035	1	27765
POA2036	0	7675
POA2036	1	26092
POA2037	0	3772
POA2037	1	12869
POA2038	0	1276
POA2038	1	8211
POA2039	0	1115
POA2039	1	7438
POA2040	0	2925
POA2040	1	19878
POA2041	0	2056
POA2041	1	13528
POA2042	0	3302
POA2042	1	15371
POA2043	0	2046
POA2043	1	7611
POA2044	0	1236
POA2044	1	7042
POA2045	0	548
POA2045	1	5932
POA2046	0	2948
POA2046	1	24340
POA2047	0	1562
POA2047	1	10449
POA2048	0	913
POA2048	1	6706
POA2049	0	1932
POA2049	1	10326
POA2050	0	2046
POA2050	1	7335
POA2060	0	3717
POA2060	1	11418
POA2061	0	1498
POA2061	1	4660
POA2062	0	944
POA2062	1	6144
POA2063	0	691
POA2063	1	5802
POA2064	0	2477
POA2064	1	6940
POA2065	0	6619
POA2065	1	25079
POA2066	0	5583
POA2066	1	28261
POA2067	0	9136
POA2067	1	17942
POA2068	0	2095
POA2068	1	15355
POA2069	0	2105
POA2069	1	12499
POA2070	0	2326
POA2070	1	12322
POA2071	0	2517
POA2071	1	10993
POA2072	0	2066
POA2072	1	6729
POA2073	0	2467
POA2073	1	14754
POA2074	0	3052
POA2074	1	20371
POA2075	0	3475
POA2075	1	18190
POA2076	0	3298
POA2076	1	22042
POA2077	0	11046
POA2077	1	31773
POA2079	0	847
POA2079	1	6969
POA2080	0	155
POA2080	1	1611
POA2081	0	399
POA2081	1	4995
POA2082	0	380
POA2082	1	5078
POA2083	0	197
POA2083	1	1468
POA2084	0	292
POA2084	1	3467
POA2085	0	933
POA2085	1	10519
POA2086	0	1423
POA2086	1	12791
POA2087	0	1412
POA2087	1	11749
POA2088	0	4310
POA2088	1	24019
POA2089	0	2206
POA2089	1	9285
POA2090	0	2382
POA2090	1	11151
POA2092	0	804
POA2092	1	6580
POA2093	0	2949
POA2093	1	20606
POA2094	0	991
POA2094	1	5150
POA2095	0	4062
POA2095	1	12234
POA2096	0	2363
POA2096	1	12592
POA2097	0	1689
POA2097	1	14302
POA2099	0	8232
POA2099	1	34685
POA2100	0	2689
POA2100	1	19284
POA2101	0	2146
POA2101	1	17739
POA2102	0	1049
POA2102	1	7330
POA2103	0	1176
POA2103	1	9701
POA2104	0	387
POA2104	1	3420
POA2105	0	287
POA2105	1	1721
POA2106	0	890
POA2106	1	8769
POA2107	0	1414
POA2107	1	14008
POA2108	0	158
POA2108	1	1582
POA2110	0	948
POA2110	1	8898
POA2111	0	1907
POA2111	1	13549
POA2112	0	8841
POA2112	1	29185
POA2113	0	8814
POA2113	1	18823
POA2114	0	6272
POA2114	1	18995
POA2115	0	2490
POA2115	1	10196
POA2116	0	1389
POA2116	1	5885
POA2117	0	4476
POA2117	1	17709
POA2118	0	6669
POA2118	1	21219
POA2119	0	1629
POA2119	1	10829
POA2120	0	2649
POA2120	1	18339
POA2121	0	9923
POA2121	1	24286
POA2122	0	8775
POA2122	1	22412
POA2125	0	1874
POA2125	1	14746
POA2126	0	3058
POA2126	1	16024
POA2127	0	8650
POA2127	1	14548
POA2128	0	1953
POA2128	1	1647
POA2130	0	1110
POA2130	1	6178
POA2131	0	6534
POA2131	1	16478
POA2132	0	1768
POA2132	1	8987
POA2133	0	1384
POA2133	1	9545
POA2134	0	9110
POA2134	1	9114
POA2135	0	9212
POA2135	1	16703
POA2136	0	1465
POA2136	1	6298
POA2137	0	4353
POA2137	1	23373
POA2138	0	7207
POA2138	1	12479
POA2140	0	10007
POA2140	1	10759
POA2141	0	11618
POA2141	1	20807
POA2142	0	10654
POA2142	1	17339
POA2143	0	2144
POA2143	1	7630
POA2144	0	17281
POA2144	1	22052
POA2145	0	24126
POA2145	1	63405
POA2146	0	4695
POA2146	1	14761
POA2147	0	6652
POA2147	1	30633
POA2148	0	17062
POA2148	1	50421
POA2150	0	18938
POA2150	1	16316
POA2151	0	4549
POA2151	1	16655
POA2152	0	1640
POA2152	1	9621
POA2153	0	9291
POA2153	1	53319
POA2154	0	6813
POA2154	1	34061
POA2155	0	12042
POA2155	1	63657
POA2156	0	945
POA2156	1	12458
POA2157	0	277
POA2157	1	3765
POA2158	0	860
POA2158	1	8077
POA2159	0	445
POA2159	1	4703
POA2160	0	11128
POA2160	1	28260
POA2161	0	8143
POA2161	1	26236
POA2162	0	4009
POA2162	1	16297
POA2163	0	2852
POA2163	1	7692
POA2164	0	4595
POA2164	1	16678
POA2165	0	13554
POA2165	1	31492
POA2166	0	12012
POA2166	1	42172
POA2167	0	2250
POA2167	1	8286
POA2168	0	7552
POA2168	1	37471
POA2170	0	22544
POA2170	1	91935
POA2171	0	4236
POA2171	1	34646
POA2172	0	164
POA2172	1	2728
POA2173	0	1670
POA2173	1	12874
POA2174	0	2400
POA2174	1	9680
POA2175	0	200
POA2175	1	1590
POA2176	0	8556
POA2176	1	41466
POA2177	0	2515
POA2177	1	14639
POA2178	0	439
POA2178	1	3731
POA2179	0	2701
POA2179	1	13561
POA2190	0	4094
POA2190	1	23465
POA2191	0	880
POA2191	1	5675
POA2192	0	3288
POA2192	1	10493
POA2193	0	3942
POA2193	1	13836
POA2194	0	11133
POA2194	1	14999
POA2195	0	9646
POA2195	1	17457
POA2196	0	6329
POA2196	1	27414
POA2197	0	1533
POA2197	1	8588
POA2198	0	1402
POA2198	1	8441
POA2199	0	3454
POA2199	1	16197
POA2200	0	11251
POA2200	1	36752
POA2203	0	2001
POA2203	1	11945
POA2204	0	4011
POA2204	1	22556
POA2205	0	10557
POA2205	1	14781
POA2206	0	1849
POA2206	1	17881
POA2207	0	4038
POA2207	1	24344
POA2208	0	1607
POA2208	1	11274
POA2209	0	3051
POA2209	1	12774
POA2210	0	5891
POA2210	1	27371
POA2211	0	2494
POA2211	1	15116
POA2212	0	2659
POA2212	1	14525
POA2213	0	2487
