POA_CODE_2021	Age	persons
POA2065	20-24	1588
POA2065	25-34	6893
POA2065	35-44	6233
POA2065	45-54	4078
POA2065	55-64	3054
POA2065	65-74	2514
POA2065	75-84	1281
POA2065	85+	464
POA2066	0-4	2164
POA2066	5-14	4327
POA2066	15-19	1806
POA2066	20-24	1604
POA2066	25-34	5053
POA2066	35-44	6000
POA2066	45-54	4565
POA2066	55-64	3419
POA2066	65-74	2642
POA2066	75-84	1573
POA2066	85+	703
POA2067	0-4	1358
POA2067	5-14	3220
POA2067	15-19	1318
POA2067	20-24	1666
POA2067	25-34	4358
POA2067	35-44	4864
POA2067	45-54	3525
POA2067	55-64	2609
POA2067	65-74	2253
POA2067	75-84	1235
POA2067	85+	673
POA2068	0-4	920
POA2068	5-14	2753
POA2068	15-19	1236
POA2068	20-24	840
POA2068	25-34	1272
POA2068	35-44	2490
POA2068	45-54	2903
POA2068	55-64	2142
POA2068	65-74	1548
POA2068	75-84	879
POA2068	85+	460
POA2069	0-4	641
POA2069	5-14	2300
POA2069	15-19	1079
POA2069	20-24	840
POA2069	25-34	1187
POA2069	35-44	1938
POA2069	45-54	2227
POA2069	55-64	1761
POA2069	65-74	1401
POA2069	75-84	840
POA2069	85+	383
POA2070	0-4	729
POA2070	5-14	2248
POA2070	15-19	1030
POA2070	20-24	824
POA2070	25-34	1224
POA2070	35-44	2065
POA2070	45-54	2185
POA2070	55-64	1724
POA2070	65-74	1347
POA2070	75-84	855
POA2070	85+	412
POA2071	0-4	519
POA2071	5-14	1945
POA2071	15-19	1064
POA2071	20-24	871
POA2071	25-34	1118
POA2071	35-44	1684
POA2071	45-54	2092
POA2071	55-64	1716
POA2071	65-74	1268
POA2071	75-84	825
POA2071	85+	430
POA2072	0-4	381
POA2072	5-14	1122
POA2072	15-19	633
POA2072	20-24	558
POA2072	25-34	1061
POA2072	35-44	1293
POA2072	45-54	1325
POA2072	55-64	1039
POA2072	65-74	773
POA2072	75-84	434
POA2072	85+	187
POA2073	0-4	817
POA2073	5-14	2712
POA2073	15-19	1332
POA2073	20-24	1004
POA2073	25-34	1296
POA2073	35-44	2350
POA2073	45-54	2664
POA2073	55-64	2259
POA2073	65-74	1573
POA2073	75-84	850
POA2073	85+	370
POA2074	0-4	1049
POA2074	5-14	3271
POA2074	15-19	1709
POA2074	20-24	1244
POA2074	25-34	1527
POA2074	35-44	2924
POA2074	45-54	3476
POA2074	55-64	2873
POA2074	65-74	2249
POA2074	75-84	1917
POA2074	85+	1174
POA2075	0-4	1021
POA2075	5-14	3533
POA2075	15-19	1403
POA2075	20-24	1045
POA2075	25-34	1262
POA2075	35-44	2977
POA2075	45-54	3224
POA2075	55-64	2608
POA2075	65-74	2141
POA2075	75-84	1702
POA2075	85+	760
POA2076	0-4	1156
POA2076	5-14	3664
POA2076	15-19	1932
POA2076	20-24	1366
POA2076	25-34	1672
POA2076	35-44	3283
POA2076	45-54	3834
POA2076	55-64	3014
POA2076	65-74	2375
POA2076	75-84	1852
POA2076	85+	1188
POA2077	0-4	2737
POA2077	5-14	5532
POA2077	15-19	2058
POA2077	20-24	2314
POA2077	25-34	6077
POA2077	35-44	8131
POA2077	45-54	5615
POA2077	55-64	4332
POA2077	65-74	3460
POA2077	75-84	1799
POA2077	85+	766
POA2079	0-4	462
POA2079	5-14	1090
POA2079	15-19	533
POA2079	20-24	412
POA2079	25-34	834
POA2079	35-44	1148
POA2079	45-54	1193
POA2079	55-64	1088
POA2079	65-74	621
POA2079	75-84	332
POA2079	85+	94
POA2080	0-4	84
POA2080	5-14	285
POA2080	15-19	123
POA2080	20-24	88
POA2080	25-34	143
POA2080	35-44	238
POA2080	45-54	284
POA2080	55-64	235
POA2080	65-74	163
POA2080	75-84	91
POA2080	85+	21
POA2081	0-4	292
POA2081	5-14	832
POA2081	15-19	417
POA2081	20-24	311
POA2081	25-34	390
POA2081	35-44	699
POA2081	45-54	881
POA2081	55-64	762
POA2081	65-74	459
POA2081	75-84	289
POA2081	85+	59
POA2082	0-4	294
POA2082	5-14	862
POA2082	15-19	398
POA2082	20-24	271
POA2082	25-34	327
POA2082	35-44	771
POA2082	45-54	929
POA2082	55-64	647
POA2082	65-74	591
POA2082	75-84	294
POA2082	85+	75
POA2083	0-4	78
POA2083	5-14	133
POA2083	15-19	76
POA2083	20-24	73
POA2083	25-34	140
POA2083	35-44	180
POA2083	45-54	254
POA2083	55-64	340
POA2083	65-74	237
POA2083	75-84	134
POA2083	85+	21
POA2084	0-4	153
POA2084	5-14	510
POA2084	15-19	263
POA2084	20-24	216
POA2084	25-34	237
POA2084	35-44	368
POA2084	45-54	609
POA2084	55-64	523
POA2084	65-74	438
POA2084	75-84	308
POA2084	85+	136
POA2085	0-4	483
POA2085	5-14	1661
POA2085	15-19	839
POA2085	20-24	607
POA2085	25-34	587
POA2085	35-44	1262
POA2085	45-54	1882
POA2085	55-64	1271
POA2085	65-74	1233
POA2085	75-84	1147
POA2085	85+	484
POA2086	0-4	811
POA2086	5-14	2339
POA2086	15-19	1092
POA2086	20-24	770
POA2086	25-34	1041
POA2086	35-44	1922
POA2086	45-54	2391
POA2086	55-64	1597
POA2086	65-74	1119
POA2086	75-84	872
POA2086	85+	256
POA2087	0-4	630
POA2087	5-14	2174
POA2087	15-19	1034
POA2087	20-24	713
POA2087	25-34	720
POA2087	35-44	1602
POA2087	45-54	2211
POA2087	55-64	1572
POA2087	65-74	1047
POA2087	75-84	992
POA2087	85+	470
POA2088	0-4	1220
POA2088	5-14	3391
POA2088	15-19	1619
POA2088	20-24	1346
POA2088	25-34	2935
POA2088	35-44	3649
POA2088	45-54	4238
POA2088	55-64	3727
POA2088	65-74	3073
POA2088	75-84	2216
POA2088	85+	916
POA2089	0-4	579
POA2089	5-14	902
POA2089	15-19	367
POA2089	20-24	599
POA2089	25-34	2483
POA2089	35-44	2042
POA2089	45-54	1408
POA2089	55-64	1227
POA2089	65-74	1004
POA2089	75-84	619
POA2089	85+	248
POA2090	0-4	720
POA2090	5-14	1257
POA2090	15-19	505
POA2090	20-24	594
POA2090	25-34	2233
POA2090	35-44	2211
POA2090	45-54	1850
POA2090	55-64	1589
POA2090	65-74	1481
POA2090	75-84	823
POA2090	85+	270
POA2092	0-4	436
POA2092	5-14	1275
POA2092	15-19	590
POA2092	20-24	361
POA2092	25-34	434
POA2092	35-44	903
POA2092	45-54	1325
POA2092	55-64	937
POA2092	65-74	590
POA2092	75-84	390
POA2092	85+	147
POA2093	0-4	1315
POA2093	5-14	3727
POA2093	15-19	1520
POA2093	20-24	1095
POA2093	25-34	2322
POA2093	35-44	3366
POA2093	45-54	3913
POA2093	55-64	2774
POA2093	65-74	1849
POA2093	75-84	1131
POA2093	85+	538
POA2094	0-4	406
POA2094	5-14	654
POA2094	15-19	302
POA2094	20-24	264
POA2094	25-34	958
POA2094	35-44	977
POA2094	45-54	852
POA2094	55-64	790
POA2094	65-74	527
POA2094	75-84	317
POA2094	85+	102
POA2095	0-4	853
POA2095	5-14	1332
POA2095	15-19	582
POA2095	20-24	737
POA2095	25-34	3549
POA2095	35-44	2809
POA2095	45-54	2051
POA2095	55-64	1853
POA2095	65-74	1310
POA2095	75-84	854
POA2095	85+	357
POA2096	0-4	920
POA2096	5-14	1729
POA2096	15-19	802
POA2096	20-24	708
POA2096	25-34	2715
POA2096	35-44	2388
POA2096	45-54	2241
POA2096	55-64	1642
POA2096	65-74	1063
POA2096	75-84	554
POA2096	85+	197
POA2097	0-4	898
POA2097	5-14	2095
POA2097	15-19	1130
POA2097	20-24	930
POA2097	25-34	1644
POA2097	35-44	2075
POA2097	45-54	2524
POA2097	55-64	1990
POA2097	65-74	1419
POA2097	75-84	899
POA2097	85+	385
POA2099	0-4	2598
POA2099	5-14	4886
POA2099	15-19	2258
POA2099	20-24	2556
POA2099	25-34	6524
POA2099	35-44	6679
POA2099	45-54	6164
POA2099	55-64	4834
POA2099	65-74	3287
POA2099	75-84	2209
