POA_CODE_2021	FamilyHousehold	IncomeHousehold.max	households
POA0800	0		95
POA0800	0	0	15
POA0800	0	7875	7
POA0800	0	15750	15
POA0800	0	21000	22
POA0800	0	26250	43
POA0800	0	34125	37
POA0800	0	42000	46
POA0800	0	52500	66
POA0800	0	65625	130
POA0800	0	78750	158
POA0800	0	91875	144
POA0800	0	105000	129
POA0800	0	131250	277
POA0800	0	157500	38
POA0800	0	183750	74
POA0800	0	210000	23
POA0800	0	Inf	134
POA0800	1		150
POA0800	1	0	9
POA0800	1	15750	3
POA0800	1	21000	3
POA0800	1	26250	14
POA0800	1	34125	13
POA0800	1	42000	22
POA0800	1	52500	40
POA0800	1	65625	49
POA0800	1	78750	74
POA0800	1	91875	75
POA0800	1	105000	102
POA0800	1	131250	242
POA0800	1	157500	163
POA0800	1	183750	152
POA0800	1	210000	106
POA0800	1	Inf	315
POA0810	0		259
POA0810	0	0	89
POA0810	0	7875	30
POA0810	0	15750	73
POA0810	0	21000	197
POA0810	0	26250	290
POA0810	0	34125	193
POA0810	0	42000	188
POA0810	0	52500	282
POA0810	0	65625	277
POA0810	0	78750	266
POA0810	0	91875	237
POA0810	0	105000	225
POA0810	0	131250	420
POA0810	0	157500	69
POA0810	0	183750	91
POA0810	0	210000	32
POA0810	0	Inf	187
POA0810	1		952
POA0810	1	0	50
POA0810	1	7875	16
POA0810	1	15750	25
POA0810	1	21000	37
POA0810	1	26250	82
POA0810	1	34125	110
POA0810	1	42000	224
POA0810	1	52500	220
POA0810	1	65625	338
POA0810	1	78750	407
POA0810	1	91875	386
POA0810	1	105000	399
POA0810	1	131250	1068
POA0810	1	157500	913
POA0810	1	183750	766
POA0810	1	210000	589
POA0810	1	Inf	1670
POA0812	0		93
POA0812	0	0	50
POA0812	0	7875	14
POA0812	0	15750	53
POA0812	0	21000	91
POA0812	0	26250	172
POA0812	0	34125	96
POA0812	0	42000	92
POA0812	0	52500	127
POA0812	0	65625	131
POA0812	0	78750	129
POA0812	0	91875	129
POA0812	0	105000	108
POA0812	0	131250	169
POA0812	0	157500	25
POA0812	0	183750	48
POA0812	0	210000	21
POA0812	0	Inf	39
POA0812	1		502
POA0812	1	0	44
POA0812	1	7875	10
POA0812	1	15750	22
POA0812	1	21000	36
POA0812	1	26250	71
POA0812	1	34125	89
POA0812	1	42000	161
POA0812	1	52500	168
POA0812	1	65625	224
POA0812	1	78750	256
POA0812	1	91875	216
POA0812	1	105000	240
POA0812	1	131250	612
POA0812	1	157500	464
POA0812	1	183750	432
POA0812	1	210000	334
POA0812	1	Inf	739
POA0820	0		215
POA0820	0	0	59
POA0820	0	7875	17
POA0820	0	15750	45
POA0820	0	21000	121
POA0820	0	26250	159
POA0820	0	34125	104
POA0820	0	42000	94
POA0820	0	52500	169
POA0820	0	65625	186
POA0820	0	78750	232
POA0820	0	91875	233
POA0820	0	105000	214
POA0820	0	131250	451
POA0820	0	157500	93
POA0820	0	183750	118
POA0820	0	210000	55
POA0820	0	Inf	213
POA0820	1		560
POA0820	1	0	18
POA0820	1	7875	7
POA0820	1	15750	14
POA0820	1	21000	21
POA0820	1	26250	42
POA0820	1	34125	35
POA0820	1	42000	103
POA0820	1	52500	86
POA0820	1	65625	145
POA0820	1	78750	216
POA0820	1	91875	171
POA0820	1	105000	230
POA0820	1	131250	624
POA0820	1	157500	501
POA0820	1	183750	481
POA0820	1	210000	341
POA0820	1	Inf	1191
POA0822	0		63
POA0822	0	0	25
POA0822	0	7875	28
POA0822	0	15750	73
POA0822	0	21000	55
POA0822	0	26250	100
POA0822	0	34125	40
POA0822	0	42000	44
POA0822	0	52500	72
POA0822	0	65625	71
POA0822	0	78750	98
POA0822	0	91875	89
POA0822	0	105000	70
POA0822	0	131250	125
POA0822	0	157500	13
POA0822	0	183750	25
POA0822	0	210000	6
POA0822	0	Inf	20
POA0822	1		718
POA0822	1	0	18
POA0822	1	7875	112
POA0822	1	15750	159
POA0822	1	21000	78
POA0822	1	26250	222
POA0822	1	34125	143
POA0822	1	42000	297
POA0822	1	52500	283
POA0822	1	65625	343
POA0822	1	78750	322
POA0822	1	91875	209
POA0822	1	105000	243
POA0822	1	131250	365
POA0822	1	157500	265
POA0822	1	183750	182
POA0822	1	210000	140
POA0822	1	Inf	294
POA0828	0		6
POA0828	0	0	5
POA0828	0	21000	11
POA0828	0	26250	8
POA0828	0	34125	9
POA0828	0	42000	5
POA0828	0	52500	6
POA0828	0	65625	7
POA0828	0	78750	13
POA0828	0	91875	8
POA0828	0	105000	9
POA0828	0	131250	9
POA0828	0	Inf	5
POA0828	1		38
POA0828	1	0	5
POA0828	1	15750	3
POA0828	1	21000	4
POA0828	1	34125	8
POA0828	1	42000	8
POA0828	1	52500	7
POA0828	1	65625	12
POA0828	1	78750	20
POA0828	1	91875	12
POA0828	1	105000	18
POA0828	1	131250	41
POA0828	1	157500	41
POA0828	1	183750	27
POA0828	1	210000	24
POA0828	1	Inf	60
POA0829	0	34125	3
POA0829	0	52500	4
POA0829	0	65625	4
POA0829	0	78750	9
POA0829	0	91875	3
POA0829	0	131250	3
POA0829	1		10
POA0829	1	42000	4
POA0829	1	65625	6
POA0829	1	78750	6
POA0829	1	105000	3
POA0829	1	131250	4
POA0829	1	157500	8
POA0829	1	210000	6
POA0829	1	Inf	9
POA0830	0		103
POA0830	0	0	48
POA0830	0	7875	13
POA0830	0	15750	41
POA0830	0	21000	151
POA0830	0	26250	195
POA0830	0	34125	97
POA0830	0	42000	68
POA0830	0	52500	117
POA0830	0	65625	188
POA0830	0	78750	147
POA0830	0	91875	137
POA0830	0	105000	101
POA0830	0	131250	183
POA0830	0	157500	19
POA0830	0	183750	35
POA0830	0	210000	8
POA0830	0	Inf	32
POA0830	1		568
POA0830	1	0	24
POA0830	1	7875	7
POA0830	1	15750	23
POA0830	1	21000	41
POA0830	1	26250	57
POA0830	1	34125	72
POA0830	1	42000	147
POA0830	1	52500	124
POA0830	1	65625	213
POA0830	1	78750	259
POA0830	1	91875	196
POA0830	1	105000	236
POA0830	1	131250	624
POA0830	1	157500	495
POA0830	1	183750	424
POA0830	1	210000	292
POA0830	1	Inf	683
POA0832	0		90
POA0832	0	0	42
POA0832	0	7875	3
POA0832	0	15750	20
POA0832	0	21000	43
POA0832	0	26250	73
POA0832	0	34125	57
POA0832	0	42000	58
POA0832	0	52500	88
POA0832	0	65625	138
POA0832	0	78750	143
POA0832	0	91875	152
POA0832	0	105000	134
POA0832	0	131250	174
POA0832	0	157500	48
POA0832	0	183750	48
POA0832	0	210000	14
POA0832	0	Inf	41
POA0832	1		597
POA0832	1	0	16
POA0832	1	7875	7
POA0832	1	15750	6
POA0832	1	21000	12
POA0832	1	26250	36
POA0832	1	34125	40
POA0832	1	42000	77
POA0832	1	52500	102
POA0832	1	65625	160
POA0832	1	78750	185
POA0832	1	91875	228
POA0832	1	105000	248
POA0832	1	131250	746
POA0832	1	157500	623
POA0832	1	183750	522
POA0832	1	210000	403
POA0832	1	Inf	752
POA0834	0		8
POA0834	0	0	8
POA0834	0	7875	6
POA0834	0	15750	4
POA0834	0	26250	11
POA0834	0	34125	5
POA0834	0	42000	11
POA0834	0	52500	17
POA0834	0	65625	13
POA0834	0	78750	6
POA0834	0	91875	7
POA0834	0	105000	4
POA0834	0	131250	10
POA0834	0	210000	8
POA0834	0	Inf	4
POA0834	1		62
POA0834	1	0	3
POA0834	1	21000	3
POA0834	1	26250	6
POA0834	1	42000	9
POA0834	1	52500	10
POA0834	1	65625	16
POA0834	1	78750	24
POA0834	1	91875	15
POA0834	1	105000	14
POA0834	1	131250	40
POA0834	1	157500	34
POA0834	1	183750	51
POA0834	1	210000	44
POA0834	1	Inf	128
POA0835	0		22
POA0835	0	0	10
POA0835	0	15750	4
POA0835	0	21000	8
POA0835	0	26250	17
POA0835	0	34125	23
POA0835	0	42000	13
POA0835	0	52500	11
POA0835	0	65625	18
POA0835	0	78750	14
POA0835	0	91875	11
POA0835	0	105000	13
POA0835	0	131250	20
POA0835	0	157500	3
POA0835	0	183750	4
POA0835	0	210000	4
POA0835	0	Inf	7
POA0835	1		116
POA0835	1	0	4
POA0835	1	15750	9
POA0835	1	26250	7
POA0835	1	34125	3
POA0835	1	42000	12
POA0835	1	52500	18
POA0835	1	65625	25
POA0835	1	78750	42
POA0835	1	91875	22
POA0835	1	105000	32
POA0835	1	131250	82
POA0835	1	157500	79
POA0835	1	183750	81
POA0835	1	210000	69
POA0835	1	Inf	201
POA0836	0		33
POA0836	0	0	11
POA0836	0	7875	3
POA0836	0	15750	14
POA0836	0	21000	15
POA0836	0	26250	40
POA0836	0	34125	27
POA0836	0	42000	19
POA0836	0	52500	37
POA0836	0	65625	57
POA0836	0	78750	24
POA0836	0	91875	47
POA0836	0	105000	37
POA0836	0	131250	52
POA0836	0	157500	4
POA0836	0	183750	9
POA0836	0	210000	4
POA0836	0	Inf	20
POA0836	1		312
POA0836	1	0	4
POA0836	1	7875	4
POA0836	1	15750	3
POA0836	1	21000	6
POA0836	1	26250	16
POA0836	1	34125	18
POA0836	1	42000	39
POA0836	1	52500	46
POA0836	1	65625	48
POA0836	1	78750	76
POA0836	1	91875	69
