POA_CODE_2021	MotorVehicles.min	occupied_private_dwellings
POA0862	1	64
POA0862	2	33
POA0862	3	10
POA0862	4	6
POA0870		169
POA0870	0	568
POA0870	1	2546
POA0870	2	2439
POA0870	3	890
POA0870	4	414
POA0872		190
POA0872	0	1293
POA0872	1	1220
POA0872	2	356
POA0872	3	103
POA0872	4	70
POA0873		16
POA0873	0	98
POA0873	1	260
POA0873	2	228
POA0873	3	119
POA0873	4	105
POA0874		7
POA0874	0	26
POA0874	1	115
POA0874	2	66
POA0874	3	22
POA0875		20
POA0875	0	97
POA0875	1	302
POA0875	2	276
POA0875	3	99
POA0875	4	56
POA0880		38
POA0880	0	166
POA0880	1	404
POA0880	2	413
POA0880	3	101
POA0880	4	44
POA0885		4
POA0885	0	12
POA0885	1	89
POA0885	2	85
POA0885	3	23
POA0885	4	9
POA0886		12
POA0886	0	15
POA0886	1	135
POA0886	2	57
POA0886	3	35
POA0886	4	6
POA2000		341
POA2000	0	6305
POA2000	1	3993
POA2000	2	725
POA2000	3	86
POA2000	4	38
POA2007		197
POA2007	0	1315
POA2007	1	1167
POA2007	2	218
POA2007	3	23
POA2007	4	6
POA2008		81
POA2008	0	2452
POA2008	1	1632
POA2008	2	317
POA2008	3	59
POA2008	4	23
POA2009		93
POA2009	0	1580
POA2009	1	2940
POA2009	2	844
POA2009	3	97
POA2009	4	26
POA2010		202
POA2010	0	6126
POA2010	1	5587
POA2010	2	1051
POA2010	3	141
POA2010	4	58
POA2011		140
POA2011	0	4946
POA2011	1	4099
POA2011	2	740
POA2011	3	86
POA2011	4	56
POA2015		62
POA2015	0	1158
POA2015	1	2943
POA2015	2	877
POA2015	3	156
POA2015	4	56
POA2016		133
POA2016	0	2297
POA2016	1	2639
POA2016	2	669
POA2016	3	104
POA2016	4	51
POA2017		268
POA2017	0	4804
POA2017	1	7167
POA2017	2	1629
POA2017	3	166
POA2017	4	53
POA2018		131
POA2018	0	1544
POA2018	1	4089
POA2018	2	1820
POA2018	3	411
POA2018	4	166
POA2019		67
POA2019	0	347
POA2019	1	2055
POA2019	2	1862
POA2019	3	418
POA2019	4	203
POA2020		143
POA2020	0	1598
POA2020	1	4013
POA2020	2	1832
POA2020	3	373
POA2020	4	148
POA2021		76
POA2021	0	1382
POA2021	1	3516
POA2021	2	1305
POA2021	3	218
POA2021	4	87
POA2022		88
POA2022	0	1389
POA2022	1	2839
POA2022	2	1027
POA2022	3	165
POA2022	4	56
POA2023		44
POA2023	0	393
POA2023	1	1712
POA2023	2	1378
POA2023	3	354
POA2023	4	170
POA2024		88
POA2024	0	529
POA2024	1	2022
POA2024	2	1219
POA2024	3	261
POA2024	4	102
POA2025		41
POA2025	0	510
POA2025	1	1518
POA2025	2	772
POA2025	3	101
POA2025	4	45
POA2026		197
POA2026	0	2846
POA2026	1	6640
POA2026	2	3106
POA2026	3	613
POA2026	4	209
POA2027		62
POA2027	0	577
POA2027	1	1772
POA2027	2	914
POA2027	3	163
POA2027	4	85
POA2028		33
POA2028	0	381
POA2028	1	1072
POA2028	2	527
POA2028	3	77
POA2028	4	29
POA2029		62
POA2029	0	473
POA2029	1	1844
POA2029	2	1247
POA2029	3	265
POA2029	4	115
POA2030		56
POA2030	0	287
POA2030	1	1601
POA2030	2	1969
POA2030	3	567
POA2030	4	399
POA2031		141
POA2031	0	2205
POA2031	1	7134
POA2031	2	3336
POA2031	3	582
POA2031	4	210
POA2032		105
POA2032	0	1337
POA2032	1	2498
POA2032	2	1235
POA2032	3	303
POA2032	4	120
POA2033		48
POA2033	0	804
POA2033	1	2173
POA2033	2	1020
POA2033	3	205
POA2033	4	99
POA2034		122
POA2034	0	1306
POA2034	1	3933
POA2034	2	2182
POA2034	3	538
POA2034	4	181
POA2035		194
POA2035	0	1930
POA2035	1	5799
POA2035	2	3939
POA2035	3	964
POA2035	4	463
POA2036		197
POA2036	0	1360
POA2036	1	4875
POA2036	2	3902
POA2036	3	1126
POA2036	4	536
POA2037		139
POA2037	0	2344
POA2037	1	3704
POA2037	2	1101
POA2037	3	185
POA2037	4	59
POA2038		27
POA2038	0	513
POA2038	1	1996
POA2038	2	985
POA2038	3	200
POA2038	4	69
POA2039		32
POA2039	0	400
POA2039	1	2049
POA2039	2	960
POA2039	3	124
POA2039	4	35
POA2040		84
POA2040	0	1186
POA2040	1	4492
POA2040	2	2521
POA2040	3	445
POA2040	4	142
POA2041		50
POA2041	0	891
POA2041	1	3491
POA2041	2	1738
POA2041	3	287
POA2041	4	90
POA2042		102
POA2042	0	2435
POA2042	1	4130
POA2042	2	1218
POA2042	3	212
POA2042	4	81
POA2043		42
POA2043	0	1133
POA2043	1	2674
POA2043	2	593
POA2043	3	68
POA2043	4	23
POA2044		33
POA2044	0	475
POA2044	1	1699
POA2044	2	754
POA2044	3	150
POA2044	4	64
POA2045		19
POA2045	0	205
POA2045	1	745
POA2045	2	836
POA2045	3	271
POA2045	4	149
POA2046		98
POA2046	0	950
POA2046	1	4463
POA2046	2	3767
POA2046	3	915
POA2046	4	451
POA2047		50
POA2047	0	429
POA2047	1	2342
POA2047	2	1599
POA2047	3	353
POA2047	4	139
POA2048		32
POA2048	0	582
POA2048	1	1593
POA2048	2	722
POA2048	3	141
POA2048	4	57
POA2049		56
POA2049	0	1049
POA2049	1	2703
POA2049	2	1039
POA2049	3	196
POA2049	4	64
POA2050		46
POA2050	0	1130
POA2050	1	2181
POA2050	2	603
POA2050	3	71
POA2050	4	29
POA2060		69
POA2060	0	1782
POA2060	1	3966
POA2060	2	1162
POA2060	3	161
POA2060	4	67
POA2061		42
POA2061	0	934
POA2061	1	1619
POA2061	2	484
POA2061	3	54
POA2061	4	24
POA2062		27
POA2062	0	256
POA2062	1	1736
POA2062	2	849
POA2062	3	149
POA2062	4	36
POA2063		14
POA2063	0	84
POA2063	1	742
POA2063	2	918
POA2063	3	268
POA2063	4	114
POA2064		28
POA2064	0	542
POA2064	1	2040
POA2064	2	850
POA2064	3	124
POA2064	4	35
POA2065		123
POA2065	0	2532
POA2065	1	7976
POA2065	2	2949
POA2065	3	485
POA2065	4	175
POA2066		100
POA2066	0	1084
POA2066	1	6156
POA2066	2	4333
POA2066	3	919
POA2066	4	411
POA2067		133
POA2067	0	2071
POA2067	1	5147
POA2067	2	2045
POA2067	3	457
POA2067	4	166
POA2068		39
POA2068	0	368
POA2068	1	2442
POA2068	2	2313
POA2068	3	573
POA2068	4	213
POA2069		38
POA2069	0	249
POA2069	1	1791
POA2069	2	1917
POA2069	3	582
POA2069	4	271
POA2070		32
POA2070	0	316
POA2070	1	1957
POA2070	2	1961
POA2070	3	523
POA2070	4	216
POA2071		43
POA2071	0	210
POA2071	1	1682
POA2071	2	1889
POA2071	3	514
POA2071	4	249
POA2072		29
POA2072	0	211
POA2072	1	1544
POA2072	2	1074
POA2072	3	228
POA2072	4	109
POA2073		42
POA2073	0	179
POA2073	1	1685
POA2073	2	2553
POA2073	3	793
POA2073	4	343
POA2074		60
POA2074	0	358
POA2074	1	2863
POA2074	2	3291
POA2074	3	999
POA2074	4	455
POA2075		42
POA2075	0	194
POA2075	1	2382
POA2075	2	3309
POA2075	3	885
POA2075	4	482
POA2076		61
POA2076	0	360
POA2076	1	2783
POA2076	2	3475
POA2076	3	1044
POA2076	4	489
POA2077		159
POA2077	0	2004
POA2077	1	8211
POA2077	2	4317
POA2077	3	913
POA2077	4	441
POA2079		19
POA2079	0	97
POA2079	1	895
POA2079	2	1103
POA2079	3	368
POA2079	4	189
POA2080		4
POA2080	0	16
POA2080	1	170
POA2080	2	252
POA2080	3	86
POA2080	4	49
POA2081		4
POA2081	0	37
POA2081	1	549
POA2081	2	737
POA2081	3	282
POA2081	4	162
POA2082		12
POA2082	0	45
POA2082	1	545
POA2082	2	798
POA2082	3	275
POA2082	4	162
POA2083		5
POA2083	0	68
POA2083	1	261
POA2083	2	229
POA2083	3	75
POA2083	4	35
POA2084		5
POA2084	0	18
POA2084	1	252
POA2084	2	486
POA2084	3	226
POA2084	4	201
POA2085		41
POA2085	0	111
POA2085	1	1040
POA2085	2	1666
POA2085	3	591
POA2085	4	334
POA2086		20
POA2086	0	112
POA2086	1	1115
POA2086	2	2000
POA2086	3	734
POA2086	4	412
POA2087		32
POA2087	0	231
POA2087	1	1315
POA2087	2	1839
POA2087	3	553
POA2087	4	332
POA2088		104
POA2088	0	1283
POA2088	1	5409
POA2088	2	3542
POA2088	3	820
POA2088	4	372
POA2089		49
POA2089	0	871
POA2089	1	3054
POA2089	2	1163
POA2089	3	171
POA2089	4	60
POA2090		55
POA2090	0	799
POA2090	1	3403
POA2090	2	1554
POA2090	3	252
POA2090	4	99
POA2092		12
POA2092	0	63
POA2092	1	642
POA2092	2	1060
POA2092	3	323
POA2092	4	170
POA2093		61
POA2093	0	527
POA2093	1	3464
POA2093	2	3186
POA2093	3	799
POA2093	4	354
POA2094		13
POA2094	0	163
POA2094	1	1200
POA2094	2	801
POA2094	3	161
POA2094	4	72
POA2095		85
POA2095	0	1140
POA2095	1	3550
POA2095	2	1709
POA2095	3	342
POA2095	4	145
POA2096		44
POA2096	0	350
POA2096	1	2486
POA2096	2	2169
POA2096	3	488
POA2096	4	267
POA2097		47
POA2097	0	214
POA2097	1	1711
POA2097	2	2233
POA2097	3	740
POA2097	4	468
POA2099		230
POA2099	0	1617
POA2099	1	6986
POA2099	2	5230
POA2099	3	1446
POA2099	4	812
POA2100		76
POA2100	0	432
POA2100	1	2324
POA2100	2	2865
POA2100	3	960
POA2100	4	557
POA2101		68
POA2101	0	455
POA2101	1	2633
POA2101	2	2738
POA2101	3	831
POA2101	4	597
POA2102		20
POA2102	0	55
POA2102	1	865
POA2102	2	1218
POA2102	3	361
POA2102	4	189
POA2103		38
POA2103	0	189
POA2103	1	1332
POA2103	2	1610
POA2103	3	510
POA2103	4	295
POA2104		33
POA2104	0	121
POA2104	1	510
POA2104	2	543
POA2104	3	197
POA2104	4	144
POA2105		4
POA2105	0	75
POA2105	1	232
POA2105	2	278
POA2105	3	102
POA2105	4	47
POA2106		20
POA2106	0	101
POA2106	1	1126
POA2106	2	1539
POA2106	3	468
POA2106	4	327
POA2107		48
POA2107	0	126
POA2107	1	1409
POA2107	2	2415
POA2107	3	861
POA2107	4	461
POA2108		4
POA2108	0	18
POA2108	1	210
POA2108	2	326
POA2108	3	93
POA2108	4	55
POA2110		25
POA2110	0	216
POA2110	1	994
POA2110	2	1284
POA2110	3	432
POA2110	4	260
POA2111		68
POA2111	0	567
POA2111	1	2656
POA2111	2	2064
POA2111	3	524
POA2111	4	287
POA2112		155
POA2112	0	1434
POA2112	1	6744
POA2112	2	4275
POA2112	3	1189
POA2112	4	582
POA2113		134
POA2113	0	1870
POA2113	1	5144
POA2113	2	2559
POA2113	3	628
POA2113	4	277
POA2114		104
POA2114	0	1219
POA2114	1	4838
POA2114	2	2750
POA2114	3	612
POA2114	4	306
POA2115		63
POA2115	0	370
POA2115	1	1500
POA2115	2	1626
POA2115	3	476
POA2115	4	241
POA2116		33
POA2116	0	258
POA2116	1	938
POA2116	2	902
POA2116	3	263
POA2116	4	124
POA2117		132
POA2117	0	671
POA2117	1	2710
POA2117	2	2796
POA2117	3	833
POA2117	4	430
POA2118		94
POA2118	0	444
POA2118	1	3368
POA2118	2	3703
POA2118	3	1021
POA2118	4	416
POA2119		30
POA2119	0	134
POA2119	1	1326
POA2119	2	1761
POA2119	3	549
POA2119	4	261
POA2120		46
POA2120	0	335
POA2120	1	2560
POA2120	2	2951
POA2120	3	825
POA2120	4	377
POA2121		117
POA2121	0	1133
POA2121	1	5451
POA2121	2	3796
POA2121	3	952
POA2121	4	393
POA2122		149
POA2122	0	1351
POA2122	1	5084
POA2122	2	3485
POA2122	3	829
POA2122	4	356
POA2125		35
POA2125	0	130
POA2125	1	1249
POA2125	2	2434
POA2125	3	912
POA2125	4	508
POA2126		42
POA2126	0	142
POA2126	1	1840
POA2126	2	2747
POA2126	3	779
POA2126	4	387
POA2127		91
POA2127	0	1031
POA2127	1	6039
POA2127	2	2498
POA2127	3	314
POA2127	4	71
POA2128		14
POA2128	0	37
POA2128	1	329
POA2128	2	270
POA2128	3	84
POA2128	4	50
POA2130		29
POA2130	0	611
POA2130	1	1732
POA2130	2	595
POA2130	3	106
POA2130	4	45
POA2131		156
POA2131	0	2091
POA2131	1	4850
POA2131	2	1658
POA2131	3	348
POA2131	4	156
POA2132		31
POA2132	0	432
POA2132	1	1686
POA2132	2	1119
POA2132	3	296
POA2132	4	122
POA2133		33
POA2133	0	430
POA2133	1	1585
POA2133	2	1299
POA2133	3	412
POA2133	4	204
POA2134		174
POA2134	0	2050
POA2134	1	3089
POA2134	2	1055
POA2134	3	226
POA2134	4	121
POA2135		193
POA2135	0	1756
POA2135	1	3204
POA2135	2	2138
POA2135	3	809
POA2135	4	480
POA2136		42
POA2136	0	291
POA2136	1	1117
POA2136	2	910
POA2136	3	255
POA2136	4	119
POA2137		100
POA2137	0	771
POA2137	1	4165
POA2137	2	3792
POA2137	3	967
POA2137	4	486
POA2138		111
POA2138	0	1125
POA2138	1	4273
POA2138	2	1754
POA2138	3	361
POA2138	4	165
POA2140		180
POA2140	0	1143
POA2140	1	4273
POA2140	2	1657
POA2140	3	265
POA2140	4	118
POA2141		218
POA2141	0	1388
POA2141	1	4632
POA2141	2	3042
POA2141	3	884
POA2141	4	386
POA2142		251
POA2142	0	1512
POA2142	1	4091
POA2142	2	2152
POA2142	3	623
POA2142	4	364
POA2143		59
POA2143	0	304
POA2143	1	1128
POA2143	2	959
POA2143	3	327
POA2143	4	198
POA2144		442
POA2144	0	1926
POA2144	1	4495
POA2144	2	2628
POA2144	3	930
POA2144	4	558
POA2145		486
POA2145	0	2649
POA2145	1	12573
POA2145	2	8913
POA2145	3	2532
POA2145	4	1368
POA2146		92
POA2146	0	508
POA2146	1	2538
POA2146	2	2225
POA2146	3	672
POA2146	4	331
POA2147		193
POA2147	0	1098
POA2147	1	4405
POA2147	2	4655
POA2147	3	1537
POA2147	4	829
POA2148		406
POA2148	0	1983
POA2148	1	8833
POA2148	2	7282
POA2148	3	2345
POA2148	4	1194
POA2150		312
POA2150	0	3513
POA2150	1	7522
POA2150	2	1852
POA2150	3	290
POA2150	4	142
POA2151		86
POA2151	0	798
POA2151	1	3262
POA2151	2	2558
POA2151	3	661
POA2151	4	317
POA2152		52
POA2152	0	370
POA2152	1	1857
POA2152	2	1532
POA2152	3	382
POA2152	4	157
POA2153		178
POA2153	0	706
POA2153	1	6904
POA2153	2	8802
POA2153	3	2581
POA2153	4	1428
POA2154		111
POA2154	0	636
POA2154	1	4282
POA2154	2	5363
POA2154	3	1810
POA2154	4	1024
POA2155		166
POA2155	0	466
POA2155	1	6382
POA2155	2	10194
POA2155	3	3407
POA2155	4	1928
POA2156		45
POA2156	0	82
POA2156	1	824
POA2156	2	1556
POA2156	3	757
POA2156	4	946
POA2157		17
POA2157	0	15
POA2157	1	186
POA2157	2	413
POA2157	3	252
POA2157	4	323
POA2158		28
POA2158	0	73
POA2158	1	676
POA2158	2	1038
POA2158	3	457
POA2158	4	518
POA2159		23
POA2159	0	47
POA2159	1	340
POA2159	2	570
POA2159	3	324
POA2159	4	357
POA2160		350
POA2160	0	1567
POA2160	1	4775
POA2160	2	3587
POA2160	3	1125
POA2160	4	731
POA2161		248
POA2161	0	1274
POA2161	1	3524
POA2161	2	2898
POA2161	3	1092
POA2161	4	731
POA2162		136
POA2162	0	609
POA2162	1	2007
POA2162	2	1880
POA2162	3	767
POA2162	4	394
POA2163		98
POA2163	0	545
POA2163	1	1226
POA2163	2	817
POA2163	3	286
POA2163	4	185
POA2164		93
POA2164	0	587
POA2164	1	2149
POA2164	2	2208
POA2164	3	903
POA2164	4	522
POA2165		304
POA2165	0	1827
POA2165	1	4960
POA2165	2	3914
POA2165	3	1477
POA2165	4	820
POA2166		359
POA2166	0	2117
POA2166	1	5904
POA2166	2	4449
POA2166	3	1847
POA2166	4	1089
POA2167		43
POA2167	0	232
POA2167	1	1247
POA2167	2	1222
POA2167	3	350
POA2167	4	138
POA2168		311
POA2168	0	1371
POA2168	1	3913
POA2168	2	4145
POA2168	3	1934
POA2168	4	1251
POA2170		728
POA2170	0	3738
POA2170	1	13162
POA2170	2	11852
POA2170	3	4239
POA2170	4	2371
POA2171		116
POA2171	0	198
POA2171	1	2031
POA2171	2	4420
POA2171	3	2122
POA2171	4	1420
POA2172		6
POA2172	0	5
POA2172	1	153
POA2172	2	402
POA2172	3	176
POA2172	4	145
POA2173		31
POA2173	0	113
POA2173	1	1245
POA2173	2	1943
POA2173	3	655
POA2173	4	351
POA2174		47
POA2174	0	104
POA2174	1	1058
POA2174	2	1495
POA2174	3	454
POA2174	4	194
POA2175		6
POA2175	0	16
POA2175	1	95
POA2175	2	142
POA2175	3	95
POA2175	4	154
POA2176		174
POA2176	0	743
POA2176	1	4065
POA2176	2	5169
POA2176	3	2543
POA2176	4	1659
POA2177		95
POA2177	0	301
POA2177	1	1464
POA2177	2	1675
POA2177	3	792
POA2177	4	539
POA2178		21
POA2178	0	21
POA2178	1	188
POA2178	2	324
POA2178	3	221
POA2178	4	348
POA2179		90
POA2179	0	125
POA2179	1	1459
POA2179	2	2166
POA2179	3	617
POA2179	4	405
POA2190		157
POA2190	0	679
POA2190	1	2304
POA2190	2	2568
POA2190	3	1083
POA2190	4	681
POA2191		33
POA2191	0	219
POA2191	1	765
POA2191	2	796
POA2191	3	235
POA2191	4	137
POA2192		105
POA2192	0	670
POA2192	1	2136
POA2192	2	1265
POA2192	3	379
POA2192	4	207
POA2193		78
POA2193	0	826
POA2193	1	3202
POA2193	2	1880
POA2193	3	457
POA2193	4	229
POA2194		281
POA2194	0	1729
POA2194	1	4335
POA2194	2	2050
POA2194	3	460
POA2194	4	207
POA2195		232
POA2195	0	1156
POA2195	1	3987
POA2195	2	1839
POA2195	3	478
POA2195	4	317
POA2196		209
POA2196	0	952
POA2196	1	3691
POA2196	2	3166
POA2196	3	1233
POA2196	4	752
POA2197		69
POA2197	0	200
POA2197	1	846
POA2197	2	1001
POA2197	3	391
POA2197	4	246
POA2198		39
POA2198	0	108
POA2198	1	800
POA2198	2	1094
POA2198	3	433
POA2198	4	266
POA2199		138
POA2199	0	571
POA2199	1	1985
POA2199	2	1872
POA2199	3	710
POA2199	4	419
POA2200		330
POA2200	0	1737
POA2200	1	5964
POA2200	2	4227
POA2200	3	1385
POA2200	4	843
POA2203		61
POA2203	0	1025
POA2203	1	3292
POA2203	2	1285
POA2203	3	219
POA2203	4	97
POA2204		137
POA2204	0	2037
POA2204	1	5392
POA2204	2	2332
POA2204	3	511
POA2204	4	197
POA2205		184
POA2205	0	1902
POA2205	1	4932
POA2205	2	1822
POA2205	3	454
POA2205	4	235
POA2206		77
POA2206	0	607
POA2206	1	2453
POA2206	2	2292
POA2206	3	771
POA2206	4	468
POA2207		134
POA2207	0	832
POA2207	1	3659
POA2207	2	3181
POA2207	3	1002
POA2207	4	551
POA2208		58
POA2208	0	417
POA2208	1	1594
POA2208	2	1472
POA2208	3	503
POA2208	4	244
POA2209		79
POA2209	0	650
POA2209	1	2199
POA2209	2	1712
POA2209	3	547
POA2209	4	292
POA2210		197
POA2210	0	1498
POA2210	1	4246
POA2210	2	3720
POA2210	3	1311
POA2210	4	704
POA2211		73
POA2211	0	553
POA2211	1	2156
POA2211	2	2130
POA2211	3	761
POA2211	4	365
POA2212		73
POA2212	0	506
POA2212	1	1981
POA2212	2	1966
POA2212	3	691
POA2212	4	362
POA2213		95
POA2213	0	561
POA2213	1	2599
POA2213	2	3004
POA2213	3	994
POA2213	4	596
POA2214		16
POA2214	0	32
POA2214	1	337
POA2214	2	576
POA2214	3	238
POA2214	4	140
POA2216		232
POA2216	0	1677
POA2216	1	5072
POA2216	2	2532
POA2216	3	661
POA2216	4	333
POA2217		157
POA2217	0	1528
POA2217	1	5056
POA2217	2	2794
POA2217	3	707
POA2217	4	421
POA2218		91
POA2218	0	772
POA2218	1	2804
POA2218	2	1587
POA2218	3	438
POA2218	4	165
POA2219		72
POA2219	0	421
POA2219	1	2185
POA2219	2	1843
POA2219	3	517
POA2219	4	311
POA2220		240
POA2220	0	2249
POA2220	1	5088
POA2220	2	2610
POA2220	3	811
POA2220	4	342
POA2221		51
POA2221	0	335
POA2221	1	1701
POA2221	2	2091
POA2221	3	784
POA2221	4	505
POA2222		70
POA2222	0	654
POA2222	1	2101
POA2222	2	1317
POA2222	3	313
POA2222	4	141
POA2223		74
POA2223	0	674
POA2223	1	3151
POA2223	2	2662
POA2223	3	751
POA2223	4	369
POA2224		67
POA2224	0	247
POA2224	1	1583
POA2224	2	2084
POA2224	3	728
POA2224	4	430
POA2225		10
POA2225	0	46
POA2225	1	384
POA2225	2	855
POA2225	3	288
POA2225	4	158
POA2226		35
POA2226	0	273
POA2226	1	1614
POA2226	2	1829
POA2226	3	470
POA2226	4	294
POA2227		30
POA2227	0	302
POA2227	1	1910
POA2227	2	2139
POA2227	3	662
POA2227	4	429
POA2228		119
POA2228	0	698
POA2228	1	3221
POA2228	2	2845
POA2228	3	727
POA2228	4	384
POA2229		88
POA2229	0	749
POA2229	1	3905
POA2229	2	4460
POA2229	3	1320
POA2229	4	861
POA2230		109
POA2230	0	819
POA2230	1	5036
POA2230	2	4636
POA2230	3	1275
POA2230	4	729
POA2231		11
POA2231	0	15
POA2231	1	181
POA2231	2	326
POA2231	3	161
POA2231	4	99
POA2232		135
POA2232	0	987
POA2232	1	5451
POA2232	2	4879
POA2232	3	1345
POA2232	4	748
POA2233		75
POA2233	0	374
POA2233	1	2777
POA2233	2	4410
POA2233	3	1491
POA2233	4	987
POA2234		46
POA2234	0	190
POA2234	1	1961
POA2234	2	4440
POA2234	3	1796
POA2234	4	1333
POA2250		380
POA2250	0	2075
POA2250	1	10500
POA2250	2	9276
POA2250	3	2968
POA2250	4	1887
POA2251		113
POA2251	0	617
POA2251	1	4307
POA2251	2	4892
POA2251	3	1750
POA2251	4	934
POA2256		135
POA2256	0	845
POA2256	1	3093
POA2256	2	1916
POA2256	3	560
POA2256	4	248
POA2257		216
POA2257	0	1002
POA2257	1	5268
POA2257	2	4191
POA2257	3	1161
POA2257	4	573
POA2258		22
POA2258	0	35
POA2258	1	518
POA2258	2	736
POA2258	3	281
POA2258	4	238
POA2259		355
POA2259	0	1002
POA2259	1	8028
POA2259	2	8733
POA2259	3	3220
POA2259	4	2195
POA2260		92
POA2260	0	247
POA2260	1	2782
POA2260	2	3950
POA2260	3	1288
POA2260	4	838
POA2261		309
POA2261	0	1407
POA2261	1	7734
POA2261	2	7771
POA2261	3	2474
POA2261	4	1463
POA2262		122
POA2262	0	360
POA2262	1	3088
POA2262	2	2957
POA2262	3	1017
