POA_CODE_2021	Age5yr	Indigenous	persons
POA0828	60-64		16
POA0828	60-64	0	53
POA0828	60-64	1	9
POA0828	65+		22
POA0828	65+	0	108
POA0828	65+	1	15
POA0829	0-4		4
POA0829	0-4	0	10
POA0829	5-9		8
POA0829	5-9	0	13
POA0829	10-14	0	6
POA0829	10-14	1	6
POA0829	15-19	0	61
POA0829	15-19	1	38
POA0829	20-24		11
POA0829	20-24	0	281
POA0829	20-24	1	148
POA0829	25-29		8
POA0829	25-29	0	142
POA0829	25-29	1	173
POA0829	30-34		7
POA0829	30-34	0	85
POA0829	30-34	1	170
POA0829	35-39		13
POA0829	35-39	0	63
POA0829	35-39	1	147
POA0829	40-44	0	48
POA0829	40-44	1	104
POA0829	45-49		10
POA0829	45-49	0	40
POA0829	45-49	1	80
POA0829	50-54	0	53
POA0829	50-54	1	43
POA0829	55-59		4
POA0829	55-59	0	39
POA0829	55-59	1	15
POA0829	60-64		9
POA0829	60-64	0	35
POA0829	60-64	1	9
POA0829	65+		9
POA0829	65+	0	62
POA0829	65+	1	4
POA0830	0-4		134
POA0830	0-4	0	1082
POA0830	0-4	1	308
POA0830	5-9		184
POA0830	5-9	0	1005
POA0830	5-9	1	360
POA0830	10-14		145
POA0830	10-14	0	925
POA0830	10-14	1	319
POA0830	15-19		100
POA0830	15-19	0	724
POA0830	15-19	1	274
POA0830	20-24		125
POA0830	20-24	0	824
POA0830	20-24	1	213
POA0830	25-29		164
POA0830	25-29	0	1088
POA0830	25-29	1	236
POA0830	30-34		172
POA0830	30-34	0	1199
POA0830	30-34	1	209
POA0830	35-39		148
POA0830	35-39	0	1191
POA0830	35-39	1	172
POA0830	40-44		134
POA0830	40-44	0	1030
POA0830	40-44	1	133
POA0830	45-49		129
POA0830	45-49	0	934
POA0830	45-49	1	151
POA0830	50-54		100
POA0830	50-54	0	1007
POA0830	50-54	1	148
POA0830	55-59		95
POA0830	55-59	0	832
POA0830	55-59	1	128
POA0830	60-64		63
POA0830	60-64	0	687
POA0830	60-64	1	82
POA0830	65+		114
POA0830	65+	0	1302
POA0830	65+	1	132
POA0832	0-4		105
POA0832	0-4	0	1417
POA0832	0-4	1	272
POA0832	5-9		126
POA0832	5-9	0	1344
POA0832	5-9	1	255
POA0832	10-14		98
POA0832	10-14	0	1084
POA0832	10-14	1	244
POA0832	15-19		73
POA0832	15-19	0	940
POA0832	15-19	1	160
POA0832	20-24		99
POA0832	20-24	0	1087
POA0832	20-24	1	168
POA0832	25-29		141
POA0832	25-29	0	1468
POA0832	25-29	1	199
POA0832	30-34		156
POA0832	30-34	0	1687
POA0832	30-34	1	166
POA0832	35-39		134
POA0832	35-39	0	1503
POA0832	35-39	1	137
POA0832	40-44		107
POA0832	40-44	0	1297
POA0832	40-44	1	94
POA0832	45-49		89
POA0832	45-49	0	1033
POA0832	45-49	1	77
POA0832	50-54		67
POA0832	50-54	0	793
POA0832	50-54	1	72
POA0832	55-59		43
POA0832	55-59	0	609
POA0832	55-59	1	58
POA0832	60-64		38
POA0832	60-64	0	420
POA0832	60-64	1	29
POA0832	65+		75
POA0832	65+	0	706
POA0832	65+	1	64
POA0834	0-4		8
POA0834	0-4	0	63
POA0834	0-4	1	17
POA0834	5-9		9
POA0834	5-9	0	84
POA0834	5-9	1	12
POA0834	10-14		9
POA0834	10-14	0	101
POA0834	10-14	1	9
POA0834	15-19		10
POA0834	15-19	0	93
POA0834	15-19	1	18
POA0834	20-24		5
POA0834	20-24	0	70
POA0834	20-24	1	16
POA0834	25-29		10
POA0834	25-29	0	80
POA0834	25-29	1	4
POA0834	30-34		7
POA0834	30-34	0	87
POA0834	30-34	1	11
POA0834	35-39		9
POA0834	35-39	0	88
POA0834	35-39	1	4
POA0834	40-44		8
POA0834	40-44	0	100
POA0834	40-44	1	9
POA0834	45-49		19
POA0834	45-49	0	132
POA0834	45-49	1	8
POA0834	50-54		14
POA0834	50-54	0	136
POA0834	50-54	1	11
POA0834	55-59		9
POA0834	55-59	0	146
POA0834	55-59	1	9
POA0834	60-64		12
POA0834	60-64	0	125
POA0834	60-64	1	3
POA0834	65+		15
POA0834	65+	0	232
POA0834	65+	1	10
POA0835	0-4		14
POA0835	0-4	0	155
POA0835	0-4	1	28
POA0835	5-9		11
POA0835	5-9	0	134
POA0835	5-9	1	24
POA0835	10-14		10
POA0835	10-14	0	167
POA0835	10-14	1	27
POA0835	15-19		3
POA0835	15-19	0	164
POA0835	15-19	1	25
POA0835	20-24		12
POA0835	20-24	0	114
POA0835	20-24	1	20
POA0835	25-29		13
POA0835	25-29	0	124
POA0835	25-29	1	13
POA0835	30-34		14
POA0835	30-34	0	163
POA0835	30-34	1	15
POA0835	35-39		15
POA0835	35-39	0	188
POA0835	35-39	1	8
POA0835	40-44		17
POA0835	40-44	0	169
POA0835	40-44	1	14
POA0835	45-49		20
POA0835	45-49	0	181
POA0835	45-49	1	26
POA0835	50-54		22
POA0835	50-54	0	260
POA0835	50-54	1	9
POA0835	55-59		20
POA0835	55-59	0	222
POA0835	55-59	1	10
POA0835	60-64		15
POA0835	60-64	0	217
POA0835	60-64	1	13
POA0835	65+		28
POA0835	65+	0	427
POA0835	65+	1	20
POA0836	0-4		26
POA0836	0-4	0	374
POA0836	0-4	1	52
POA0836	5-9		35
POA0836	5-9	0	462
POA0836	5-9	1	83
POA0836	10-14		42
POA0836	10-14	0	456
POA0836	10-14	1	79
