POA_CODE_2021	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
POA0800	15-19		F	13
POA0800	15-19		M	6
POA0800	15-19	0	F	65
POA0800	15-19	0	M	66
POA0800	15-19	1	F	5
POA0800	20-24		F	48
POA0800	20-24		M	54
POA0800	20-24	0	F	264
POA0800	20-24	0	M	289
POA0800	20-24	1	F	3
POA0800	20-24	1	M	10
POA0800	25-34		F	152
POA0800	25-34		M	167
POA0800	25-34	0	F	996
POA0800	25-34	0	M	1013
POA0800	25-34	1	F	34
POA0800	25-34	1	M	40
POA0800	35-44		F	73
POA0800	35-44		M	93
POA0800	35-44	0	F	501
POA0800	35-44	0	M	555
POA0800	35-44	1	F	35
POA0800	35-44	1	M	43
POA0800	45-54		F	35
POA0800	45-54		M	80
POA0800	45-54	0	F	278
POA0800	45-54	0	M	381
POA0800	45-54	1	F	25
POA0800	45-54	1	M	24
POA0800	55-64		F	40
POA0800	55-64		M	50
POA0800	55-64	0	F	252
POA0800	55-64	0	M	321
POA0800	55-64	1	F	27
POA0800	55-64	1	M	16
POA0800	65-74		F	14
POA0800	65-74		M	36
POA0800	65-74	0	F	108
POA0800	65-74	0	M	176
POA0800	65-74	1	F	28
POA0800	65-74	1	M	27
POA0800	75-84		F	5
POA0800	75-84		M	11
POA0800	75-84	0	F	32
POA0800	75-84	0	M	41
POA0800	75-84	1	F	8
POA0800	75-84	1	M	5
POA0800	85+	0	F	9
POA0800	85+	0	M	9
POA0810	15-19		F	67
POA0810	15-19		M	70
POA0810	15-19	0	F	739
POA0810	15-19	0	M	778
POA0810	15-19	1	F	54
POA0810	15-19	1	M	58
POA0810	20-24		F	86
POA0810	20-24		M	123
POA0810	20-24	0	F	866
POA0810	20-24	0	M	893
POA0810	20-24	1	F	37
POA0810	20-24	1	M	46
POA0810	25-34		F	288
POA0810	25-34		M	283
POA0810	25-34	0	F	2923
POA0810	25-34	0	M	2657
POA0810	25-34	1	F	225
POA0810	25-34	1	M	140
POA0810	35-44		F	211
POA0810	35-44		M	243
POA0810	35-44	0	F	2303
POA0810	35-44	0	M	2265
POA0810	35-44	1	F	346
POA0810	35-44	1	M	213
POA0810	45-54		F	165
POA0810	45-54		M	204
POA0810	45-54	0	F	1696
POA0810	45-54	0	M	1675
POA0810	45-54	1	F	349
POA0810	45-54	1	M	239
POA0810	55-64		F	120
POA0810	55-64		M	123
POA0810	55-64	0	F	1240
POA0810	55-64	0	M	1357
POA0810	55-64	1	F	269
POA0810	55-64	1	M	168
POA0810	65-74		F	103
POA0810	65-74		M	89
POA0810	65-74	0	F	978
POA0810	65-74	0	M	1009
POA0810	65-74	1	F	182
POA0810	65-74	1	M	100
POA0810	75-84		F	64
POA0810	75-84		M	53
POA0810	75-84	0	F	436
POA0810	75-84	0	M	445
POA0810	75-84	1	F	71
POA0810	75-84	1	M	50
POA0810	85+		F	19
POA0810	85+		M	10
POA0810	85+	0	F	129
POA0810	85+	0	M	91
POA0810	85+	1	F	14
POA0810	85+	1	M	13
POA0812	15-19		F	76
POA0812	15-19		M	66
POA0812	15-19	0	F	452
POA0812	15-19	0	M	520
POA0812	15-19	1	F	50
POA0812	15-19	1	M	36
POA0812	20-24		F	40
POA0812	20-24		M	57
POA0812	20-24	0	F	396
POA0812	20-24	0	M	435
POA0812	20-24	1	F	40
POA0812	20-24	1	M	37
POA0812	25-34		F	119
POA0812	25-34		M	116
POA0812	25-34	0	F	1028
POA0812	25-34	0	M	1031
POA0812	25-34	1	F	134
POA0812	25-34	1	M	74
POA0812	35-44		F	152
POA0812	35-44		M	133
POA0812	35-44	0	F	1096
POA0812	35-44	0	M	981
POA0812	35-44	1	F	219
POA0812	35-44	1	M	130
POA0812	45-54		F	102
POA0812	45-54		M	126
POA0812	45-54	0	F	948
POA0812	45-54	0	M	957
POA0812	45-54	1	F	242
POA0812	45-54	1	M	149
POA0812	55-64		F	89
POA0812	55-64		M	87
POA0812	55-64	0	F	883
POA0812	55-64	0	M	899
POA0812	55-64	1	F	231
POA0812	55-64	1	M	115
POA0812	65-74		F	43
POA0812	65-74		M	74
POA0812	65-74	0	F	589
POA0812	65-74	0	M	654
POA0812	65-74	1	F	131
POA0812	65-74	1	M	85
POA0812	75-84		F	40
POA0812	75-84		M	20
POA0812	75-84	0	F	269
POA0812	75-84	0	M	223
POA0812	75-84	1	F	33
POA0812	75-84	1	M	29
POA0812	85+		F	11
POA0812	85+		M	3
POA0812	85+	0	F	46
POA0812	85+	0	M	43
POA0812	85+	1	F	5
POA0812	85+	1	M	6
POA0820	15-19		F	38
POA0820	15-19		M	41
POA0820	15-19	0	F	392
POA0820	15-19	0	M	374
POA0820	15-19	1	F	30
POA0820	15-19	1	M	8
POA0820	20-24		F	70
POA0820	20-24		M	121
POA0820	20-24	0	F	549
POA0820	20-24	0	M	591
POA0820	20-24	1	F	18
POA0820	20-24	1	M	14
POA0820	25-34		F	206
POA0820	25-34		M	267
POA0820	25-34	0	F	2029
POA0820	25-34	0	M	1821
POA0820	25-34	1	F	116
POA0820	25-34	1	M	102
POA0820	35-44		F	124
POA0820	35-44		M	133
POA0820	35-44	0	F	1363
POA0820	35-44	0	M	1318
POA0820	35-44	1	F	142
POA0820	35-44	1	M	85
POA0820	45-54		F	95
POA0820	45-54		M	106
POA0820	45-54	0	F	1014
POA0820	45-54	0	M	1037
POA0820	45-54	1	F	166
POA0820	45-54	1	M	111
POA0820	55-64		F	73
POA0820	55-64		M	119
POA0820	55-64	0	F	796
POA0820	55-64	0	M	928
POA0820	55-64	1	F	167
POA0820	55-64	1	M	102
POA0820	65-74		F	34
POA0820	65-74		M	67
POA0820	65-74	0	F	502
POA0820	65-74	0	M	608
POA0820	65-74	1	F	100
POA0820	65-74	1	M	72
POA0820	75-84		F	32
POA0820	75-84		M	34
POA0820	75-84	0	F	227
POA0820	75-84	0	M	259
