POA_CODE_2021	PrivateDwelling	persons
POA0800	0	5236
POA0800	1	6011
POA0810	0	4055
POA0810	1	31403
POA0812	0	1938
POA0812	1	17209
POA0820	0	3515
POA0820	1	18057
POA0822	0	5648
POA0822	1	23226
POA0828	0	1245
POA0828	1	1288
POA0829	0	2761
POA0829	1	228
POA0830	0	2036
POA0830	1	16447
POA0832	0	1121
POA0832	1	17259
POA0834	0	341
POA0834	1	1724
POA0835	0	3228
POA0835	1	2988
POA0836	0	569
POA0836	1	7094
POA0837	0	256
POA0837	1	369
POA0838	0	315
POA0838	1	757
POA0839	0	360
POA0839	1	444
POA0840	0	351
POA0840	1	377
POA0841	0	149
POA0841	1	527
POA0845	0	287
POA0845	1	289
POA0846	0	401
POA0846	1	260
POA0847	0	197
POA0847	1	267
POA0850	0	3201
POA0850	1	6730
POA0852	0	5546
POA0852	1	7288
POA0853	0	215
POA0853	1	604
POA0854	0	175
POA0854	1	668
POA0860	0	758
POA0860	1	2675
POA0862	0	797
POA0862	1	489
POA0870	0	3662
POA0870	1	18323
POA0872	0	5151
POA0872	1	12789
POA0873	0	1901
POA0873	1	2205
POA0874	0	123
POA0874	1	488
POA0875	0	139
POA0875	1	2317
POA0880	0	1333
POA0880	1	3910
POA0885	0	188
POA0885	1	588
POA0886	0	926
POA0886	1	632
POA2000	0	6169
POA2000	1	24540
POA2007	0	1261
POA2007	1	6056
POA2008	0	1682
POA2008	1	8508
POA2009	0	971
POA2009	1	11449
POA2010	0	3702
POA2010	1	22733
POA2011	0	5580
POA2011	1	15109
POA2015	0	514
POA2015	1	10697
POA2016	0	1553
POA2016	1	11250
POA2017	0	2363
POA2017	1	26724
POA2018	0	917
POA2018	1	18793
POA2019	0	704
POA2019	1	12616
POA2020	0	2024
POA2020	1	20378
POA2021	0	892
POA2021	1	13445
POA2022	0	1037
POA2022	1	12272
POA2023	0	397
POA2023	1	9872
POA2024	0	893
POA2024	1	10169
POA2025	0	514
POA2025	1	6440
POA2026	0	2114
POA2026	1	29793
POA2027	0	568
POA2027	1	6949
POA2028	0	209
POA2028	1	4349
POA2029	0	566
POA2029	1	9144
POA2030	0	774
POA2030	1	13381
POA2031	0	3167
POA2031	1	30708
POA2032	0	1008
POA2032	1	13463
POA2033	0	1860
POA2033	1	9792
POA2034	0	1105
POA2034	1	18735
POA2035	0	1441
POA2035	1	32797
POA2036	0	2831
POA2036	1	30619
POA2037	0	1356
POA2037	1	14923
POA2038	0	716
POA2038	1	8588
POA2039	0	275
POA2039	1	8112
POA2040	0	1221
POA2040	1	21336
POA2041	0	717
POA2041	1	14574
POA2042	0	1257
POA2042	1	16900
POA2043	0	333
POA2043	1	9104
POA2044	0	322
POA2044	1	7837
POA2045	0	269
POA2045	1	6157
POA2046	0	984
POA2046	1	26111
POA2047	0	591
POA2047	1	11242
POA2048	0	422
POA2048	1	7052
POA2049	0	1023
POA2049	1	11094
POA2050	0	2286
POA2050	1	7523
POA2060	0	1046
POA2060	1	13745
POA2061	0	510
POA2061	1	5429
POA2062	0	181
POA2062	1	6704
POA2063	0	313
POA2063	1	6089
POA2064	0	286
POA2064	1	8990
POA2065	0	2404
POA2065	1	30118
POA2066	0	1172
POA2066	1	32092
POA2067	0	1598
POA2067	1	25467
POA2068	0	495
POA2068	1	16624
POA2069	0	365
POA2069	1	14070
POA2070	0	319
POA2070	1	14148
POA2071	0	379
POA2071	1	13030
POA2072	0	273
POA2072	1	8471
POA2073	0	334
POA2073	1	16690
POA2074	0	833
POA2074	1	22319
POA2075	0	459
POA2075	1	21082
POA2076	0	1662
POA2076	1	23751
POA2077	0	1585
POA2077	1	41175
POA2079	0	81
POA2079	1	7685
POA2080	0	24
POA2080	1	1715
POA2081	0	44
POA2081	1	5302
POA2082	0	63
POA2082	1	5332
POA2083	0	127
POA2083	1	1530
POA2084	0	205
POA2084	1	3541
POA2085	0	419
POA2085	1	10936
POA2086	0	525
POA2086	1	13851
POA2087	0	307
POA2087	1	12752
POA2088	0	1131
POA2088	1	26464
POA2089	0	582
POA2089	1	10573
POA2090	0	466
POA2090	1	12830
POA2092	0	242
POA2092	1	7015
POA2093	0	634
POA2093	1	22538
POA2094	0	182
POA2094	1	5780
POA2095	0	1011
POA2095	1	14978
POA2096	0	430
POA2096	1	14213
