POA_CODE_2021	HomeCensusNight	Sex	persons
POA0800	0	F	218
POA0800	0	M	347
POA0800	1	F	3126
POA0800	1	M	3457
POA0810	0	F	798
POA0810	0	M	978
POA0810	1	F	16534
POA0810	1	M	16014
POA0812	0	F	414
POA0812	0	M	490
POA0812	1	F	9036
POA0812	1	M	8697
POA0820	0	F	587
POA0820	0	M	775
POA0820	1	F	9335
POA0820	1	M	9231
POA0822	0	F	642
POA0822	0	M	680
POA0822	1	F	11854
POA0822	1	M	12132
POA0828	0	F	47
POA0828	0	M	71
POA0828	1	F	788
POA0828	1	M	792
POA0829	0	F	21
POA0829	0	M	91
POA0829	1	F	273
POA0829	1	M	1568
POA0830	0	F	420
POA0830	0	M	608
POA0830	1	F	8796
POA0830	1	M	8683
POA0832	0	F	387
POA0832	0	M	575
POA0832	1	F	9199
POA0832	1	M	8565
POA0834	0	F	34
POA0834	0	M	57
POA0834	1	F	872
POA0834	1	M	843
POA0835	0	F	62
POA0835	0	M	109
POA0835	1	F	1469
POA0835	1	M	1515
POA0836	0	F	186
POA0836	0	M	318
POA0836	1	F	3467
POA0836	1	M	3626
POA0837	0	F	17
POA0837	0	M	23
POA0837	1	F	223
POA0837	1	M	226
POA0838	0	F	18
POA0838	0	M	30
POA0838	1	F	377
POA0838	1	M	449
POA0839	0	F	8
POA0839	0	M	13
POA0839	1	F	257
POA0839	1	M	230
POA0840	0	F	23
POA0840	0	M	32
POA0840	1	F	171
POA0840	1	M	233
POA0841	0	F	6
POA0841	0	M	37
POA0841	1	F	250
POA0841	1	M	333
POA0845	0	F	18
POA0845	0	M	19
POA0845	1	F	177
POA0845	1	M	184
POA0846	0	F	9
POA0846	0	M	9
POA0846	1	F	145
POA0846	1	M	158
POA0847	0	F	16
POA0847	0	M	25
POA0847	1	F	134
POA0847	1	M	143
POA0850	0	F	242
POA0850	0	M	283
POA0850	1	F	3649
POA0850	1	M	3697
POA0852	0	F	280
POA0852	0	M	265
POA0852	1	F	3969
POA0852	1	M	4224
POA0853	0	F	34
POA0853	0	M	61
POA0853	1	F	349
POA0853	1	M	402
POA0854	0	F	18
POA0854	0	M	26
POA0854	1	F	353
POA0854	1	M	354
POA0860	0	F	113
POA0860	0	M	107
POA0860	1	F	1402
POA0860	1	M	1466
POA0862	0	F	15
POA0862	0	M	23
POA0862	1	F	308
POA0862	1	M	373
POA0870	0	F	714
POA0870	0	M	693
POA0870	1	F	9716
POA0870	1	M	9217
POA0872	0	F	429
POA0872	0	M	365
POA0872	1	F	6825
POA0872	1	M	7059
POA0873	0	F	89
POA0873	0	M	94
POA0873	1	F	1329
POA0873	1	M	1238
POA0874	0	F	25
POA0874	0	M	30
POA0874	1	F	255
POA0874	1	M	244
