POA_CODE_2021	Age	NeedsAssistance	Sex	persons
POA0800	0-4		F	11
POA0800	0-4		M	14
POA0800	0-4	0	F	114
POA0800	0-4	0	M	113
POA0800	5-14		F	23
POA0800	5-14		M	23
POA0800	5-14	0	F	142
POA0800	5-14	0	M	155
POA0800	5-14	1	F	3
POA0800	5-14	1	M	7
POA0800	15-19		F	13
POA0800	15-19		M	3
POA0800	15-19	0	F	69
POA0800	15-19	0	M	68
POA0800	15-19	1	M	5
POA0800	20-24		F	41
POA0800	20-24		M	49
POA0800	20-24	0	F	273
POA0800	20-24	0	M	298
POA0800	25-34		F	138
POA0800	25-34		M	145
POA0800	25-34	0	F	1045
POA0800	25-34	0	M	1068
POA0800	25-34	1	F	6
POA0800	25-34	1	M	7
POA0800	35-44		F	66
POA0800	35-44		M	84
POA0800	35-44	0	F	531
POA0800	35-44	0	M	603
POA0800	35-44	1	F	9
POA0800	45-54		F	33
POA0800	45-54		M	77
POA0800	45-54	0	F	302
POA0800	45-54	0	M	406
POA0800	45-54	1	M	6
POA0800	55-64		F	36
POA0800	55-64		M	49
POA0800	55-64	0	F	278
POA0800	55-64	0	M	330
POA0800	55-64	1	F	5
POA0800	55-64	1	M	5
POA0800	65-74		F	16
POA0800	65-74		M	31
POA0800	65-74	0	F	129
POA0800	65-74	0	M	189
POA0800	65-74	1	F	11
POA0800	65-74	1	M	17
POA0800	75-84		F	4
POA0800	75-84		M	10
POA0800	75-84	0	F	29
POA0800	75-84	0	M	38
POA0800	75-84	1	F	6
POA0800	75-84	1	M	5
POA0800	85+	0	F	4
POA0800	85+	0	M	4
POA0800	85+	1	F	8
POA0800	85+	1	M	5
POA0810	0-4		F	93
POA0810	0-4		M	83
POA0810	0-4	0	F	1043
POA0810	0-4	0	M	1162
POA0810	0-4	1	F	9
POA0810	0-4	1	M	13
POA0810	5-14		F	166
POA0810	5-14		M	185
POA0810	5-14	0	F	2000
POA0810	5-14	0	M	2064
POA0810	5-14	1	F	53
POA0810	5-14	1	M	107
POA0810	15-19		F	56
POA0810	15-19		M	50
POA0810	15-19	0	F	778
POA0810	15-19	0	M	813
POA0810	15-19	1	F	16
POA0810	15-19	1	M	26
POA0810	20-24		F	62
POA0810	20-24		M	96
POA0810	20-24	0	F	903
POA0810	20-24	0	M	934
POA0810	20-24	1	F	23
POA0810	20-24	1	M	31
POA0810	25-34		F	239
POA0810	25-34		M	245
POA0810	25-34	0	F	3171
POA0810	25-34	0	M	2813
POA0810	25-34	1	F	29
POA0810	25-34	1	M	28
POA0810	35-44		F	202
POA0810	35-44		M	222
POA0810	35-44	0	F	2616
POA0810	35-44	0	M	2444
POA0810	35-44	1	F	48
POA0810	35-44	1	M	49
POA0810	45-54		F	155
POA0810	45-54		M	182
POA0810	45-54	0	F	1988
POA0810	45-54	0	M	1873
POA0810	45-54	1	F	65
POA0810	45-54	1	M	59
POA0810	55-64		F	111
POA0810	55-64		M	128
POA0810	55-64	0	F	1444
POA0810	55-64	0	M	1440
POA0810	55-64	1	F	79
POA0810	55-64	1	M	84
POA0810	65-74		F	85
POA0810	65-74		M	81
POA0810	65-74	0	F	1045
POA0810	65-74	0	M	996
POA0810	65-74	1	F	122
POA0810	65-74	1	M	121
POA0810	75-84		F	46
POA0810	75-84		M	49
POA0810	75-84	0	F	365
POA0810	75-84	0	M	365
POA0810	75-84	1	F	160
POA0810	75-84	1	M	135
POA0810	85+		F	15
POA0810	85+		M	4
POA0810	85+	0	F	37
POA0810	85+	0	M	51
POA0810	85+	1	F	110
POA0810	85+	1	M	55
POA0812	0-4		F	60
POA0812	0-4		M	58
POA0812	0-4	0	F	566
POA0812	0-4	0	M	563
POA0812	0-4	1	F	7
POA0812	0-4	1	M	15
POA0812	5-14		F	132
POA0812	5-14		M	159
POA0812	5-14	0	F	1177
POA0812	5-14	0	M	1204
POA0812	5-14	1	F	40
POA0812	5-14	1	M	90
POA0812	15-19		F	60
POA0812	15-19		M	56
POA0812	15-19	0	F	498
POA0812	15-19	0	M	530
POA0812	15-19	1	F	18
POA0812	15-19	1	M	34
POA0812	20-24		F	38
POA0812	20-24		M	47
POA0812	20-24	0	F	426
POA0812	20-24	0	M	455
POA0812	20-24	1	F	8
POA0812	20-24	1	M	24
POA0812	25-34		F	112
POA0812	25-34		M	110
POA0812	25-34	0	F	1149
POA0812	25-34	0	M	1080
POA0812	25-34	1	F	23
POA0812	25-34	1	M	31
POA0812	35-44		F	142
POA0812	35-44		M	130
POA0812	35-44	0	F	1297
POA0812	35-44	0	M	1104
POA0812	35-44	1	F	28
POA0812	35-44	1	M	10
POA0812	45-54		F	102
POA0812	45-54		M	119
POA0812	45-54	0	F	1151
POA0812	45-54	0	M	1069
POA0812	45-54	1	F	34
POA0812	45-54	1	M	42
POA0812	55-64		F	86
POA0812	55-64		M	94
POA0812	55-64	0	F	1064
POA0812	55-64	0	M	957
POA0812	55-64	1	F	62
POA0812	55-64	1	M	49
POA0812	65-74		F	41
POA0812	65-74		M	62
POA0812	65-74	0	F	632
POA0812	65-74	0	M	671
POA0812	65-74	1	F	86
POA0812	65-74	1	M	75
POA0812	75-84		F	31
POA0812	75-84		M	10
POA0812	75-84	0	F	213
POA0812	75-84	0	M	208
POA0812	75-84	1	F	92
POA0812	75-84	1	M	60
POA0812	85+		F	12
POA0812	85+		M	4
POA0812	85+	0	F	10
POA0812	85+	0	M	24
POA0812	85+	1	F	36
POA0812	85+	1	M	26
POA0820	0-4		F	29
POA0820	0-4		M	42
POA0820	0-4	0	F	487
POA0820	0-4	0	M	531
POA0820	0-4	1	M	7
POA0820	5-14		F	51
POA0820	5-14		M	51
POA0820	5-14	0	F	946
POA0820	5-14	0	M	920
POA0820	5-14	1	F	18
POA0820	5-14	1	M	26
POA0820	15-19		F	41
POA0820	15-19		M	37
POA0820	15-19	0	F	413
POA0820	15-19	0	M	374
POA0820	15-19	1	F	3
POA0820	15-19	1	M	13
POA0820	20-24		F	62
POA0820	20-24		M	112
POA0820	20-24	0	F	577
POA0820	20-24	0	M	610
POA0820	20-24	1	M	3
POA0820	25-34		F	185
POA0820	25-34		M	253
POA0820	25-34	0	F	2154
POA0820	25-34	0	M	1928
POA0820	25-34	1	F	14
POA0820	25-34	1	M	12
POA0820	35-44		F	115
POA0820	35-44		M	118
POA0820	35-44	0	F	1495
POA0820	35-44	0	M	1401
POA0820	35-44	1	F	13
POA0820	35-44	1	M	14
POA0820	45-54		F	91
POA0820	45-54		M	103
POA0820	45-54	0	F	1156
POA0820	45-54	0	M	1134
POA0820	45-54	1	F	24
POA0820	45-54	1	M	22
POA0820	55-64		F	71
POA0820	55-64		M	107
POA0820	55-64	0	F	932
POA0820	55-64	0	M	1009
POA0820	55-64	1	F	33
POA0820	55-64	1	M	32
POA0820	65-74		F	34
POA0820	65-74		M	66
POA0820	65-74	0	F	568
POA0820	65-74	0	M	630
POA0820	65-74	1	F	33
POA0820	65-74	1	M	54
POA0820	75-84		F	30
POA0820	75-84		M	26
POA0820	75-84	0	F	201
POA0820	75-84	0	M	241
POA0820	75-84	1	F	55
POA0820	75-84	1	M	51
POA0820	85+		F	24
POA0820	85+		M	22
POA0820	85+	0	F	20
POA0820	85+	0	M	39
POA0820	85+	1	F	36
POA0820	85+	1	M	28
POA0822	0-4		F	61
POA0822	0-4		M	70
POA0822	0-4	0	F	727
POA0822	0-4	0	M	785
POA0822	0-4	1	F	11
POA0822	0-4	1	M	10
POA0822	5-14		F	158
POA0822	5-14		M	169
POA0822	5-14	0	F	1782
POA0822	5-14	0	M	1894
POA0822	5-14	1	F	23
POA0822	5-14	1	M	51
POA0822	15-19		F	89
POA0822	15-19		M	86
POA0822	15-19	0	F	990
POA0822	15-19	0	M	1109
POA0822	15-19	1	F	7
POA0822	15-19	1	M	18
POA0822	20-24		F	91
POA0822	20-24		M	89
POA0822	20-24	0	F	945
POA0822	20-24	0	M	983
POA0822	20-24	1	F	14
POA0822	20-24	1	M	22
POA0822	25-34		F	205
POA0822	25-34		M	214
POA0822	25-34	0	F	1944
POA0822	25-34	0	M	1848
POA0822	25-34	1	F	21
POA0822	25-34	1	M	24
POA0822	35-44		F	178
POA0822	35-44		M	192
POA0822	35-44	0	F	1594
POA0822	35-44	0	M	1531
POA0822	35-44	1	F	54
POA0822	35-44	1	M	53
POA0822	45-54		F	140
POA0822	45-54		M	169
POA0822	45-54	0	F	1404
POA0822	45-54	0	M	1310
POA0822	45-54	1	F	70
POA0822	45-54	1	M	71
POA0822	55-64		F	128
POA0822	55-64		M	152
POA0822	55-64	0	F	963
POA0822	55-64	0	M	978
POA0822	55-64	1	F	103
POA0822	55-64	1	M	87
POA0822	65-74		F	81
POA0822	65-74		M	85
POA0822	65-74	0	F	442
POA0822	65-74	0	M	502
POA0822	65-74	1	F	86
POA0822	65-74	1	M	63
POA0822	75-84		F	16
POA0822	75-84		M	34
POA0822	75-84	0	F	101
POA0822	75-84	0	M	129
POA0822	75-84	1	F	52
POA0822	75-84	1	M	56
POA0822	85+		F	4
POA0822	85+		M	4
POA0822	85+	0	F	12
POA0822	85+	0	M	9
POA0822	85+	1	F	20
POA0822	85+	1	M	9
POA0828	0-4		F	10
POA0828	0-4	0	F	50
POA0828	0-4	0	M	56
POA0828	5-14		F	19
POA0828	5-14		M	10
POA0828	5-14	0	F	109
POA0828	5-14	0	M	93
POA0828	15-19		F	11
POA0828	15-19		M	13
POA0828	15-19	0	F	57
POA0828	15-19	0	M	67
POA0828	15-19	1	M	3
POA0828	20-24		M	5
POA0828	20-24	0	F	40
POA0828	20-24	0	M	50
POA0828	25-34		F	16
POA0828	25-34		M	18
POA0828	25-34	0	F	130
POA0828	25-34	0	M	122
POA0828	35-44		F	7
POA0828	35-44		M	8
POA0828	35-44	0	F	109
POA0828	35-44	0	M	121
POA0828	35-44	1	F	4
POA0828	45-54		F	19
POA0828	45-54		M	20
POA0828	45-54	0	F	86
POA0828	45-54	0	M	96
POA0828	45-54	1	M	6
POA0828	55-64		F	18
POA0828	55-64		M	14
POA0828	55-64	0	F	78
POA0828	55-64	0	M	68
POA0828	55-64	1	F	14
POA0828	55-64	1	M	3
POA0828	65-74		F	3
POA0828	65-74		M	5
POA0828	65-74	0	F	29
POA0828	65-74	0	M	44
POA0828	65-74	1	F	4
POA0828	65-74	1	M	3
POA0828	75-84		M	4
POA0828	75-84	0	F	9
POA0828	75-84	0	M	16
POA0828	75-84	1	F	5
POA0828	75-84	1	M	3
POA0829	0-4	0	F	6
POA0829	0-4	0	M	4
POA0829	5-14		F	9
POA0829	5-14		M	5
POA0829	5-14	0	F	13
POA0829	5-14	0	M	13
POA0829	15-19		F	4
POA0829	15-19		M	42
POA0829	15-19	0	F	16
POA0829	15-19	0	M	46
POA0829	20-24		F	5
POA0829	20-24		M	156
POA0829	20-24	0	F	40
POA0829	20-24	0	M	233
POA0829	25-34		F	37
POA0829	25-34		M	373
POA0829	25-34	0	F	32
POA0829	25-34	0	M	148
POA0829	35-44		F	36
POA0829	35-44		M	281
POA0829	35-44	0	F	18
POA0829	35-44	0	M	36
POA0829	45-54		F	14
POA0829	45-54		M	173
POA0829	45-54	0	F	17
POA0829	45-54	0	M	30
POA0829	55-64		F	11
POA0829	55-64		M	46
POA0829	55-64	0	F	27
POA0829	55-64	0	M	32
POA0829	65-74		F	3
POA0829	65-74		M	14
POA0829	65-74	0	F	12
POA0829	65-74	0	M	14
POA0829	75-84		M	3
POA0829	75-84	0	F	4
POA0829	75-84	0	M	8
POA0829	75-84	1	F	5
POA0829	85+	0	M	6
POA0830	0-4		F	79
POA0830	0-4		M	77
POA0830	0-4	0	F	647
POA0830	0-4	0	M	694
POA0830	0-4	1	F	10
POA0830	0-4	1	M	22
POA0830	5-14		F	176
POA0830	5-14		M	191
POA0830	5-14	0	F	1181
POA0830	5-14	0	M	1225
POA0830	5-14	1	F	57
POA0830	5-14	1	M	106
