POA_CODE_2021	Age	NeedsAssistance	Sex	persons
POA0830	15-19		F	56
POA0830	15-19		M	59
POA0830	15-19	0	F	468
POA0830	15-19	0	M	474
POA0830	15-19	1	F	14
POA0830	15-19	1	M	23
POA0830	20-24		F	62
POA0830	20-24		M	80
POA0830	20-24	0	F	459
POA0830	20-24	0	M	532
POA0830	20-24	1	F	19
POA0830	20-24	1	M	14
POA0830	25-34		F	161
POA0830	25-34		M	208
POA0830	25-34	0	F	1416
POA0830	25-34	0	M	1240
POA0830	25-34	1	F	22
POA0830	25-34	1	M	26
POA0830	35-44		F	150
POA0830	35-44		M	158
POA0830	35-44	0	F	1313
POA0830	35-44	0	M	1139
POA0830	35-44	1	F	22
POA0830	35-44	1	M	28
POA0830	45-54		F	121
POA0830	45-54		M	149
POA0830	45-54	0	F	1047
POA0830	45-54	0	M	1073
POA0830	45-54	1	F	48
POA0830	45-54	1	M	30
POA0830	55-64		F	90
POA0830	55-64		M	111
POA0830	55-64	0	F	757
POA0830	55-64	0	M	801
POA0830	55-64	1	F	59
POA0830	55-64	1	M	60
POA0830	65-74		F	46
POA0830	65-74		M	54
POA0830	65-74	0	F	413
POA0830	65-74	0	M	432
POA0830	65-74	1	F	62
POA0830	65-74	1	M	75
POA0830	75-84		F	16
POA0830	75-84		M	24
POA0830	75-84	0	F	115
POA0830	75-84	0	M	113
POA0830	75-84	1	F	59
POA0830	75-84	1	M	31
POA0830	85+		F	4
POA0830	85+		M	5
POA0830	85+	0	F	14
POA0830	85+	0	M	13
POA0830	85+	1	F	37
POA0830	85+	1	M	31
POA0832	0-4		F	65
POA0832	0-4		M	64
POA0832	0-4	0	F	831
POA0832	0-4	0	M	805
POA0832	0-4	1	F	8
POA0832	0-4	1	M	21
POA0832	5-14		F	118
POA0832	5-14		M	121
POA0832	5-14	0	F	1399
POA0832	5-14	0	M	1367
POA0832	5-14	1	F	53
POA0832	5-14	1	M	94
POA0832	15-19		F	33
POA0832	15-19		M	43
POA0832	15-19	0	F	530
POA0832	15-19	0	M	519
POA0832	15-19	1	F	17
POA0832	15-19	1	M	30
POA0832	20-24		F	48
POA0832	20-24		M	55
POA0832	20-24	0	F	620
POA0832	20-24	0	M	608
POA0832	20-24	1	F	10
POA0832	20-24	1	M	9
POA0832	25-34		F	165
POA0832	25-34		M	153
POA0832	25-34	0	F	1850
POA0832	25-34	0	M	1604
POA0832	25-34	1	F	16
POA0832	25-34	1	M	27
POA0832	35-44		F	114
POA0832	35-44		M	142
POA0832	35-44	0	F	1557
POA0832	35-44	0	M	1412
POA0832	35-44	1	F	27
POA0832	35-44	1	M	24
POA0832	45-54		F	77
POA0832	45-54		M	98
POA0832	45-54	0	F	951
POA0832	45-54	0	M	953
POA0832	45-54	1	F	19
POA0832	45-54	1	M	29
POA0832	55-64		F	40
POA0832	55-64		M	51
POA0832	55-64	0	F	546
POA0832	55-64	0	M	493
POA0832	55-64	1	F	27
POA0832	55-64	1	M	37
POA0832	65-74		F	27
POA0832	65-74		M	21
POA0832	65-74	0	F	248
POA0832	65-74	0	M	212
POA0832	65-74	1	F	48
POA0832	65-74	1	M	26
POA0832	75-84		F	11
POA0832	75-84		M	10
POA0832	75-84	0	F	66
POA0832	75-84	0	M	74
POA0832	75-84	1	F	30
POA0832	75-84	1	M	27
POA0832	85+		F	8
POA0832	85+		M	6
POA0832	85+	0	F	5
POA0832	85+	0	M	8
POA0832	85+	1	F	23
POA0832	85+	1	M	4
POA0834	0-4		F	3
POA0834	0-4		M	3
POA0834	0-4	0	F	35
POA0834	0-4	0	M	40
POA0834	5-14		F	9
POA0834	5-14		M	3
POA0834	5-14	0	F	123
POA0834	5-14	0	M	85
POA0834	5-14	1	M	8
POA0834	15-19		F	4
POA0834	15-19		M	7
POA0834	15-19	0	F	62
POA0834	15-19	0	M	50
POA0834	15-19	1	M	4
POA0834	20-24		M	5
POA0834	20-24	0	F	35
POA0834	20-24	0	M	44
POA0834	25-34		F	3
POA0834	25-34		M	17
POA0834	25-34	0	F	88
POA0834	25-34	0	M	82
POA0834	25-34	1	M	4
POA0834	35-44		F	4
POA0834	35-44		M	7
POA0834	35-44	0	F	100
POA0834	35-44	0	M	89
POA0834	35-44	1	F	3
POA0834	35-44	1	M	4
POA0834	45-54		F	17
POA0834	45-54		M	14
POA0834	45-54	0	F	135
POA0834	45-54	0	M	152
POA0834	55-64		F	9
POA0834	55-64		M	15
POA0834	55-64	0	F	143
POA0834	55-64	0	M	127
POA0834	55-64	1	M	5
POA0834	65-74		F	4
POA0834	65-74		M	11
POA0834	65-74	0	F	81
POA0834	65-74	0	M	98
POA0834	65-74	1	F	3
POA0834	65-74	1	M	3
POA0834	75-84		F	4
POA0834	75-84	0	F	12
POA0834	75-84	0	M	22
POA0834	75-84	1	F	9
POA0834	85+	0	M	3
POA0834	85+	1	F	5
POA0835	0-4		F	3
POA0835	0-4	0	F	88
POA0835	0-4	0	M	89
POA0835	0-4	1	F	4
POA0835	0-4	1	M	4
POA0835	5-14		F	19
POA0835	5-14		M	6
POA0835	5-14	0	F	176
POA0835	5-14	0	M	168
POA0835	5-14	1	M	7
POA0835	15-19		M	5
POA0835	15-19	0	F	89
POA0835	15-19	0	M	95
POA0835	15-19	1	M	3
POA0835	20-24		F	5
POA0835	20-24		M	7
POA0835	20-24	0	F	62
POA0835	20-24	0	M	69
POA0835	25-34		F	12
POA0835	25-34		M	17
POA0835	25-34	0	F	153
POA0835	25-34	0	M	160
POA0835	25-34	1	M	6
POA0835	35-44		F	16
POA0835	35-44		M	16
POA0835	35-44	0	F	187
POA0835	35-44	0	M	186
POA0835	35-44	1	M	6
POA0835	45-54		F	14
POA0835	45-54		M	24
POA0835	45-54	0	F	236
POA0835	45-54	0	M	228
POA0835	45-54	1	F	3
POA0835	45-54	1	M	6
POA0835	55-64		F	19
POA0835	55-64		M	12
POA0835	55-64	0	F	209
POA0835	55-64	0	M	233
POA0835	55-64	1	F	8
POA0835	55-64	1	M	11
POA0835	65-74		F	15
POA0835	65-74		M	14
POA0835	65-74	0	F	132
POA0835	65-74	0	M	139
POA0835	65-74	1	F	14
POA0835	65-74	1	M	12
POA0835	75-84		M	9
POA0835	75-84	0	F	39
POA0835	75-84	0	M	61
POA0835	75-84	1	F	14
POA0835	75-84	1	M	15
POA0835	85+	0	M	4
POA0835	85+	1	F	8
POA0835	85+	1	M	7
POA0836	0-4		F	17
POA0836	0-4		M	16
POA0836	0-4	0	F	187
POA0836	0-4	0	M	222
POA0836	0-4	1	F	3
POA0836	0-4	1	M	6
POA0836	5-14		F	36
POA0836	5-14		M	24
POA0836	5-14	0	F	526
POA0836	5-14	0	M	529
POA0836	5-14	1	F	6
POA0836	5-14	1	M	34
POA0836	15-19		F	22
POA0836	15-19		M	23
POA0836	15-19	0	F	194
POA0836	15-19	0	M	236
POA0836	15-19	1	F	3
POA0836	15-19	1	M	7
POA0836	20-24		F	15
POA0836	20-24		M	10
POA0836	20-24	0	F	153
POA0836	20-24	0	M	170
POA0836	20-24	1	F	4
POA0836	20-24	1	M	7
POA0836	25-34		F	30
POA0836	25-34		M	47
POA0836	25-34	0	F	395
POA0836	25-34	0	M	386
POA0836	25-34	1	F	6
POA0836	25-34	1	M	8
POA0836	35-44		F	55
POA0836	35-44		M	44
POA0836	35-44	0	F	535
POA0836	35-44	0	M	453
POA0836	35-44	1	F	8
POA0836	35-44	1	M	6
POA0836	45-54		F	53
POA0836	45-54		M	66
POA0836	45-54	0	F	570
POA0836	45-54	0	M	610
POA0836	45-54	1	F	14
POA0836	45-54	1	M	6
POA0836	55-64		F	33
POA0836	55-64		M	59
POA0836	55-64	0	F	426
POA0836	55-64	0	M	496
POA0836	55-64	1	F	18
POA0836	55-64	1	M	19
POA0836	65-74		F	20
POA0836	65-74		M	37
POA0836	65-74	0	F	211
POA0836	65-74	0	M	279
POA0836	65-74	1	F	21
POA0836	65-74	1	M	28
POA0836	75-84		M	7
POA0836	75-84	0	F	45
POA0836	75-84	0	M	72
POA0836	75-84	1	F	19
POA0836	75-84	1	M	15
POA0836	85+	0	M	9
POA0836	85+	1	F	9
POA0836	85+	1	M	4
POA0837	0-4		M	5
POA0837	0-4	0	F	16
POA0837	0-4	0	M	6
POA0837	5-14		F	7
POA0837	5-14		M	6
POA0837	5-14	0	F	20
POA0837	5-14	0	M	19
POA0837	15-19		F	6
POA0837	15-19		M	3
POA0837	15-19	0	F	4
POA0837	15-19	0	M	8
POA0837	20-24	0	F	10
POA0837	20-24	0	M	5
POA0837	25-34		F	9
POA0837	25-34		M	12
POA0837	25-34	0	F	14
POA0837	25-34	0	M	28
POA0837	35-44		F	7
POA0837	35-44		M	12
POA0837	35-44	0	F	24
POA0837	35-44	0	M	35
POA0837	45-54		F	5
POA0837	45-54		M	5
POA0837	45-54	0	F	26
POA0837	45-54	0	M	21
POA0837	55-64		F	11
POA0837	55-64		M	7
POA0837	55-64	0	F	30
POA0837	55-64	0	M	36
POA0837	65-74		F	8
POA0837	65-74		M	14
POA0837	65-74	0	F	17
POA0837	65-74	0	M	18
POA0837	65-74	1	F	5
POA0837	65-74	1	M	6
POA0837	75-84		F	3
POA0837	75-84	0	F	5
POA0837	75-84	0	M	8
POA0837	85+	1	F	3
POA0838	0-4		F	4
POA0838	0-4		M	3
POA0838	0-4	0	F	22
POA0838	0-4	0	M	34
POA0838	5-14		F	12
POA0838	5-14		M	16
POA0838	5-14	0	F	44
POA0838	5-14	0	M	63
POA0838	5-14	1	F	5
POA0838	5-14	1	M	10
POA0838	15-19		F	4
POA0838	15-19		M	3
POA0838	15-19	0	F	16
POA0838	15-19	0	M	21
POA0838	20-24		F	9
POA0838	20-24		M	4
POA0838	20-24	0	F	11
POA0838	20-24	0	M	11
POA0838	25-34		F	7
POA0838	25-34		M	18
POA0838	25-34	0	F	47
POA0838	25-34	0	M	38
POA0838	35-44		F	6
POA0838	35-44		M	7
POA0838	35-44	0	F	52
POA0838	35-44	0	M	62
POA0838	35-44	1	F	4
POA0838	35-44	1	M	4
POA0838	45-54		F	7
POA0838	45-54		M	12
POA0838	45-54	0	F	49
POA0838	45-54	0	M	44
POA0838	55-64		F	5
POA0838	55-64		M	10
POA0838	55-64	0	F	48
POA0838	55-64	0	M	63
POA0838	55-64	1	M	11
POA0838	65-74		F	8
POA0838	65-74		M	3
POA0838	65-74	0	F	28
POA0838	65-74	0	M	38
POA0838	75-84	0	F	5
POA0838	75-84	0	M	7
POA0838	75-84	1	F	6
POA0839	0-4		M	3
POA0839	0-4	0	F	13
POA0839	0-4	0	M	12
POA0839	5-14		F	3
POA0839	5-14		M	7
POA0839	5-14	0	F	17
POA0839	5-14	0	M	24
POA0839	15-19	0	F	3
POA0839	15-19	0	M	9
POA0839	20-24		F	5
POA0839	20-24	0	F	26
POA0839	20-24	0	M	25
POA0839	25-34		F	10
POA0839	25-34		M	9
POA0839	25-34	0	F	80
POA0839	25-34	0	M	46
POA0839	35-44		F	4
POA0839	35-44		M	3
POA0839	35-44	0	F	19
POA0839	35-44	0	M	20
POA0839	45-54		F	5
POA0839	45-54		M	6
POA0839	45-54	0	F	18
POA0839	45-54	0	M	19
POA0839	55-64		F	4
POA0839	55-64		M	6
POA0839	55-64	0	F	11
POA0839	55-64	0	M	14
POA0839	55-64	1	F	3
POA0839	65-74		F	6
POA0839	65-74		M	4
POA0839	65-74	0	F	17
POA0839	65-74	0	M	19
POA0839	75-84	0	F	5
POA0839	75-84	0	M	3
POA0840	0-4	0	M	5
POA0840	5-14		F	7
POA0840	5-14		M	9
POA0840	5-14	0	F	7
POA0840	5-14	0	M	9
POA0840	5-14	1	F	4
POA0840	15-19	0	M	4
POA0840	25-34	0	F	10
POA0840	35-44		F	10
POA0840	35-44		M	10
POA0840	35-44	0	F	15
POA0840	35-44	0	M	11
POA0840	45-54		F	3
POA0840	45-54		M	15
POA0840	45-54	0	F	24
POA0840	45-54	0	M	33
POA0840	55-64		F	10
POA0840	55-64		M	5
POA0840	55-64	0	F	39
POA0840	55-64	0	M	45
POA0840	55-64	1	F	9
POA0840	55-64	1	M	3
POA0840	65-74		F	6
POA0840	65-74		M	8
POA0840	65-74	0	F	49
POA0840	65-74	0	M	71
POA0840	65-74	1	F	7
POA0840	65-74	1	M	10
POA0840	75-84		M	4
POA0840	75-84	0	F	10
POA0840	75-84	0	M	11
POA0840	75-84	1	M	7
POA0841	0-4		M	5
POA0841	0-4	0	F	15
POA0841	0-4	0	M	20
POA0841	5-14		F	4
POA0841	5-14		M	7
POA0841	5-14	0	F	25
POA0841	5-14	0	M	21
POA0841	5-14	1	M	3
POA0841	15-19		M	3
POA0841	15-19	0	F	9
POA0841	15-19	0	M	16
POA0841	20-24	0	F	8
POA0841	20-24	0	M	11
POA0841	25-34		F	3
POA0841	25-34		M	4
POA0841	25-34	0	F	16
POA0841	25-34	0	M	25
POA0841	35-44		F	5
POA0841	35-44		M	6
POA0841	35-44	0	F	37
POA0841	35-44	0	M	34
POA0841	45-54		F	13
POA0841	45-54		M	24
POA0841	45-54	0	F	42
POA0841	45-54	0	M	55
POA0841	45-54	1	F	4
POA0841	55-64		F	6
POA0841	55-64		M	10
POA0841	55-64	0	F	36
POA0841	55-64	0	M	54
POA0841	55-64	1	M	4
POA0841	65-74		F	7
POA0841	65-74		M	3
POA0841	65-74	0	F	23
POA0841	65-74	0	M	36
POA0841	65-74	1	F	4
POA0841	65-74	1	M	4
POA0841	75-84		F	3
POA0841	75-84	0	F	5
POA0841	75-84	0	M	16
POA0841	75-84	1	M	4
POA0845	0-4		F	3
POA0845	0-4		M	8
POA0845	0-4	0	F	10
POA0845	0-4	0	M	9
POA0845	5-14		F	3
POA0845	5-14		M	5
POA0845	5-14	0	F	18
POA0845	5-14	0	M	20
POA0845	15-19		F	5
POA0845	15-19	0	F	8
POA0845	15-19	0	M	7
POA0845	20-24		F	5
POA0845	20-24	0	F	4
POA0845	20-24	0	M	6
POA0845	25-34		F	9
POA0845	25-34		M	5
POA0845	25-34	0	F	13
POA0845	25-34	0	M	8
POA0845	35-44		F	7
POA0845	35-44		M	3
POA0845	35-44	0	F	17
POA0845	35-44	0	M	17
POA0845	45-54		F	8
POA0845	45-54		M	14
POA0845	45-54	0	F	24
POA0845	45-54	0	M	19
POA0845	45-54	1	F	3
POA0845	55-64		M	5
POA0845	55-64	0	F	27
POA0845	55-64	0	M	28
POA0845	55-64	1	M	5
POA0845	65-74		F	4
POA0845	65-74		M	5
POA0845	65-74	0	F	15
POA0845	65-74	0	M	23
POA0845	65-74	1	F	7
POA0845	65-74	1	M	3
POA0845	75-84	0	M	3
POA0845	75-84	1	M	3
POA0846	0-4	0	F	9
POA0846	0-4	0	M	3
POA0846	5-14		F	3
POA0846	5-14		M	7
POA0846	5-14	0	F	15
POA0846	5-14	0	M	19
POA0846	15-19	0	F	5
POA0846	15-19	0	M	3
POA0846	20-24	0	F	7
POA0846	25-34		F	10
POA0846	25-34		M	8
POA0846	25-34	0	F	15
POA0846	25-34	0	M	10
POA0846	35-44		F	3
POA0846	35-44		M	4
POA0846	35-44	0	F	6
POA0846	35-44	0	M	9
POA0846	45-54		F	3
POA0846	45-54		M	3
POA0846	45-54	0	F	18
POA0846	45-54	0	M	11
POA0846	55-64		F	11
POA0846	55-64		M	6
POA0846	55-64	0	F	22
POA0846	55-64	0	M	20
POA0846	65-74		F	4
POA0846	65-74		M	3
POA0846	65-74	0	F	23
POA0846	65-74	0	M	18
POA0846	75-84		M	3
POA0846	75-84	0	F	8
POA0846	75-84	0	M	14
POA0846	75-84	1	M	3
POA0847	0-4		M	5
POA0847	0-4	0	M	11
POA0847	5-14		F	3
POA0847	5-14	0	F	21
POA0847	5-14	0	M	22
POA0847	15-19		M	4
POA0847	15-19	0	F	13
POA0847	15-19	0	M	13
POA0847	20-24	0	F	9
POA0847	20-24	0	M	9
POA0847	25-34		M	6
