POA_CODE_2021	IndigenousStatus	persons
POA0800	Aboriginal	202
POA0800	Both Aboriginal & Torres Strait Islander	27
POA0800	Non-indigenous	6895
POA0800	Torres Strait Islander	25
POA0810	Aboriginal	2208
POA0810	Both Aboriginal & Torres Strait Islander	311
POA0810	Non-indigenous	31704
POA0810	Torres Strait Islander	107
POA0812	Aboriginal	2250
POA0812	Both Aboriginal & Torres Strait Islander	456
POA0812	Non-indigenous	15857
POA0812	Torres Strait Islander	71
POA0820	Aboriginal	1070
POA0820	Both Aboriginal & Torres Strait Islander	66
POA0820	Non-indigenous	18737
POA0820	Torres Strait Islander	47
POA0822	Aboriginal	17519
POA0822	Both Aboriginal & Torres Strait Islander	140
POA0822	Non-indigenous	7595
POA0822	Torres Strait Islander	50
POA0828	Aboriginal	301
POA0828	Both Aboriginal & Torres Strait Islander	8
POA0828	Non-indigenous	1382
POA0828	Torres Strait Islander	6
POA0829	Aboriginal	919
POA0829	Both Aboriginal & Torres Strait Islander	17
POA0829	Non-indigenous	1021
POA0829	Torres Strait Islander	6
POA0830	Aboriginal	2550
POA0830	Both Aboriginal & Torres Strait Islander	227
POA0830	Non-indigenous	15648
POA0830	Torres Strait Islander	76
POA0832	Aboriginal	1750
POA0832	Both Aboriginal & Torres Strait Islander	165
POA0832	Non-indigenous	16737
POA0832	Torres Strait Islander	75
POA0834	Aboriginal	124
POA0834	Both Aboriginal & Torres Strait Islander	7
POA0834	Non-indigenous	1671
POA0834	Torres Strait Islander	9
POA0835	Aboriginal	233
POA0835	Both Aboriginal & Torres Strait Islander	11
POA0835	Non-indigenous	2897
POA0835	Torres Strait Islander	12
POA0836	Aboriginal	511
POA0836	Both Aboriginal & Torres Strait Islander	69
POA0836	Non-indigenous	6986
POA0836	Torres Strait Islander	31
POA0837	Aboriginal	91
POA0837	Non-indigenous	398
POA0838	Aboriginal	58
POA0838	Both Aboriginal & Torres Strait Islander	9
POA0838	Non-indigenous	790
POA0838	Torres Strait Islander	13
POA0839	Aboriginal	49
POA0839	Both Aboriginal & Torres Strait Islander	3
POA0839	Non-indigenous	451
POA0839	Torres Strait Islander	7
POA0840	Aboriginal	47
POA0840	Both Aboriginal & Torres Strait Islander	4
POA0840	Non-indigenous	406
POA0841	Aboriginal	56
POA0841	Both Aboriginal & Torres Strait Islander	3
POA0841	Non-indigenous	568
POA0845	Aboriginal	104
