GCCSA_NAME21	AgeChild	CoupleFamily	ParentsBornAus	children
Greater Sydney	0-4	0		1221
Greater Sydney	0-4	0	Both	16101
Greater Sydney	0-4	0	Father only	2411
Greater Sydney	0-4	0	Mother only	4236
Greater Sydney	0-4	0	Neither	7212
Greater Sydney	0-4	1		1247
Greater Sydney	0-4	1	Both	99183
Greater Sydney	0-4	1	Father only	26657
Greater Sydney	0-4	1	Mother only	26584
Greater Sydney	0-4	1	Neither	110847
Greater Sydney	5-9	0		1364
Greater Sydney	5-9	0	Both	21282
Greater Sydney	5-9	0	Father only	3994
Greater Sydney	5-9	0	Mother only	6337
Greater Sydney	5-9	0	Neither	12930
Greater Sydney	5-9	1		1317
Greater Sydney	5-9	1	Both	93361
Greater Sydney	5-9	1	Father only	24969
Greater Sydney	5-9	1	Mother only	26002
Greater Sydney	5-9	1	Neither	119233
Greater Sydney	10-12	0		754
Greater Sydney	10-12	0	Both	14559
Greater Sydney	10-12	0	Father only	2958
Greater Sydney	10-12	0	Mother only	4245
Greater Sydney	10-12	0	Neither	9817
Greater Sydney	10-12	1		602
Greater Sydney	10-12	1	Both	56756
Greater Sydney	10-12	1	Father only	14169
Greater Sydney	10-12	1	Mother only	15819
Greater Sydney	10-12	1	Neither	64423
Greater Sydney	13-14	0		507
Greater Sydney	13-14	0	Both	10524
Greater Sydney	13-14	0	Father only	2172
Greater Sydney	13-14	0	Mother only	3254
Greater Sydney	13-14	0	Neither	7468
Greater Sydney	13-14	1		367
Greater Sydney	13-14	1	Both	37883
Greater Sydney	13-14	1	Father only	8673
Greater Sydney	13-14	1	Mother only	10409
Greater Sydney	13-14	1	Neither	39095
Greater Sydney	15-17	0		436
Greater Sydney	15-17	0	Both	13071
Greater Sydney	15-17	0	Father only	2795
Greater Sydney	15-17	0	Mother only	4059
Greater Sydney	15-17	0	Neither	11040
Greater Sydney	15-17	1		220
Greater Sydney	15-17	1	Both	47968
Greater Sydney	15-17	1	Father only	10543
Greater Sydney	15-17	1	Mother only	13355
Greater Sydney	15-17	1	Neither	49581
Greater Sydney	18-20	0		164
Greater Sydney	18-20	0	Both	5114
Greater Sydney	18-20	0	Father only	1374
Greater Sydney	18-20	0	Mother only	1873
Greater Sydney	18-20	0	Neither	7705
Greater Sydney	18-20	1		105
Greater Sydney	18-20	1	Both	23019
Greater Sydney	18-20	1	Father only	5286
Greater Sydney	18-20	1	Mother only	6626
Greater Sydney	18-20	1	Neither	33904
Greater Sydney	21-24	0		63
Greater Sydney	21-24	0	Both	2502
Greater Sydney	21-24	0	Father only	761
Greater Sydney	21-24	0	Mother only	1017
Greater Sydney	21-24	0	Neither	5219
Greater Sydney	21-24	1		57
Greater Sydney	21-24	1	Both	10481
Greater Sydney	21-24	1	Father only	2484
Greater Sydney	21-24	1	Mother only	3081
Greater Sydney	21-24	1	Neither	20597
Rest of NSW	0-4	0		898
Rest of NSW	0-4	0	Both	21767
Rest of NSW	0-4	0	Father only	704
Rest of NSW	0-4	0	Mother only	1656
Rest of NSW	0-4	0	Neither	611
Rest of NSW	0-4	1		455
Rest of NSW	0-4	1	Both	91943
Rest of NSW	0-4	1	Father only	8066
Rest of NSW	0-4	1	Mother only	7037
Rest of NSW	0-4	1	Neither	10641
Rest of NSW	5-9	0		954
Rest of NSW	5-9	0	Both	30092
Rest of NSW	5-9	0	Father only	1430
Rest of NSW	5-9	0	Mother only	2473
Rest of NSW	5-9	0	Neither	1124
Rest of NSW	5-9	1		575
Rest of NSW	5-9	1	Both	94558
Rest of NSW	5-9	1	Father only	8182
Rest of NSW	5-9	1	Mother only	7648
Rest of NSW	5-9	1	Neither	10803
Rest of NSW	10-12	0		633
Rest of NSW	10-12	0	Both	20289
Rest of NSW	10-12	0	Father only	1175
Rest of NSW	10-12	0	Mother only	1840
Rest of NSW	10-12	0	Neither	907
Rest of NSW	10-12	1		330
Rest of NSW	10-12	1	Both	58003
Rest of NSW	10-12	1	Father only	4667
Rest of NSW	10-12	1	Mother only	4827
Rest of NSW	10-12	1	Neither	5908
Rest of NSW	13-14	0		421
Rest of NSW	13-14	0	Both	14637
Rest of NSW	13-14	0	Father only	874
Rest of NSW	13-14	0	Mother only	1348
Rest of NSW	13-14	0	Neither	704
Rest of NSW	13-14	1		237
Rest of NSW	13-14	1	Both	38156
Rest of NSW	13-14	1	Father only	2993
Rest of NSW	13-14	1	Mother only	3236
Rest of NSW	13-14	1	Neither	3536
Rest of NSW	15-17	0		252
Rest of NSW	15-17	0	Both	15538
Rest of NSW	15-17	0	Father only	1077
Rest of NSW	15-17	0	Mother only	1676
