GCCSA_NAME21	Age	UsualResidence	persons
Migratory - Offshore - Shipping (NSW)	35-44	Visitor from NSW	3
Migratory - Offshore - Shipping (NSW)	45-54	Visitor from NSW	3
Migratory - Offshore - Shipping (NSW)	45-54	Visitor from VIC	8
Migratory - Offshore - Shipping (NSW)	55-64	Visitor from NSW	4
Migratory - Offshore - Shipping (NSW)	55-64	Visitor from QLD	4
Migratory - Offshore - Shipping (NSW)	55-64	Visitor from VIC	4
Migratory - Offshore - Shipping (NSW)	65-74	Visitor from NSW	3
Greater Sydney	0-14	Home	947114
Greater Sydney	0-14	Visitor from ACT	54
Greater Sydney	0-14	Visitor from NSW	12213
Greater Sydney	0-14	Visitor from NT	15
Greater Sydney	0-14	Visitor from QLD	225
Greater Sydney	0-14	Visitor from SA	21
Greater Sydney	0-14	Visitor from TAS	13
Greater Sydney	0-14	Visitor from VIC	159
Greater Sydney	0-14	Visitor from WA	40
Greater Sydney	0-14	Visitor same SA2	451
Greater Sydney	15-24	Home	617941
Greater Sydney	15-24	Visitor from ACT	344
Greater Sydney	15-24	Visitor from NSW	14199
Greater Sydney	15-24	Visitor from NT	33
Greater Sydney	15-24	Visitor from OT	3
Greater Sydney	15-24	Visitor from QLD	721
Greater Sydney	15-24	Visitor from SA	106
Greater Sydney	15-24	Visitor from TAS	52
Greater Sydney	15-24	Visitor from VIC	346
Greater Sydney	15-24	Visitor from WA	246
Greater Sydney	15-24	Visitor same SA2	448
Greater Sydney	25-34	Home	787670
Greater Sydney	25-34	Visitor from ACT	216
Greater Sydney	25-34	Visitor from NSW	18255
Greater Sydney	25-34	Visitor from NT	55
Greater Sydney	25-34	Visitor from QLD	721
Greater Sydney	25-34	Visitor from SA	160
Greater Sydney	25-34	Visitor from TAS	66
Greater Sydney	25-34	Visitor from VIC	628
Greater Sydney	25-34	Visitor from WA	230
Greater Sydney	25-34	Visitor same SA2	538
Greater Sydney	35-44	Home	761394
Greater Sydney	35-44	Visitor from ACT	147
Greater Sydney	35-44	Visitor from NSW	12540
Greater Sydney	35-44	Visitor from NT	25
Greater Sydney	35-44	Visitor from OT	3
Greater Sydney	35-44	Visitor from QLD	440
Greater Sydney	35-44	Visitor from SA	73
Greater Sydney	35-44	Visitor from TAS	55
Greater Sydney	35-44	Visitor from VIC	417
Greater Sydney	35-44	Visitor from WA	152
Greater Sydney	35-44	Visitor same SA2	562
Greater Sydney	45-54	Home	652604
Greater Sydney	45-54	Visitor from ACT	111
Greater Sydney	45-54	Visitor from NSW	10584
Greater Sydney	45-54	Visitor from NT	24
Greater Sydney	45-54	Visitor from QLD	492
Greater Sydney	45-54	Visitor from SA	72
Greater Sydney	45-54	Visitor from TAS	45
Greater Sydney	45-54	Visitor from VIC	300
Greater Sydney	45-54	Visitor from WA	130
Greater Sydney	45-54	Visitor same SA2	579
Greater Sydney	55-64	Home	563967
Greater Sydney	55-64	Visitor from ACT	142
Greater Sydney	55-64	Visitor from NSW	10018
Greater Sydney	55-64	Visitor from NT	26
Greater Sydney	55-64	Visitor from QLD	611
Greater Sydney	55-64	Visitor from SA	73
Greater Sydney	55-64	Visitor from TAS	68
Greater Sydney	55-64	Visitor from VIC	363
Greater Sydney	55-64	Visitor from WA	129
Greater Sydney	55-64	Visitor same SA2	626
Greater Sydney	65-74	Home	425753
Greater Sydney	65-74	Visitor from ACT	100
Greater Sydney	65-74	Visitor from NSW	8363
Greater Sydney	65-74	Visitor from NT	19
Greater Sydney	65-74	Visitor from OT	8
Greater Sydney	65-74	Visitor from QLD	500
Greater Sydney	65-74	Visitor from SA	86
Greater Sydney	65-74	Visitor from TAS	63
Greater Sydney	65-74	Visitor from VIC	252
Greater Sydney	65-74	Visitor from WA	113
Greater Sydney	65-74	Visitor same SA2	869
Greater Sydney	75-84	Home	241362
Greater Sydney	75-84	Visitor from ACT	21
Greater Sydney	75-84	Visitor from NSW	5735
Greater Sydney	75-84	Visitor from NT	3
Greater Sydney	75-84	Visitor from QLD	168
Greater Sydney	75-84	Visitor from SA	24
Greater Sydney	75-84	Visitor from TAS	24
Greater Sydney	75-84	Visitor from VIC	96
Greater Sydney	75-84	Visitor from WA	39
Greater Sydney	75-84	Visitor same SA2	1012
Greater Sydney	85+	Home	100124
Greater Sydney	85+	Visitor from ACT	3
Greater Sydney	85+	Visitor from NSW	4022
Greater Sydney	85+	Visitor from QLD	48
Greater Sydney	85+	Visitor from SA	6
Greater Sydney	85+	Visitor from TAS	3
Greater Sydney	85+	Visitor from VIC	23
Greater Sydney	85+	Visitor from WA	3
Greater Sydney	85+	Visitor same SA2	1335
Rest of NSW	0-14	Home	493931
Rest of NSW	0-14	Visitor from ACT	304
Rest of NSW	0-14	Visitor from NSW	12555
Rest of NSW	0-14	Visitor from NT	21
Rest of NSW	0-14	Visitor from OT	3
Rest of NSW	0-14	Visitor from QLD	325
Rest of NSW	0-14	Visitor from SA	38
Rest of NSW	0-14	Visitor from TAS	20
Rest of NSW	0-14	Visitor from VIC	267
Rest of NSW	0-14	Visitor from WA	20
Rest of NSW	0-14	Visitor same SA2	587
Rest of NSW	15-24	Home	297720
