GCCSA_NAME21	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
No usual address (NSW)	15-19				F	89
No usual address (NSW)	15-19				M	94
No usual address (NSW)	15-19	0			F	164
No usual address (NSW)	15-19	0			M	151
No usual address (NSW)	15-19	1	0	1	F	22
No usual address (NSW)	15-19	1	0	1	M	3
No usual address (NSW)	15-19	1	1	0	F	8
No usual address (NSW)	20-24				F	134
No usual address (NSW)	20-24				M	135
No usual address (NSW)	20-24	0			F	229
No usual address (NSW)	20-24	0			M	252
No usual address (NSW)	20-24	1	0	1	F	9
No usual address (NSW)	20-24	1	0	1	M	10
No usual address (NSW)	20-24	1	1	0	F	44
No usual address (NSW)	20-24	1	1	0	M	15
No usual address (NSW)	25-34				F	334
No usual address (NSW)	25-34				M	415
No usual address (NSW)	25-34	0			F	505
No usual address (NSW)	25-34	0			M	605
No usual address (NSW)	25-34	1	0	1	F	32
No usual address (NSW)	25-34	1	0	1	M	17
No usual address (NSW)	25-34	1	1	0	F	152
No usual address (NSW)	25-34	1	1	0	M	117
No usual address (NSW)	25-34	1	1	1	F	7
No usual address (NSW)	25-34	1	1	1	M	5
No usual address (NSW)	35-44				F	286
No usual address (NSW)	35-44				M	495
No usual address (NSW)	35-44	0			F	291
No usual address (NSW)	35-44	0			M	443
No usual address (NSW)	35-44	1	0	1	F	11
No usual address (NSW)	35-44	1	0	1	M	15
No usual address (NSW)	35-44	1	1	0	F	151
No usual address (NSW)	35-44	1	1	0	M	147
No usual address (NSW)	35-44	1	1	1	F	11
No usual address (NSW)	35-44	1	1	1	M	11
No usual address (NSW)	45-54				F	206
No usual address (NSW)	45-54				M	439
No usual address (NSW)	45-54	0			F	359
No usual address (NSW)	45-54	0			M	451
No usual address (NSW)	45-54	1	0	1	F	33
No usual address (NSW)	45-54	1	0	1	M	23
No usual address (NSW)	45-54	1	1	0	F	70
No usual address (NSW)	45-54	1	1	0	M	94
No usual address (NSW)	55-64				F	147
No usual address (NSW)	55-64				M	311
No usual address (NSW)	55-64	0			F	480
No usual address (NSW)	55-64	0			M	600
No usual address (NSW)	55-64	1	0	1	F	64
No usual address (NSW)	55-64	1	0	1	M	24
No usual address (NSW)	55-64	1	1	0	F	4
No usual address (NSW)	55-64	1	1	0	M	8
No usual address (NSW)	65-74				F	61
No usual address (NSW)	65-74				M	137
No usual address (NSW)	65-74	0			F	306
No usual address (NSW)	65-74	0			M	485
No usual address (NSW)	65-74	1	0	1	F	39
No usual address (NSW)	65-74	1	0	1	M	27
No usual address (NSW)	65-74	1	1	0	M	5
No usual address (NSW)	75-84				F	24
No usual address (NSW)	75-84				M	32
No usual address (NSW)	75-84	0			F	78
No usual address (NSW)	75-84	0			M	129
No usual address (NSW)	75-84	1	0	1	F	3
No usual address (NSW)	75-84	1	0	1	M	7
No usual address (NSW)	85+				F	12
No usual address (NSW)	85+				M	4
No usual address (NSW)	85+	0			F	19
No usual address (NSW)	85+	0			M	10
Greater Sydney	15-19				F	7164
Greater Sydney	15-19				M	8052
Greater Sydney	15-19	0			F	128025
Greater Sydney	15-19	0			M	139889
Greater Sydney	15-19	1	0	1	F	6764
Greater Sydney	15-19	1	0	1	M	3914
Greater Sydney	15-19	1	1	0	F	522
Greater Sydney	15-19	1	1	0	M	348
Greater Sydney	15-19	1	1	1	F	51
Greater Sydney	15-19	1	1	1	M	29
Greater Sydney	20-24				F	9615
Greater Sydney	20-24				M	11704
Greater Sydney	20-24	0			F	144522
Greater Sydney	20-24	0			M	158961
Greater Sydney	20-24	1	0	1	F	5787
Greater Sydney	20-24	1	0	1	M	3228
Greater Sydney	20-24	1	1	0	F	6443
Greater Sydney	20-24	1	1	0	M	2535
Greater Sydney	20-24	1	1	1	F	200
Greater Sydney	20-24	1	1	1	M	68
Greater Sydney	25-34				F	25560
Greater Sydney	25-34				M	29293
Greater Sydney	25-34	0			F	259500
Greater Sydney	25-34	0			M	299300
Greater Sydney	25-34	1	0	1	F	7971
Greater Sydney	25-34	1	0	1	M	4878
Greater Sydney	25-34	1	1	0	F	115187
Greater Sydney	25-34	1	1	0	M	66886
Greater Sydney	25-34	1	1	1	F	1972
Greater Sydney	25-34	1	1	1	M	761
Greater Sydney	35-44				F	20433
Greater Sydney	35-44				M	23719
Greater Sydney	35-44	0			F	125845
Greater Sydney	35-44	0			M	163100
Greater Sydney	35-44	1	0	1	F	5557
Greater Sydney	35-44	1	0	1	M	3546
Greater Sydney	35-44	1	1	0	F	237205
Greater Sydney	35-44	1	1	0	M	193395
Greater Sydney	35-44	1	1	1	F	3211
Greater Sydney	35-44	1	1	1	M	1736
Greater Sydney	45-54				F	14837
Greater Sydney	45-54				M	17099
Greater Sydney	45-54	0			F	194990
Greater Sydney	45-54	0			M	183459
Greater Sydney	45-54	1	0	1	F	9333
Greater Sydney	45-54	1	0	1	M	3951
Greater Sydney	45-54	1	1	0	F	119670
Greater Sydney	45-54	1	1	0	M	121167
Greater Sydney	45-54	1	1	1	F	1562
Greater Sydney	45-54	1	1	1	M	1111
Greater Sydney	55-64				F	12296
Greater Sydney	55-64				M	13800
Greater Sydney	55-64	0			F	241038
Greater Sydney	55-64	0			M	233357
Greater Sydney	55-64	1	0	1	F	30818
Greater Sydney	55-64	1	0	1	M	11065
Greater Sydney	55-64	1	1	0	F	11749
Greater Sydney	55-64	1	1	0	M	24103
Greater Sydney	55-64	1	1	1	F	596
Greater Sydney	55-64	1	1	1	M	347
Greater Sydney	65-74				F	10927
Greater Sydney	65-74				M	10449
