GCCSA_NAME21	HomeCensusNight	persons
No usual address (NSW)	0	11371
Greater Sydney	0	133224
Greater Sydney	1	5097920
Rest of NSW	0	118221
Rest of NSW	1	2711414
No usual address (Vic.)	0	9089
Migratory - Offshore - Shipping (Vic.)	1	40
Greater Melbourne	0	130400
Greater Melbourne	1	4787350
Rest of Vic.	0	67854
Rest of Vic.	1	1508761
No usual address (Qld)	0	14670
Migratory - Offshore - Shipping (Qld)	0	70
Migratory - Offshore - Shipping (Qld)	1	112
Greater Brisbane	0	81972
Greater Brisbane	1	2444265
Rest of Qld	0	129255
Rest of Qld	1	2485781
No usual address (SA)	0	3377
Migratory - Offshore - Shipping (SA)	1	12
Greater Adelaide	0	48480
Greater Adelaide	1	1338814
Rest of SA	0	23387
Rest of SA	1	367446
No usual address (WA)	0	8055
Migratory - Offshore - Shipping (WA)	0	5
Migratory - Offshore - Shipping (WA)	1	511
Greater Perth	0	102664
Greater Perth	1	2013982
Rest of WA	0	40863
Rest of WA	1	493940
No usual address (Tas.)	0	1377
Migratory - Offshore - Shipping (Tas.)	1	16
Greater Hobart	0	10626
Greater Hobart	1	236459
Rest of Tas.	0	16330
Rest of Tas.	1	292762
No usual address (NT)	0	3500
Migratory - Offshore - Shipping (NT)	1	95
Greater Darwin	0	7997
Greater Darwin	1	131901
Rest of NT	0	5477
Rest of NT	1	83626
No usual address (ACT)	0	605
Australian Capital Territory	0	15636
Australian Capital Territory	1	438251
No usual address (OT)	0	11
Other Territories	0	275
Other Territories	1	4505
