GCCSA_NAME21	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Greater Sydney		1	1	0	270
Greater Sydney		1	1	1800	22
Greater Sydney		1	1	3600	66
Greater Sydney		1	1	5400	42
Greater Sydney		1	1	7200	99
Greater Sydney		1	1	9600	125
Greater Sydney		1	1	12000	172
Greater Sydney		1	1	14400	197
Greater Sydney		1	1	16800	187
Greater Sydney		1	1	19200	266
Greater Sydney		1	1	21600	196
Greater Sydney		1	1	24000	390
Greater Sydney		1	1	26400	149
Greater Sydney		1	1	28800	174
Greater Sydney		1	1	31200	314
Greater Sydney		1	1	36000	470
Greater Sydney		1	1	48000	193
Greater Sydney		1	1	60000	205
Greater Sydney	0	1	0	0	1722
Greater Sydney	0	1	0	1800	307
Greater Sydney	0	1	0	3600	660
Greater Sydney	0	1	0	5400	592
Greater Sydney	0	1	0	7200	1044
Greater Sydney	0	1	0	9600	1433
Greater Sydney	0	1	0	12000	1805
Greater Sydney	0	1	0	14400	2134
Greater Sydney	0	1	0	16800	2037
Greater Sydney	0	1	0	19200	2288
Greater Sydney	0	1	0	21600	1524
Greater Sydney	0	1	0	24000	3177
Greater Sydney	0	1	0	26400	1235
Greater Sydney	0	1	0	28800	1029
Greater Sydney	0	1	0	31200	2179
Greater Sydney	0	1	0	36000	3356
Greater Sydney	0	1	0	48000	1468
Greater Sydney	0	1	0	60000	1457
Greater Sydney	0	1	1	0	900
Greater Sydney	0	1	1	1800	152
Greater Sydney	0	1	1	3600	278
Greater Sydney	0	1	1	5400	261
Greater Sydney	0	1	1	7200	463
Greater Sydney	0	1	1	9600	682
Greater Sydney	0	1	1	12000	1041
Greater Sydney	0	1	1	14400	1317
Greater Sydney	0	1	1	16800	1435
Greater Sydney	0	1	1	19200	1716
Greater Sydney	0	1	1	21600	1374
Greater Sydney	0	1	1	24000	2718
Greater Sydney	0	1	1	26400	1299
Greater Sydney	0	1	1	28800	1134
Greater Sydney	0	1	1	31200	2224
Greater Sydney	0	1	1	36000	3544
Greater Sydney	0	1	1	48000	1635
Greater Sydney	0	1	1	60000	1848
Greater Sydney	1	0	0	0	6442
Greater Sydney	1	0	0	1800	1121
Greater Sydney	1	0	0	3600	1862
Greater Sydney	1	0	0	5400	1567
Greater Sydney	1	0	0	7200	2478
Greater Sydney	1	0	0	9600	3277
Greater Sydney	1	0	0	12000	4275
Greater Sydney	1	0	0	14400	4925
Greater Sydney	1	0	0	16800	4948
Greater Sydney	1	0	0	19200	6291
Greater Sydney	1	0	0	21600	5451
Greater Sydney	1	0	0	24000	11803
Greater Sydney	1	0	0	26400	6535
Greater Sydney	1	0	0	28800	6775
Greater Sydney	1	0	0	31200	12746
Greater Sydney	1	0	0	36000	21206
Greater Sydney	1	0	0	48000	10177
Greater Sydney	1	0	0	60000	11344
Greater Sydney	1	1	0	0	5144
Greater Sydney	1	1	0	1800	950
Greater Sydney	1	1	0	3600	1593
Greater Sydney	1	1	0	5400	1394
Greater Sydney	1	1	0	7200	2149
Greater Sydney	1	1	0	9600	2992
Greater Sydney	1	1	0	12000	4115
Greater Sydney	1	1	0	14400	4801
Greater Sydney	1	1	0	16800	4604
Greater Sydney	1	1	0	19200	5322
Greater Sydney	1	1	0	21600	3829
Greater Sydney	1	1	0	24000	9782
Greater Sydney	1	1	0	26400	3878
Greater Sydney	1	1	0	28800	3871
Greater Sydney	1	1	0	31200	8044
Greater Sydney	1	1	0	36000	14962
Greater Sydney	1	1	0	48000	7959
Greater Sydney	1	1	0	60000	9218
Greater Sydney	1	1	1	0	6018
Greater Sydney	1	1	1	1800	653
Greater Sydney	1	1	1	3600	1202
Greater Sydney	1	1	1	5400	1117
Greater Sydney	1	1	1	7200	1912
Greater Sydney	1	1	1	9600	3099
Greater Sydney	1	1	1	12000	4922
Greater Sydney	1	1	1	14400	6524
Greater Sydney	1	1	1	16800	7883
Greater Sydney	1	1	1	19200	10251
Greater Sydney	1	1	1	21600	9795
Greater Sydney	1	1	1	24000	22416
Greater Sydney	1	1	1	26400	13033
Greater Sydney	1	1	1	28800	14060
Greater Sydney	1	1	1	31200	27315
Greater Sydney	1	1	1	36000	50944
Greater Sydney	1	1	1	48000	26610
Greater Sydney	1	1	1	60000	33886
Rest of NSW		1	1	0	124
Rest of NSW		1	1	1800	28
Rest of NSW		1	1	3600	62
Rest of NSW		1	1	5400	60
Rest of NSW		1	1	7200	104
Rest of NSW		1	1	9600	131
Rest of NSW		1	1	12000	155
Rest of NSW		1	1	14400	188
Rest of NSW		1	1	16800	154
Rest of NSW		1	1	19200	167
Rest of NSW		1	1	21600	74
Rest of NSW		1	1	24000	134
Rest of NSW		1	1	26400	44
Rest of NSW		1	1	28800	32
Rest of NSW		1	1	31200	82
Rest of NSW		1	1	36000	70
Rest of NSW		1	1	48000	25
Rest of NSW		1	1	60000	22
Rest of NSW	0	1	0	0	691
Rest of NSW	0	1	0	1800	256
Rest of NSW	0	1	0	3600	618
Rest of NSW	0	1	0	5400	542
Rest of NSW	0	1	0	7200	1021
Rest of NSW	0	1	0	9600	1388
Rest of NSW	0	1	0	12000	1590
Rest of NSW	0	1	0	14400	1882
Rest of NSW	0	1	0	16800	1380
Rest of NSW	0	1	0	19200	1479
Rest of NSW	0	1	0	21600	825
Rest of NSW	0	1	0	24000	1201
Rest of NSW	0	1	0	26400	407
Rest of NSW	0	1	0	28800	194
Rest of NSW	0	1	0	31200	644
Rest of NSW	0	1	0	36000	634
Rest of NSW	0	1	0	48000	236
Rest of NSW	0	1	0	60000	169
Rest of NSW	0	1	1	0	411
Rest of NSW	0	1	1	1800	147
Rest of NSW	0	1	1	3600	343
Rest of NSW	0	1	1	5400	418
Rest of NSW	0	1	1	7200	878
Rest of NSW	0	1	1	9600	1354
Rest of NSW	0	1	1	12000	1689
Rest of NSW	0	1	1	14400	2130
Rest of NSW	0	1	1	16800	1856
Rest of NSW	0	1	1	19200	1993
Rest of NSW	0	1	1	21600	1235
Rest of NSW	0	1	1	24000	1591
Rest of NSW	0	1	1	26400	641
Rest of NSW	0	1	1	28800	334
Rest of NSW	0	1	1	31200	924
Rest of NSW	0	1	1	36000	889
Rest of NSW	0	1	1	48000	255
Rest of NSW	0	1	1	60000	189
Rest of NSW	1	0	0	0	4348
Rest of NSW	1	0	0	1800	1257
Rest of NSW	1	0	0	3600	2458
Rest of NSW	1	0	0	5400	2140
