GCCSA_NAME21	medianTotalHouseholdIncome
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Greater Sydney	108004
Rest of NSW	74568
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Greater Melbourne	98852
Rest of Vic.	72072
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	90948
Greater Brisbane	96148
Rest of Qld	78364
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Greater Adelaide	80496
Rest of SA	61880
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	117000
Greater Perth	96980
Rest of WA	83044
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Greater Hobart	80184
Rest of Tas.	63700
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	10823800
Greater Darwin	114868
Rest of NT	88712
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Australian Capital Territory	123396
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
Other Territories	77844
