GCCSA_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
No usual address (NSW)	15-19		F	90
No usual address (NSW)	15-19		M	97
No usual address (NSW)	15-19	0	F	172
No usual address (NSW)	15-19	0	M	151
No usual address (NSW)	15-19	1	F	17
No usual address (NSW)	15-19	1	M	11
No usual address (NSW)	20-24		F	132
No usual address (NSW)	20-24		M	135
No usual address (NSW)	20-24	0	F	265
No usual address (NSW)	20-24	0	M	255
No usual address (NSW)	20-24	1	F	18
No usual address (NSW)	20-24	1	M	20
No usual address (NSW)	25-34		F	339
No usual address (NSW)	25-34		M	423
No usual address (NSW)	25-34	0	F	616
No usual address (NSW)	25-34	0	M	689
No usual address (NSW)	25-34	1	F	76
No usual address (NSW)	25-34	1	M	51
No usual address (NSW)	35-44		F	285
No usual address (NSW)	35-44		M	491
No usual address (NSW)	35-44	0	F	392
No usual address (NSW)	35-44	0	M	541
No usual address (NSW)	35-44	1	F	70
No usual address (NSW)	35-44	1	M	72
No usual address (NSW)	45-54		F	210
No usual address (NSW)	45-54		M	442
No usual address (NSW)	45-54	0	F	365
No usual address (NSW)	45-54	0	M	500
No usual address (NSW)	45-54	1	F	93
No usual address (NSW)	45-54	1	M	67
No usual address (NSW)	55-64		F	147
No usual address (NSW)	55-64		M	317
No usual address (NSW)	55-64	0	F	464
No usual address (NSW)	55-64	0	M	544
No usual address (NSW)	55-64	1	F	95
No usual address (NSW)	55-64	1	M	84
No usual address (NSW)	65-74		F	59
No usual address (NSW)	65-74		M	138
No usual address (NSW)	65-74	0	F	301
No usual address (NSW)	65-74	0	M	465
No usual address (NSW)	65-74	1	F	41
No usual address (NSW)	65-74	1	M	54
No usual address (NSW)	75-84		F	22
No usual address (NSW)	75-84		M	40
No usual address (NSW)	75-84	0	F	77
No usual address (NSW)	75-84	0	M	122
No usual address (NSW)	75-84	1	F	8
No usual address (NSW)	75-84	1	M	15
No usual address (NSW)	85+		F	12
No usual address (NSW)	85+		M	4
No usual address (NSW)	85+	0	F	19
No usual address (NSW)	85+	0	M	11
Greater Sydney	15-19		F	7471
Greater Sydney	15-19		M	8425
Greater Sydney	15-19	0	F	128073
Greater Sydney	15-19	0	M	137452
Greater Sydney	15-19	1	F	6991
Greater Sydney	15-19	1	M	6358
Greater Sydney	20-24		F	9930
Greater Sydney	20-24		M	12186
Greater Sydney	20-24	0	F	146540
Greater Sydney	20-24	0	M	155720
Greater Sydney	20-24	1	F	10098
Greater Sydney	20-24	1	M	8590
Greater Sydney	25-34		F	26682
Greater Sydney	25-34		M	30288
Greater Sydney	25-34	0	F	353361
Greater Sydney	25-34	0	M	349942
Greater Sydney	25-34	1	F	30145
Greater Sydney	25-34	1	M	20893
Greater Sydney	35-44		F	21736
Greater Sydney	35-44		M	24868
Greater Sydney	35-44	0	F	320285
Greater Sydney	35-44	0	M	327269
Greater Sydney	35-44	1	F	50230
Greater Sydney	35-44	1	M	33359
Greater Sydney	45-54		F	15650
Greater Sydney	45-54		M	17944
Greater Sydney	45-54	0	F	261766
Greater Sydney	45-54	0	M	268856
Greater Sydney	45-54	1	F	62977
Greater Sydney	45-54	1	M	39985
Greater Sydney	55-64		F	12824
Greater Sydney	55-64		M	14473
Greater Sydney	55-64	0	F	224520
Greater Sydney	55-64	0	M	229755
Greater Sydney	55-64	1	F	59151
Greater Sydney	55-64	1	M	38446
Greater Sydney	65-74		F	11429
Greater Sydney	65-74		M	10912
Greater Sydney	65-74	0	F	186003
Greater Sydney	65-74	0	M	175490
Greater Sydney	65-74	1	F	33167
Greater Sydney	65-74	1	M	22469
Greater Sydney	75-84		F	11218
Greater Sydney	75-84		M	8834
Greater Sydney	75-84	0	F	109149
Greater Sydney	75-84	0	M	95092
Greater Sydney	75-84	1	F	13652
