GCCSA_NAME21	Age.min	persons
No usual address (NSW)	0	89
No usual address (NSW)	1	101
No usual address (NSW)	2	95
No usual address (NSW)	3	102
No usual address (NSW)	4	82
No usual address (NSW)	5	86
No usual address (NSW)	6	89
No usual address (NSW)	7	78
No usual address (NSW)	8	98
No usual address (NSW)	9	84
No usual address (NSW)	10	73
No usual address (NSW)	11	77
No usual address (NSW)	12	60
No usual address (NSW)	13	93
No usual address (NSW)	14	59
No usual address (NSW)	15	83
No usual address (NSW)	16	96
No usual address (NSW)	17	114
No usual address (NSW)	18	121
No usual address (NSW)	19	123
No usual address (NSW)	20	135
No usual address (NSW)	21	158
No usual address (NSW)	22	169
No usual address (NSW)	23	171
No usual address (NSW)	24	189
No usual address (NSW)	25	223
No usual address (NSW)	26	220
No usual address (NSW)	27	219
No usual address (NSW)	28	242
No usual address (NSW)	29	211
No usual address (NSW)	30	229
No usual address (NSW)	31	211
No usual address (NSW)	32	245
No usual address (NSW)	33	190
No usual address (NSW)	34	201
No usual address (NSW)	35	203
No usual address (NSW)	36	177
No usual address (NSW)	37	212
No usual address (NSW)	38	185
No usual address (NSW)	39	176
No usual address (NSW)	40	189
No usual address (NSW)	41	161
No usual address (NSW)	42	214
No usual address (NSW)	43	166
No usual address (NSW)	44	168
No usual address (NSW)	45	160
No usual address (NSW)	46	177
No usual address (NSW)	47	192
No usual address (NSW)	48	183
No usual address (NSW)	49	161
No usual address (NSW)	50	185
No usual address (NSW)	51	145
No usual address (NSW)	52	182
No usual address (NSW)	53	136
No usual address (NSW)	54	153
No usual address (NSW)	55	167
No usual address (NSW)	56	152
No usual address (NSW)	57	162
No usual address (NSW)	58	185
No usual address (NSW)	59	179
No usual address (NSW)	60	185
No usual address (NSW)	61	151
No usual address (NSW)	62	178
No usual address (NSW)	63	127
No usual address (NSW)	64	161
No usual address (NSW)	65	133
No usual address (NSW)	66	137
No usual address (NSW)	67	138
No usual address (NSW)	68	119
No usual address (NSW)	69	115
No usual address (NSW)	70	113
No usual address (NSW)	71	85
No usual address (NSW)	72	82
No usual address (NSW)	73	58
No usual address (NSW)	74	75
No usual address (NSW)	75	59
No usual address (NSW)	76	45
No usual address (NSW)	77	32
No usual address (NSW)	78	32
No usual address (NSW)	79	22
No usual address (NSW)	80	86
No usual address (NSW)	85	26
No usual address (NSW)	90	17
No usual address (NSW)	95	3
Greater Sydney	0	61363
Greater Sydney	1	62225
Greater Sydney	2	62565
Greater Sydney	3	62214
Greater Sydney	4	64006
Greater Sydney	5	65452
Greater Sydney	6	65004
Greater Sydney	7	65795
Greater Sydney	8	66350
Greater Sydney	9	66471
Greater Sydney	10	65269
Greater Sydney	11	65355
Greater Sydney	12	64129
Greater Sydney	13	63925
Greater Sydney	14	63100
Greater Sydney	15	60970
Greater Sydney	16	59359
Greater Sydney	17	58138
Greater Sydney	18	58121
Greater Sydney	19	58189
Greater Sydney	20	63425
Greater Sydney	21	68060
Greater Sydney	22	68269
Greater Sydney	23	70168
Greater Sydney	24	73152
Greater Sydney	25	75265
Greater Sydney	26	77913
Greater Sydney	27	78881
Greater Sydney	28	80235
Greater Sydney	29	81235
Greater Sydney	30	83889
Greater Sydney	31	84366
Greater Sydney	32	84103
Greater Sydney	33	82813
Greater Sydney	34	82604
Greater Sydney	35	83123
Greater Sydney	36	83078
Greater Sydney	37	83053
Greater Sydney	38	83411
Greater Sydney	39	80731
Greater Sydney	40	78789
Greater Sydney	41	74513
Greater Sydney	42	72632
Greater Sydney	43	69747
Greater Sydney	44	68667
Greater Sydney	45	67950
Greater Sydney	46	67916
Greater Sydney	47	68408
Greater Sydney	48	69366
Greater Sydney	49	71080
Greater Sydney	50	71552
Greater Sydney	51	65419
Greater Sydney	52	64363
Greater Sydney	53	61630
Greater Sydney	54	59481
Greater Sydney	55	59460
Greater Sydney	56	60159
Greater Sydney	57	61329
Greater Sydney	58	62169
Greater Sydney	59	60369
Greater Sydney	60	59234
Greater Sydney	61	56384
Greater Sydney	62	54138
Greater Sydney	63	54029
Greater Sydney	64	51901
Greater Sydney	65	50274
Greater Sydney	66	48801
Greater Sydney	67	46872
Greater Sydney	68	45550
Greater Sydney	69	43079
Greater Sydney	70	42515
Greater Sydney	71	41905
Greater Sydney	72	39817
Greater Sydney	73	40196
Greater Sydney	74	40456
Greater Sydney	75	34334
Greater Sydney	76	31624
Greater Sydney	77	30099
Greater Sydney	78	26251
Greater Sydney	79	25007
Greater Sydney	80	102203
Greater Sydney	85	62844
Greater Sydney	90	32340
Greater Sydney	95	9345
Greater Sydney	100	1194
Rest of NSW	0	30065
Rest of NSW	1	30914
Rest of NSW	2	30933
Rest of NSW	3	31312
Rest of NSW	4	32001
Rest of NSW	5	33608
Rest of NSW	6	33334
Rest of NSW	7	33995
Rest of NSW	8	34947
Rest of NSW	9	35430
Rest of NSW	10	35068
Rest of NSW	11	36038
Rest of NSW	12	35887
Rest of NSW	13	35914
Rest of NSW	14	36094
Rest of NSW	15	34628
Rest of NSW	16	33467
Rest of NSW	17	32375
Rest of NSW	18	31480
Rest of NSW	19	30658
Rest of NSW	20	30549
Rest of NSW	21	30532
Rest of NSW	22	30492
Rest of NSW	23	30143
Rest of NSW	24	30571
Rest of NSW	25	30782
Rest of NSW	26	32011
Rest of NSW	27	32288
Rest of NSW	28	32800
Rest of NSW	29	33437
Rest of NSW	30	33788
Rest of NSW	31	34181
Rest of NSW	32	33209
Rest of NSW	33	32867
Rest of NSW	34	33162
Rest of NSW	35	33395
Rest of NSW	36	33494
Rest of NSW	37	33030
Rest of NSW	38	33230
Rest of NSW	39	32672
Rest of NSW	40	32667
Rest of NSW	41	31409
Rest of NSW	42	31219
Rest of NSW	43	31112
Rest of NSW	44	31340
Rest of NSW	45	31842
Rest of NSW	46	32472
Rest of NSW	47	34047
Rest of NSW	48	35315
Rest of NSW	49	37644
Rest of NSW	50	38258
Rest of NSW	51	35101
Rest of NSW	52	35363
Rest of NSW	53	33676
Rest of NSW	54	34389
Rest of NSW	55	34213
Rest of NSW	56	35126
Rest of NSW	57	37550
Rest of NSW	58	39015
Rest of NSW	59	39926
Rest of NSW	60	40088
Rest of NSW	61	39227
Rest of NSW	62	39268
Rest of NSW	63	38603
Rest of NSW	64	37943
Rest of NSW	65	37242
Rest of NSW	66	36782
Rest of NSW	67	35938
Rest of NSW	68	36316
Rest of NSW	69	34985
Rest of NSW	70	34567
Rest of NSW	71	33530
Rest of NSW	72	32617
Rest of NSW	73	32197
Rest of NSW	74	34019
Rest of NSW	75	27163
Rest of NSW	76	26427
Rest of NSW	77	24713
Rest of NSW	78	21588
Rest of NSW	79	20719
Rest of NSW	80	81119
Rest of NSW	85	47825
Rest of NSW	90	23444
Rest of NSW	95	6131
Rest of NSW	100	713
No usual address (Vic.)	0	90
No usual address (Vic.)	1	77
No usual address (Vic.)	2	100
No usual address (Vic.)	3	74
No usual address (Vic.)	4	76
No usual address (Vic.)	5	79
No usual address (Vic.)	6	74
No usual address (Vic.)	7	74
No usual address (Vic.)	8	91
No usual address (Vic.)	9	78
No usual address (Vic.)	10	72
No usual address (Vic.)	11	76
No usual address (Vic.)	12	73
No usual address (Vic.)	13	64
No usual address (Vic.)	14	56
No usual address (Vic.)	15	58
No usual address (Vic.)	16	66
No usual address (Vic.)	17	80
No usual address (Vic.)	18	107
No usual address (Vic.)	19	140
No usual address (Vic.)	20	133
No usual address (Vic.)	21	136
No usual address (Vic.)	22	136
No usual address (Vic.)	23	134
No usual address (Vic.)	24	135
No usual address (Vic.)	25	181
No usual address (Vic.)	26	170
No usual address (Vic.)	27	197
No usual address (Vic.)	28	179
No usual address (Vic.)	29	195
No usual address (Vic.)	30	240
No usual address (Vic.)	31	182
No usual address (Vic.)	32	144
No usual address (Vic.)	33	187
No usual address (Vic.)	34	138
No usual address (Vic.)	35	251
No usual address (Vic.)	36	176
No usual address (Vic.)	37	192
No usual address (Vic.)	38	154
No usual address (Vic.)	39	161
No usual address (Vic.)	40	224
No usual address (Vic.)	41	182
No usual address (Vic.)	42	150
No usual address (Vic.)	43	117
No usual address (Vic.)	44	131
No usual address (Vic.)	45	199
No usual address (Vic.)	46	107
No usual address (Vic.)	47	124
No usual address (Vic.)	48	148
No usual address (Vic.)	49	147
No usual address (Vic.)	50	186
No usual address (Vic.)	51	138
No usual address (Vic.)	52	136
No usual address (Vic.)	53	116
No usual address (Vic.)	54	100
No usual address (Vic.)	55	145
No usual address (Vic.)	56	92
No usual address (Vic.)	57	98
No usual address (Vic.)	58	104
No usual address (Vic.)	59	120
No usual address (Vic.)	60	126
No usual address (Vic.)	61	100
No usual address (Vic.)	62	105
No usual address (Vic.)	63	98
No usual address (Vic.)	64	87
No usual address (Vic.)	65	102
No usual address (Vic.)	66	80
No usual address (Vic.)	67	84
No usual address (Vic.)	68	88
No usual address (Vic.)	69	58
No usual address (Vic.)	70	51
No usual address (Vic.)	71	42
No usual address (Vic.)	72	37
No usual address (Vic.)	73	26
No usual address (Vic.)	74	34
No usual address (Vic.)	75	44
No usual address (Vic.)	76	24
No usual address (Vic.)	77	20
No usual address (Vic.)	78	18
No usual address (Vic.)	79	15
No usual address (Vic.)	80	34
No usual address (Vic.)	85	26
No usual address (Vic.)	90	3
No usual address (Vic.)	95	3
Migratory - Offshore - Shipping (Vic.)	31	6
Migratory - Offshore - Shipping (Vic.)	38	3
Migratory - Offshore - Shipping (Vic.)	40	5
Migratory - Offshore - Shipping (Vic.)	42	3
Migratory - Offshore - Shipping (Vic.)	50	3
Migratory - Offshore - Shipping (Vic.)	56	9
Migratory - Offshore - Shipping (Vic.)	62	3
Migratory - Offshore - Shipping (Vic.)	64	3
Migratory - Offshore - Shipping (Vic.)	66	5
Greater Melbourne	0	56483
Greater Melbourne	1	57666
Greater Melbourne	2	57855
Greater Melbourne	3	58525
Greater Melbourne	4	60119
Greater Melbourne	5	61940
Greater Melbourne	6	61277
Greater Melbourne	7	61316
Greater Melbourne	8	62214
Greater Melbourne	9	60776
Greater Melbourne	10	59001
Greater Melbourne	11	59927
Greater Melbourne	12	58212
Greater Melbourne	13	58412
Greater Melbourne	14	57859
Greater Melbourne	15	56030
Greater Melbourne	16	54403
Greater Melbourne	17	53948
Greater Melbourne	18	54370
Greater Melbourne	19	55943
Greater Melbourne	20	60935
Greater Melbourne	21	64775
Greater Melbourne	22	65044
Greater Melbourne	23	66861
Greater Melbourne	24	70924
Greater Melbourne	25	73979
Greater Melbourne	26	76436
Greater Melbourne	27	76920
