GCCSA_NAME21	EduInstitutionType	Sex	students
No usual address (NSW)		F	1559
No usual address (NSW)		M	2273
No usual address (NSW)	Infants/Primary	F	155
No usual address (NSW)	Infants/Primary	M	143
No usual address (NSW)	Pre-school	F	31
No usual address (NSW)	Pre-school	M	37
No usual address (NSW)	Secondary	F	116
No usual address (NSW)	Secondary	M	107
No usual address (NSW)	Technical or Further Educational Institution	F	124
No usual address (NSW)	Technical or Further Educational Institution	M	78
No usual address (NSW)	University or other tertiary	F	161
No usual address (NSW)	University or other tertiary	M	95
Greater Sydney		F	164338
Greater Sydney		M	164206
Greater Sydney	Infants/Primary	F	207684
Greater Sydney	Infants/Primary	M	219066
Greater Sydney	Pre-school	F	51574
Greater Sydney	Pre-school	M	56934
Greater Sydney	Secondary	F	166518
Greater Sydney	Secondary	M	172151
Greater Sydney	Technical or Further Educational Institution	F	73741
Greater Sydney	Technical or Further Educational Institution	M	64008
Greater Sydney	University or other tertiary	F	159299
Greater Sydney	University or other tertiary	M	129430
Rest of NSW		F	100948
Rest of NSW		M	106289
Rest of NSW	Infants/Primary	F	108467
Rest of NSW	Infants/Primary	M	114826
Rest of NSW	Pre-school	F	28137
Rest of NSW	Pre-school	M	30481
Rest of NSW	Secondary	F	85858
Rest of NSW	Secondary	M	86725
Rest of NSW	Technical or Further Educational Institution	F	38641
Rest of NSW	Technical or Further Educational Institution	M	30994
Rest of NSW	University or other tertiary	F	54661
Rest of NSW	University or other tertiary	M	31386
No usual address (Vic.)		F	1402
No usual address (Vic.)		M	2250
No usual address (Vic.)	Infants/Primary	F	150
No usual address (Vic.)	Infants/Primary	M	156
No usual address (Vic.)	Pre-school	F	31
No usual address (Vic.)	Pre-school	M	45
No usual address (Vic.)	Secondary	F	96
No usual address (Vic.)	Secondary	M	72
No usual address (Vic.)	Technical or Further Educational Institution	F	86
No usual address (Vic.)	Technical or Further Educational Institution	M	59
No usual address (Vic.)	University or other tertiary	F	153
No usual address (Vic.)	University or other tertiary	M	89
Migratory - Offshore - Shipping (Vic.)		F	3
Migratory - Offshore - Shipping (Vic.)		M	25
Greater Melbourne		F	145867
Greater Melbourne		M	144171
Greater Melbourne	Infants/Primary	F	193198
Greater Melbourne	Infants/Primary	M	203268
Greater Melbourne	Pre-school	F	51519
Greater Melbourne	Pre-school	M	56282
Greater Melbourne	Secondary	F	154683
Greater Melbourne	Secondary	M	159642
Greater Melbourne	Technical or Further Educational Institution	F	62082
Greater Melbourne	Technical or Further Educational Institution	M	59392
Greater Melbourne	University or other tertiary	F	159684
Greater Melbourne	University or other tertiary	M	123584
Rest of Vic.		F	57351
Rest of Vic.		M	59938
Rest of Vic.	Infants/Primary	F	59653
Rest of Vic.	Infants/Primary	M	63128
Rest of Vic.	Pre-school	F	15148
Rest of Vic.	Pre-school	M	16484
Rest of Vic.	Secondary	F	48390
Rest of Vic.	Secondary	M	48824
Rest of Vic.	Technical or Further Educational Institution	F	18439
Rest of Vic.	Technical or Further Educational Institution	M	15275
Rest of Vic.	University or other tertiary	F	27815
Rest of Vic.	University or other tertiary	M	14631
No usual address (Qld)		F	1503
No usual address (Qld)		M	2196
No usual address (Qld)	Infants/Primary	F	259
No usual address (Qld)	Infants/Primary	M	251
No usual address (Qld)	Pre-school	F	35
No usual address (Qld)	Pre-school	M	39
No usual address (Qld)	Secondary	F	148
No usual address (Qld)	Secondary	M	139
No usual address (Qld)	Technical or Further Educational Institution	F	155
No usual address (Qld)	Technical or Further Educational Institution	M	83
No usual address (Qld)	University or other tertiary	F	150
No usual address (Qld)	University or other tertiary	M	93
Migratory - Offshore - Shipping (Qld)		F	24
Migratory - Offshore - Shipping (Qld)		M	115
Greater Brisbane		F	73227
Greater Brisbane		M	77519
Greater Brisbane	Infants/Primary	F	104922
Greater Brisbane	Infants/Primary	M	109511
Greater Brisbane	Pre-school	F	21511
Greater Brisbane	Pre-school	M	23450
Greater Brisbane	Secondary	F	86341
Greater Brisbane	Secondary	M	90339
Greater Brisbane	Technical or Further Educational Institution	F	33580
Greater Brisbane	Technical or Further Educational Institution	M	24608
Greater Brisbane	University or other tertiary	F	80978
Greater Brisbane	University or other tertiary	M	57884
Rest of Qld		F	103239
Rest of Qld		M	115626
Rest of Qld	Infants/Primary	F	102787
Rest of Qld	Infants/Primary	M	107658
Rest of Qld	Pre-school	F	18923
Rest of Qld	Pre-school	M	20586
Rest of Qld	Secondary	F	86254
Rest of Qld	Secondary	M	88871
Rest of Qld	Technical or Further Educational Institution	F	30340
Rest of Qld	Technical or Further Educational Institution	M	21459
Rest of Qld	University or other tertiary	F	55123
Rest of Qld	University or other tertiary	M	29532
No usual address (SA)		F	332
No usual address (SA)		M	515
No usual address (SA)	Infants/Primary	F	80
No usual address (SA)	Infants/Primary	M	80
No usual address (SA)	Pre-school	F	13
No usual address (SA)	Pre-school	M	13
No usual address (SA)	Secondary	F	79
No usual address (SA)	Secondary	M	37
No usual address (SA)	Technical or Further Educational Institution	F	27
No usual address (SA)	Technical or Further Educational Institution	M	28
No usual address (SA)	University or other tertiary	F	38
No usual address (SA)	University or other tertiary	M	31
Migratory - Offshore - Shipping (SA)		M	5
Greater Adelaide		F	32902
Greater Adelaide		M	33006
Greater Adelaide	Infants/Primary	F	56866
Greater Adelaide	Infants/Primary	M	60483
Greater Adelaide	Pre-school	F	10786
Greater Adelaide	Pre-school	M	11719
Greater Adelaide	Secondary	F	40226
Greater Adelaide	Secondary	M	41274
Greater Adelaide	Technical or Further Educational Institution	F	17008
Greater Adelaide	Technical or Further Educational Institution	M	14484
Greater Adelaide	University or other tertiary	F	44436
Greater Adelaide	University or other tertiary	M	32844
Rest of SA		F	13869
Rest of SA		M	16456
Rest of SA	Infants/Primary	F	15631
Rest of SA	Infants/Primary	M	16463
Rest of SA	Pre-school	F	2607
Rest of SA	Pre-school	M	2704
Rest of SA	Secondary	F	10380
Rest of SA	Secondary	M	10661
Rest of SA	Technical or Further Educational Institution	F	3686
Rest of SA	Technical or Further Educational Institution	M	2654
Rest of SA	University or other tertiary	F	4339
Rest of SA	University or other tertiary	M	1575
No usual address (WA)		F	1292
No usual address (WA)		M	2250
No usual address (WA)	Infants/Primary	F	116
No usual address (WA)	Infants/Primary	M	130
No usual address (WA)	Pre-school	F	18
No usual address (WA)	Pre-school	M	22
