GCCSA_NAME21	CoupleFamily	HasChild	IncomeFamily.max	families
Greater Sydney				427
Greater Sydney			0	574
Greater Sydney			7875	159
Greater Sydney			15750	232
Greater Sydney			21000	221
Greater Sydney			26250	516
Greater Sydney			34125	591
Greater Sydney			42000	1008
Greater Sydney			52500	2016
Greater Sydney			65625	2210
Greater Sydney			78750	2627
Greater Sydney			91875	1721
Greater Sydney			105000	1745
Greater Sydney			131250	3254
Greater Sydney			157500	2116
Greater Sydney			183750	1228
Greater Sydney			210000	700
Greater Sydney			Inf	1363
Greater Sydney	0			16072
Greater Sydney	0		0	5631
Greater Sydney	0		7875	1234
Greater Sydney	0		15750	2670
Greater Sydney	0		21000	4378
Greater Sydney	0		26250	7536
Greater Sydney	0		34125	11804
Greater Sydney	0		42000	14018
Greater Sydney	0		52500	18123
Greater Sydney	0		65625	20046
Greater Sydney	0		78750	19164
Greater Sydney	0		91875	15081
Greater Sydney	0		105000	13338
Greater Sydney	0		131250	24190
Greater Sydney	0		157500	11618
Greater Sydney	0		183750	8365
Greater Sydney	0		210000	3857
Greater Sydney	0		Inf	12156
Greater Sydney	1	0		64253
Greater Sydney	1	0	0	18849
Greater Sydney	1	0	7875	4133
Greater Sydney	1	0	15750	2879
Greater Sydney	1	0	21000	2426
Greater Sydney	1	0	26250	11420
Greater Sydney	1	0	34125	7865
Greater Sydney	1	0	42000	40366
Greater Sydney	1	0	52500	39494
Greater Sydney	1	0	65625	52610
Greater Sydney	1	0	78750	66849
Greater Sydney	1	0	91875	52356
Greater Sydney	1	0	105000	58235
Greater Sydney	1	0	131250	138222
Greater Sydney	1	0	157500	112621
Greater Sydney	1	0	183750	101969
Greater Sydney	1	0	210000	73576
Greater Sydney	1	0	Inf	278551
Greater Sydney	1	1	7875	752
Greater Sydney	1	1	15750	1377
Greater Sydney	1	1	21000	1325
Greater Sydney	1	1	26250	3278
Greater Sydney	1	1	34125	4896
Greater Sydney	1	1	42000	9909
Rest of NSW				344
Rest of NSW			0	172
Rest of NSW			7875	79
Rest of NSW			15750	109
Rest of NSW			21000	89
Rest of NSW			26250	279
Rest of NSW			34125	346
Rest of NSW			42000	714
Rest of NSW			52500	1482
Rest of NSW			65625	1394
Rest of NSW			78750	1292
Rest of NSW			91875	732
Rest of NSW			105000	682
Rest of NSW			131250	1113
Rest of NSW			157500	534
Rest of NSW			183750	311
Rest of NSW			210000	127
Rest of NSW			Inf	237
Rest of NSW	0			11982
Rest of NSW	0		0	1686
Rest of NSW	0		7875	662
Rest of NSW	0		15750	1578
Rest of NSW	0		21000	3053
Rest of NSW	0		26250	5878
Rest of NSW	0		34125	10163
Rest of NSW	0		42000	11831
Rest of NSW	0		52500	15656
Rest of NSW	0		65625	15951
Rest of NSW	0		78750	13007
Rest of NSW	0		91875	9066
Rest of NSW	0		105000	7361
Rest of NSW	0		131250	11070
Rest of NSW	0		157500	4450
Rest of NSW	0		183750	2750
Rest of NSW	0		210000	1038
Rest of NSW	0		Inf	2557
Rest of NSW	1	0		46398
Rest of NSW	1	0	0	6736
Rest of NSW	1	0	7875	2808
Rest of NSW	1	0	15750	1800
Rest of NSW	1	0	21000	1543
Rest of NSW	1	0	26250	9017
Rest of NSW	1	0	34125	6407
Rest of NSW	1	0	42000	42722
Rest of NSW	1	0	52500	32735
Rest of NSW	1	0	65625	39622
Rest of NSW	1	0	78750	49821
Rest of NSW	1	0	91875	33919
Rest of NSW	1	0	105000	38326
Rest of NSW	1	0	131250	82296
Rest of NSW	1	0	157500	62481
Rest of NSW	1	0	183750	49282
Rest of NSW	1	0	210000	30818
Rest of NSW	1	0	Inf	72008
Rest of NSW	1	1	7875	241
Rest of NSW	1	1	15750	434
Rest of NSW	1	1	21000	352
Rest of NSW	1	1	26250	1003
Rest of NSW	1	1	34125	1459
Rest of NSW	1	1	42000	3749
Greater Melbourne				384
Greater Melbourne			0	631
Greater Melbourne			7875	210
Greater Melbourne			15750	264
