GCCSA_NAME21	medianTotalPersonalIncome
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	85748
Greater Sydney	45812
Rest of NSW	37544
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	114400
Greater Melbourne	43732
Rest of Vic.	37076
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	62192
Greater Brisbane	43784
Rest of Qld	38792
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	94224
Greater Adelaide	39624
Rest of SA	33592
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	110396
Greater Perth	44668
Rest of WA	42120
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	116948
Greater Hobart	40352
Rest of Tas.	33540
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	76856
Greater Darwin	58240
Rest of NT	28028
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Australian Capital Territory	62608
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
Other Territories	43212
