GCCSA_NAME21	BornAust	Sex	persons
No usual address (NSW)	0	F	936
No usual address (NSW)	0	M	971
No usual address (NSW)	1	F	2601
No usual address (NSW)	1	M	3314
Greater Sydney	0	F	1039847
Greater Sydney	0	M	981239
Greater Sydney	1	F	1488045
Greater Sydney	1	M	1482743
Rest of NSW	0	F	178586
Rest of NSW	0	M	165367
Rest of NSW	1	F	1166840
Rest of NSW	1	M	1134051
No usual address (Vic.)	0	F	649
No usual address (Vic.)	0	M	743
No usual address (Vic.)	1	F	1934
No usual address (Vic.)	1	M	2348
Migratory - Offshore - Shipping (Vic.)	0	M	3
Migratory - Offshore - Shipping (Vic.)	1	M	7
Greater Melbourne	0	F	904272
Greater Melbourne	0	M	851357
Greater Melbourne	1	F	1486667
Greater Melbourne	1	M	1460481
Rest of Vic.	0	F	99885
Rest of Vic.	0	M	94924
Rest of Vic.	1	F	649939
Rest of Vic.	1	M	627308
No usual address (Qld)	0	F	1472
No usual address (Qld)	0	M	1440
No usual address (Qld)	1	F	4153
No usual address (Qld)	1	M	4859
Migratory - Offshore - Shipping (Qld)	0	F	4
Migratory - Offshore - Shipping (Qld)	0	M	19
Migratory - Offshore - Shipping (Qld)	1	M	27
Greater Brisbane	0	F	356368
Greater Brisbane	0	M	330356
Greater Brisbane	1	F	872591
Greater Brisbane	1	M	854070
Rest of Qld	0	F	254491
Rest of Qld	0	M	226177
Rest of Qld	1	F	981906
Rest of Qld	1	M	962408
No usual address (SA)	0	F	249
No usual address (SA)	0	M	282
No usual address (SA)	1	F	1010
No usual address (SA)	1	M	1248
Migratory - Offshore - Shipping (SA)	0	M	4
Greater Adelaide	0	F	198554
Greater Adelaide	0	M	184269
Greater Adelaide	1	F	483351
Greater Adelaide	1	M	469853
Rest of SA	0	F	23523
Rest of SA	0	M	21624
Rest of SA	1	F	157598
Rest of SA	1	M	160289
No usual address (WA)	0	F	656
No usual address (WA)	0	M	775
No usual address (WA)	1	F	2061
No usual address (WA)	1	M	2708
Migratory - Offshore - Shipping (WA)	0	F	14
Migratory - Offshore - Shipping (WA)	0	M	132
Migratory - Offshore - Shipping (WA)	1	F	24
Migratory - Offshore - Shipping (WA)	1	M	131
Greater Perth	0	F	394410
Greater Perth	0	M	366641
Greater Perth	1	F	633260
Greater Perth	1	M	625249
Rest of WA	0	F	48887
Rest of WA	0	M	46121
Rest of WA	1	F	189302
Rest of WA	1	M	196061
No usual address (Tas.)	0	F	82
No usual address (Tas.)	0	M	76
No usual address (Tas.)	1	F	428
No usual address (Tas.)	1	M	551
Migratory - Offshore - Shipping (Tas.)	1	M	9
Greater Hobart	0	F	23785
Greater Hobart	0	M	22909
Greater Hobart	1	F	97107
Greater Hobart	1	M	92113
Rest of Tas.	0	F	19706
Rest of Tas.	0	M	19099
Rest of Tas.	1	F	127308
Rest of Tas.	1	M	123305
No usual address (NT)	0	F	250
No usual address (NT)	0	M	243
No usual address (NT)	1	F	1001
No usual address (NT)	1	M	1102
Migratory - Offshore - Shipping (NT)	0	M	23
Migratory - Offshore - Shipping (NT)	1	F	8
Migratory - Offshore - Shipping (NT)	1	M	45
Greater Darwin	0	F	20422
Greater Darwin	0	M	18462
Greater Darwin	1	F	43262
Greater Darwin	1	M	45999
Rest of NT	0	F	5739
Rest of NT	0	M	5595
Rest of NT	1	F	34987
Rest of NT	1	M	35160
No usual address (ACT)	0	F	62
No usual address (ACT)	0	M	56
No usual address (ACT)	1	F	176
No usual address (ACT)	1	M	201
Australian Capital Territory	0	F	67579
Australian Capital Territory	0	M	62957
Australian Capital Territory	1	F	154157
Australian Capital Territory	1	M	152375
No usual address (OT)	1	F	4
No usual address (OT)	1	M	10
Other Territories	0	F	607
Other Territories	0	M	774
Other Territories	1	F	1322
Other Territories	1	M	1356
