GCCSA_NAME21	HomeCensusNight	Sex	persons
No usual address (NSW)	0	F	4997
No usual address (NSW)	0	M	6375
Greater Sydney	0	F	66011
Greater Sydney	0	M	67214
Greater Sydney	1	F	2579898
Greater Sydney	1	M	2518026
Rest of NSW	0	F	55368
Rest of NSW	0	M	62853
Rest of NSW	1	F	1381717
Rest of NSW	1	M	1329698
No usual address (Vic.)	0	F	3915
No usual address (Vic.)	0	M	5170
Migratory - Offshore - Shipping (Vic.)	1	F	6
Migratory - Offshore - Shipping (Vic.)	1	M	35
Greater Melbourne	0	F	65776
Greater Melbourne	0	M	64627
Greater Melbourne	1	F	2431254
Greater Melbourne	1	M	2356096
Rest of Vic.	0	F	32311
Rest of Vic.	0	M	35541
Rest of Vic.	1	F	769260
Rest of Vic.	1	M	739500
No usual address (Qld)	0	F	6807
No usual address (Qld)	0	M	7861
Migratory - Offshore - Shipping (Qld)	0	F	23
Migratory - Offshore - Shipping (Qld)	0	M	45
Migratory - Offshore - Shipping (Qld)	1	F	12
Migratory - Offshore - Shipping (Qld)	1	M	108
Greater Brisbane	0	F	37443
Greater Brisbane	0	M	44537
Greater Brisbane	1	F	1246454
Greater Brisbane	1	M	1197815
Rest of Qld	0	F	55216
Rest of Qld	0	M	74039
Rest of Qld	1	F	1269784
Rest of Qld	1	M	1215996
No usual address (SA)	0	F	1506
No usual address (SA)	0	M	1873
Migratory - Offshore - Shipping (SA)	1	M	12
Greater Adelaide	0	F	22264
Greater Adelaide	0	M	26211
Greater Adelaide	1	F	684696
Greater Adelaide	1	M	654115
Rest of SA	0	F	10582
Rest of SA	0	M	12810
Rest of SA	1	F	183870
Rest of SA	1	M	183578
No usual address (WA)	0	F	3416
No usual address (WA)	0	M	4639
Migratory - Offshore - Shipping (WA)	0	M	3
Migratory - Offshore - Shipping (WA)	1	F	57
Migratory - Offshore - Shipping (WA)	1	M	455
Greater Perth	0	F	40396
Greater Perth	0	M	62267
Greater Perth	1	F	1031081
Greater Perth	1	M	982901
Rest of WA	0	F	17463
Rest of WA	0	M	23395
Rest of WA	1	F	244752
Rest of WA	1	M	249186
No usual address (Tas.)	0	F	616
No usual address (Tas.)	0	M	758
Migratory - Offshore - Shipping (Tas.)	1	M	13
Greater Hobart	0	F	5205
Greater Hobart	0	M	5419
Greater Hobart	1	F	121355
Greater Hobart	1	M	115100
Rest of Tas.	0	F	7707
Rest of Tas.	0	M	8622
Rest of Tas.	1	F	148912
Rest of Tas.	1	M	143843
No usual address (NT)	0	F	1675
No usual address (NT)	0	M	1826
Migratory - Offshore - Shipping (NT)	1	F	15
Migratory - Offshore - Shipping (NT)	1	M	84
Greater Darwin	0	F	3318
Greater Darwin	0	M	4678
Greater Darwin	1	F	65841
Greater Darwin	1	M	66061
Rest of NT	0	F	2760
Rest of NT	0	M	2713
Rest of NT	1	F	41463
Rest of NT	1	M	42163
No usual address (ACT)	0	F	273
No usual address (ACT)	0	M	336
Australian Capital Territory	0	F	7668
Australian Capital Territory	0	M	7963
Australian Capital Territory	1	F	222200
Australian Capital Territory	1	M	216056
No usual address (OT)	0	F	4
No usual address (OT)	0	M	6
Other Territories	0	F	139
Other Territories	0	M	136
Other Territories	1	F	2129
Other Territories	1	M	2376
