GCCSA_NAME21	CountryOfBirth	YearOfArrival.max	persons_born_overseas
No usual address (NSW)			28
No usual address (NSW)		1960	7
No usual address (NSW)		1970	26
No usual address (NSW)		1980	32
No usual address (NSW)		1990	24
No usual address (NSW)		2000	32
No usual address (NSW)		2010	48
No usual address (NSW)		2015	41
No usual address (NSW)		2017	15
No usual address (NSW)		2018	24
No usual address (NSW)		2019	57
No usual address (NSW)		2020	17
No usual address (NSW)		2021	28
No usual address (NSW)	CAN	1980	5
No usual address (NSW)	CAN	2000	3
No usual address (NSW)	CAN	2018	5
No usual address (NSW)	CAN	2019	6
No usual address (NSW)	CAN	2020	4
No usual address (NSW)	CAN	2021	6
No usual address (NSW)	CHN	1990	4
No usual address (NSW)	CHN	2000	5
No usual address (NSW)	CHN	2010	11
No usual address (NSW)	CHN	2015	17
No usual address (NSW)	CHN	2016	3
No usual address (NSW)	CHN	2017	8
No usual address (NSW)	CHN	2018	11
No usual address (NSW)	CHN	2019	17
No usual address (NSW)	CHN	2020	8
No usual address (NSW)	DEU	1951	3
No usual address (NSW)	DEU	1990	6
No usual address (NSW)	DEU	2010	4
No usual address (NSW)	DEU	2019	8
No usual address (NSW)	EGY	2010	9
No usual address (NSW)	FJI	2010	3
No usual address (NSW)	FJI	2016	4
No usual address (NSW)	FJI	2018	4
No usual address (NSW)	FJI	2019	4
No usual address (NSW)	GBR		17
No usual address (NSW)	GBR	1951	9
No usual address (NSW)	GBR	1960	21
No usual address (NSW)	GBR	1970	66
No usual address (NSW)	GBR	1980	40
No usual address (NSW)	GBR	1990	34
No usual address (NSW)	GBR	2000	34
No usual address (NSW)	GBR	2010	42
No usual address (NSW)	GBR	2015	18
No usual address (NSW)	GBR	2016	3
No usual address (NSW)	GBR	2018	7
No usual address (NSW)	GBR	2019	21
No usual address (NSW)	GBR	2020	27
No usual address (NSW)	GBR	2021	24
No usual address (NSW)	GRC	1970	4
No usual address (NSW)	HKG	1990	6
No usual address (NSW)	HKG	2000	5
No usual address (NSW)	HKG	2015	7
No usual address (NSW)	HKG	2016	6
No usual address (NSW)	HKG	2018	5
No usual address (NSW)	HKG	2020	3
No usual address (NSW)	HKG	2021	5
No usual address (NSW)	HRV	1970	3
No usual address (NSW)	IDN	1990	3
No usual address (NSW)	IDN	2010	4
No usual address (NSW)	IDN	2015	3
No usual address (NSW)	IDN	2018	6
No usual address (NSW)	IDN	2019	11
No usual address (NSW)	IDN	2020	5
No usual address (NSW)	IND		5
No usual address (NSW)	IND	1980	3
No usual address (NSW)	IND	2000	5
No usual address (NSW)	IND	2010	12
No usual address (NSW)	IND	2015	9
No usual address (NSW)	IND	2016	9
No usual address (NSW)	IND	2017	3
No usual address (NSW)	IND	2018	4
No usual address (NSW)	IND	2019	12
No usual address (NSW)	IND	2021	16
No usual address (NSW)	IRL	1980	5
No usual address (NSW)	IRL	1990	4
No usual address (NSW)	IRL	2010	5
No usual address (NSW)	IRL	2015	5
No usual address (NSW)	IRL	2019	4
No usual address (NSW)	IRL	2020	3
No usual address (NSW)	IRN		3
No usual address (NSW)	IRN	2000	3
No usual address (NSW)	IRN	2010	4
No usual address (NSW)	IRN	2015	13
No usual address (NSW)	IRN	2021	4
No usual address (NSW)	IRQ		3
No usual address (NSW)	IRQ	2010	3
No usual address (NSW)	IRQ	2015	3
No usual address (NSW)	ITA	1960	8
No usual address (NSW)	ITA	1970	3
No usual address (NSW)	ITA	1980	3
No usual address (NSW)	ITA	2018	8
No usual address (NSW)	ITA	2020	4
No usual address (NSW)	JPN	2015	3
No usual address (NSW)	JPN	2018	3
No usual address (NSW)	JPN	2019	3
No usual address (NSW)	JPN	2021	3
No usual address (NSW)	KOR	2010	10
No usual address (NSW)	KOR	2018	3
No usual address (NSW)	KOR	2019	6
No usual address (NSW)	LBN	1970	7
No usual address (NSW)	LBN	1980	3
No usual address (NSW)	LBN	1990	3
No usual address (NSW)	LBN	2000	3
No usual address (NSW)	LBN	2016	4
No usual address (NSW)	LKA	2010	4
No usual address (NSW)	LKA	2015	5
No usual address (NSW)	LKA	2021	3
No usual address (NSW)	MYS		4
No usual address (NSW)	MYS	1970	4
No usual address (NSW)	MYS	1980	3
No usual address (NSW)	MYS	1990	6
No usual address (NSW)	MYS	2015	9
No usual address (NSW)	MYS	2016	4
No usual address (NSW)	MYS	2017	10
No usual address (NSW)	MYS	2018	12
No usual address (NSW)	MYS	2019	9
No usual address (NSW)	MYS	2020	7
No usual address (NSW)	MYS	2021	3
No usual address (NSW)	NLD	1960	9
No usual address (NSW)	NLD	1970	3
No usual address (NSW)	NLD	1990	5
No usual address (NSW)	NLD	2015	4
No usual address (NSW)	NLD	2018	3
No usual address (NSW)	NLD	2021	5
No usual address (NSW)	NPL	2016	4
