GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
Rest of NSW	15-19	1	F	2539
Rest of NSW	15-19	1	M	4300
Rest of NSW	20-24		F	4881
Rest of NSW	20-24		M	6467
Rest of NSW	20-24	0	F	67487
Rest of NSW	20-24	0	M	68360
Rest of NSW	20-24	1	F	2021
Rest of NSW	20-24	1	M	3084
Rest of NSW	25-34		F	10855
Rest of NSW	25-34		M	13980
Rest of NSW	25-34	0	F	151944
Rest of NSW	25-34	0	M	143343
Rest of NSW	25-34	1	F	3824
Rest of NSW	25-34	1	M	4580
Rest of NSW	35-44		F	10515
Rest of NSW	35-44		M	12813
Rest of NSW	35-44	0	F	150832
Rest of NSW	35-44	0	M	140211
Rest of NSW	35-44	1	F	4636
Rest of NSW	35-44	1	M	4559
Rest of NSW	45-54		F	10107
Rest of NSW	45-54		M	12406
Rest of NSW	45-54	0	F	160926
Rest of NSW	45-54	0	M	150065
Rest of NSW	45-54	1	F	7698
Rest of NSW	45-54	1	M	6896
Rest of NSW	55-64		F	10415
Rest of NSW	55-64		M	12046
Rest of NSW	55-64	0	F	173878
Rest of NSW	55-64	0	M	161793
Rest of NSW	55-64	1	F	11609
Rest of NSW	55-64	1	M	11221
Rest of NSW	65-74		F	9362
Rest of NSW	65-74		M	10274
Rest of NSW	65-74	0	F	151822
Rest of NSW	65-74	0	M	145120
Rest of NSW	65-74	1	F	15527
Rest of NSW	65-74	1	M	16110
Rest of NSW	75-84		F	7185
Rest of NSW	75-84		M	6441
Rest of NSW	75-84	0	F	77297
Rest of NSW	75-84	0	M	72694
Rest of NSW	75-84	1	F	21604
Rest of NSW	75-84	1	M	16509
Rest of NSW	85+		F	5130
Rest of NSW	85+		M	3033
Rest of NSW	85+	0	F	18426
Rest of NSW	85+	0	M	15189
Rest of NSW	85+	1	F	24326
Rest of NSW	85+	1	M	12012
No usual address (Vic.)	0-4		F	66
No usual address (Vic.)	0-4		M	88
No usual address (Vic.)	0-4	0	F	117
No usual address (Vic.)	0-4	0	M	129
No usual address (Vic.)	0-4	1	F	3
No usual address (Vic.)	0-4	1	M	6
No usual address (Vic.)	5-14		F	146
No usual address (Vic.)	5-14		M	152
No usual address (Vic.)	5-14	0	F	192
No usual address (Vic.)	5-14	0	M	179
No usual address (Vic.)	5-14	1	F	21
No usual address (Vic.)	5-14	1	M	37
No usual address (Vic.)	15-19		F	83
No usual address (Vic.)	15-19		M	87
No usual address (Vic.)	15-19	0	F	139
No usual address (Vic.)	15-19	0	M	129
No usual address (Vic.)	15-19	1	F	9
No usual address (Vic.)	15-19	1	M	15
No usual address (Vic.)	20-24		F	96
No usual address (Vic.)	20-24		M	120
No usual address (Vic.)	20-24	0	F	223
No usual address (Vic.)	20-24	0	M	214
No usual address (Vic.)	20-24	1	F	9
