GCCSA_NAME21	Sex	persons
No usual address (NSW)	F	4997
No usual address (NSW)	M	6375
Greater Sydney	F	2645912
Greater Sydney	M	2585238
Rest of NSW	F	1437081
Rest of NSW	M	1392556
No usual address (Vic.)	F	3915
No usual address (Vic.)	M	5170
Migratory - Offshore - Shipping (Vic.)	F	6
Migratory - Offshore - Shipping (Vic.)	M	36
Greater Melbourne	F	2497033
Greater Melbourne	M	2420718
Rest of Vic.	F	801575
Rest of Vic.	M	775038
No usual address (Qld)	F	6807
No usual address (Qld)	M	7861
Migratory - Offshore - Shipping (Qld)	F	28
Migratory - Offshore - Shipping (Qld)	M	149
Greater Brisbane	F	1283890
Greater Brisbane	M	1242349
Rest of Qld	F	1325000
Rest of Qld	M	1290035
No usual address (SA)	F	1506
No usual address (SA)	M	1873
Migratory - Offshore - Shipping (SA)	M	12
Greater Adelaide	F	706967
Greater Adelaide	M	680323
Rest of SA	F	194455
Rest of SA	M	196384
No usual address (WA)	F	3416
No usual address (WA)	M	4639
Migratory - Offshore - Shipping (WA)	F	58
Migratory - Offshore - Shipping (WA)	M	455
Greater Perth	F	1071480
Greater Perth	M	1045169
Rest of WA	F	262218
Rest of WA	M	272586
No usual address (Tas.)	F	616
No usual address (Tas.)	M	758
Migratory - Offshore - Shipping (Tas.)	M	13
Greater Hobart	F	126562
Greater Hobart	M	120521
Rest of Tas.	F	156617
Rest of Tas.	M	152471
No usual address (NT)	F	1675
No usual address (NT)	M	1826
Migratory - Offshore - Shipping (NT)	F	15
Migratory - Offshore - Shipping (NT)	M	83
Greater Darwin	F	69161
Greater Darwin	M	70739
Rest of NT	F	44220
Rest of NT	M	44877
No usual address (ACT)	F	273
No usual address (ACT)	M	336
Australian Capital Territory	F	229869
Australian Capital Territory	M	224022
No usual address (OT)	F	4
No usual address (OT)	M	6
Other Territories	F	2263
Other Territories	M	2511
