GCCSA_NAME21	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Greater Sydney	0	1	424713
Greater Sydney	0	2	51324
Greater Sydney	0	3	15275
Greater Sydney	0	4	6376
Greater Sydney	0	5	2310
Greater Sydney	0	6	1269
Greater Sydney	1	2	510342
Greater Sydney	1	3	300018
Greater Sydney	1	4	310208
Greater Sydney	1	5	131631
Greater Sydney	1	6	75380
Rest of NSW	0	1	299004
Rest of NSW	0	2	26531
Rest of NSW	0	3	5605
Rest of NSW	0	4	1933
Rest of NSW	0	5	659
Rest of NSW	0	6	360
Rest of NSW	1	2	363212
Rest of NSW	1	3	145437
Rest of NSW	1	4	136903
Rest of NSW	1	5	61883
Rest of NSW	1	6	30099
Greater Melbourne	0	1	441138
Greater Melbourne	0	2	49582
Greater Melbourne	0	3	16363
Greater Melbourne	0	4	7100
Greater Melbourne	0	5	2429
Greater Melbourne	0	6	1134
Greater Melbourne	1	2	507971
Greater Melbourne	1	3	285060
Greater Melbourne	1	4	299838
Greater Melbourne	1	5	114786
Greater Melbourne	1	6	55950
Rest of Vic.	0	1	178405
Rest of Vic.	0	2	13437
Rest of Vic.	0	3	2818
Rest of Vic.	0	4	1083
Rest of Vic.	0	5	342
Rest of Vic.	0	6	263
Rest of Vic.	1	2	208463
Rest of Vic.	1	3	79687
Rest of Vic.	1	4	75690
Rest of Vic.	1	5	34194
Rest of Vic.	1	6	14495
Greater Brisbane	0	1	215551
Greater Brisbane	0	2	30508
Greater Brisbane	0	3	7991
Greater Brisbane	0	4	2669
Greater Brisbane	0	5	891
Greater Brisbane	0	6	373
Greater Brisbane	1	2	275026
Greater Brisbane	1	3	144633
Greater Brisbane	1	4	143168
Greater Brisbane	1	5	58807
Greater Brisbane	1	6	32433
Rest of Qld	0	1	245457
Rest of Qld	0	2	29465
Rest of Qld	0	3	6050
Rest of Qld	0	4	1871
Rest of Qld	0	5	488
Rest of Qld	0	6	271
Rest of Qld	1	2	323502
Rest of Qld	1	3	136434
Rest of Qld	1	4	128249
Rest of Qld	1	5	55303
Rest of Qld	1	6	30324
Greater Adelaide	0	1	148641
Greater Adelaide	0	2	13829
Greater Adelaide	0	3	4045
Greater Adelaide	0	4	1319
Greater Adelaide	0	5	413
Greater Adelaide	0	6	261
Greater Adelaide	1	2	165919
Greater Adelaide	1	3	81010
Greater Adelaide	1	4	78737
Greater Adelaide	1	5	28852
Greater Adelaide	1	6	13016
Rest of SA	0	1	48627
Rest of SA	0	2	3121
Rest of SA	0	3	372
Rest of SA	0	4	111
Rest of SA	0	5	36
Rest of SA	0	6	35
Rest of SA	1	2	56978
Rest of SA	1	3	18192
Rest of SA	1	4	16474
Rest of SA	1	5	7721
Rest of SA	1	6	3598
Greater Perth	0	1	194168
Greater Perth	0	2	19365
Greater Perth	0	3	5424
Greater Perth	0	4	1814
Greater Perth	0	5	580
Greater Perth	0	6	263
Greater Perth	1	2	237042
Greater Perth	1	3	122207
Greater Perth	1	4	126560
Greater Perth	1	5	49154
Greater Perth	1	6	22051
Rest of WA	0	1	51026
Rest of WA	0	2	4081
Rest of WA	0	3	742
Rest of WA	0	4	207
Rest of WA	0	5	59
Rest of WA	0	6	58
Rest of WA	1	2	63163
Rest of WA	1	3	24688
Rest of WA	1	4	24749
Rest of WA	1	5	11480
Rest of WA	1	6	5854
Greater Hobart	0	1	26263
Greater Hobart	0	2	2392
Greater Hobart	0	3	940
Greater Hobart	0	4	436
Greater Hobart	0	5	162
Greater Hobart	0	6	78
Greater Hobart	1	2	30208
Greater Hobart	1	3	14290
Greater Hobart	1	4	12756
Greater Hobart	1	5	5058
Greater Hobart	1	6	2397
Rest of Tas.	0	1	37100
Rest of Tas.	0	2	2723
Rest of Tas.	0	3	451
Rest of Tas.	0	4	169
Rest of Tas.	0	5	56
Rest of Tas.	0	6	28
Rest of Tas.	1	2	44036
Rest of Tas.	1	3	16271
Rest of Tas.	1	4	13961
Rest of Tas.	1	5	5755
Rest of Tas.	1	6	2887
Migratory - Offshore - Shipping (NT)	0	1	4
Greater Darwin	0	1	11060
Greater Darwin	0	2	1804
Greater Darwin	0	3	576
Greater Darwin	0	4	190
Greater Darwin	0	5	61
Greater Darwin	0	6	20
Greater Darwin	1	2	13270
Greater Darwin	1	3	7993
Greater Darwin	1	4	7335
Greater Darwin	1	5	3149
Greater Darwin	1	6	1838
Rest of NT	0	1	5754
Rest of NT	0	2	649
Rest of NT	0	3	208
Rest of NT	0	4	66
Rest of NT	0	5	23
Rest of NT	0	6	10
Rest of NT	1	2	5484
Rest of NT	1	3	3046
Rest of NT	1	4	2960
Rest of NT	1	5	1852
Rest of NT	1	6	3321
Australian Capital Territory	0	1	43338
Australian Capital Territory	0	2	4754
Australian Capital Territory	0	3	2004
Australian Capital Territory	0	4	746
Australian Capital Territory	0	5	222
Australian Capital Territory	0	6	114
Australian Capital Territory	1	2	50294
Australian Capital Territory	1	3	25843
Australian Capital Territory	1	4	26959
Australian Capital Territory	1	5	9954
Australian Capital Territory	1	6	4163
Other Territories	0	1	492
Other Territories	0	2	26
Other Territories	1	2	507
Other Territories	1	3	187
Other Territories	1	4	168
Other Territories	1	5	97
Other Territories	1	6	62
