GCCSA_NAME21	CountryOfBirth	persons
No usual address (NSW)		3805
No usual address (NSW)	AFG	7
No usual address (NSW)	AUS	5912
No usual address (NSW)	BGD	6
No usual address (NSW)	BRA	21
No usual address (NSW)	CAN	26
No usual address (NSW)	CHL	17
No usual address (NSW)	CHN	86
No usual address (NSW)	DEU	30
No usual address (NSW)	EGY	13
No usual address (NSW)	FJI	23
No usual address (NSW)	FRA	56
No usual address (NSW)	GBR	359
No usual address (NSW)	GRC	10
No usual address (NSW)	HKG	32
No usual address (NSW)	HRV	8
No usual address (NSW)	IDN	32
No usual address (NSW)	IND	78
No usual address (NSW)	IRL	29
No usual address (NSW)	IRN	28
No usual address (NSW)	IRQ	10
No usual address (NSW)	ITA	31
No usual address (NSW)	JPN	14
No usual address (NSW)	KHM	5
No usual address (NSW)	KOR	21
No usual address (NSW)	LBN	20
No usual address (NSW)	LKA	12
No usual address (NSW)	MKD	4
No usual address (NSW)	MLT	6
No usual address (NSW)	MUS	3
No usual address (NSW)	MYS	67
No usual address (NSW)	NLD	37
No usual address (NSW)	NPL	17
No usual address (NSW)	NZL	194
No usual address (NSW)	PAK	14
No usual address (NSW)	PHL	50
No usual address (NSW)	PNG	16
No usual address (NSW)	POL	14
No usual address (NSW)	SGP	10
No usual address (NSW)	THA	12
No usual address (NSW)	TUR	10
No usual address (NSW)	TWN	43
No usual address (NSW)	USA	64
No usual address (NSW)	VNM	34
No usual address (NSW)	WSM	4
No usual address (NSW)	ZAF	55
No usual address (NSW)	ZWE	4
Greater Sydney		457683
Greater Sydney	AFG	13950
Greater Sydney	AUS	2970785
Greater Sydney	BGD	27864
Greater Sydney	BIH	6730
Greater Sydney	BRA	18373
Greater Sydney	CAN	10493
Greater Sydney	CHL	12212
Greater Sydney	CHN	238316
Greater Sydney	DEU	17857
Greater Sydney	EGY	19680
Greater Sydney	FJI	34197
Greater Sydney	FRA	10791
Greater Sydney	GBR	175147
Greater Sydney	GRC	26986
Greater Sydney	HKG	46182
Greater Sydney	HRV	12904
Greater Sydney	IDN	35413
Greater Sydney	IND	187810
Greater Sydney	IRL	22399
Greater Sydney	IRN	26044
Greater Sydney	IRQ	52604
Greater Sydney	ITA	38762
Greater Sydney	JPN	12945
Greater Sydney	KHM	13247
Greater Sydney	KOR	50702
Greater Sydney	LBN	61620
Greater Sydney	LKA	28787
Greater Sydney	MKD	11743
Greater Sydney	MLT	11336
Greater Sydney	MMR	6400
Greater Sydney	MUS	5230
Greater Sydney	MYS	35002
Greater Sydney	NLD	8698
Greater Sydney	NPL	59055
Greater Sydney	NZL	85493
Greater Sydney	PAK	31025
Greater Sydney	PHL	91339
Greater Sydney	PNG	3536
Greater Sydney	POL	11669
Greater Sydney	SGP	13204
Greater Sydney	THA	26330
Greater Sydney	TUR	13826
Greater Sydney	TWN	13051
Greater Sydney	USA	25903
Greater Sydney	VNM	93778
Greater Sydney	WSM	9288
Greater Sydney	ZAF	39564
Greater Sydney	ZWE	5191
Rest of NSW		223760
Rest of NSW	AFG	667
Rest of NSW	AUS	2300890
Rest of NSW	BGD	1735
Rest of NSW	BIH	915
Rest of NSW	BRA	2020
Rest of NSW	CAN	4692
Rest of NSW	CHL	1844
Rest of NSW	CHN	9195
Rest of NSW	DEU	11034
Rest of NSW	EGY	1447
Rest of NSW	FJI	3149
Rest of NSW	FRA	2426
Rest of NSW	GBR	91103
Rest of NSW	GRC	2401
Rest of NSW	HKG	1910
Rest of NSW	HRV	2578
Rest of NSW	IDN	2459
Rest of NSW	IND	21078
Rest of NSW	IRL	4568
Rest of NSW	IRN	1440
Rest of NSW	IRQ	2737
Rest of NSW	ITA	8396
Rest of NSW	JPN	1928
Rest of NSW	KHM	570
Rest of NSW	KOR	2325
Rest of NSW	LBN	1645
Rest of NSW	LKA	2627
Rest of NSW	MKD	5553
Rest of NSW	MLT	2143
Rest of NSW	MMR	1342
Rest of NSW	MUS	565
Rest of NSW	MYS	4489
Rest of NSW	NLD	7038
Rest of NSW	NPL	5873
Rest of NSW	NZL	32840
Rest of NSW	PAK	2863
Rest of NSW	PHL	15537
Rest of NSW	PNG	1983
Rest of NSW	POL	2150
Rest of NSW	SGP	1453
Rest of NSW	THA	5286
Rest of NSW	TUR	1318
Rest of NSW	TWN	1452
Rest of NSW	USA	8856
Rest of NSW	VNM	4183
Rest of NSW	WSM	853
Rest of NSW	ZAF	10124
Rest of NSW	ZWE	2189
No usual address (Vic.)		3649
No usual address (Vic.)	AFG	8
No usual address (Vic.)	AUS	4283
No usual address (Vic.)	BRA	7
No usual address (Vic.)	CAN	21
No usual address (Vic.)	CHL	18
No usual address (Vic.)	CHN	57
No usual address (Vic.)	DEU	33
No usual address (Vic.)	EGY	5
No usual address (Vic.)	FJI	4
No usual address (Vic.)	FRA	12
No usual address (Vic.)	GBR	202
No usual address (Vic.)	GRC	10
No usual address (Vic.)	HKG	9
No usual address (Vic.)	HRV	12
No usual address (Vic.)	IDN	15
No usual address (Vic.)	IND	90
No usual address (Vic.)	IRL	27
No usual address (Vic.)	IRN	24
No usual address (Vic.)	IRQ	11
No usual address (Vic.)	ITA	13
No usual address (Vic.)	JPN	6
No usual address (Vic.)	KHM	6
No usual address (Vic.)	KOR	10
No usual address (Vic.)	LBN	14
No usual address (Vic.)	LKA	33
No usual address (Vic.)	MKD	3
No usual address (Vic.)	MLT	5
No usual address (Vic.)	MMR	4
No usual address (Vic.)	MUS	3
No usual address (Vic.)	MYS	74
No usual address (Vic.)	NLD	22
No usual address (Vic.)	NPL	8
No usual address (Vic.)	NZL	157
No usual address (Vic.)	PAK	22
No usual address (Vic.)	PHL	46
No usual address (Vic.)	PNG	4
No usual address (Vic.)	POL	10
No usual address (Vic.)	SGP	12
No usual address (Vic.)	THA	13
No usual address (Vic.)	TUR	25
No usual address (Vic.)	TWN	15
