GCCSA_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Rest of NSW	State or territory housing authority	34125	28
Rest of NSW	State or territory housing authority	39375	19
Rest of NSW	State or territory housing authority	44625	14
Rest of NSW	State or territory housing authority	49875	11
Greater Melbourne		52	23
Greater Melbourne		3937	16
Greater Melbourne		5250	136
Greater Melbourne		7875	109
Greater Melbourne		10500	57
Greater Melbourne		11812	117
Greater Melbourne		14437	277
Greater Melbourne		18375	330
Greater Melbourne		23625	127
Greater Melbourne		28875	48
Greater Melbourne		34125	29
Greater Melbourne		39375	11
Greater Melbourne		44625	8
Greater Melbourne		49875	24
Greater Melbourne	(Other)	52	108
Greater Melbourne	(Other)	3937	99
Greater Melbourne	(Other)	5250	512
Greater Melbourne	(Other)	7875	712
Greater Melbourne	(Other)	10500	517
Greater Melbourne	(Other)	11812	1350
Greater Melbourne	(Other)	14437	2238
Greater Melbourne	(Other)	18375	2616
Greater Melbourne	(Other)	23625	790
Greater Melbourne	(Other)	28875	227
Greater Melbourne	(Other)	34125	130
Greater Melbourne	(Other)	39375	65
Greater Melbourne	(Other)	44625	41
Greater Melbourne	(Other)	49875	161
Greater Melbourne	Co-op/church group etc	52	189
Greater Melbourne	Co-op/church group etc	3937	244
Greater Melbourne	Co-op/church group etc	5250	1044
Greater Melbourne	Co-op/church group etc	7875	1835
Greater Melbourne	Co-op/church group etc	10500	1082
Greater Melbourne	Co-op/church group etc	11812	1171
Greater Melbourne	Co-op/church group etc	14437	929
Greater Melbourne	Co-op/church group etc	18375	565
Greater Melbourne	Co-op/church group etc	23625	163
Greater Melbourne	Co-op/church group etc	28875	48
Greater Melbourne	Co-op/church group etc	34125	25
Greater Melbourne	Co-op/church group etc	39375	21
Greater Melbourne	Co-op/church group etc	44625	12
Greater Melbourne	Co-op/church group etc	49875	4
Greater Melbourne	Person not in same household	52	507
Greater Melbourne	Person not in same household	3937	385
Greater Melbourne	Person not in same household	5250	2437
Greater Melbourne	Person not in same household	7875	3850
Greater Melbourne	Person not in same household	10500	3279
Greater Melbourne	Person not in same household	11812	5944
Greater Melbourne	Person not in same household	14437	15598
Greater Melbourne	Person not in same household	18375	18909
Greater Melbourne	Person not in same household	23625	8847
Greater Melbourne	Person not in same household	28875	3761
Greater Melbourne	Person not in same household	34125	1921
Greater Melbourne	Person not in same household	39375	1193
Greater Melbourne	Person not in same household	44625	599
Greater Melbourne	Person not in same household	49875	1308
Greater Melbourne	Real estate agent	52	478
Greater Melbourne	Real estate agent	3937	248
Greater Melbourne	Real estate agent	5250	1125
Greater Melbourne	Real estate agent	7875	2450
Greater Melbourne	Real estate agent	10500	2994
Greater Melbourne	Real estate agent	11812	12751
Greater Melbourne	Real estate agent	14437	72230
Greater Melbourne	Real estate agent	18375	166095
Greater Melbourne	Real estate agent	23625	73372
Greater Melbourne	Real estate agent	28875	31648
Greater Melbourne	Real estate agent	34125	15744
Greater Melbourne	Real estate agent	39375	8599
Greater Melbourne	Real estate agent	44625	4657
Greater Melbourne	Real estate agent	49875	8524
Greater Melbourne	State or territory housing authority	52	1467
Greater Melbourne	State or territory housing authority	3937	2082
Greater Melbourne	State or territory housing authority	5250	12611
Greater Melbourne	State or territory housing authority	7875	5149
Greater Melbourne	State or territory housing authority	10500	2551
Greater Melbourne	State or territory housing authority	11812	2558
Greater Melbourne	State or territory housing authority	14437	2313
Greater Melbourne	State or territory housing authority	18375	1804
Greater Melbourne	State or territory housing authority	23625	411
Greater Melbourne	State or territory housing authority	28875	106
Greater Melbourne	State or territory housing authority	34125	62
Greater Melbourne	State or territory housing authority	39375	43
Greater Melbourne	State or territory housing authority	44625	29
Greater Melbourne	State or territory housing authority	49875	24
Rest of Vic.		52	23
Rest of Vic.		3937	26
Rest of Vic.		5250	134
Rest of Vic.		7875	138
Rest of Vic.		10500	65
Rest of Vic.		11812	112
Rest of Vic.		14437	134
Rest of Vic.		18375	78
Rest of Vic.		23625	8
Rest of Vic.		28875	7
Rest of Vic.		49875	7
Rest of Vic.	(Other)	52	282
Rest of Vic.	(Other)	3937	154
Rest of Vic.	(Other)	5250	787
Rest of Vic.	(Other)	7875	755
Rest of Vic.	(Other)	10500	551
Rest of Vic.	(Other)	11812	972
Rest of Vic.	(Other)	14437	795
Rest of Vic.	(Other)	18375	443
Rest of Vic.	(Other)	23625	134
Rest of Vic.	(Other)	28875	47
Rest of Vic.	(Other)	34125	15
Rest of Vic.	(Other)	39375	18
Rest of Vic.	(Other)	44625	9
Rest of Vic.	(Other)	49875	46
Rest of Vic.	Co-op/church group etc	52	106
Rest of Vic.	Co-op/church group etc	3937	157
Rest of Vic.	Co-op/church group etc	5250	612
Rest of Vic.	Co-op/church group etc	7875	1011
Rest of Vic.	Co-op/church group etc	10500	384
Rest of Vic.	Co-op/church group etc	11812	543
Rest of Vic.	Co-op/church group etc	14437	437
Rest of Vic.	Co-op/church group etc	18375	166
Rest of Vic.	Co-op/church group etc	23625	25
Rest of Vic.	Co-op/church group etc	28875	12
Rest of Vic.	Co-op/church group etc	34125	9
Rest of Vic.	Co-op/church group etc	39375	7
Rest of Vic.	Co-op/church group etc	49875	8
Rest of Vic.	Person not in same household	52	464
Rest of Vic.	Person not in same household	3937	355
Rest of Vic.	Person not in same household	5250	2502
Rest of Vic.	Person not in same household	7875	4029
Rest of Vic.	Person not in same household	10500	4090
Rest of Vic.	Person not in same household	11812	5341
Rest of Vic.	Person not in same household	14437	6431
Rest of Vic.	Person not in same household	18375	3909
Rest of Vic.	Person not in same household	23625	1032
Rest of Vic.	Person not in same household	28875	277
Rest of Vic.	Person not in same household	34125	134
Rest of Vic.	Person not in same household	39375	69
Rest of Vic.	Person not in same household	44625	41
Rest of Vic.	Person not in same household	49875	167
Rest of Vic.	Real estate agent	52	122
Rest of Vic.	Real estate agent	3937	108
Rest of Vic.	Real estate agent	5250	1202
Rest of Vic.	Real estate agent	7875	4822
Rest of Vic.	Real estate agent	10500	5247
Rest of Vic.	Real estate agent	11812	14272
Rest of Vic.	Real estate agent	14437	25482
Rest of Vic.	Real estate agent	18375	24796
Rest of Vic.	Real estate agent	23625	6615
Rest of Vic.	Real estate agent	28875	1491
Rest of Vic.	Real estate agent	34125	507
Rest of Vic.	Real estate agent	39375	192
Rest of Vic.	Real estate agent	44625	81
Rest of Vic.	Real estate agent	49875	199
Rest of Vic.	State or territory housing authority	52	810
Rest of Vic.	State or territory housing authority	3937	943
Rest of Vic.	State or territory housing authority	5250	6032
Rest of Vic.	State or territory housing authority	7875	2711
Rest of Vic.	State or territory housing authority	10500	1294
Rest of Vic.	State or territory housing authority	11812	1506
Rest of Vic.	State or territory housing authority	14437	652
Rest of Vic.	State or territory housing authority	18375	219
Rest of Vic.	State or territory housing authority	23625	59
Rest of Vic.	State or territory housing authority	28875	18
Rest of Vic.	State or territory housing authority	34125	13
Rest of Vic.	State or territory housing authority	39375	5
Rest of Vic.	State or territory housing authority	44625	3
Rest of Vic.	State or territory housing authority	49875	3
Greater Brisbane		52	14
Greater Brisbane		3937	11
Greater Brisbane		5250	71
Greater Brisbane		7875	85
Greater Brisbane		10500	59
Greater Brisbane		11812	126
Greater Brisbane		14437	219
Greater Brisbane		18375	269
Greater Brisbane		23625	83
Greater Brisbane		28875	22
Greater Brisbane		34125	10
Greater Brisbane		39375	4
Greater Brisbane		44625	3
Greater Brisbane		49875	8
Greater Brisbane	(Other)	52	96
Greater Brisbane	(Other)	3937	50
Greater Brisbane	(Other)	5250	387
Greater Brisbane	(Other)	7875	701
Greater Brisbane	(Other)	10500	535
Greater Brisbane	(Other)	11812	2766
Greater Brisbane	(Other)	14437	2767
Greater Brisbane	(Other)	18375	4636
Greater Brisbane	(Other)	23625	1191
Greater Brisbane	(Other)	28875	401
Greater Brisbane	(Other)	34125	118
Greater Brisbane	(Other)	39375	65
Greater Brisbane	(Other)	44625	30
Greater Brisbane	(Other)	49875	71
Greater Brisbane	Co-op/church group etc	52	75
Greater Brisbane	Co-op/church group etc	3937	95
Greater Brisbane	Co-op/church group etc	5250	471
Greater Brisbane	Co-op/church group etc	7875	975
Greater Brisbane	Co-op/church group etc	10500	594
Greater Brisbane	Co-op/church group etc	11812	749
Greater Brisbane	Co-op/church group etc	14437	726
Greater Brisbane	Co-op/church group etc	18375	337
Greater Brisbane	Co-op/church group etc	23625	81
Greater Brisbane	Co-op/church group etc	28875	27
Greater Brisbane	Co-op/church group etc	34125	9
Greater Brisbane	Co-op/church group etc	39375	11
Greater Brisbane	Co-op/church group etc	44625	3
Greater Brisbane	Person not in same household	52	203
Greater Brisbane	Person not in same household	3937	131
Greater Brisbane	Person not in same household	5250	1119
Greater Brisbane	Person not in same household	7875	2179
Greater Brisbane	Person not in same household	10500	2320
Greater Brisbane	Person not in same household	11812	4099
Greater Brisbane	Person not in same household	14437	9837
Greater Brisbane	Person not in same household	18375	13868
Greater Brisbane	Person not in same household	23625	6102
Greater Brisbane	Person not in same household	28875	2358
Greater Brisbane	Person not in same household	34125	996
Greater Brisbane	Person not in same household	39375	487
Greater Brisbane	Person not in same household	44625	221
Greater Brisbane	Person not in same household	49875	428
Greater Brisbane	Real estate agent	52	168
Greater Brisbane	Real estate agent	3937	69
Greater Brisbane	Real estate agent	5250	584
Greater Brisbane	Real estate agent	7875	1503
Greater Brisbane	Real estate agent	10500	1952
Greater Brisbane	Real estate agent	11812	10605
Greater Brisbane	Real estate agent	14437	42607
Greater Brisbane	Real estate agent	18375	94291
Greater Brisbane	Real estate agent	23625	43906
Greater Brisbane	Real estate agent	28875	16393
Greater Brisbane	Real estate agent	34125	6465
Greater Brisbane	Real estate agent	39375	2871
Greater Brisbane	Real estate agent	44625	1393
Greater Brisbane	Real estate agent	49875	1913
Greater Brisbane	State or territory housing authority	52	1649
Greater Brisbane	State or territory housing authority	3937	2034
Greater Brisbane	State or territory housing authority	5250	9078
Greater Brisbane	State or territory housing authority	7875	4515
Greater Brisbane	State or territory housing authority	10500	1831
Greater Brisbane	State or territory housing authority	11812	1936
Greater Brisbane	State or territory housing authority	14437	1465
Greater Brisbane	State or territory housing authority	18375	531
Greater Brisbane	State or territory housing authority	23625	138
Greater Brisbane	State or territory housing authority	28875	35
Greater Brisbane	State or territory housing authority	34125	21
Greater Brisbane	State or territory housing authority	39375	6
Greater Brisbane	State or territory housing authority	44625	8
Rest of Qld		52	33
Rest of Qld		3937	27
Rest of Qld		5250	126
Rest of Qld		7875	208
Rest of Qld		10500	144
Rest of Qld		11812	203
Rest of Qld		14437	226
Rest of Qld		18375	207
Rest of Qld		23625	93
Rest of Qld		28875	54
Rest of Qld		34125	9
Rest of Qld		39375	5
Rest of Qld		44625	3
Rest of Qld		49875	9
Rest of Qld	(Other)	52	3122
Rest of Qld	(Other)	3937	826
Rest of Qld	(Other)	5250	1528
Rest of Qld	(Other)	7875	1601
