GCCSA_NAME21	Age	IncomeTotPersonal.max	Sex	adults
No usual address (NSW)	15-19		F	92
No usual address (NSW)	15-19		M	89
No usual address (NSW)	15-19	0	F	55
No usual address (NSW)	15-19	0	M	56
No usual address (NSW)	15-19	7875	F	29
No usual address (NSW)	15-19	7875	M	16
No usual address (NSW)	15-19	15750	F	55
No usual address (NSW)	15-19	15750	M	41
No usual address (NSW)	15-19	21000	F	12
No usual address (NSW)	15-19	21000	M	11
No usual address (NSW)	15-19	26250	F	8
No usual address (NSW)	15-19	26250	M	9
No usual address (NSW)	15-19	34125	F	13
No usual address (NSW)	15-19	34125	M	12
No usual address (NSW)	15-19	42000	F	11
No usual address (NSW)	15-19	42000	M	13
No usual address (NSW)	15-19	52500	F	9
No usual address (NSW)	15-19	52500	M	7
No usual address (NSW)	20-24		F	133
No usual address (NSW)	20-24		M	138
No usual address (NSW)	20-24	0	F	36
No usual address (NSW)	20-24	0	M	28
No usual address (NSW)	20-24	7875	F	12
No usual address (NSW)	20-24	7875	M	4
No usual address (NSW)	20-24	15750	F	38
No usual address (NSW)	20-24	15750	M	38
No usual address (NSW)	20-24	21000	F	41
No usual address (NSW)	20-24	21000	M	49
No usual address (NSW)	20-24	26250	F	24
No usual address (NSW)	20-24	26250	M	19
No usual address (NSW)	20-24	34125	F	26
No usual address (NSW)	20-24	34125	M	24
No usual address (NSW)	20-24	42000	F	44
No usual address (NSW)	20-24	42000	M	37
No usual address (NSW)	20-24	52500	F	30
No usual address (NSW)	20-24	52500	M	39
No usual address (NSW)	20-24	65625	F	25
No usual address (NSW)	20-24	65625	M	19
No usual address (NSW)	20-24	78750	F	3
No usual address (NSW)	20-24	78750	M	8
No usual address (NSW)	20-24	91875	F	5
No usual address (NSW)	20-24	105000	M	3
No usual address (NSW)	20-24	157500	M	4
No usual address (NSW)	25-34		F	323
No usual address (NSW)	25-34		M	397
No usual address (NSW)	25-34	0	F	59
No usual address (NSW)	25-34	0	M	59
No usual address (NSW)	25-34	7875	F	21
No usual address (NSW)	25-34	7875	M	12
No usual address (NSW)	25-34	15750	F	53
No usual address (NSW)	25-34	15750	M	61
No usual address (NSW)	25-34	21000	F	57
No usual address (NSW)	25-34	21000	M	77
No usual address (NSW)	25-34	26250	F	48
No usual address (NSW)	25-34	26250	M	49
No usual address (NSW)	25-34	34125	F	84
No usual address (NSW)	25-34	34125	M	48
No usual address (NSW)	25-34	42000	F	76
No usual address (NSW)	25-34	42000	M	59
No usual address (NSW)	25-34	52500	F	95
No usual address (NSW)	25-34	52500	M	82
No usual address (NSW)	25-34	65625	F	72
No usual address (NSW)	25-34	65625	M	90
