GCCSA_NAME21	OnlyEnglishSpokenHome	Sex	persons
No usual address (NSW)	0	F	579
No usual address (NSW)	0	M	576
No usual address (NSW)	1	F	2889
No usual address (NSW)	1	M	3530
Greater Sydney	0	F	1012194
Greater Sydney	0	M	945213
Greater Sydney	1	F	1496187
Greater Sydney	1	M	1499054
Rest of NSW	0	F	97775
Rest of NSW	0	M	89750
Rest of NSW	1	F	1250953
Rest of NSW	1	M	1205367
No usual address (Vic.)	0	F	492
No usual address (Vic.)	0	M	490
No usual address (Vic.)	1	F	2041
No usual address (Vic.)	1	M	2445
Migratory - Offshore - Shipping (Vic.)	0	M	5
Migratory - Offshore - Shipping (Vic.)	1	M	9
Greater Melbourne	0	F	866235
Greater Melbourne	0	M	812250
Greater Melbourne	1	F	1514580
Greater Melbourne	1	M	1488434
Rest of Vic.	0	F	57609
Rest of Vic.	0	M	54708
Rest of Vic.	1	F	695240
Rest of Vic.	1	M	667054
No usual address (Qld)	0	F	630
No usual address (Qld)	0	M	551
No usual address (Qld)	1	F	4768
No usual address (Qld)	1	M	5206
Migratory - Offshore - Shipping (Qld)	0	F	3
Migratory - Offshore - Shipping (Qld)	0	M	18
Migratory - Offshore - Shipping (Qld)	1	M	27
Greater Brisbane	0	F	235737
Greater Brisbane	0	M	211937
Greater Brisbane	1	F	988890
Greater Brisbane	1	M	963635
Rest of Qld	0	F	125401
Rest of Qld	0	M	107600
Rest of Qld	1	F	1111035
Rest of Qld	1	M	1077651
No usual address (SA)	0	F	167
No usual address (SA)	0	M	148
No usual address (SA)	1	F	1034
No usual address (SA)	1	M	1230
Migratory - Offshore - Shipping (SA)	0	M	8
Greater Adelaide	0	F	153117
Greater Adelaide	0	M	142954
Greater Adelaide	1	F	528011
Greater Adelaide	1	M	509858
Rest of SA	0	F	10770
Rest of SA	0	M	10130
Rest of SA	1	F	171686
Rest of SA	1	M	171129
No usual address (WA)	0	F	244
No usual address (WA)	0	M	243
No usual address (WA)	1	F	1896
No usual address (WA)	1	M	2185
Migratory - Offshore - Shipping (WA)	0	F	4
Migratory - Offshore - Shipping (WA)	0	M	60
Migratory - Offshore - Shipping (WA)	1	F	29
Migratory - Offshore - Shipping (WA)	1	M	206
Greater Perth	0	F	232845
Greater Perth	0	M	209358
Greater Perth	1	F	790789
Greater Perth	1	M	775235
Rest of WA	0	F	24032
Rest of WA	0	M	22253
Rest of WA	1	F	214225
Rest of WA	1	M	218211
No usual address (Tas.)	0	F	41
No usual address (Tas.)	0	M	33
No usual address (Tas.)	1	F	459
No usual address (Tas.)	1	M	525
Migratory - Offshore - Shipping (Tas.)	1	M	12
Greater Hobart	0	F	16015
Greater Hobart	0	M	15677
Greater Hobart	1	F	105054
Greater Hobart	1	M	98971
Rest of Tas.	0	F	8567
Rest of Tas.	0	M	8359
Rest of Tas.	1	F	139698
Rest of Tas.	1	M	135155
No usual address (NT)	0	F	298
No usual address (NT)	0	M	253
No usual address (NT)	1	F	745
No usual address (NT)	1	M	861
Migratory - Offshore - Shipping (NT)	0	M	10
Migratory - Offshore - Shipping (NT)	1	F	5
Migratory - Offshore - Shipping (NT)	1	M	53
Greater Darwin	0	F	17339
Greater Darwin	0	M	15635
Greater Darwin	1	F	45853
Greater Darwin	1	M	47425
Rest of NT	0	F	21465
Rest of NT	0	M	20329
Rest of NT	1	F	18864
Rest of NT	1	M	19445
No usual address (ACT)	0	F	43
No usual address (ACT)	0	M	35
No usual address (ACT)	1	F	196
No usual address (ACT)	1	M	201
Australian Capital Territory	0	F	57592
Australian Capital Territory	0	M	53983
Australian Capital Territory	1	F	163226
Australian Capital Territory	1	M	160228
No usual address (OT)	0	F	3
No usual address (OT)	0	M	3
No usual address (OT)	1	M	5
Other Territories	0	F	966
Other Territories	0	M	979
Other Territories	1	F	980
Other Territories	1	M	969
