GCCSA_NAME21	Age	HoursHousekeeping	Sex	adults
No usual address (NSW)	15-19		F	91
No usual address (NSW)	15-19		M	90
No usual address (NSW)	15-19	0	F	88
No usual address (NSW)	15-19	0	M	80
No usual address (NSW)	15-19	<5	F	72
No usual address (NSW)	15-19	<5	M	50
No usual address (NSW)	15-19	5-14	F	22
No usual address (NSW)	15-19	5-14	M	20
No usual address (NSW)	15-19	15-29	F	8
No usual address (NSW)	15-19	15-29	M	3
No usual address (NSW)	15-19	30+	F	4
No usual address (NSW)	15-19	30+	M	3
No usual address (NSW)	20-24		F	137
No usual address (NSW)	20-24		M	140
No usual address (NSW)	20-24	0	F	94
No usual address (NSW)	20-24	0	M	140
No usual address (NSW)	20-24	<5	F	84
No usual address (NSW)	20-24	<5	M	86
No usual address (NSW)	20-24	5-14	F	72
No usual address (NSW)	20-24	5-14	M	34
No usual address (NSW)	20-24	15-29	F	20
No usual address (NSW)	20-24	15-29	M	8
No usual address (NSW)	20-24	30+	F	16
No usual address (NSW)	20-24	30+	M	4
No usual address (NSW)	25-34		F	341
No usual address (NSW)	25-34		M	417
No usual address (NSW)	25-34	0	F	220
No usual address (NSW)	25-34	0	M	347
No usual address (NSW)	25-34	<5	F	161
No usual address (NSW)	25-34	<5	M	198
No usual address (NSW)	25-34	5-14	F	178
No usual address (NSW)	25-34	5-14	M	139
No usual address (NSW)	25-34	15-29	F	70
No usual address (NSW)	25-34	15-29	M	45
No usual address (NSW)	25-34	30+	F	59
No usual address (NSW)	25-34	30+	M	15
No usual address (NSW)	35-44		F	291
No usual address (NSW)	35-44		M	491
No usual address (NSW)	35-44	0	F	117
No usual address (NSW)	35-44	0	M	286
No usual address (NSW)	35-44	<5	F	102
No usual address (NSW)	35-44	<5	M	144
No usual address (NSW)	35-44	5-14	F	120
No usual address (NSW)	35-44	5-14	M	138
No usual address (NSW)	35-44	15-29	F	68
No usual address (NSW)	35-44	15-29	M	25
No usual address (NSW)	35-44	30+	F	56
No usual address (NSW)	35-44	30+	M	26
No usual address (NSW)	45-54		F	210
No usual address (NSW)	45-54		M	438
No usual address (NSW)	45-54	0	F	112
No usual address (NSW)	45-54	0	M	279
No usual address (NSW)	45-54	<5	F	106
