GCCSA_NAME21	CountryOfBirth	Sex	persons
No usual address (NSW)		F	1593
No usual address (NSW)		M	2219
No usual address (NSW)	AFG	M	7
No usual address (NSW)	AUS	F	2601
No usual address (NSW)	AUS	M	3314
No usual address (NSW)	BRA	F	12
No usual address (NSW)	CAN	F	15
No usual address (NSW)	CAN	M	11
No usual address (NSW)	CHL	F	9
No usual address (NSW)	CHL	M	10
No usual address (NSW)	CHN	F	53
No usual address (NSW)	CHN	M	33
No usual address (NSW)	DEU	F	14
No usual address (NSW)	DEU	M	15
No usual address (NSW)	EGY	F	7
No usual address (NSW)	EGY	M	9
No usual address (NSW)	FJI	F	14
No usual address (NSW)	FJI	M	14
No usual address (NSW)	FRA	F	23
No usual address (NSW)	FRA	M	35
No usual address (NSW)	GBR	F	151
No usual address (NSW)	GBR	M	205
No usual address (NSW)	GRC	F	4
No usual address (NSW)	GRC	M	8
No usual address (NSW)	HKG	F	16
No usual address (NSW)	HKG	M	20
No usual address (NSW)	HRV	F	5
No usual address (NSW)	IDN	F	16
No usual address (NSW)	IDN	M	19
No usual address (NSW)	IND	F	25
No usual address (NSW)	IND	M	46
No usual address (NSW)	IRL	F	20
No usual address (NSW)	IRL	M	12
No usual address (NSW)	IRN	F	16
No usual address (NSW)	IRN	M	20
No usual address (NSW)	IRQ	F	5
No usual address (NSW)	IRQ	M	13
No usual address (NSW)	ITA	F	16
No usual address (NSW)	ITA	M	16
No usual address (NSW)	JPN	F	13
No usual address (NSW)	JPN	M	5
No usual address (NSW)	KHM	F	6
No usual address (NSW)	KOR	F	11
No usual address (NSW)	KOR	M	7
No usual address (NSW)	LBN	F	9
No usual address (NSW)	LBN	M	11
No usual address (NSW)	LKA	F	7
No usual address (NSW)	LKA	M	5
No usual address (NSW)	MKD	M	3
No usual address (NSW)	MLT	F	6
No usual address (NSW)	MLT	M	4
No usual address (NSW)	MUS	M	3
No usual address (NSW)	MYS	F	41
No usual address (NSW)	MYS	M	32
No usual address (NSW)	NLD	F	17
No usual address (NSW)	NLD	M	22
No usual address (NSW)	NPL	F	9
No usual address (NSW)	NPL	M	10
No usual address (NSW)	NZL	F	92
No usual address (NSW)	NZL	M	105
No usual address (NSW)	PAK	F	3
No usual address (NSW)	PAK	M	6
No usual address (NSW)	PHL	F	32
No usual address (NSW)	PHL	M	26
No usual address (NSW)	PNG	F	11
No usual address (NSW)	PNG	M	6
No usual address (NSW)	POL	F	3
No usual address (NSW)	POL	M	3
No usual address (NSW)	SGP	F	6
No usual address (NSW)	SGP	M	3
No usual address (NSW)	THA	F	14
No usual address (NSW)	TUR	M	5
No usual address (NSW)	TWN	F	34
No usual address (NSW)	TWN	M	13
No usual address (NSW)	USA	F	30
No usual address (NSW)	USA	M	33
No usual address (NSW)	VNM	F	18
No usual address (NSW)	VNM	M	19
No usual address (NSW)	WSM	F	4
No usual address (NSW)	ZAF	F	28
No usual address (NSW)	ZAF	M	26
No usual address (NSW)	ZWE	F	7
No usual address (NSW)	ZWE	M	4
Greater Sydney		F	230921
Greater Sydney		M	226767
Greater Sydney	AFG	F	6124
Greater Sydney	AFG	M	7830
Greater Sydney	AUS	F	1488045
Greater Sydney	AUS	M	1482743
Greater Sydney	BGD	F	12864
Greater Sydney	BGD	M	14999
Greater Sydney	BIH	F	3482
Greater Sydney	BIH	M	3244
Greater Sydney	BRA	F	9584
Greater Sydney	BRA	M	8789
Greater Sydney	CAN	F	5668
Greater Sydney	CAN	M	4831
Greater Sydney	CHL	F	6336
Greater Sydney	CHL	M	5878
Greater Sydney	CHN	F	133242
Greater Sydney	CHN	M	105073
Greater Sydney	DEU	F	9465
Greater Sydney	DEU	M	8394
Greater Sydney	EGY	F	9523
Greater Sydney	EGY	M	10155
Greater Sydney	FJI	F	18449
Greater Sydney	FJI	M	15751
Greater Sydney	FRA	F	5187
Greater Sydney	FRA	M	5603
Greater Sydney	GBR	F	82538
Greater Sydney	GBR	M	92616
Greater Sydney	GRC	F	14440
Greater Sydney	GRC	M	12544
Greater Sydney	HKG	F	24530
Greater Sydney	HKG	M	21652
Greater Sydney	HRV	F	6767
Greater Sydney	HRV	M	6135
Greater Sydney	IDN	F	19722
Greater Sydney	IDN	M	15690
Greater Sydney	IND	F	87480
Greater Sydney	IND	M	100329
Greater Sydney	IRL	F	10403
Greater Sydney	IRL	M	11995
Greater Sydney	IRN	F	12381
Greater Sydney	IRN	M	13665
Greater Sydney	IRQ	F	26216
Greater Sydney	IRQ	M	26385
Greater Sydney	ITA	F	18701
Greater Sydney	ITA	M	20064
Greater Sydney	JPN	F	8825
Greater Sydney	JPN	M	4124
Greater Sydney	KHM	F	7404
Greater Sydney	KHM	M	5841
Greater Sydney	KOR	F	27670
Greater Sydney	KOR	M	23026
Greater Sydney	LBN	F	29861
Greater Sydney	LBN	M	31768
Greater Sydney	LKA	F	14188
Greater Sydney	LKA	M	14602
Greater Sydney	MKD	F	6023
Greater Sydney	MKD	M	5725
Greater Sydney	MLT	F	5732
Greater Sydney	MLT	M	5606
Greater Sydney	MMR	F	3075
Greater Sydney	MMR	M	3325
Greater Sydney	MUS	F	2779
Greater Sydney	MUS	M	2449
Greater Sydney	MYS	F	18115
Greater Sydney	MYS	M	16886
Greater Sydney	NLD	F	4256
Greater Sydney	NLD	M	4447
Greater Sydney	NPL	F	26284
Greater Sydney	NPL	M	32773
Greater Sydney	NZL	F	41792
Greater Sydney	NZL	M	43696
Greater Sydney	PAK	F	13145
Greater Sydney	PAK	M	17881
Greater Sydney	PHL	F	53938
Greater Sydney	PHL	M	37403
Greater Sydney	PNG	F	1928
Greater Sydney	PNG	M	1612
Greater Sydney	POL	F	6646
Greater Sydney	POL	M	5026
Greater Sydney	SGP	F	7059
Greater Sydney	SGP	M	6143
Greater Sydney	THA	F	17732
Greater Sydney	THA	M	8600
Greater Sydney	TUR	F	6709
Greater Sydney	TUR	M	7111
Greater Sydney	TWN	F	7380
Greater Sydney	TWN	M	5672
Greater Sydney	USA	F	13349
Greater Sydney	USA	M	12557
Greater Sydney	VNM	F	52605
Greater Sydney	VNM	M	41173
Greater Sydney	WSM	F	4708
Greater Sydney	WSM	M	4578
Greater Sydney	ZAF	F	19989
Greater Sydney	ZAF	M	19581
Greater Sydney	ZWE	F	2664
Greater Sydney	ZWE	M	2528
Rest of NSW		F	111634
Rest of NSW		M	112130
Rest of NSW	AFG	F	288
Rest of NSW	AFG	M	380
Rest of NSW	AUS	F	1166840
Rest of NSW	AUS	M	1134051
Rest of NSW	BGD	F	775
Rest of NSW	BGD	M	958
Rest of NSW	BIH	F	465
Rest of NSW	BIH	M	448
Rest of NSW	BRA	F	1081
Rest of NSW	BRA	M	941
Rest of NSW	CAN	F	2651
Rest of NSW	CAN	M	2039
Rest of NSW	CHL	F	967
Rest of NSW	CHL	M	874
Rest of NSW	CHN	F	5054
Rest of NSW	CHN	M	4139
Rest of NSW	DEU	F	6008
Rest of NSW	DEU	M	5025
Rest of NSW	EGY	F	627
Rest of NSW	EGY	M	820
Rest of NSW	FJI	F	1469
Rest of NSW	FJI	M	1678
Rest of NSW	FRA	F	1238
Rest of NSW	FRA	M	1194
Rest of NSW	GBR	F	46101
Rest of NSW	GBR	M	44998
Rest of NSW	GRC	F	1196
Rest of NSW	GRC	M	1208
Rest of NSW	HKG	F	1039
Rest of NSW	HKG	M	877
Rest of NSW	HRV	F	1276
Rest of NSW	HRV	M	1305
Rest of NSW	IDN	F	1527
Rest of NSW	IDN	M	929
Rest of NSW	IND	F	9569
Rest of NSW	IND	M	11505
Rest of NSW	IRL	F	2138
Rest of NSW	IRL	M	2431
Rest of NSW	IRN	F	654
Rest of NSW	IRN	M	788
Rest of NSW	IRQ	F	1395
Rest of NSW	IRQ	M	1343
