GCCSA_NAME21	MotorVehicles.min	occupied_private_dwellings
Greater Sydney		25924
Greater Sydney	0	203081
Greater Sydney	1	722036
Greater Sydney	2	590650
Greater Sydney	3	181932
Greater Sydney	4	105239
Rest of NSW		17806
Rest of NSW	0	58952
Rest of NSW	1	374720
Rest of NSW	2	398609
Rest of NSW	3	139386
Rest of NSW	4	82143
Greater Melbourne		23050
Greater Melbourne	0	150571
Greater Melbourne	1	654570
Greater Melbourne	2	650141
Greater Melbourne	3	195815
Greater Melbourne	4	107199
Rest of Vic.		10561
Rest of Vic.	0	28777
Rest of Vic.	1	201669
Rest of Vic.	2	230804
Rest of Vic.	3	84463
Rest of Vic.	4	52610
Greater Brisbane		12056
Greater Brisbane	0	57689
Greater Brisbane	1	326330
Greater Brisbane	2	340448
Greater Brisbane	3	112459
Greater Brisbane	4	63053
Rest of Qld		16682
Rest of Qld	0	48620
Rest of Qld	1	332375
Rest of Qld	2	361303
Rest of Qld	3	126939
Rest of Qld	4	71503
Greater Adelaide		6125
Greater Adelaide	0	40587
Greater Adelaide	1	196649
Greater Adelaide	2	195642
Greater Adelaide	3	62783
Greater Adelaide	4	34262
Rest of SA		2791
Rest of SA	0	8604
Rest of SA	1	51863
Rest of SA	2	55563
Rest of SA	3	22168
Rest of SA	4	14275
Greater Perth		9383
Greater Perth	0	38157
Greater Perth	1	269697
Greater Perth	2	306608
Greater Perth	3	100028
Greater Perth	4	54751
Rest of WA		3793
Rest of WA	0	8951
Rest of WA	1	58161
Rest of WA	2	70174
Rest of WA	3	27867
Rest of WA	4	17161
Greater Hobart		1206
Greater Hobart	0	6549
Greater Hobart	1	34159
Greater Hobart	2	33276
Greater Hobart	3	12249
Greater Hobart	4	7531
Rest of Tas.		2157
Rest of Tas.	0	6463
Rest of Tas.	1	41533
Rest of Tas.	2	44010
Rest of Tas.	3	17993
Rest of Tas.	4	11275
Greater Darwin		968
Greater Darwin	0	2579
Greater Darwin	1	15735
Greater Darwin	2	18287
Greater Darwin	3	6310
Greater Darwin	4	3413
Rest of NT		797
Rest of NT	0	5045
Rest of NT	1	8224
Rest of NT	2	6061
Rest of NT	3	2095
Rest of NT	4	1136
Australian Capital Territory		1484
Australian Capital Territory	0	9273
Australian Capital Territory	1	65446
Australian Capital Territory	2	64634
Australian Capital Territory	3	18290
Australian Capital Territory	4	9278
Other Territories		61
Other Territories	0	62
Other Territories	1	558
Other Territories	2	524
Other Territories	3	208
Other Territories	4	115
