GCCSA_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Greater Sydney					50233
Greater Sydney	0	0	0	1	192172
Greater Sydney	0	0	1	0	53464
Greater Sydney	0	0	1	1	33306
Greater Sydney	0	1	0	0	181624
Greater Sydney	0	1	0	1	22711
Greater Sydney	0	1	1	0	48183
Greater Sydney	0	1	1	1	14519
Greater Sydney	1	0	0	1	408541
Greater Sydney	1	0	1	0	213124
Greater Sydney	1	0	1	1	164912
Greater Sydney	1	1	0	0	1388558
Greater Sydney	1	1	0	1	66566
Greater Sydney	1	1	1	0	303250
Greater Sydney	1	1	1	1	63980
Rest of NSW					22150
Rest of NSW	0	0	0	1	103621
Rest of NSW	0	0	1	0	21792
Rest of NSW	0	0	1	1	12801
Rest of NSW	0	1	0	0	140308
Rest of NSW	0	1	0	1	20256
Rest of NSW	0	1	1	0	30087
Rest of NSW	0	1	1	1	8334
Rest of NSW	1	0	0	1	180114
Rest of NSW	1	0	1	0	67542
Rest of NSW	1	0	1	1	51698
Rest of NSW	1	1	0	0	609569
Rest of NSW	1	1	0	1	45379
Rest of NSW	1	1	1	0	127524
Rest of NSW	1	1	1	1	29397
Greater Melbourne					49275
Greater Melbourne	0	0	0	1	171085
Greater Melbourne	0	0	1	0	54548
Greater Melbourne	0	0	1	1	33586
Greater Melbourne	0	1	0	0	165028
Greater Melbourne	0	1	0	1	17651
Greater Melbourne	0	1	1	0	47451
Greater Melbourne	0	1	1	1	12259
Greater Melbourne	1	0	0	1	349710
Greater Melbourne	1	0	1	0	207103
Greater Melbourne	1	0	1	1	150415
Greater Melbourne	1	1	0	0	1318749
Greater Melbourne	1	1	0	1	48660
Greater Melbourne	1	1	1	0	282333
Greater Melbourne	1	1	1	1	52705
Rest of Vic.					11853
Rest of Vic.	0	0	0	1	52904
Rest of Vic.	0	0	1	0	12412
Rest of Vic.	0	0	1	1	7395
Rest of Vic.	0	1	0	0	70366
Rest of Vic.	0	1	0	1	8857
Rest of Vic.	0	1	1	0	16813
Rest of Vic.	0	1	1	1	4423
Rest of Vic.	1	0	0	1	95822
Rest of Vic.	1	0	1	0	40812
Rest of Vic.	1	0	1	1	30878
