GCCSA_NAME21	IndigenousStatus	persons
No usual address (NSW)	Aboriginal	1175
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	35
No usual address (NSW)	Non-indigenous	10141
No usual address (NSW)	Torres Strait Islander	20
Greater Sydney	Aboriginal	87140
Greater Sydney	Both Aboriginal & Torres Strait Islander	1821
Greater Sydney	Non-indigenous	5140207
Greater Sydney	Torres Strait Islander	1979
Rest of NSW	Aboriginal	178748
Rest of NSW	Both Aboriginal & Torres Strait Islander	3995
Rest of NSW	Non-indigenous	2643767
Rest of NSW	Torres Strait Islander	3127
No usual address (Vic.)	Aboriginal	448
No usual address (Vic.)	Both Aboriginal & Torres Strait Islander	4
No usual address (Vic.)	Non-indigenous	8628
No usual address (Vic.)	Torres Strait Islander	9
Migratory - Offshore - Shipping (Vic.)	Non-indigenous	38
Greater Melbourne	Aboriginal	30908
Greater Melbourne	Both Aboriginal & Torres Strait Islander	915
Greater Melbourne	Non-indigenous	4884799
Greater Melbourne	Torres Strait Islander	1128
Rest of Vic.	Aboriginal	30516
Rest of Vic.	Both Aboriginal & Torres Strait Islander	779
Rest of Vic.	Non-indigenous	1544375
Rest of Vic.	Torres Strait Islander	943
No usual address (Qld)	Aboriginal	1025
No usual address (Qld)	Both Aboriginal & Torres Strait Islander	84
No usual address (Qld)	Non-indigenous	13489
No usual address (Qld)	Torres Strait Islander	72
Migratory - Offshore - Shipping (Qld)	Non-indigenous	183
Greater Brisbane	Aboriginal	68437
Greater Brisbane	Both Aboriginal & Torres Strait Islander	4549
Greater Brisbane	Non-indigenous	2449295
Greater Brisbane	Torres Strait Islander	3957
Rest of Qld	Aboriginal	123942
Rest of Qld	Both Aboriginal & Torres Strait Islander	17488
Rest of Qld	Non-indigenous	2455863
Rest of Qld	Torres Strait Islander	17743
No usual address (SA)	Aboriginal	376
No usual address (SA)	Both Aboriginal & Torres Strait Islander	6
No usual address (SA)	Non-indigenous	2995
Migratory - Offshore - Shipping (SA)	Non-indigenous	12
Greater Adelaide	Aboriginal	22429
Greater Adelaide	Both Aboriginal & Torres Strait Islander	635
Greater Adelaide	Non-indigenous	1363538
Greater Adelaide	Torres Strait Islander	688
Rest of SA	Aboriginal	17784
Rest of SA	Both Aboriginal & Torres Strait Islander	324
Rest of SA	Non-indigenous	372427
Rest of SA	Torres Strait Islander	308
No usual address (WA)	Aboriginal	1464
No usual address (WA)	Both Aboriginal & Torres Strait Islander	19
No usual address (WA)	Non-indigenous	6561
No usual address (WA)	Torres Strait Islander	11
Migratory - Offshore - Shipping (WA)	Aboriginal	9
Migratory - Offshore - Shipping (WA)	Non-indigenous	505
Greater Perth	Aboriginal	40061
Greater Perth	Both Aboriginal & Torres Strait Islander	1054
Greater Perth	Non-indigenous	2074562
Greater Perth	Torres Strait Islander	970
Rest of WA	Aboriginal	43471
Rest of WA	Both Aboriginal & Torres Strait Islander	992
Rest of WA	Non-indigenous	489698
Rest of WA	Torres Strait Islander	643
No usual address (Tas.)	Aboriginal	143
No usual address (Tas.)	Both Aboriginal & Torres Strait Islander	5
No usual address (Tas.)	Non-indigenous	1229
Migratory - Offshore - Shipping (Tas.)	Non-indigenous	19
Greater Hobart	Aboriginal	10188
Greater Hobart	Both Aboriginal & Torres Strait Islander	525
Greater Hobart	Non-indigenous	235866
Greater Hobart	Torres Strait Islander	507
Rest of Tas.	Aboriginal	17406
Rest of Tas.	Both Aboriginal & Torres Strait Islander	698
Rest of Tas.	Non-indigenous	290266
Rest of Tas.	Torres Strait Islander	717
No usual address (NT)	Aboriginal	1247
No usual address (NT)	Both Aboriginal & Torres Strait Islander	7
No usual address (NT)	Non-indigenous	2228
No usual address (NT)	Torres Strait Islander	18
Migratory - Offshore - Shipping (NT)	Aboriginal	8
Migratory - Offshore - Shipping (NT)	Non-indigenous	91
Greater Darwin	Aboriginal	12638
Greater Darwin	Both Aboriginal & Torres Strait Islander	1400
Greater Darwin	Non-indigenous	125365
Greater Darwin	Torres Strait Islander	499
Rest of NT	Aboriginal	44669
Rest of NT	Both Aboriginal & Torres Strait Islander	445
Rest of NT	Non-indigenous	43810
Rest of NT	Torres Strait Islander	179
No usual address (ACT)	Aboriginal	41
No usual address (ACT)	Non-indigenous	564
Australian Capital Territory	Aboriginal	8383
Australian Capital Territory	Both Aboriginal & Torres Strait Islander	298
Australian Capital Territory	Non-indigenous	444980
Australian Capital Territory	Torres Strait Islander	229
No usual address (OT)	Non-indigenous	7
No usual address (OT)	Torres Strait Islander	4
Other Territories	Aboriginal	212
Other Territories	Both Aboriginal & Torres Strait Islander	6
Other Territories	Non-indigenous	4560
