GCCSA_NAME21	FamilyHousehold	IncomeHousehold.max	households
Greater Sydney	0		23528
Greater Sydney	0	0	21328
Greater Sydney	0	7875	6127
Greater Sydney	0	15750	14345
Greater Sydney	0	21000	29693
Greater Sydney	0	26250	60280
Greater Sydney	0	34125	37541
Greater Sydney	0	42000	28479
Greater Sydney	0	52500	35942
Greater Sydney	0	65625	41711
Greater Sydney	0	78750	35384
Greater Sydney	0	91875	31638
Greater Sydney	0	105000	26946
Greater Sydney	0	131250	51714
Greater Sydney	0	157500	7743
Greater Sydney	0	183750	15664
Greater Sydney	0	210000	4072
Greater Sydney	0	Inf	29136
Greater Sydney	1		81043
Greater Sydney	1	0	17217
Greater Sydney	1	7875	5018
Greater Sydney	1	15750	5695
Greater Sydney	1	21000	6481
Greater Sydney	1	26250	18525
Greater Sydney	1	34125	20460
Greater Sydney	1	42000	56086
Greater Sydney	1	52500	52129
Greater Sydney	1	65625	66650
Greater Sydney	1	78750	80056
Greater Sydney	1	91875	63860
Greater Sydney	1	105000	68331
Greater Sydney	1	131250	157986
Greater Sydney	1	157500	125027
Greater Sydney	1	183750	112907
Greater Sydney	1	210000	80946
Greater Sydney	1	Inf	309176
Rest of NSW	0		19033
Rest of NSW	0	0	10210
Rest of NSW	0	7875	4224
Rest of NSW	0	15750	11293
Rest of NSW	0	21000	23550
Rest of NSW	0	26250	64275
Rest of NSW	0	34125	39708
Rest of NSW	0	42000	23950
Rest of NSW	0	52500	29411
Rest of NSW	0	65625	28517
Rest of NSW	0	78750	19646
Rest of NSW	0	91875	15813
Rest of NSW	0	105000	11987
Rest of NSW	0	131250	18408
Rest of NSW	0	157500	2800
Rest of NSW	0	183750	4036
Rest of NSW	0	210000	970
Rest of NSW	0	Inf	6274
Rest of NSW	1		58933
Rest of NSW	1	0	7528
Rest of NSW	1	7875	3448
Rest of NSW	1	15750	3312
Rest of NSW	1	21000	4050
Rest of NSW	1	26250	14061
Rest of NSW	1	34125	15492
Rest of NSW	1	42000	54397
Rest of NSW	1	52500	45977
Rest of NSW	1	65625	53600
Rest of NSW	1	78750	61370
Rest of NSW	1	91875	42313
Rest of NSW	1	105000	45127
Rest of NSW	1	131250	92660
Rest of NSW	1	157500	67944
Rest of NSW	1	183750	53374
Rest of NSW	1	210000	33329
Rest of NSW	1	Inf	80597
Greater Melbourne	0		23680
Greater Melbourne	0	0	21881
Greater Melbourne	0	7875	6449
Greater Melbourne	0	15750	14558
Greater Melbourne	0	21000	28108
Greater Melbourne	0	26250	63493
Greater Melbourne	0	34125	40790
Greater Melbourne	0	42000	31363
Greater Melbourne	0	52500	40046
Greater Melbourne	0	65625	46152
Greater Melbourne	0	78750	39722
Greater Melbourne	0	91875	35950
Greater Melbourne	0	105000	28712
